page	refimg	numauto	chapitre
[sans numérotation]	0001	440353	[Page de faux-titre]
[sans numérotation]	0002	440354	[Page de titre]
[sans numérotation]	0003	440355	Noms des Auteurs par ordre alphabétique
1	0004	440356	Boa. Bocalo. Bocconi, (Silvio-Paul)
2	0005	440357	Bocconi, (Silvio-Paul). Bochet. Bock. Boctoner ou Butoner. Bodaeus A Stapel, (Jean). Boe. (François Dubois de Le). Boeckelius, (Jean). Boehmer, (Philippe-Adolphe)
3	0006	440358	Boehmer, (Philippe-Adolphe). Boerhaave, (Herman)
4	0007	440359	Boerhaave, (Herman)
5	0008	440360	Boerhaave, (Herman)
6	0009	440361	Boerhaave, (Herman)
7	0010	440362	Boerhaave, (Herman)
8	0011	440363	Boerhaave, (Herman)
9	0012	440364	Boerhaave, (Herman)
10	0013	440365	Boerhaave, (Herman)
11	0014	440366	Boerhaave, (Herman). Boerner, (Frédéric)
12	0015	440367	Boerner, (Frédéric). Boeuf
13	0016	440368	Boeuf
14	0017	440369	Boeuf
15	0018	440370	Boeuf. Bogdanus, (Martin). Bogue. Bohn ou Bohnius (Jean)
16	0019	440371	Bohn ou Bohnius (Jean). Boile, (Robert)
17	0020	440372	Boile, (Robert)
18	0021	440373	Boile, (Robert). Boin-goli. Boin-kakély. Boiquira
19	0022	440374	Boiquira
20	0023	440375	Boiquira
21	0024	440376	Boiquira
22	0025	440377	Boiquira
23	0026	440378	Boiquira. Boire
24	0027	440379	Boire. Bois
25	0028	440380	Bois. Bois de buis, de coudrier, de frêne, de genièvre, de lentisque, de quassie, de tilleul, &c. Bois
26	0029	440381	Bois
27	0030	440382	Bois. Bois d'aloes, ou d'aigle
28	0031	440383	Bois d'aloes, ou d'aigle. Bois de Brésil
29	0032	440384	Bois de Brésil. Bois de Campèche. Bois de Carabacci. Bois de couleuvre. Bois de fer
30	0033	440385	Bois de fer. Bois de gayac. Bois de Rhodes. Bois de Ste-Lucie. Bois de santal. Bois de sassafras
31	0034	440386	Bois d'Inde. Bois néphrétique. Bois saint. Bois puant
