page	refimg	numauto	chapitre
[sans numérotation]	0001	4813988	[Page de faux-titre]
[page blanche]	0002	4813989	
[sans numérotation]	0003	4813990	[Page de titre]
[page blanche]	0004	4813991	
1	0005	4813992	Lance de Mauriceau [Desormeaux] / Lancette [Murat]
2	0006	4813993	Lancette [Murat]
3	0007	4813994	Lancette [Murat]
4	0008	4813995	Lancette [Murat] / Lancinant / Langage [Adelon]
5	0009	4813996	Langage [Adelon]
6	0010	4813997	Langage [Adelon]
7	0011	4813998	Langage [Adelon]
8	0012	4813999	Langage [Adelon]
9	0013	4814000	Langage [Adelon]
10	0014	4814001	Langage [Adelon]
11	0015	4814002	Langage [Adelon] / Langue [Marjolin, Chomel]
12	0016	4814003	Langue [Marjolin, Chomel]
13	0017	4814004	Langue [Marjolin, Chomel]
14	0018	4814005	Langue [Marjolin, Chomel]
15	0019	4814006	Langue [Marjolin, Chomel]
16	0020	4814007	Langue [Marjolin, Chomel]
17	0021	4814008	Langue [Marjolin, Chomel]
18	0022	4814009	Langue [Marjolin, Chomel]
19	0023	4814010	Langue [Marjolin, Chomel]
20	0024	4814011	Langue [Marjolin, Chomel]
21	0025	4814012	Langue [Marjolin, Chomel]
22	0026	4814013	Langue [Marjolin, Chomel]
23	0027	4814014	Langue [Marjolin, Chomel]
24	0028	4814015	Langue [Marjolin, Chomel]
25	0029	4814016	Langue [Marjolin, Chomel]
26	0030	4814017	Langue [Marjolin, Chomel]
27	0031	4814018	Langue [Marjolin, Chomel] / Langueur / Laniaire / Laque ou Lacque [A. Richard] / Lardacé / Large
28	0032	4814019	Large / Larmes [Adelon] / Larmoiement / Larvé / Laryngé [Marjolin]
29	0033	4814020	Laryngé [Marjolin] / Laryngotomie / Larynx [Marjolin]
30	0034	4814021	Larynx [Marjolin]
31	0035	4814022	Larynx [Marjolin]
32	0036	4814023	Larynx [Marjolin]
33	0037	4814024	Larynx [Marjolin]
34	0038	4814025	Larynx [Marjolin]
35	0039	4814026	Larynx [Marjolin]
36	0040	4814027	Larynx [Marjolin]
37	0041	4814028	Larynx [Marjolin]
38	0042	4814029	Larynx [Marjolin]
39	0043	4814030	Larynx [Marjolin] / Latent / Latrines [Marc]
40	0044	4814031	Latrines [Marc]
41	0045	4814032	Latrines [Marc]
42	0046	4814033	Latrines [Marc]
43	0047	4814034	Latrines [Marc] / Laudanum liquide de Sydenham [Orfila]
44	0048	4814035	Lauréole [A. Richard] / Laurier [A. Richard]
45	0049	4814036	Laurier [A. Richard]
46	0050	4814037	Laurier [A. Richard]
47	0051	4814038	Laurier [A. Richard]
48	0052	4814039	Laurier [A. Richard]
49	0053	4814040	Laurier [A. Richard] / Laurier-Rose [A. Richard]
50	0054	4814041	Laurier-Rose [A. Richard] / Laurinées [A. Richard]
