page	refimg	numauto	chapitre
[sans numérotation]	0001	4820754	[Page de faux-titre]
[sans numérotation]	0002	4820755	
[sans numérotation]	0003	4820756	[Page de titre]
[page blanche]	0004	4820757	
1	0005	4820758	Hagenbut, Haynpol ou Hanbut
2	0006	4820759	Hagenbut, Haynpol ou Hanbut
3	0007	4820760	Hagenbut, Haynpol ou Hanbut / Hagendorn (Ehrenfried)
4	0008	4820761	Hagendorn (Ehrenfried) / Haguenot (Henri)
5	0009	4820762	Haguenot (Henri) / Hahn (Sigismond) / Hahn (Jean-Godefroy de)
6	0010	4820763	Hahn (Jean-Godefroy de)
7	0011	4820764	Hahn (Jean-Godefroy de) / Hahn (Jean-David)
8	0012	4820765	Hahn (Jean-David) / Haighton (John)
9	0013	4820766	Hallé (Jean-Noel)
10	0014	4820767	Hallé (Jean-Noel)
11	0015	4820768	Hallé (Jean-Noel) / Haller (Albert de)
12	0016	4820769	Haller (Albert de)
13	0017	4820770	Haller (Albert de)
14	0018	4820771	Haller (Albert de)
15	0019	4820772	Haller (Albert de)
16	0020	4820773	Haller (Albert de)
17	0021	4820774	Haller (Albert de)
18	0022	4820775	Haller (Albert de)
19	0023	4820776	Haller (Albert de)
20	0024	4820777	Haller (Albert de)
21	0025	4820778	Haller (Albert de)
22	0026	4820779	Haller (Albert de)
23	0027	4820780	Haller (Albert de)
24	0028	4820781	Haller (Albert de)
25	0029	4820782	Haller (Albert de)
26	0030	4820783	Haller (Albert de)
27	0031	4820784	Haller (Albert de)
28	0032	4820785	Haller (Albert de)
29	0033	4820786	Haller (Albert de)
30	0034	4820787	Haller (Albert de)
31	0035	4820788	Haller (Albert de) / Hamberger (George-Erhard)
32	0036	4820789	Hamberger (George-Erhard)
33	0037	4820790	Hamberger (George-Erhard)
34	0038	4820791	Hamberger (George-Erhard)
35	0039	4820792	Hamberger (George-Erhard)
36	0040	4820793	Hamberger (George-Erhard) / Halloran (Sylvester O') / Hamilton (Alexandre)
37	0041	4820794	Hamilton (Alexandre) / Hamilton (David)
38	0042	4820795	Hamilton (David) / Hamilton (Robert)
39	0043	4820796	Hamilton (Robert) / Hamilton (William)
40	0044	4820797	Handel (George-Théodore-Christophe) / Harder (Jean-Jacques)
41	0045	4820798	Harder (Jean-Jacques)
42	0046	4820799	Harder (Jean-Jacques)
43	0047	4820800	Hardy (James) / Harmant (N) / Harper (Andrew)
44	0048	4820801	Harper (Andrew) / Harris (Gautier)
45	0049	4820802	Harris (Gautier) / Harsu (Jacques de) / Hartenkeil (Jean-Jacques)
46	0050	4820803	Hartenkeil (Jean-Jacques)
47	0051	4820804	Hartenkeil (Jean-Jacques) / Hartmann (Jean)
48	0052	4820805	Hartmann (Jean)
49	0053	4820806	Hartmann (Peter-Emmanuel)
50	0054	4820807	Hartmann (Peter-Emmanuel) / Hartmann (Philippe-Charles)
51	0055	4820808	Hartmann (Philippe-Charles) / Hartmann (Philippe-Jacques)
52	0056	4820809	Hartmann (Philippe-Jacques)
53	0057	4820810	Hartmann (Philippe-Jacques)
54	0058	4820811	Hartmann (Philippe-Jacques) / Harvey (Gédéon)
55	0059	4820812	Harvey (Gédéon) / Harvey (Guillaume)
56	0060	4820813	Harvey (Guillaume)
57	0061	4820814	Harvey (Guillaume)
58	0062	4820815	Harvey (Guillaume)
59	0063	4820816	Harvey (Guillaume)
60	0064	4820817	Harvey (Guillaume)
61	0065	4820818	Warwood (sir Busick) / Hasenest (Jean-Georges)
62	0066	4820819	Hasenest (Jean-Georges) / Hasenhoerl (Jean-Georges) / Havers (Clopton)
63	0067	4820820	Havers (Clopton) / Haygarth (John)
64	0068	4820821	Haygarth (John) / Hazon (Jacques-Albert)
65	0069	4820822	Hazon (Jacques-Albert)
66	0070	4820823	Hazon (Jacques-Albert)
67	0071	4820824	Hazon (Jacques-Albert) / Hebenstreit (Ernest-Benjamin-Théophile)
68	0072	4820825	Hebenstreit (Ernest-Benjamin-Théophile) / Hebenstreit (Johann-Ernst)
69	0073	4820826	Hebenstreit (Johann-Ernst)
70	0074	4820827	Hebenstreit (Johann-Ernst)
71	0075	4820828	Hebenstreit (Johann-Ernst)
72	0076	4820829	Hebenstreit (Johann-Ernst)
73	0077	4820830	Hebenstreit (Johann-Ernst) / Heberden (Guillaume)
74	0078	4820831	Heberden (Guillaume)
75	0079	4820832	Heberden (Guillaume) / Hecker (Auguste-Frédéric)
76	0080	4820833	Hecker (Auguste-Frédéric)
77	0081	4820834	Hecker (Auguste-Frédéric)
78	0082	4820835	Hecker (Auguste-Frédéric)
79	0083	4820836	Hecquet (Philippe)
80	0084	4820837	Hecquet (Philippe)
81	0085	4820838	Hecquet (Philippe)
82	0086	4820839	Hecquet (Philippe)
83	0087	4820840	Hecquet (Philippe) / Heer (Henri Van), ou Henricus ab Heers
84	0088	4820841	Heer (Henri Van), ou Henricus ab Heers / Heerkens (Gerard-Nicolas)
85	0089	4820842	Heerkens (Gerard-Nicolas) / Heister (Laurent)
86	0090	4820843	Heister (Laurent)
87	0091	4820844	Heister (Laurent)
88	0092	4820845	Heister (Laurent)
89	0093	4820846	Heister (Laurent)
90	0094	4820847	Heister (Laurent)
91	0095	4820848	Heister (Laurent)
92	0096	4820849	Heister (Laurent)
93	0097	4820850	Heister (Laurent) / Heliodore
94	0098	4820851	Heliodore / Hellmann (Jean-Gaspard) / Hellwig (Christophe de)
95	0099	4820852	Hellwig (Christophe de)
96	0100	4820853	Hellwig (Christophe de)
97	0101	4820854	Hellwig (Christophe de) / Helmont (Jean-Baptiste Van)
98	0102	4820855	Helmont (Jean-Baptiste Van)
99	0103	4820856	Helmont (Jean-Baptiste Van)
100	0104	4820857	Helmont (Jean-Baptiste Van)
101	0105	4820858	Helmont (Jean-Baptiste Van)
102	0106	4820859	Helmont (Jean-Baptiste Van)
103	0107	4820860	Helmont (Jean-Baptiste Van)
104	0108	4820861	Helmont (Jean-Baptiste Van) / Helvetius (Adrien)
105	0109	4820862	Helvetius (Adrien) / Helvetius (Jean-Claude-Adrien)
106	0110	4820863	Helvetius (Jean-Claude-Adrien)
107	0111	4820864	Helvetius (Jean-Claude-Adrien) / Hendy (James)
108	0112	4820865	Hendy (James) / Henkel (Joachim-Frédéric)
109	0113	4820866	Henkel (Joachim-Frédéric)
110	0114	4820867	Henkel (Joachim-Frédéric) / Henning (Jean-George-Frédéric) / Henry (Thomas)
111	0115	4820868	Henry (Thomas) / Herbiniaux
112	0116	4820869	Herbiniaux / Heredia (Gaspard-Caldéra de) / Heredia (Pierre-Michel de)
113	0117	4820870	Heredia (Pierre-Michel de) / Hensler (Philippe-Gabriel)
114	0118	4820871	Hensler (Philippe-Gabriel)
115	0119	4820872	Hensler (Philippe-Gabriel) / Herissant (François-David)
116	0120	4820873	Herissant (François-David) / Herissant (Louis-Antoine-Prosper)
117	0121	4820874	Herissant (Louis-Antoine-Prosper) / Hernandez (François)
118	0122	4820875	Hernandez (François) / Herophile
119	0123	4820876	Herophile / Hery (Thierry de)
120	0124	4820877	Hery (Thierry de)
121	0125	4820878	Hery (Thierry de) / Herz (Marc)
122	0126	4820879	Herz (Marc) / Hesselbach (François-Gaspard)
123	0127	4820880	Hesselbach (François-Gaspard) / Heuermann (George) / Heurnius (Jean)
124	0128	4820881	Heurnius (Jean)
125	0129	4820882	Heurnius (Jean)
126	0130	4820883	Heurnius (Jean) / Hévin (Prudent)
127	0131	4820884	Hévin (Prudent) / Hewson (William)
