page	refimg	numauto	chapitre
sn	0001	7718520	[Plat]
pb	0002	7718521	
sn	0003	7718522	[Page de titre]
pb	0004	7718523	
sn	0005	7718524	1re Partie. Table par indications thérapeutiques des spécialités figurant dans cet ouvrage
sn	0006	7718525	Table par indications thérapeutiques des spécialités figurant dans cet ouvrage
sn	0007	7718526	I. - Albuminurie / II. - Alimentation - Régimes / III. - Analgésiques externes anesthésiques
sn	0008	7718527	IV. - Analgésiques internes antinévralgiques / V. - Anémie - Asthénie
sn	0009	7718528	
sn	0010	7718529	VI. - Antipyrétiques / VII. - Antiseptiques externes (Désinfectants)
sn	0011	7718530	VIII. - Antiseptiques internes (antitoxiques) / IX. - Artériosclérose. Hypertension artérielle - Angine de poitrine
sn	0012	7718531	X. - Arthritisme - Goutte - Rhumatisme
sn	0013	7718532	XI. - Blennorragie
sn	0014	7718533	XIV - Coeur et appareil circulatoire / XV. - Constipation
sn	0015	7718534	XVI. - Convalescences
sn	0016	7718535	
sn	0017	7718536	XVII. - Dermatoses - Acné - Eczéma - Furonculose, crevasses des seins, etc.
sn	0018	7718537	XVIII. - Diabète / XIX. - Empoisonnements intoxications / XX. - Estomac
sn	0019	7718538	XXI. - Foie - Pancréas - Rate
sn	0020	7718539	XXII. - Gynécologie et obstétrique
sn	0021	7718540	XXIII. - Hémostatiques / XXIV. - Hypnotiques
sn	0022	7718541	XXV. - Intestins
sn	0023	7718542	XXVI. - Lymphatisme - Scrofule - Rachitisme
sn	0024	7718543	XXVII. - Maladies infectieuses et parasitaires, grippe, paludisme, etc.
sn	0025	7718544	XXVIII. - Nerfs (Hystérie, Epilepsie, Neurasthénie, etc.)
sn	0026	7718545	XXIX. - Obésité / XXX. - Ophtalmologie
sn	0027	7718546	XXXI. - Opothérapie et vaccinothérapie / XXXII. - Oto-Rhino-Laryngologie
sn	0028	7718547	XXXIII. - Peau et cuir chevelu (Gerçures, Engelures, etc)
sn	0029	7718548	XXXIV. - Reconstituants - Stimulants - Toniques - Récalcifiants
sn	0030	7718549	XXXV. - Stomatologie
sn	0031	7718550	XXXVI. - Syphilis / XXXVII. - Système veineux - Varices - Hémorroïdes
sn	0032	7718551	XXXVIII. - Tuberculose
sn	0033	7718552	XXXIX. - Tumeurs - Cancer / XL. - Voies génito-urinaires
sn	0034	7718553	
sn	0035	7718554	2e Partie. Dictionnaire de spécialités pharmaceutiques
pb	0036	7718555	
pb	0037	7718556	
pb	0038	7718557	
1	0039	7718558	Acépiline / Acésine Guillaumin
2	0040	7718559	Achanol / Adrénaline Aguettant
3	0041	7718560	Adrénophyséine Grémy / Adrépatine
4	0042	7718561	Aethone / Agomensine Ciba
5	0043	7718562	Airol « Roche » / Akesol Muzi
6	0044	7718563	Alepsal Genévrier
7	0045	7718564	Algatan
8	0046	7718565	Algocratine / Algolane
9	0047	7718566	Aliment Tinardon / Aloysine
10	0048	7718567	Alunozal / Amibiasine
11	0049	7718568	Amidal
12	0050	7718569	Ampoules Boissy / Ampoules Churchill
13	0051	7718570	Ampoules de Digalène « Roche » / Ampoules de Pantopon « Roche »
14	0052	7718571	Ampoules Reipar / Ampoules de sécacornine « Roche »
15	0053	7718572	Ampoules de spasmalgine « Roche » / Ampoules de Théobryl « Roche »
16	0054	7718573	Amylodiastase Thépénier / Anapeptone Vassal
17	0055	7718574	Anaquintine Lescène / Angiolymphe du Docteur Rous
18	0056	7718575	Aniodol / Anneaux Pessaires J. P.
19	0057	7718576	Antacidol / Antalgol Dalloz
20	0058	7718577	Anthéma. Sérum sérique antihémorragique des Docteurs Dufour et Le Hello / Antialgos Christiaens
21	0059	7718578	Antiasthme Bengalais / Antigrippine Midy
22	0060	7718579	Antiphlogistine / L'antirroïde
23	0061	7718580	Antiurique de Contrexéville / Antodyne
24	0062	7718581	Antonal / Anusol
25	0063	7718582	Apaludol Auclair / Aplexil
26	0064	7718583	Aquintol / Arhéol
27	0065	7718584	Arhine Lambiotte Frères / Arquéritol Lesure
28	0066	7718585	Arséniode Buriat / Arsénobenzol
29	0067	7718586	Arsycodile / Artério-sérum Vincardi
30	0068	7718587	Arthri-Sel / Arthritose
31	0069	7718588	Asciatine / Ascoléine Rivier
32	0070	7718589	Asthmolysine / Atophan Cruet
33	0071	7718590	Atoquinol Ciba / Avanazol Couturieux
34	0072	7718591	Azigol Thévenot / Azufrol
35	0073	7718592	Backerine activée. Ferments du Docteur de Backer et sels de magnésie / Balsamiodol
36	0074	7718593	Balsamol Lescène / Baume Delacour
37	0075	7718594	Baume Rhodia
38	0076	7718595	Béatol
39	0077	7718596	Benzo-Iodhydrine (Capsules de) / Benzolactol
40	0078	7718597	Benzylol / Bétul-Ol Midy
41	0079	7718598	Bihégon
42	0080	7718599	Bi-Iodure Souffron / Biléyl Fournier
43	0081	7718600	Bilifluine du Docteur L. Bignon / Bilirhéïne
44	0082	7718601	Biocalcose Chevretin / Biodermyl Monal
45	0083	7718602	Biodynamine
46	0084	7718603	Biogastrine
47	0085	7718604	Biolactyl Fournier
48	0086	7718605	Biophorine Girard / Biophorol
49	0087	7718606	Biosine le Perdriel / Biotose Ciba
50	0088	7718607	Biozol / Bismhydral
51	0089	7718608	Bismuth Desleaux
52	0090	7718609	Blédine Jacquemaire
53	0091	7718610	Boldo Gmet / Boléase Monal
54	0092	7718611	Boricine Meissonnier / Borocalcyl Thévenot
55	0093	7718612	Boules plastiques Quiès / Broméine Montagu
56	0094	7718613	Bromiase / Bromogénol Pépin
57	0095	7718614	Bromone Robin / Bromures Souffron
58	0096	7718615	Bulgarine Thépénier
