page	refimg	numauto	chapitre
[sans numérotation]	0001	7311358	[Page de faux-titre]
[sans numérotation]	0002	7311359	[Mention d'imprimeur]
[sans numérotation]	0003	7311360	[Page de titre]
[sans numérotation]	0004	7311361	Trachée - artère
2	0005	7311362	Trachée-artère
3	0006	7311363	Trachée-artère
6	0007	7311364	Trachée-artère
7	0008	7311365	Trachée-artère
8	0009	7311366	Trachée-artère
9	0010	7311367	Trachée-artère
10	0011	7311368	Trachée-artère
11	0012	7311369	Trachée-artère
12	0013	7311370	Trachée-artère
13	0014	7311371	Trachée-artère
14	0015	7311372	Trachée-artère
15	0016	7311373	Trachée-artère
16	0017	7311374	Trachée-artère
17	0018	7311375	Trachée-artère
18	0019	7311376	Trachée-artère
19	0020	7311377	Trachée - Rétrécissement de la trachée
20	0021	7311378	Trachée - Rétrécissement de la trachée
21	0022	7311379	Trachée - Rétrécissement de la trachée
22	0023	7311380	Trachée - Rétrécissement de la trachée
23	0024	7311381	Trachée - Rétrécissement de la trachée
24	0025	7311382	Trachée - Rétrécissement de la trachée
25	0026	7311383	Trachée - Rétrécissement de la trachée
26	0027	7311384	Trachée - Rétrécissement de la trachée
27	0028	7311385	Trachée - Rétrécissement de la trachée
28	0029	7311386	Trachée - Rétrécissement de la trachée
29	0030	7311387	Trachée - Rétrécissement de la trachée
30	0031	7311388	Trachée - Rétrécissement de la trachée
31	0032	7311389	Trachée - Rétrécissement de la trachée
32	0033	7311390	Trachée - Rétrécissement de la trachée
33	0034	7311391	Trachée - Rétrécissement de la trachée
34	0035	7311392	Trachée - Rétrécissement de la trachée
35	0036	7311393	Trachée - Rétrécissement de la trachée
36	0037	7311394	Trachée - Rétrécissement de la trachée
37	0038	7311395	Trachée - Rétrécissement de la trachée
38	0039	7311396	Trachée - Rétrécissement de la trachée
39	0040	7311397	Trachée - Rétrécissement de la trachée. Trachéocèle
40	0041	7311398	Trachée - Trachéocèle
41	0042	7311399	Trachée - Trachéocèle
42	0043	7311400	Trachée - Trachéocèle
43	0044	7311401	Trachée - Trachéocèle
44	0045	7311402	Trachée - Trachéocèle. Trachéotomie 
