page	refimg	numauto	chapitre
[sans numérotation]	0001	4806170	[Page de faux-titre]
[page blanche]	0002	4806171	
[sans numérotation]	0003	4806172	[Page de titre]
[page blanche]	0004	4806173	
265	0005	4806174	Iatraleptique (thér.) [J. B.] / Ichor (path.) / Ichthyocolle (mat. méd.) [J. B.] / Ichthyose (méd.) [E. Beaugrand]
266	0006	4806175	Ichthyose (méd.) [E. Beaugrand] / Ictère (méd.) [J. P. Beaude]
267	0007	4806176	Ictère (méd.) [J. P. Beaude]
268	0008	4806177	Ictère (méd.) [J. P. Beaude] / Ictérique (path.) / Idiopathie, Idiopathique (path.) [J. B.] / Idiosyncrase ou Idiosycrasie (path.) [J. B.] / Idiotie (méd.) [H. Landouzy]
269	0009	4806178	Idiotie (méd.) [H. Landouzy]
270	0010	4806179	Idiotie (méd.) [H. Landouzy]
271	0011	4806180	Idiotie (méd.) [H. Landouzy] / Iléo-coecal (anat.) / Iléo-colique (anat.) / Iléo-lombaire (anat.) [J. B.] / Iléon (anat.) / Iles (anat.) [J. P. Beaude] / Iléus (méd.) / Iliaque (anat.) [J. B.]
272	0012	4806181	Iliaque (anat.) [J. B.] / Iliaque, passion (path.) / Ilio-fémorale (anat.) / Ilion (anat.) / Ilium (anat.) / Imbécillité (path.) / Immersion (thérap.) / Imperforation [E. Beaugrand] / Imperforé (path.) / Impétigo (path.) / Imprégnation (physiol.) / Impubère (physiol.) / Impuissance [H. Landouzy]
273	0013	4806182	Impuissance [H. Landouzy]
274	0014	4806183	Impuissance [H. Landouzy]
275	0015	4806184	Inanition, (physiol.) / Inappétence (séméiol.) / Incandescence (physique) / Incarcération (chir.) / Incinération (physique) / Incisif, ive (anat.) / Incision (chir.) / Incitabilité (physiol.) / Incontinence (hyg.) [E. Beaugrand]
276	0016	4806185	Incontinence (hyg.) [E. Beaugrand] / Incrassant (mat. méd.) / Incrustation (anat. pathol.) / Incubation (path.) / Incube (physiol.) / Index (anat.) / Indication (pathol.) / Indigeste (hyg.) / Indigestion (pathol.) [F. E. Plisson]
277	0017	4806186	Indigestion (pathol.) [F. E. Plisson]
278	0018	4806187	Indigestion (pathol.) [F. E. Plisson]
279	0019	4806188	Indigestion (pathol.) [F. E. Plisson] / Indigo (chim.) [J. B.]
280	0020	4806189	Indigo (chim.) [J. B.] / Indolent (path.) / Induration (anat. pathol.) / Infanticide (méd. lég.) [J. P. Beaude]
281	0021	4806190	Infanticide (méd. lég.) [J. P. Beaude]
282	0022	4806191	Infanticide (méd. lég.) [J. P. Beaude]
283	0023	4806192	Infanticide (méd. lég.) [J. P. Beaude]
284	0024	4806193	Infanticide (méd. lég.) [J. P. Beaude]
285	0025	4806194	Infanticide (méd. lég.) [J. P. Beaude] / Infection (path.) / Infernale (Pierre) (pharm.) / Infibulation ou Fibulation (hyg.) [H. Landouzy] / Infiltration (anat. path.) [J. B.] / Infirmité (path.) / Inflammation (méd.) [E. Beaugrand]
286	0026	4806195	Inflammation (méd.) [E. Beaugrand]
287	0027	4806196	Inflammation (méd.) [E. Beaugrand]
288	0028	4806197	Inflammatoire (path.) / Infundibuliforme (anat. path.) / Infusion (phar.) [J. B.] / Infusoires (zool.) / Ingesta (hyg.) / Ingrédient (mat. méd.) / Inguinal, ale (anat.) / Inhalation (physiol.) / Inhumation (poli. méd.) [J. P. Beaude]
289	0029	4806198	Inhumation (poli. méd.) [J. P. Beaude]
290	0030	4806199	Inhumation (poli. méd.) [J. P. Beaude]
