page	refimg	numauto	chapitre
[sans numérotation]	0001	4819110	[Page de faux-titre]
[page blanche]	0002	4819111	
[sans numérotation]	0003	4819112	[Page de titre]
[page blanche]	0004	4819113	
1	0005	4819114	Prospectus
2	0006	4819115	Prospectus
3	0007	4819116	Prospectus
4	0008	4819117	Prospectus
v	0009	4819118	[Préface]
vj	0010	4819119	[Préface]
vij	0011	4819120	[Préface]
viij	0012	4819121	[Préface]
ix	0013	4819122	[Préface]
x	0014	4819123	[Préface]
xj	0015	4819124	[Préface]
xij	0016	4819125	[Préface]
xiij	0017	4819126	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xiv	0018	4819127	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xv	0019	4819128	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xvj	0020	4819129	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xvij	0021	4819130	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xviij	0022	4819131	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xix	0023	4819132	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xx	0024	4819133	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxj	0025	4819134	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxij	0026	4819135	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxiij	0027	4819136	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxiv	0028	4819137	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
1	0029	4819138	Aaron
2	0030	4819139	Aaskow (Urbain-Bruan) / Abano (Pierre d'), ou Pierre d'Apono
3	0031	4819140	Abano (Pierre d'), ou Pierre d'Apono
4	0032	4819141	Abano (Pierre d'), ou Pierre d'Apono / Abbadie (Vincent) / Abbatio (Balde-Ange)
5	0033	4819142	Abbatio (Balde-Ange) / Abelle (Scipion) / Abercromby (David)
6	0034	4819143	Abercromby (David) / Abildgaard (Pierre-Chrétien) / Abraham (Nicolas)
7	0035	4819144	Abraham (Nicolas) / Absyrte, ou Apsyrte / Acampo (Simon)
8	0036	4819145	Acampo (Simon) / Accoramboni (Jérôme) / Accorsini (Barthélemy) / Accouchement
9	0037	4819146	Accouchement
10	0038	4819147	Accouchement
11	0039	4819148	Accouchement
12	0040	4819149	Accouchement
13	0041	4819150	Accouchement
14	0042	4819151	Accouchement
15	0043	4819152	Accouchement
16	0044	4819153	Accouchement
17	0045	4819154	Accouchement
18	0046	4819155	Accouchement
19	0047	4819156	Accouchement
20	0048	4819157	Accouchement
21	0049	4819158	Accouchement
22	0050	4819159	Accouchement
23	0051	4819160	Accouchement
24	0052	4819161	Accouchement
25	0053	4819162	Accouchement
26	0054	4819163	Accouchement
27	0055	4819164	Accouchement
28	0056	4819165	Accouchement
29	0057	4819166	Accouchement
30	0058	4819167	Accouchement
31	0059	4819168	Accouchement
32	0060	4819169	Accouchement
33	0061	4819170	Accouchement
34	0062	4819171	Accouchement
35	0063	4819172	Accouchement
36	0064	4819173	Accouchement
37	0065	4819174	Accouchement
36	0066	4819175	Accouchement / Achillini (Alexandre)
39	0067	4819176	Achillini (Alexandre) / Ackermann (Jean-Chrétiens-Théophile)
40	0068	4819177	Ackermann (Jean-Chrétiens-Théophile) / Ackermann (Jacques-Fidèle)
41	0069	4819178	Ackermann (Jacques-Fidèle) / Acrel (Olof)
42	0070	4819179	Acrel (Olof)
43	0071	4819180	Acrel (Olof) / Acron
44	0072	4819181	Acron / Actuarius jean, fils de Zacharie
45	0073	4819182	Actuarius jean, fils de Zacharie / Adair (James-Makittrik)
46	0074	4819183	Adair (James-Makittrik) / Adams (Joseph)
47	0075	4819184	Adams (Joseph) / Adamucci (A.) / Adanson (Michel)
48	0076	4819185	Adanson (Michel)
49	0077	4819186	Adanson (Michel)
50	0078	4819187	Adanson (Michel) / Addington (Antoine)
51	0079	4819188	Addington (Antoine) / Adolphi (Chrétien-Michel) / Aegidius corboliensis (Petrus), Pierre Gilles de Corbeil
52	0080	4819189	Aegidius corboliensis (Petrus), Pierre Gilles de Corbeil / Aetius
53	0081	4819190	Aetius
54	0082	4819191	Aetius / Agricola (Jean-Ammonius) / Agricola (George)
55	0083	4819192	Agricola (George) / Agrippa (Henri-Corneille)
56	0084	4819193	Agrippa (Henri-Corneille)
57	0085	4819194	Agrippa (Henri-Corneille) / Aguero (Bartholomeo-Hidalgo de) / Aikin (Jean)
58	0086	4819195	Aikin (Jean) / Ailhaud (Jean)
59	0087	4819196	Ailhaud (Jean) / Ailhaud (Jean-Gaspard) / Ailleboust (Jean) / Oimar (Ozias)
60	0088	4819197	Oimar (Ozias) / Aitken (Jean) / Akakia (Martin)
61	0089	4819198	Akakia (Martin) / Akakia (Martin) / Akakia (Martin) / Akakia (Jean) / Akakia (Martin)
62	0090	4819199	Akakia (Martin) / Akenside (Marc)
63	0091	4819200	Akenside (Marc) / Alanson (Édouard)
64	0092	4819201	Alanson (Édouard) / Alaymo (Marc-Antoine) / Albano Torino
65	0093	4819202	Albano Torino / Al-Beithar / Albers (Jean-Abraham)
66	0094	4819203	Albers (Jean-Abraham) / Albert-le-grand
67	0095	4819204	Albert-le-grand / Alberti (Michel)
68	0096	4819205	Alberti (Michel)
69	0097	4819206	Alberti (Michel) / Alberti (Salomon)
70	0098	4819207	Alberti (Salomon) / Albertini (Annibal) / Albertini (Barthélemy) / Albertini (Hippolyte-François)
71	0099	4819208	Albinus (Bernard) / Albinus (Bernard-Sigefroy)
72	0100	4819209	Albinus (Bernard-Sigefroy)
73	0101	4819210	Albinus (Bernard-Sigefroy)
74	0102	4819211	Albinus (Bernard-Sigefroy)
75	0103	4819212	Albinus (Bernard-Sigefroy)
76	0104	4819213	Albinus (Bernard-Sigefroy) / Albinus (Chrétien-Bernard) / Albinus (Jacques)
77	0105	4819214	Albinus (Jacques) / Albucasis abul-casem-khalaf-ebn-abbas
78	0106	4819215	Albucasis abul-casem-khalaf-ebn-abbas / Alcadino / Alcazar ou Valcazer (André) / Alchimie
79	0107	4819216	Alchimie
80	0108	4819217	Alchimie
81	0109	4819218	Alchimie
82	0110	4819219	Alchimie
83	0111	4819220	Alchimie
84	0112	4819221	Alchimie
85	0113	4819222	Alchimie / Alcméon
