page	refimg	numauto	chapitre
[sans numérotation]	0001	4879006	[Première de couverture]
[page blanche]	0002	4879007	
[sans numérotation]	0003	4879008	[Page de faux-titre]
[sans numérotation]	0004	4879009	[Page de titre]
1	0005	4879010	Lait
2	0006	4879011	Lait / Lait virginal
3	0007	4879012	Laitue
4	0008	4879013	Laudanum / Laudanum liquide
5	0009	4879014	Lavande / Lénitif
6	0010	4879015	Lénitif
7	0011	4879016	Lénitif / Lessive de soude, ou Lessive des savonniers / Lichen d'Islande
8	0012	4879017	Lichen d'Islande / Lichen pixidatus / Lierre rampant
9	0013	4879018	Lierre rampant
10	0014	4879019	Lierre rampant / Lierre terrestre / Limon
11	0015	4879020	Limon / Limonade / Limonade Anglaise
12	0016	4879021	Limonade Anglaise / Limonade sèche par l'acide citrique
13	0017	4879022	Limonade sèche par l'acide citrique / Limonade sèche par l'oxalate acidule de potasse / Lin
14	0018	4879023	Lin / Liniment
15	0019	4879024	Liniment / Liniment camphré / Liniment résolutif / Liniment volatil
16	0020	4879025	Liqueur d'Hoffmann
17	0021	4879026	Liqueur d'Hoffmann / Liqueur de Vans-Wieten
18	0022	4879027	Liqueur de Vans-Wieten / Lis blanc
19	0023	4879028	Lis blanc / Livèche
20	0024	4879029	Livèche / Loks (des)
21	0025	4879030	Loks (des) / Lok blanc
22	0026	4879031	Lok blanc
23	0027	4879032	Lok blanc / Lok pectoral d'imitation
24	0028	4879033	Lok pectoral d'imitation / Macération / Macis / Magnésie
25	0029	4879034	Magnésie
26	0030	4879035	Magnésie / Mandragore
27	0031	4879036	Mandragore / Manne
28	0032	4879037	Marasquin de Zara / Marjolaine
29	0033	4879038	Marjolaine / Marmelade d'abricots
30	0034	4879039	Marmelade d'abricots / Marmelade de Tronchin
31	0035	4879040	Marmelade de Tronchin / Marrube blanc
32	0036	4879041	Mastic
33	0037	4879042	Matricaire
34	0038	4879043	Mauve
35	0039	4879044	Méchoacan / Mélasse
36	0040	4879045	Mélasse / Mélilot
37	0041	4879046	Mélilot / Mélisse
38	0042	4879047	Mélisse / Melon
39	0043	4879048	Melon / Menthe frisée
40	0044	4879049	Menthe frisée / Menthe poivrée
41	0045	4879050	Menthe poivrée / Mercure
42	0046	4879051	Mercure
43	0047	4879052	Mercure
44	0048	4879053	Mercuriale
45	0049	4879054	Mercuriale / Méum
46	0050	4879055	Méum / Miel
47	0051	4879056	Miel / Miel dépuré / Miel mercurial
48	0052	4879057	Miel mercurial / Miel de nénuphar
49	0053	4879058	Miel rosat
50	0054	4879059	Miel rosat / Miel violat / Mille-feuille
51	0055	4879060	Mille-feuille / Mille-pertuis
52	0056	4879061	Mille-pertuis / Mixtures
53	0057	4879062	Morelle
54	0058	4879063	Morelle / Moutarde
55	0059	4879064	Moutarde / Mucilage de gomme adragant
56	0060	4879065	Mucilage de gomme adragant / Muguet
57	0061	4879066	Muguet / Muriates
58	0062	4879067	Muriates / Muriate d'ammoniaque
59	0063	4879068	Muriate d'ammoniaque
60	0064	4879069	Muriate d'ammoniaque / Muriate d'antimoine sur-oxigéné
61	0065	4879070	Muriate d'antimoine sur-oxigéné / Muriate de baryte
62	0066	4879071	Muriate de baryte
63	0067	4879072	Muriate de baryte / Muriate de chaux
64	0068	4879073	Muriate de chaux / Muriate mercuriel doux sublimé
65	0069	4879074	Muriate mercuriel doux sublimé / Muriate sur-oxigéné de mercure
66	0070	4879075	Muriate sur-oxigéné de mercure
67	0071	4879076	Muriate sur-oxigéné de mercure / Muriate de soude
68	0072	4879077	Muriate de soude / Mûrier
69	0073	4879078	Mûrier
70	0074	4879079	Mûrier / Musc
71	0075	4879080	Musc / Muscadier
72	0076	4879081	Muscadier
73	0077	4879082	Muscadier / Myrrhe
74	0078	4879083	Napel / Narcisse des prés
75	0079	4879084	Nénuphar
76	0080	4879085	Nerprun / Nicotiane
77	0081	4879086	Nicotiane
78	0082	4879087	Nicotiane / Nitrates / Nitrate d'argent fondu
79	0083	4879088	Nitrate d'argent fondu
80	0084	4879089	Nitrate d'argent fondu / Nitrate de potasse
81	0085	4879090	Nitrate de potasse
82	0086	4879091	Nitrate de potasse / Nitrate de potasse fondu, mêlé d'un peu de sulfate du même alkali / Nitre fixé par les charbons
83	0087	4879092	Nitre fixé par les charbons / Noix confites
84	0088	4879093	Noix confites / Noix de galle
85	0089	4879094	Noix de galle / Noix vomique
86	0090	4879095	Noix vomique / Noyer
87	0091	4879096	Noyer
88	0092	4879097	Noyer / Oeillet
