page	refimg	numauto	chapitre
[sans numérotation]	0001	5578461	[Page de faux-titre]
[sans numérotation]	0002	5578462	[Page de titre]
1	0003	5578463	Dictionnaire universel des Mines, Fossiles et Fontaines Minérales de la France. Suite de la seconde partie. Des Mines et des Fossiles. Minéralogie. 
2	0004	5578464	Minéralogie
3	0005	5578465	Minéralogie
4	0006	5578466	Minéralogie
5	0007	5578467	Minéralogie
6	0008	5578468	Minéralogie
7	0009	5578469	Minéralogie
8	0010	5578470	Minéralogie
9	0011	5578471	Minéralogie
10	0012	5578472	Minéralogie
11	0013	5578473	Minéralogie
12	0014	5578474	Minéralogie
13	0015	5578475	Minéralogie
14	0016	5578476	Minéralogie
15	0017	5578477	Minéralogie
16	0018	5578478	Minéralogie
17	0019	5578479	Minéralogie
18	0020	5578480	Minéralogie
19	0021	5578481	Minéralogie
20	0022	5578482	Minéralogie
21	0023	5578483	Minéralogie
22	0024	5578484	Minéralogie
23	0025	5578485	Minéralogie
24	0026	5578486	Minéralogie
25	0027	5578487	Minéralogie
26	0028	5578488	Minéralogie
27	0029	5578489	Minéralogie
28	0030	5578490	Minéralogie
29	0031	5578491	Minéralogie
30	0032	5578492	Minéralogie
31	0033	5578493	Minéralogie
32	0034	5578494	Minéralogie
33	0035	5578495	Minéralogie
34	0036	5578496	Minéralogie
35	0037	5578497	Minéralogie
36	0038	5578498	Minéralogie
37	0039	5578499	Minéralogie
38	0040	5578500	Minéralogie
39	0041	5578501	Minéralogie
40	0042	5578502	Minéralogie
41	0043	5578503	Minéralogie
42	0044	5578504	Minéralogie
43	0045	5578505	Minéralogie
44	0046	5578506	Minéralogie
45	0047	5578507	Minéralogie
46	0048	5578508	Minéralogie
47	0049	5578509	Minéralogie
48	0050	5578510	Minéralogie
49	0051	5578511	Minéralogie
50	0052	5578512	Minéralogie
51	0053	5578513	Minéralogie
52	0054	5578514	Minéralogie
53	0055	5578515	Minéralogie
54	0056	5578516	Minéralogie
55	0057	5578517	Minéralogie
56	0058	5578518	Minéralogie
57	0059	5578519	Minéralogie
58	0060	5578520	Minéralogie
59	0061	5578521	Minéralogie
60	0062	5578522	Minéralogie
61	0063	5578523	Minéralogie
62	0064	5578524	Minéralogie
63	0065	5578525	Minéralogie
64	0066	5578526	Minéralogie
65	0067	5578527	Minéralogie
66	0068	5578528	Minéralogie
67	0069	5578529	Minéralogie
68	0070	5578530	Minéralogie
69	0071	5578531	Minéralogie
70	0072	5578532	Minéralogie
71	0073	5578533	Minéralogie
72	0074	5578534	Minéralogie
73	0075	5578535	Minéralogie
74	0076	5578536	Minéralogie
75	0077	5578537	Minéralogie
76	0078	5578538	Minéralogie
77	0079	5578539	Minéralogie
78	0080	5578540	Minéralogie
79	0081	5578541	Minéralogie
80	0082	5578542	Minéralogie
81	0083	5578543	Minéralogie
82	0084	5578544	Minéralogie
83	0085	5578545	Minéralogie
84	0086	5578546	Minéralogie
85	0087	5578547	Minéralogie / Misy
86	0088	5578548	Moelle de Pierre / Mollusque
87	0089	5578549	Mollusque
88	0090	5578550	Mollusque / Morochite / Moufettes ou Moufittes
89	0091	5578551	Moufettes ou Moufittes
90	0092	5578552	Moufettes ou Moufittes
91	0093	5578553	Moufettes ou Moufittes
92	0094	5578554	Moufettes ou Moufittes
93	0095	5578555	Moufettes ou Moufittes / Mousses petrifiées
94	0096	5578556	Multifore / Multivalves / Muricites / Muscades
95	0097	5578557	Musculites / Musique
96	0098	5578558	Mytulite / Naphte / Nautilite
97	0099	5578559	Nautilite / Neritite
98	0100	5578560	Nitre
99	0101	5578561	Nombrilites / Numismales
100	0102	5578562	Numismales
101	0103	5578563	Numismales / Ochres
102	0104	5578564	Ochres / Oeufs de pierres
