page	refimg	numauto	chapitre
sn	0001	7717864	[Plat]
pb	0002	7717865	
sn	0003	7717866	[Page de titre]
pb	0004	7717867	
sn	0005	7717868	Introduction
pb	0006	7717869	
sn	0007	7717870	1re Partie. Nomenclature nominale des spécialités pharmaceutiques médicales, avec noms et adresses de leurs fabricants
pb	0008	7717871	
7	0009	7717872	A
8	0010	7717873	A
9	0011	7717874	A
10	0012	7717875	B
11	0013	7717876	B / C
12	0014	7717877	C
13	0015	7717878	C
14	0016	7717879	C
15	0017	7717880	C / D
16	0018	7717881	D
17	0019	7717882	D / E
18	0020	7717883	E
19	0021	7717884	E
20	0022	7717885	E / F
21	0023	7717886	F / G
22	0024	7717887	G
23	0025	7717888	G
24	0026	7717889	G / H
25	0027	7717890	H
26	0028	7717891	H / I
27	0029	7717892	I / J / K
28	0030	7717893	K / L
29	0031	7717894	L
30	0032	7717895	L / M
31	0033	7717896	M / N
32	0034	7717897	N
33	0035	7717898	N / O
34	0036	7717899	O / P
35	0037	7717900	P
36	0038	7717901	P
37	0039	7717902	P
38	0040	7717903	P
39	0041	7717904	P
40	0042	7717905	P / Q / R
41	0043	7717906	R / S
42	0044	7717907	S
43	0045	7717908	S
44	0046	7717909	S
45	0047	7717910	S
46	0048	7717911	S
47	0049	7717912	S / T
48	0050	7717913	T
49	0051	7717914	T
50	0052	7717915	T / U / V
51	0053	7717916	V
52	0054	7717917	V / Y / Z
sn	0055	7717918	2e Partie. Dictionnaire de spécialités pharmaceutiques
pb	0056	7717919	
55	0057	7717920	Adrénaline Byla (Syn : adrénamine) / Adrénaline Clin
56	0058	7717921	Aethone / Agaryl Fournier
57	0059	7717922	Airol « Roche » / Albuvore
58	0060	7717923	Algarine Nyrdahl / Algolane
59	0061	7717924	Ampoules Churchill / Ampoules de Digalène « Roche »
60	0062	7717925	Ampoules de Pantopon « Roche » / Amylodiastase Thépénier
61	0063	7717926	Aniodol / Antacidol
62	0064	7717927	Antialgos Christiaens / Antiasthme Bengalais
63	0065	7717928	Anticholestérine Foulon / Antigrippine Midy
64	0066	7717929	Antiphlogistine
65	0067	7717930	Antodyne / Apaludol
66	0068	7717931	Arhéol / Arhine Lambiotte Frères
67	0069	7717932	Arquéritol Lesure / Arsénobenzol
68	0070	7717933	Arthri-Sel / Arthritose
69	0071	7717934	Ascoléine Rivier / Aspirine Vicario
70	0072	7717935	Atophan Cruet / Atural
71	0073	7717936	Audigénine / Azufrol
72	0074	7717937	Baume du Docteur Baissade / Baume Duret
73	0075	7717938	Béatol
