object			
volume	00216x03	James Diderot & al.	{date}
pb	1	0007	
entry	CARDAMANTICE	0	
orth	Cardamantice	lat	
clique	Cardamine		
entry	CARDAMELEUM	0	
orth	Cardameleum	lat	
entry	CARDAMINDUM	0	
orth	Cardamindum	lat	
clique	Acri		
entry	CARDAMINE	0	
orth	Cardamine	lat	
entry	CARDAMOMUM	1	
orth	Cardamomum	lat	
pb	3	0008	
term	CaRDamomUM MINUS		
clique	CaRDamomUM MINUS		
clique	Amomum		
entry	CARDAMON	0	
orth	Cardamon	lat	
entry	CARDIA	0	
orth	Cardia	lat	
clique	Ventriculus		
entry	CARDIACA	0	
orth	Cardiaca	lat	
entry	CARDIACA PASSIO	6	
orth	Cardiaca passio	lat	
pb	5	0009	
pb	7	0010	
pb	9	0011	
pb	11	0012	
pb	13	0013	
clique	Aqua		
pb	15	0014	
entry	CARDIALGIA	5	
orth	Cardialgia	lat	
clique	Cardiogmus		
pb	17	0015	
pb	19	0016	
pb	21	0017	
pb	23	0018	
pb	25	0019	
entry	CARDIMELECH	0	
orth	Cardimelech	lat	
entry	CARDINALIS	0	
orth	Cardinalis	lat	
entry	CARDINAMENTUM	0	
orth	Cardinamentum	lat	
entry	CARDIOBOTANON	0	
orth	Cardiobotanon	lat	
entry	CARDIOGMUS	1	
orth	Cardiogmus	lat	
pb	27	0020	
clique	Cardialgia		
entry	CARDIOTROTUS	0	
orth	Cardiotrotus	lat	
entry	CARDIR	0	
orth	Cardir	lat	
entry	CARDIS	0	
orth	Cardis	lat	
entry	CARDO	0	
orth	Cardo	lat	
entry	CARDONIUM	0	
orth	Cardonium	lat	
entry	CARDOPATIUM	0	
orth	Cardopatium	lat	
entry	CARDUELIS	0	
orth	Carduelis	lat	
entry	CARDUNCELLUS	0	
orth	Carduncellus	lat	
clique	Cardiobotanon		
entry	CARDUUS	2	
orth	Carduus	lat	
clique	Acanthus		
pb	29	0021	
pb	31	0022	
clique	Carthamus		
clique	Cinara		
clique	Cnicus		
clique	Ananas		
clique	Dipsacus		
clique	Calcitrapa		
term	CARDUUS VENERIS		
clique	CARDUUS VENERIS | Carelna		
pb	33	0023	
entry	CAREBARIA	0	
orth	Carebaria	lat	
entry	CARENA	0	
orth	Carena	lat	
entry	CARENUM	0	
orth	Carenum	lat	
entry	CARETTI	0	
