object			
volume	61157	Bégin	{date}
pb	1	0003	
entry	Oculus	25	
orth	Oculus	lat	
pb	3	0004	
pb	5	0005	
pb	7	0006	
pb	9	0007	
pb	11	0008	
pb	13	0009	
pb	15	0010	
pb	17	0011	
pb	19	0012	
pb	21	0013	
pb	23	0014	
pb	25	0015	
pb	27	0016	
pb	29	0017	
pb	31	0018	
pb	33	0019	
pb	35	0020	
pb	37	0021	
pb	39	0022	
pb	41	0023	
pb	43	0024	
pb	45	0025	
pb	47	0026	
pb	49	0027	
pb	51	0028	
entry	Ocymastrum	0	
orth	Ocymastrum	lat	
entry	Ocymum	1	
orth	Ocymum	lat	
pb	53	0029	
entry	Odallam	0	
orth	Odallam	lat	
entry	Odaxismos	0	
orth	Odaxismos	lat	
entry	Odium	0	
orth	Odium	lat	
entry	Odmalea	0	
orth	Odmalea	lat	
entry	Odontagogos	0	
orth	Odontagogos	lat	
entry	Odontagra	0	
orth	Odontagra	lat	
entry	Odontalgia	0	
orth	Odontalgia	lat	
entry	Odontiasis	0	
orth	Odontiasis	lat	
entry	Odontica	0	
orth	Odontica	lat	
entry	Odontis, Odontitis	0	
orth	Odontis	lat	
orth	Odontitis	lat	
entry	Odontoglyphon	0	
orth	Odontoglyphon	lat	
entry	Odontoides	0	
orth	Odontoides	lat	
entry	Odontophyia	0	
orth	Odontophyia	lat	
entry	Odontotrimma	0	
orth	Odontotrimma	lat	
entry	Odoratus	0	
orth	Odoratus	lat	
entry	Oe	0	
orth	Oe	lat	
entry	Œconomia	0	
orth	Œconomia	lat	
entry	Œdema	1	
orth	Œdema	lat	
pb	55	0030	
entry	Œdemosarca	0	
orth	Œdemosarca	lat	
entry	Œlnizium	0	
orth	Œlnizium	lat	
entry	Œnantharia	0	
orth	Œnantharia	lat	
entry	Œnanthe	1	
orth	Œnanthe	lat	
pb	57	0031	
entry	Œnarea	0	
orth	Œnarea	lat	
entry	Œnas	0	
orth	Œnas	lat	
entry	Œnelæum	0	
orth	Œnelæum	lat	
entry	Œneros	0	
orth	Œneros	lat	
entry	Œnodes	0	
orth	Œnodes	lat	
entry	Œnogala	0	
orth	Œnogala	lat	
entry	Œnogarum	0	
orth	Œnogarum	lat	
entry	Œnomeli sanum	0	
orth	Œnomeli sanum	lat	
entry	Œnophlygia	0	
orth	Œnophlygia	lat	
entry	Œnoplia	0	
orth	Œnoplia	lat	
entry	Œnopus	1	
orth	Œnopus	lat	
pb	59	0032	
entry	Œnus	0	
orth	Œnus	lat	
entry	Œnostagma	0	
orth	Œnostagma	lat	
entry	Œnothera	0	
orth	Œnothera	lat	
entry	Œpata	0	
orth	Œpata	lat	
entry	Œsophagus	7	
orth	Œsophagus	lat	
pb	61	0033	
pb	63	0034	
pb	65	0035	
pb	67	0036	
pb	69	0037	
pb	71	0038	
pb	73	0039	
entry	Œstromania	0	
orth	Œstromania	lat	
entry	Œstrum veneris	0	
orth	Œstrum veneris	lat	
entry	Œsype, Œsypos	0	
orth	Œsype	lat	
orth	Œsypos	lat	
entry	Offa helmontiana	0	
orth	Offa helmontiana	lat	
entry	Offinalia	0	
orth	Offinalia	lat	
entry	Offion	0	
orth	Offion	lat	
entry	Oger, Ogertinum, Ogertum	0	
orth	Oger	lat	
orth	Ogertinum	lat	
orth	Ogertum	lat	
entry	Olampi	1	
orth	Olampi	lat	
pb	75	0040	
entry	Olca	0	
orth	Olca	lat	
entry	Oldenlandia	0	
orth	Oldenlandia	lat	
entry	Olea	2	
orth	Olea	lat	
pb	77	0041	
pb	79	0042	
entry	Oleamen	0	
orth	Oleamen	lat	
entry	Oleander	0	
orth	Oleander	lat	
entry	Oleaster	0	
orth	Oleaster	lat	
entry	Olecranon	0	
orth	Olecranon	lat	
entry	Oleitas	0	
orth	Oleitas	lat	
entry	Olene	0	
orth	Olene	lat	
entry	Oleum	16	
orth	Oleum	lat	
pb	81	0043	
pb	83	0044	
pb	85	0045	
pb	87	0046	
pb	89	0047	
pb	91	0048	
pb	93	0049	
pb	95	0050	
pb	97	0051	
pb	99	0052	
pb	101	0053	
pb	103	0054	
pb	105	0055	
pb	107	0056	
pb	109	0057	
pb	111	0058	
entry	Olfactorii nervi	0	
orth	Olfactorii nervi	lat	
entry	Olfactus	1	
orth	Olfactus	lat	
pb	113	0059	
entry	Olibanum	1	
orth	Olibanum	lat	
pb	115	0060	
entry	Oligophorus	0	
orth	Oligophorus	lat	
entry	Olisthema	0	
orth	Olisthema	lat	
entry	Oliva	0	
orth	Oliva	lat	
entry	Olivaria corpora	0	
orth	Olivaria corpora	lat	
entry	Olophlyctides	0	
orth	Olophlyctides	lat	
entry	Olor	0	
orth	Olor	lat	
entry	Olus album	0	
orth	Olus album	lat	
entry	Oly	0	
orth	Oly	lat	
entry	Olympiacum collyrium	0	
orth	Olympiacum collyrium	lat	
entry	Olympianum oxyporium	0	
orth	Olympianum oxyporium	lat	
entry	Olynthos	0	
orth	Olynthos	lat	
entry	Olyra	0	
orth	Olyra	lat	
entry	Olyscion	0	
orth	Olyscion	lat	
entry	Omagra	0	
orth	Omagra	lat	
entry	Omasum	0	
orth	Omasum	lat	
entry	Omelysis	0	
orth	Omelysis	lat	
entry	Omenta	0	
orth	Omenta	lat	
entry	Omentum	1	
orth	Omentum	lat	
pb	117	0061	
entry	Omocotyle	0	
orth	Omocotyle	lat	
entry	Omolinon	0	
orth	Omolinon	lat	
entry	Omoplatæ	0	
orth	Omoplatæ	lat	
entry	Omos	0	
orth	Omos	lat	
entry	Omotarichos	0	
orth	Omotarichos	lat	
entry	Omotribes	0	
orth	Omotribes	lat	
entry	Omphacinum oleum	0	
orth	Omphacinum oleum	lat	
entry	Omphacium	0	
orth	Omphacium	lat	
entry	Omphacis	0	
orth	Omphacis	lat	
entry	Omphacites vinum	0	
orth	Omphacites vinum	lat	
entry	Omphacitis	0	
orth	Omphacitis	lat	
entry	Omphalocarpos	0	
orth	Omphalocarpos	lat	
entry	Omphalocele	0	
orth	Omphalocele	lat	
entry	Omphalodes	0	
orth	Omphalodes	lat	
entry	Omphalomantia	0	
orth	Omphalomantia	lat	
entry	Omphalos	0	
orth	Omphalos	lat	
entry	Onager	0	
orth	Onager	lat	
entry	Onagra	0	
orth	Onagra	lat	
entry	Onbou	1	
orth	Onbou	lat	
pb	119	0062	
entry	Oncos	0	
orth	Oncos	lat	
entry	Onda	0	
orth	Onda	lat	
entry	Oneirocriticus	0	
orth	Oneirocriticus	lat	
entry	Oneirogmos	0	
orth	Oneirogmos	lat	
entry	Oneiromantes	0	
orth	Oneiromantes	lat	
entry	Oneiropolesis	0	
orth	Oneiropolesis	lat	
entry	Onis	0	
orth	Onis	lat	
entry	Onisci	0	
orth	Onisci	lat	
entry	Oniscus	1	
orth	Oniscus	lat	
pb	121	0063	
entry	Onitis	0	
orth	Onitis	lat	
entry	Onobrychis	0	
orth	Onobrychis	lat	
entry	Onobrychis	0	
orth	Onobrychis	lat	
entry	Onochites	0	
orth	Onochites	lat	
entry	Onoclea	0	
orth	Onoclea	lat	
entry	Onocrotalus	0	
orth	Onocrotalus	lat	
entry	Onosolat	0	
orth	Onosolat	lat	
entry	Ononis	0	
orth	Ononis	lat	
entry	Onoperdum	0	
orth	Onoperdum	lat	
entry	Onopteris	0	
orth	Onopteris	lat	
entry	Onos	0	
orth	Onos	lat	
entry	Onosma	1	
orth	Onosma	lat	
pb	123	0064	
entry	Onyx	0	
orth	Onyx	lat	
entry	Ooeides	0	
orth	Ooeides	lat	
entry	Oogla	0	
orth	Oogla	lat	
entry	Opalus	0	
orth	Opalus	lat	
entry	Operemethiolim	0	
orth	Operemethiolim	lat	
entry	Ophiasis	0	
orth	Ophiasis	lat	
entry	Ophidion	0	
orth	Ophidion	lat	
entry	Ophigenium	0	
orth	Ophigenium	lat	
entry	Ophioglossum	0	
orth	Ophioglossum	lat	
entry	Ophioscorodon	0	
orth	Ophioscorodon	lat	
entry	Ophiostaphylon	0	
orth	Ophiostaphylon	lat	
entry	Ophites, Serpentinus	1	
orth	Ophites	lat	
orth	Serpentinus	lat	
pb	125	0065	
entry	Ophris	0	
orth	Ophris	lat	
entry	Ophrys	0	
orth	Ophrys	lat	
entry	Ophthalmia	5	
orth	Ophthalmia	lat	
pb	127	0066	
pb	129	0067	
pb	131	0068	
pb	133	0069	
pb	135	0070	
entry	Ophthalmiater	0	
orth	Ophthalmiater	lat	
entry	Ophthalmos	0	
