object			
volume			{date}
pb	1136		
pb	1137		
pb			
pb			
clique	Ecrouelles		
pb			
clique	Nerf		
pb			
pb	1147		
pb	1150		
pb			
pb			
pb	1155		
clique	Eginete		
pb	1157		
pb			
clique	Froment		
pb	1162		
clique	Nez		
pb	1166		
pb			
pb	1169		
pb			
pb			
pb			
pb			
pb			
pb			
pb			
pb	1185		
pb			
pb	1189		
pb			
pb			
clique	Andira		
pb			
pb			
clique	Charbon. tracosis		
pb	1199		
pb			
pb			
pb	1205		
pb			
clique	Troisieme, ibid		
pb	1209		
clique	Goute		
clique	Apodes		
clique	Addition		
pb	1211		
pb	1213		
pb			
pb			
clique	Mandant		
clique	Dyspnée		
clique	Goate		
pb	1220		
clique	Stypelque		
pb	1221		
clique	Oreille		
pb			
clique	Mente		
pb	1225		
clique	Ver- 'xss		
clique	Veines		
pb	1220		
clique	Balanos. s		
pb			
pb			
clique	Veines		
pb			
pb	1235		
pb	1237		
clique	Mouton		
clique	Behem		
pb	12		
pb			
clique	Mélancolie. atrabilels		
pb	1243		
pb	1245		
pb	1247		
pb	1250		
clique	Agneau de Scythde		
clique	Che- Hircus		
pb	1251		
clique	Es.qui		
pb	1253		
pb			
clique	Hernie		
pb			
pb			
pb	126		
clique	Chaux		
clique	Callus		
pb	1263		
clique	Chyle		
pb	1265		
clique	B angue		
pb	1268		
clique	Pericarde		
clique	Rein		
clique	génération		
clique	Lysimachia		
clique	Negundo		
clique	Bezoar		
pb			
pb			
clique	Artichaud		
pb	1273		
clique	Cricoïde. ellago		
clique	Casseavi		
pb			
clique	Goute		
pb	1277		
pb	1280		
clique	Amputation		
pb	1281		
pb			
clique	Cerveau. Cerebellum		
pb	1285		
clique	Cale jacientia		
pb	1188		
pb			
clique	Chardon		
pb	1292		
pb	1293		
pb			
clique	Cacao		
pb	1297		
pb	1299		
clique	Oignon		
pb	1301		
clique	Incube. Incubusu		
pb			
clique	Alkekenge		
pb	1305		
clique	Cathartique		
pb			
pb			
pb			
clique	Spasme		
pb	130		
pb	1315		
clique	Bras		
pb	1317		
clique	Trépan & Tète		
pb	1		
clique	Grillon		
clique	Grillon		
pb			
clique	Souris		
pb	1323		
pb	1325		
clique	Herpe		
pb	1327		
pb	1329		
clique	Enfant		
pb			
pb			
pb			
pb	1337		
pb			
clique	Céphalalgie		
pb			
clique	Goute		
pb	1343		
pb			
clique	Bar- Barregiens.es		
pb			
pb	1349		
clique	Oignon		
clique	Cascarille. Cortex elaterii		
pb	1391		
clique	Cathartiques		
pb	1353		
pb			
clique	Bétoine		
clique	Cigue		
clique	Cimeln-s		
clique	Diasul		
clique	Sufran		
pb			
clique	Oreille		
clique	riirhl. suorium		
pb	1359		
clique	Accouchement		
pb	136		
pb	1363		
pb	1365		
pb			
pb			
pb	137		
pb	1373		
pb	1375		
pb	1377		
pb	1379		
clique	Anxiété		
pb	1381		
pb	1383		
clique	Ephemerc		
pb			
pb	1387		
clique	Ficus		
pb	1389		
clique	Abbatu		
clique	Abbatement		
pb			
pb			
clique	Clou		
pb			
pb			
pb	1399		
clique	Amputation		
pb	1401		
pb			
clique	Eau		
pb	1405		
clique	Prostates		
pb	1407		
clique	Acacia. gummi		
clique	Cambogiu.m		
clique	Articulation		
pb			
pb	14		
pb	140		
pb	1415		
pb	1417		
clique	Mauvis		
pb	1419		
pb	1425		
clique	Helmintbiques		
pb	1423		
clique	Apoplexie		
pb			
clique	Gremil		
pb	1428		
pb	1429		
pb	143		
pb	1433		
pb	435		
pb	1437		
clique	(ILil. oculi		
pb	1439		
pb			
pb	1443		
clique	Hydragogue		
pb			
pb			
pb	1449		
pb	1452		
pb			
clique	Ictere		
pb	1455		
pb			
clique	Anus, Vagin & Urethre		
pb	1459		
clique	Alterans		
pb	1461		
pb	1463		
clique	Dyfcrafe		
pb	1465		
clique	Furoncle		
pb	1467		
pb	1469		
pb	1471		
pb	1473		
clique	Oreille		
pb	1476		
pb	1477		
clique	Es.qtelnancie		
pb	1480		
clique	Dyssenterie		
pb			
clique	Laxantia		
pb	1483		
pb	1485		
clique	Lepre		
clique	Oeil		
clique	Hydropsie & Fibre		
pb			
pb	1489		
pb			
pb			
clique	Poumon		
pb	1495		
pb			
pb	1499		
pb	1501		
pb			
clique	Cancer & Amputation		
pb			
pb			
pb			
clique	Cathartique		
pb			
clique	Tète		
pb			
clique	Apophlegmatisme		
pb			
clique	Sarsepareille		
pb			
pb	1520		
pb	1521		
pb			
pb	1525		
clique	Graisse. pofoe		
pb			
pb	1		
clique	Regles. Menstrua		
pb			
pb	1533		
pb			
pb			
pb	1540		
pb			
clique	Hermole		
clique	Gangrene		
pb	1543		
pb	1545		
clique	Moschatelelna		
pb	1547		
clique	Pharynx. musculus		
clique	Larynx		
pb	1549		
clique	Langue		
clique	Langue		
pb	1551		
pb			
clique	Fibre		
pb			
pb			
pb			
clique	An il		
pb	1561		
pb	15		
clique	Tète. cuIns		
pb			
clique	Fleur d’Afrique		
pb	1567		
clique	Basilicon		
clique	Guimauve		
clique	Guimauve		
clique	Digitale		
clique	Helenium		
clique	Linaire		
clique	Cadmie		
pb			
pb			
pb			
clique	Bupleuron. rir		
pb	1575		
pb	1577		
pb	1580		
pb	1581		
pb	1583		
pb	15		
pb			
pb			
pb			
pb			
clique	Dent de Hon		
pb			
pb	1397		
pb	1559		
pb			
pb			
pb	1605		
pb			
clique	Narines		
pb	1609		
pb	1611		
clique	Dicrote		
pb	16		
pb			
pb	161		
pb			
pb			
pb	1623		
pb	1625		
clique	Détension		
pb	1		
pb	1629		
clique	sprundo		
pb	1631		
pb			
pb	1635		
pb	1637		
pb	1639		
pb			
pb	1643		
clique	Marasme, ris		
pb			
pb	1647		
clique	Balsamum		
clique	Citron		
clique	Citron		
clique	Safran		
clique	Coignasseer		
clique	Velar		
pb	1649		
clique	Rosc		
clique	Rose		
clique	Rose		
clique	BuglojsuI		
pb			
clique	Acron		
pb	1653		
pb			
pb			
clique	Ambre. Succinumi		
pb	1659		
pb			
clique	Suture. ra		
pb	1663		
clique	Goute		
pb			
clique	Capillitium		
clique	Or		
clique	Benjoin		
pb			
clique	Castor		
clique	Mars		
clique	Mars		
clique	Miel		
clique	Myrrhe		
clique	Safran		
clique	Muscle. Innstée		
clique	Plaie		
clique	Phlébotomie		
clique	Muscle		
pb	1670		
clique	Pnigites		
clique	Taraxacum		
clique	Bubonocele		
pb	1671		
pb	1673		
pb	1675		
pb	1677		
pb			
clique	Patates		
pb	1682		
pb	1683		
clique	Alflo		
pb			
pb			
clique	Bœusc		
clique	Lymphe. lymphatïcava		
pb	1689		
pb	16		
clique	Digastrique		
pb	1693		
pb			
pb			
pb	1699		
pb	1701		
pb	1703		
pb			
pb			
pb	1709		
pb	171		
