object			
volume	07399	Castelli	1746
pb	0001	0009	
entry	A	0	
orth	A	lat	
foreign	a	grc	
entry	Aabam	0	
orth	Aabam	lat	
entry	Ababtiston	0	
orth	Ababtiston	lat	
entry	Abaisir	0	
orth	Abaisir	lat	
entry	Abalienatus	0	
orth	Abalienatus	lat	
entry	Abarnahas	0	
orth	Abarnahas	lat	
entry	Abaetamen	0	
orth	Abaetamen	lat	
entry	Abasticulatio	0	
orth	Abasticulatio	lat	
entry	Abas	0	
orth	Abas	lat	
entry	Abbreviatio	0	
orth	Abbreviatio	lat	
entry	Abditus	0	
orth	Abditus	lat	
pb	0002	0010	
entry	Abdomen	0	
orth	Abdomen	lat	
entry	Abductio	0	
orth	Abductio	lat	
entry	Abebaeos	0	
orth	Abebaeos	lat	
entry	Abesamum	0	
orth	Abesamum	lat	
entry	Abestus	0	
orth	Abestus	lat	
entry	Abesum	0	
orth	Abesum	lat	
entry	Abevacuatio	0	
orth	Abevacuatio	lat	
clique	Cenosis		
entry	Abicum	0	
orth	Abicum	lat	
entry	Abit, Aboit	0	
orth	Abit	lat	
orth	Aboit	lat	
entry	Ablactatio	0	
orth	Ablactatio	lat	
entry	Ablatio	0	
orth	Ablatio	lat	
clique	Dialeimma		
entry	Abluentia	0	
orth	Abluentia	lat	
entry	Ablutio	0	
orth	Ablutio	lat	
entry	Abnelecten	0	
orth	Abnelecten	lat	
pb	0003	0011	
entry	Aboit	0	
orth	Aboit	lat	
entry	Abolitio pulsus	0	
orth	Abolitio pulsus	lat	
foreign	acpscosco	grc	
entry	Abollam	0	
orth	Abollam	lat	
entry	Abomasum	0	
orth	Abomasum	lat	
entry	Abominatio	0	
orth	Abominatio	lat	
entry	Abortus, Aborsus	0	
orth	Abortus	lat	
orth	Aborsus	lat	
entry	Abrabax	0	
orth	Abrabax	lat	
entry	Abracadabra	0	
orth	Abracadabra	lat	
entry	Abrasaxas, Basilidis	0	
orth	Abrasaxas	lat	
orth	Basilidis		
entry	Abrasio	0	
orth	Abrasio	lat	
entry	Abrasum	0	
orth	Abrasum	lat	
entry	Abric	0	
orth	Abric	lat	
entry	Abruptio	0	
orth	Abruptio	lat	
entry	Abscedentia	0	
orth	Abscedentia	lat	
entry	Abscessio	0	
orth	Abscessio	lat	
entry	Abscessus	1	
orth	Abscessus	lat	
pb	0004	0012	
entry	Abscissio	0	
orth	Abscissio	lat	
entry	Absconsio	0	
orth	Absconsio	lat	
entry	Absorbeo	0	
orth	Absorbeo	lat	
clique	Anapinoma. Absorbentia, druTrlrcrrn		
entry	Abstemius	0	
orth	Abstemius	lat	
entry	Abstergentia	0	
orth	Abstergentia	lat	
entry	Abstinentia	0	
orth	Abstinentia	lat	
entry	Abstracticius	0	
orth	Abstracticius	lat	
entry	Abvacuatio	0	
orth	Abvacuatio	lat	
entry	Abundantia, Abundans	0	
orth	Abundantia	lat	
orth	Abundans	lat	
clique	Perisses, Peciffosis		
entry	Abusus	0	
orth	Abusus	lat	
entry	Abyssus	0	
orth	Abyssus	lat	
entry	Acacos	0	
orth	Acacos	lat	
entry	Academia	0	
orth	Academia	lat	
entry	Acaeria	0	
orth	Acaeria	lat	
clique	Importunitas		
entry	Acahi	0	
orth	Acahi	lat	
entry	Acaid	0	
orth	Acaid	lat	
entry	Acalai	0	
orth	Acalai	lat	
entry	Acalcum	0	
orth	Acalcum	lat	
pb	0005	0013	
entry	Acamatos	0	
orth	Acamatos	lat	
entry	Acanor, Furnus Philosophorum	0	
orth	Acanor	lat	
orth	Furnus Philosophorum		
entry	Acantha	0	
orth	Acantha	lat	
entry	Acanthabolos	0	
orth	Acanthabolos	lat	
entry	Acanthis	0	
orth	Acanthis	lat	
entry	Acardios	0	
orth	Acardios	lat	
entry	Acari	0	
orth	Acari	lat	
entry	Acarnan	0	
orth	Acarnan	lat	
entry	Acatalepsia	0	
orth	Acatalepsia	lat	
entry	Acatastatos	0	
orth	Acatastatos	lat	
entry	Acatharsia	0	
orth	Acatharsia	lat	
entry	Acazdir	0	
orth	Acazdir	lat	
entry	Accatem, Accatum	0	
orth	Accatem	lat	
orth	Accatum	lat	
entry	Acceleratores	0	
orth	Acceleratores	lat	
entry	Accessio	0	
orth	Accessio	lat	
entry	Accib	0	
orth	Accib	lat	
entry	Accidens	0	
orth	Accidens	lat	
entry	Accipiter	1	
orth	Accipiter	lat	
pb	0006	0014	
entry	Accommodatus	0	
orth	Accommodatus	lat	
entry	Accretio	0	
orth	Accretio	lat	
entry	Accubitus	0	
orth	Accubitus	lat	
entry	Accusatoria	0	
orth	Accusatoria	lat	
entry	Accusatio	0	
orth	Accusatio	lat	
entry	Acedia	0	
orth	Acedia	lat	
entry	Acephalos	0	
orth	Acephalos	lat	
entry	Aceratos	0	
orth	Aceratos	lat	
entry	Acerbus	0	
orth	Acerbus	lat	
entry	Acerides	0	
orth	Acerides	lat	
entry	Acerosus	0	
orth	Acerosus	lat	
entry	Acesis	0	
orth	Acesis	lat	
entry	Acestoris	0	
orth	Acestoris	lat	
entry	Acestra	0	
orth	Acestra	lat	
entry	Acetabulum	1	
orth	Acetabulum	lat	
pb	0007	0015	
entry	Acetaria	0	
orth	Acetaria	lat	
entry	Acetosa	0	
orth	Acetosa	lat	
entry	Acetum	0	
orth	Acetum	lat	
entry	Acharistum	0	
orth	Acharistum	lat	
entry	Achates	1	
orth	Achates	lat	
pb	0008	0016	
entry	Acheir	0	
orth	Acheir	lat	
entry	Achilleus	0	
orth	Achilleus	lat	
entry	Achlys	0	
orth	Achlys	lat	
entry	Achmadium, Achimadium	0	
orth	Achmadium	lat	
orth	Achimadium		
entry	Achne	0	
orth	Achne	lat	
entry	Achores	0	
orth	Achores	lat	
entry	Achoristos	0	
orth	Achoristos	lat	
entry	Achroi	0	
orth	Achroi	lat	
entry	Achyron	0	
orth	Achyron	lat	
entry	Acia	0	
orth	Acia	lat	
pb	0009	0017	
entry	Acicys	0	
orth	Acicys	lat	
entry	Acida Bilis	0	
orth	Acida Bilis	lat	
entry	Acida Pinsita	0	
orth	Acida Pinsita	lat	
entry	Aciditatio	0	
orth	Aciditatio	lat	
entry	Acidnos	0	
orth	Acidnos	lat	
entry	Acidulae	0	
orth	Acidulae	lat	
entry	Acidus	0	
orth	Acidus	lat	
entry	Acies	1	
orth	Acies	lat	
pb	0010	0018	
entry	Acinesia	0	
orth	Acinesia	lat	
entry	Acinosa tunica	0	
orth	Acinosa tunica	lat	
entry	Acinus	0	
orth	Acinus	lat	
entry	Acis	0	
orth	Acis	lat	
foreign	àxdc	grc	
entry	Acmasticos	0	
orth	Acmasticos	lat	
entry	Acme	0	
orth	Acme	lat	
entry	Acne	0	
orth	Acne	lat	
clique	Ionthos		
entry	Acnestis	0	
orth	Acnestis	lat	
entry	Aco, Aquo	0	
orth	Aco	lat	
orth	Aquo	lat	
entry	Acoe	0	
orth	Acoe	lat	
entry	Acoelios	0	
orth	Acoelios	lat	
entry	Acoetos	0	
orth	Acoetos	lat	
entry	Acolastos	0	
orth	Acolastos	lat	
entry	Acone	0	
orth	Acone	lat	
entry	Aconion	0	
orth	Aconion	lat	
entry	Acontias	0	
orth	Acontias	lat	
entry	Acopon	0	
orth	Acopon	lat	
entry	Acor	1	
orth	Acor	lat	
pb	0011	0019	
entry	Acordina	0	
orth	Acordina	lat	
entry	Acoria	0	
orth	Acoria	lat	
entry	Acos	0	
orth	Acos	lat	
clique	Acesis		
entry	Acosmia	0	
orth	Acosmia	lat	
entry	Acraepalos	0	
orth	Acraepalos	lat	
clique	Craepale		
entry	Acrai	0	
orth	Acrai	lat	
entry	Acrasia	0	
orth	Acrasia	lat	
entry	Acratia	0	
orth	Acratia	lat	
entry	Acratisma	0	
orth	Acratisma	lat	
entry	Acratos	0	
orth	Acratos	lat	
clique	Merus		
entry	Acrea	0	
orth	Acrea	lat	
clique	Acroteria		
entry	Acresperon	0	
orth	Acresperon	lat	
entry	Acretoposia	0	
orth	Acretoposia	lat	
entry	Acribes	0	
orth	Acribes	lat	
entry	Acrimonia, Acre	0	
orth	Acrimonia	lat	
orth	Acre	lat	
clique	Drimys		
entry	Acris	0	
orth	Acris	lat	
entry	Acrisia	0	
orth	Acrisia	lat	
clique	Crisis		
entry	Acritos	0	
orth	Acritos	lat	
entry	Acroasis	0	
orth	Acroasis	lat	
entry	Acrobystia	0	
orth	Acrobystia	lat	
entry	Acrochir	1	
orth	Acrochir	lat	
pb	0012	0020	
entry	Acrochiresis, Acrochirismos	0	
orth	Acrochiresis	lat	
orth	Acrochirismos	lat	
entry	Acrochliaron	0	
orth	Acrochliaron	lat	
entry	Acrocholia	0	
orth	Acrocholia	lat	
entry	Acrochordon	0	
orth	Acrochordon	lat	
entry	Acrochorismus	0	
orth	Acrochorismus	lat	
entry	Acrocolia	0	
orth	Acrocolia	lat	
entry	Acrodrya	0	
orth	Acrodrya	lat	
entry	Acrolenion	0	
orth	Acrolenion	lat	
entry	Acromion	0	
orth	Acromion	lat	
entry	Acromphalion	0	
orth	Acromphalion	lat	
entry	Acropathos	0	
orth	Acropathos	lat	
entry	Acropis	0	
orth	Acropis	lat	
entry	Acroploa	0	
orth	Acroploa	lat	
entry	Acroposthia	0	
orth	Acroposthia	lat	
pb	0013	0021	
entry	Acropsilon	0	
orth	Acropsilon	lat	
entry	Acros	0	
orth	Acros	lat	
entry	Acrosapes	0	
orth	Acrosapes	lat	
entry	Acroteria	0	
orth	Acroteria	lat	
entry	Acroteriasmos	0	
orth	Acroteriasmos	lat	
entry	Acrothorex	0	
orth	Acrothorex	lat	
entry	Acsuo	0	
orth	Acsuo	lat	
entry	Actin, Actis	0	
orth	Actin	lat	
orth	Actis	lat	
entry	Actinobolismus	0	
orth	Actinobolismus	lat	
entry	Actio	0	
orth	Actio	lat	
entry	Activus	0	
orth	Activus	lat	
clique	Drasticus		
entry	Actuatio	0	
orth	Actuatio	lat	
entry	Actus	1	
orth	Actus	lat	
pb	0014	0022	
entry	Acuitas	0	
orth	Acuitas	lat	
entry	Acuitio	0	
orth	Acuitio	lat	
entry	Acumen	0	
orth	Acumen	lat	
entry	Acureb	0	
orth	Acureb	lat	
entry	Acus	0	
orth	Acus	lat	
entry	Acusios	0	
orth	Acusios	lat	
entry	Acusticus	0	
orth	Acusticus	lat	
entry	Acusto	0	
orth	Acusto	lat	
entry	Acutus	0	
orth	Acutus	lat	
entry	Adal	1	
orth	Adal	lat	
pb	0015	0023	
entry	Adam	0	
orth	Adam	lat	
entry	Adamas	0	
orth	Adamas	lat	
entry	Adamita, Adamitum	0	
orth	Adamita	lat	
orth	Adamitum	lat	
entry	Adarce, Adarcion, Adarcis	0	
orth	Adarce	lat	
orth	Adarcion	lat	
orth	Adarcis	lat	
entry	Adarigo	0	
orth	Adarigo	lat	
entry	Adarticulatio	0	
orth	Adarticulatio	lat	
clique	Arthrodia		
clique	Diarthrosis		
entry	Adaxomae	0	
orth	Adaxomae	lat	
entry	Addephagia, àdsuosuosis	0	
orth	Addephagia	lat	
orth	àdsuosuosis		
entry	Additamentum	0	
orth	Additamentum	lat	
clique	Epiphysis. Additamentum necatum		
entry	Additio	0	
orth	Additio	lat	
entry	Adductio	0	
orth	Adductio	lat	
entry	Adec	0	
orth	Adec	lat	
entry	Adech	0	
orth	Adech	lat	
entry	Adectos	0	
orth	Adectos	lat	
entry	Adedentes	0	
orth	Adedentes	lat	
pb	0016	0024	
entry	Adehemest	0	
orth	Adehemest	lat	
entry	Adelos	0	
orth	Adelos	lat	
entry	Adelphixia, Adelphixis	0	
orth	Adelphixia	lat	
orth	Adelphixis	lat	
entry	Ademonia	0	
orth	Ademonia	lat	
entry	Aden	0	
orth	Aden	lat	
entry	Adenoides	0	
orth	Adenoides	lat	
clique	Parastata. Prostata		
entry	Adenosus, Abscessu	0	
orth	Adenosus	lat	
orth	Abscessu		
entry	Adeps	0	
orth	Adeps	lat	
entry	Adeptus	0	
orth	Adeptus	lat	
entry	Adhaerentia	0	
orth	Adhaerentia	lat	
clique	Prosphysis		
entry	Aoiachytos	0	
orth	Aoiachytos	lat	
entry	Adiaphoros	0	
orth	Adiaphoros	lat	
clique	Indifferens		
entry	Adiapneustia	0	
orth	Adiapneustia	lat	
entry	Adiaptotos	0	
orth	Adiaptotos	lat	
entry	Adiarrhoea	0	
orth	Adiarrhoea	lat	
entry	Adib	1	
orth	Adib	lat	
pb	0017	0025	
entry	Adibat	0	
orth	Adibat	lat	
entry	Adjectio, Adjunctio	0	
orth	Adjectio	lat	
orth	Adjunctio	lat	
entry	Adipson	0	
orth	Adipson	lat	
entry	Adjutorium	0	
orth	Adjutorium	lat	
entry	Adjuvantia	0	
orth	Adjuvantia	lat	
entry	Adivilistos	0	
orth	Adivilistos	lat	
entry	Admirabilis	0	
orth	Admirabilis	lat	
entry	Admiratio	0	
orth	Admiratio	lat	
entry	Admisurab, Terram	0	
orth	Admisurab	lat	
orth	Terram		
entry	Adnata	0	
orth	Adnata	lat	
clique	Agnata		
entry	Adolescens, Adolescentia	0	
orth	Adolescens	lat	
orth	Adolescentia		
entry	Ados	0	
orth	Ados	lat	
entry	Adplumbatum	0	
orth	Adplumbatum	lat	
entry	Adram	0	
orth	Adram	lat	
entry	Adrastea	0	
orth	Adrastea	lat	
entry	Adrianum	0	
orth	Adrianum	lat	
entry	Adrop	0	
orth	Adrop	lat	
entry	Adsamar	0	
orth	Adsamar	lat	
entry	Adsellare	0	
orth	Adsellare	lat	
entry	Adstantes	0	
orth	Adstantes	lat	
entry	Adstrictio	1	
orth	Adstrictio	lat	
pb	0018	0026	
entry	Adstringens	0	
orth	Adstringens	lat	
entry	Adulteratio	0	
orth	Adulteratio	lat	
entry	Adulterium, Adulterinus	0	
orth	Adulterium	lat	
orth	Adulterinus		
entry	Adustio	0	
orth	Adustio	lat	
entry	Adynamia	0	
orth	Adynamia	lat	
clique	Impotentia		
entry	Adynamon	0	
orth	Adynamon	lat	
entry	Adynatos	0	
orth	Adynatos	lat	
entry	Aeazo	0	
orth	Aeazo	lat	
entry	Iaedes	0	
orth	Iaedes	lat	
entry	Aedoea	0	
orth	Aedoea	lat	
entry	Aegagropilus	1	
orth	Aegagropilus	lat	
pb	0019	0027	
entry	Aegeirinon	0	
orth	Aegeirinon	lat	
entry	Aeger, Aegrotus	0	
orth	Aeger	lat	
orth	Aegrotus	lat	
entry	Aegias	0	
orth	Aegias	lat	
entry	Aegidion	0	
orth	Aegidion	lat	
entry	Aegilops, Anchilops	0	
orth	Aegilops	lat	
orth	Anchilops	lat	
entry	Aeglia	0	
orth	Aeglia	lat	
entry	Aegoprosopon	0	
orth	Aegoprosopon	lat	
entry	Aegyption	0	
orth	Aegyption	lat	
entry	Aeides	0	
orth	Aeides	lat	
entry	Aeigleuces	0	
orth	Aeigleuces	lat	
entry	Aeipatheia	0	
orth	Aeipatheia	lat	
entry	Aeolasthae	0	
orth	Aeolasthae	lat	
entry	Aeolipylae	0	
orth	Aeolipylae	lat	
entry	Aeon	0	
orth	Aeon	lat	
entry	Aeonesis	0	
orth	Aeonesis	lat	
pb	0020	0028	
entry	Aeora	0	
orth	Aeora	lat	
entry	Aepos	0	
orth	Aepos	lat	
entry	Aequale	0	
orth	Aequale	lat	
entry	Aequantia	0	
orth	Aequantia	lat	
entry	Aeque, Aquis portionibus	0	
orth	Aeque	lat	
orth	Aquis portionibus		
entry	Aequilibrium	0	
orth	Aequilibrium	lat	
entry	Aequipollens	0	
orth	Aequipollens	lat	
entry	Aer	0	
orth	Aer	lat	
pb	0021	0029	
entry	Aerdadi	0	
orth	Aerdadi	lat	
entry	Aereolum	0	
orth	Aereolum	lat	
entry	Aereus	0	
orth	Aereus	lat	
entry	Aekificatio	0	
orth	Aekificatio	lat	
entry	Aerologice	0	
orth	Aerologice	lat	
entry	Aeromeli	0	
orth	Aeromeli	lat	
entry	Aerophiobae	0	
orth	Aerophiobae	lat	
entry	Aerosis	0	
orth	Aerosis	lat	
entry	Aeruginosabilis	0	
