object			
volume	07399	Castelli	1746
pb	763	0771	
entry	Abdomen	0	
orth	Abdomen	lat	
foreign	Tenur	ara	
foreign	Mirach	ara	
foreign	Beten	heb	
foreign	Gahon	heb	
foreign	Kerebh	heb	
foreign	ἦτρον	grc	
foreign	γαστὴρ	grc	
foreign	ὑπόκοιλον	grc	
foreign	Ventre	fra	
entry	Ablactatio	0	
orth	Ablactatio	lat	
foreign	Nacal	ara	
foreign	Higgamel	heb	
foreign	ἀπογαλακτισμὸς	grc	
foreign	Sévrement	fra	
foreign	Slattazione	ita	
foreign	Dislattazione	ita	
entry	Ablatio	0	
orth	Ablatio	lat	
foreign	Zivil	ara	
foreign	Tazvil	ara	
foreign	Zivil	heb	
foreign	ἀφαίρεσις	grc	
foreign	Décharge	fra	
foreign	Levazione	ita	
foreign	Torvia	ita	
entry	Ablutio	0	
orth	Ablutio	lat	
foreign	Igtisel	ara	
foreign	Rachaz	heb	
foreign	Rachza	heb	
foreign	ἀπόνιμμα	grc	
foreign	κλύσμα	grc	
foreign	Lavement	fra	
foreign	Lavamento	ita	
entry	Abortus	0	
orth	Abortus	lat	
foreign	Sict	ara	
foreign	Sest	ara	
foreign	Nephel	heb	
foreign	ἄμβλωσις	grc	
foreign	ἀποφθορὰ	grc	
foreign	Avortement	fra	
foreign	Parto acerbo	ita	
foreign	Dispersione	ita	
foreign	Sconciamentο	ita	
entry	Abscessus	0	
orth	Abscessus	lat	
foreign	Dubellati	ara	
foreign	Dubellet	ara	
foreign	Achaffat	heb	
foreign	ἀπόστημα	grc	
foreign	Abscès	fra	
foreign	Apostume	fra	
foreign	Postema	ita	
foreign	Apostemazza	ita	
entry	Accidens	0	
orth	Accidens	lat	
foreign	Varid	ara	
foreign	Ica	ara	
foreign	Vacaah	ara	
foreign	Irun	heb	
foreign	Gedischa	heb	
foreign	Hovah	heb	
foreign	Meara	heb	
foreign	Keri	heb	
foreign	συμβεβηκὸς	grc	
foreign	Accident	fra	
foreign	Accidente	ita	
entry	Acerbum	0	
orth	Acerbum	lat	
foreign	Hamid	ara	
foreign	Mar	ara	
foreign	Marir	ara	
foreign	Mar	heb	
foreign	στρυφνὸν	grc	
foreign	Apre	fra	
foreign	revêche	fra	
foreign	aigre	fra	
foreign	Acerbo	ita	
foreign	Aspro	ita	
entry	Acetum, Acetum stiliticum	0	
orth	Acetum	lat	
foreign	Humida	ara	
foreign	Chal	ara	
foreign	Mesus	ara	
orth	Acetum stiliticum	lat	
foreign	Choilolohaceb	ara	
foreign	Chamez	heb	
foreign	ὄξος	grc	
foreign	Vinaigre	fra	
foreign	Aceto	ita	
entry	Achlys	0	
orth	Achlys	lat	
foreign	Ketamon	ara	
foreign	Adhasfue	ara	
foreign	Adus	ara	
foreign	Agildis	ara	
foreign	ἀχλὺς	grc	
entry	Achor, Achores	0	
orth	Achor	lat	
orth	Achores	lat	
foreign	Ameda	ara	
foreign	Saaphati	ara	
foreign	Sagrum	ara	
foreign	Zagrum	ara	
foreign	Sirengi	ara	
foreign	Sehedie	ara	
foreign	ἀχὼρ	grc	
foreign	ἀχῶρες	grc	
entry	Aciditas, Acidus	0	
orth	Aciditas	lat	
orth	Acidus	lat	
foreign	Athaib	ara	
foreign	Muchallal	ara	
foreign	Chalala	ara	
foreign	Humuda	ara	
foreign	Muhamid	ara	
foreign	Chamez	heb	
foreign	ὀξύτης	grc	
foreign	ὀξὺς	grc	
foreign	Aigreur	fra	
foreign	Aigre	fra	
foreign	Agrezza	ita	
foreign	Agro	ita	
foreign	Acetoso	ita	
entry	Acrochordon, Verrucam	0	
orth	Acrochordon	lat	
foreign	Acruharad	ara	
foreign	Aforcan	ara	
foreign	Afrochon	ara	
foreign	Afrochoon	ara	
foreign	Jabbeleth	heb	
orth	Verrucam	lat	
foreign	ἀκροχόρδων	grc	
foreign	Acrochordon	fra	
foreign	Acrocordone	ita	
entry	Actio	0	
orth	Actio	lat	
foreign	Hetisati	ara	
foreign	Ketf	ara	
foreign	Faal	ara	
foreign	Katef	heb	
foreign	Maaseh	heb	
