object			
volume	07399	Castelli	1746
pb	p. 763		
entry	ABDOMEN	0	
orth	ABDOMEN		
foreign	Tenur	ara	
foreign	Miracle	ara	
foreign	Beten	heb	
foreign	Gahon	heb	
foreign	Kerebh	heb	
foreign	ἦτρον	grc	
foreign	γαστὴρ	grc	
foreign	ὑπόκοιλον	grc	
foreign	Ventre	fra	
foreign	bas ventre	fra	
foreign	ventre inférieur	fra	
foreign	Grasso ventre	ita	
entry	ABLACTATIO	0	
orth	ABLACTATIO		
foreign	Nacal	ara	
foreign	Higgarnel	heb	
foreign	ἀπογαλακτισμὸς	grc	
foreign	Sévrement d’enfant	fra	
foreign	Slattazione	ita	
foreign	Dislattazione	ita	
entry	ABLATIO	0	
orth	ABLATIO		
foreign	Zivil	ara	
foreign	Tazvil	ara	
foreign	Zivil	heb	
foreign	ἀφαίρεσις	grc	
foreign	Décharge	fra	
foreign	Levazione	ita	
foreign	Torvia	ita	
entry	ABLUTIO	0	
orth	ABLUTIO		
foreign	Igtisel	ara	
foreign	Rachaz	heb	
foreign	Rachza	heb	
foreign	ἀπόνιμμα	grc	
foreign	κλύσμα	grc	
foreign	Lavement	fra	
foreign	Lavamento	ita	
entry	ABORTUS	0	
orth	ABORTUS		
foreign	Sict	ara	
foreign	Selt	ara	
foreign	Nephel	heb	
foreign	ἄμβλωσις ἀποφθορά	grc	
foreign	Avortement	fra	
foreign	Parto acerbo	ita	
foreign	Dispersione	ita	
foreign	Sconciamentο	ita	
entry	ABSCESSUS	0	
orth	ABSCESSUS		
foreign	Dubellati	ara	
foreign	Dubellet	ara	
foreign	Achaffat	heb	
foreign	ἀπόστημα	grc	
foreign	Abscès	fra	
foreign	Apostume	fra	
foreign	Postema	ita	
foreign	Apostemazza	ita	
entry	ACCIDENS	0	
orth	ACCIDENS		
foreign	Varid	ara	
foreign	Ica	ara	
foreign	Vacaah	ara	
foreign	Trun	heb	
foreign	Gedischa	heb	
foreign	Hovah	heb	
foreign	Meara	heb	
foreign	Keri	heb	
foreign	συμβεβηκὸς	grc	
foreign	Accident	fra	
foreign	Accidente	ita	
entry	ACERBUM	0	
orth	ACERBUM		
foreign	Hamid	ara	
foreign	Mar	ara	
foreign	Marir	ara	
foreign	Mar	heb	
foreign	στρυφνὸν	grc	
foreign	Apre	fra	
foreign	revêche	fra	
foreign	aigre	fra	
foreign	Acerbo	ita	
foreign	Aspro	ita	
entry	ACETUM	0	
orth	ACETUM		
foreign	Humida	ara	
