object			
volume	27898	Littré-Gilbert (21e éd.)	1908
pb	1	0011	
entry	A, Aa	0	
orth	A		
orth	Aa		
entry	Abaisse-langue	0	
orth	Abaisse-langue		
entry	Abaissement	0	
orth	Abaissement		
term	Abaissement de la matrice		
term	Abaissement prophylactique du pied		
term	Méthode dite par abaissement		
entry	Abaisse-paupière	0	
orth	Abaisse-paupière		
entry	Abaisseur	0	
orth	Abaisseur		
term	Abaisseur de l’aile du nez		
term	Abaisseur de l’angle des lèvres ou de la commissure labiale		
term	Abaisseur de l’épiglotte		
term	Abaisseur de la langue ou de l’hyoïde		
term	Abaisseur du larynx		
term	Abaisseur de la lèvre inférieure		
term	Abaisseur de la mâchoire inférieure		
term	Abaisseur de l’œil		
term	Abaisseur de la paupière inférieure		
term	Abaisseur de la pupille		
term	Abaisseur externe de la tête		
term	Abaisseur interne de la tête		
term	Abaisseur de la vessie		
term	Abaisseur de la Paupière		
entry	Abaliéné	0	
orth	Abaliéné		
term	Membre abaliéné		
entry	Abaptista, Abaptiston	0	
orth	Abaptista		
orth	Abaptiston		
entry	Abasie	0	
orth	Abasie		
clique	Astasie-abasie		
entry	Abatage	0	
orth	Abatage		
entry	Abâtardissement	0	
orth	Abâtardissement		
entry	Abattement	0	
orth	Abattement		
entry	Abattoir	1	
orth	Abattoir		
pb	2	0012	
entry	Abattre	0	
orth	Abattre		
entry	Abbazzia	0	
orth	Abbazzia		
entry	Abbe	0	
orth	Abbe		
term	Éclairage Abbe		
clique	Éclairage Abbe		
entry	Abcédé	0	
orth	Abcédé		
term	Tumeur abcédée		
clique	Tumeur abcédée		
entry	Abcès	1	
orth	Abcès		
term	Abcès canaliculaire		
term	Abcès de fixation		
term	Abcès idiopathique		
term	Abcès métastatiques		
term	Abces multiples		
term	Abcès ossifluent		
term	Abcès périnéphrétique		
term	Abcès péri-utérin		
term	Abcès phlegmoneux		
term	Abcès rétro-utérin		
term	Abcès symptomatique		
pb	3	0013	
entry	Abdomen	0	
orth	Abdomen		
entry	Abdominal	0	
orth	Abdominal		
term	Anneau abdominal		
term	Aorte abdominale		
term	Aponévrose abdominale		
term	Bubon abdominal		
term	Cavité abdominale		
term	Côtes abdominales		
term	Détroit abdominal		
term	Épanchement abdominal		
term	Grossesse abdominale		
term	Hernie abdominale		
term	Membres abdominaux		
term	Mouvements abdominaux		
term	Muscles abdominaux		
term	Nerfs abdominaux		
term	Organes ou viscères abdominaux		
term	Palper abdominal		
term	Pléthore abdominale		
term	Ponction abdominale		
term	Pulsation abdominale		
term	Tuberculose abdominale		
term	Veine cave abdominale		
term	Vertèbres abdominales		
term	Vertige abdominal		
entry	Abdominoscopie	0	
orth	Abdominoscopie		
entry	Abdomino-scrotal	0	
orth	Abdomino-scrotal		
term	Muscle abdomino-scrotal		
term	Nerfs abdomino-scrotaux		
entry	Abdomino-thoracique	0	
orth	Abdomino-thoracique		
entry	Abdomino-utérotomie	0	
orth	Abdomino-utérotomie		
entry	Abducteur	0	
orth	Abducteur		
term	Nerf abducteur		
entry	Abducteur	1	
orth	Abducteur		
pb	4	0014	
clique	Élévateur commun de l’aile du nez et de la lèvre supérieure | Élévateur		
term	Abducteur de la cuisse		
clique	Abducteur de la cuisse | Cuisse		
term	Abducteur du doigt indicateur		
clique	Abducteur du doigt indicateur		
term	Abducteur du petit doigt		
clique	Abducteur du petit doigt		
term	Abducteur de l’œil		
clique	Abducteur de l’œil | Droit | Droit externe de l’œil		
term	Abducteur de l’oreille		
clique	Abducteur de l’oreille		
term	Abducteur du gros orteil		
clique	Abducteur du gros orteil		
term	Abducteur du petit orteil		
clique	Abducteur du petit orteil		
term	Abducteur		
clique	Abducteur		
term	Abducteur		
clique	Abducteur		
entry	Abduction	0	
orth	Abduction		
entry	Abécédaire	0	
orth	Abécédaire		
clique	Achelle		
entry	Abeille	0	
orth	Abeille		
entry	Abelasie	0	
orth	Abelasie		
entry	Abépithymia	0	
orth	Abépithymia		
entry	Aberrant	0	
orth	Aberrant		
term	Évolution aberrante		
term	Vaisseau ou conduit aberrant		
entry	Aberration	0	
orth	Aberration		
term	Aberration du sens génésique		
term	Aberration des fluides		
term	Aberration de réfrangibilité		
term	Aberration de sphéricité		
entry	Abévacuation	0	
orth	Abévacuation		
entry	Abiogenèse	0	
orth	Abiogenèse		
entry	Abirritant	0	
orth	Abirritant		
entry	Abirritatif	0	
orth	Abirritatif		
term	Maladies abirritatives		
entry	Abirritation	0	
orth	Abirritation		
entry	Ablactation	0	
orth	Ablactation		
entry	Ablation	0	
orth	Ablation		
entry	Ablépharon	0	
orth	Ablépharon		
entry	Ablepsie	0	
orth	Ablepsie		
entry	Abluant	1	
orth	Abluant		
pb	5	0015	
entry	Ablution	0	
orth	Ablution		
entry	Abnormité	0	
orth	Abnormité		
entry	Aboi, Aboiement	0	
orth	Aboi		
orth	Aboiement		
term	Aboiement humain		
entry	Abolition	0	
orth	Abolition		
term	Abolition de la sensibilité, du mouvement		
entry	Aborigène	0	
orth	Aborigène		
entry	Abortif	0	
orth	Abortif		
term	Fœtus abortif		
term	avorton		
term	Médicaments abortifs		
term	Typhus abortif		
term	Forme abortive despyrexies		
entry	Abortif	0	
orth	Abortif		
foreign	έκδόλιου	grc	
foreign	φάρμακου	grc	
foreign	φθορίου	grc	
foreign	abtreibend	deu	
entry	Abouchement	0	
orth	Abouchement		
entry	Aboulie	0	
orth	Aboulie		
entry	Aboussenna	0	
orth	Aboussenna		
entry	Aboutir	0	
orth	Aboutir		
entry	Aboutissement	0	
orth	Aboutissement		
entry	Aboyeurs	0	
orth	Aboyeurs		
term	Délire des aboyeurs		
entry	Abracadabra	0	
orth	Abracadabra		
entry	Abrachie	0	
orth	Abrachie		
entry	Abrachiocéphalie	0	
orth	Abrachiocéphalie		
entry	Abrasion	0	
orth	Abrasion		
term	Abrasion de la muqueuse utérine		
entry	Abre	0	
orth	Abre		
entry	Abreuvé	0	
orth	Abreuvé		
term	Plaie abreuvée de pus		
entry	Abréviation	0	
orth	Abréviation		
term	Abréviations usitées en chimie		
term	aq		
term	Add.		
term	B. a.		
term	Bi.		
term	B. m.		
term	B. v.		
term	c c		
term	Cochleat.		
term	Colat.		
term	Coq.		
term	Cyat.		
term	Dec.		
term	Div.		
term	Filt.		
term	F. s. a.		
term	Gult.		
term	gt.		
term	Inf.		
term	Lin.		
term	Man.		
term	P. æ.		
term	p. é.		
term	PU.		
term	Pug.		
term	Pulv.		
term	Q.p.		
term	S. a.		
term	Solv.		
term	Tinct.		
term	Abréviations usitées en obstétrique		
entry	Abruption	1	
orth	Abruption		
pb	6	0016	
entry	Abrus	0	
orth	Abrus		
entry	Abrutissement	0	
orth	Abrutissement		
entry	Abscision, Abscission	0	
orth	Abscision		
orth	Abscission		
entry	Abscisse	0	
orth	Abscisse		
clique	Courbe		
entry	Absence	0	
orth	Absence		
entry	Absinthe	0	
orth	Absinthe		
term	Absinthe commune		
term	Liqueur d’absinthe		
term	Sel d’absinthe		
entry	Absinthé	0	
orth	Absinthé		
entry	Absinthéine, Absinthine	0	
orth	Absinthéine		
orth	Absinthine		
entry	Absinthémie	0	
orth	Absinthémie		
entry	Absinthique	0	
orth	Absinthique		
entry	Absinthisme	0	
orth	Absinthisme		
entry	Absolu	0	
orth	Absolu		
entry	Absorbable	0	
orth	Absorbable		
entry	Absorbant	0	
orth	Absorbant		
term	Bouches absorbantes		
term	Système absorbant		
term	Gangrène absorbante		
term	Médicaments absorbants		
term	absorbants		
entry	Absorption	1	
orth	Absorption		
pb	7	0017	
term	Absorption aérienne		
term	Absorption alimentaire		
term	Absorption assimilatrice		
term	Absorption de la chaleur		
term	Absorption chyleuse		
term	Absorption cutanée		
term	Absorption de décomposition ou désassimilatrice		
term	Absorption externe ou de composition assimilatrice		
term	Absorption intestinale ou digestive		
term	Absorption de la lumière		
term	Absorption lymphatique		
term	Absorption des médicaments		
term	Absorption pathologique		
term	Absorption placentaire		
term	Absorption du poison		
term	Absorption pulmonaire ou respiratoire		
term	Absorption récrémentitielle		
term	Absorption veineuse		
term	Bandes d’absorption		
entry	Abstème	0	
orth	Abstème		
entry	Abstergent	0	
orth	Abstergent		
entry	Abstersion	0	
orth	Abstersion		
entry	Abstinence	0	
orth	Abstinence		
entry	Abstractif	0	
orth	Abstractif		
term	Anciennemenlproduils abstractifs		
entry	Abstraction	0	
orth	Abstraction		
entry	Abstrait	0	
orth	Abstrait		
term	Science abstraite		
entry	Abuta	0	
orth	Abuta		
entry	Abutilon	0	
orth	Abutilon		
entry	Acacia	1	
orth	Acacia		
pb	8	0018	
term	Suc d’acacia		
entry	Acacie	0	
orth	Acacie		
clique	Acacia		
entry	Académie	0	
orth	Académie		
term	Académie de médecine		
entry	Acajou	0	
orth	Acajou		
term	Bois d’acajou		
term	Noix d’acajou		
term	Acajou du Sénégal		
entry	Acajuba	0	
orth	Acajuba		
clique	Acajou		
entry	Acalypha	0	
orth	Acalypha		
entry	Acampsie	0	
orth	Acampsie		
entry	Acanthe	0	
orth	Acanthe		
entry	Acanthichtyose	0	
orth	Acanthichtyose		
clique	Ichtyose		
entry	Acanthobole	0	
orth	Acanthobole		
entry	Acanthopelvis	0	
orth	Acanthopelvis		
foreign	pelvis spinosa	lat	
foreign	Stachelbecken	deu	
entry	Acanthosis nigricans	0	
orth	Acanthosis nigricans		
entry	Acanthotèque	0	
orth	Acanthotèque		
clique	Helminthe		
clique	Linguatule		
entry	Acapnie	0	
orth	Acapnie		
entry	Acardie	0	
orth	Acardie		
entry	Acare, Acarus	0	
orth	Acare		
orth	Acarus		
term	Acare des follicules		
term	Acare du fromage		
term	Acare		
term	Acarus de la gale		
entry	Acariasis	0	
orth	Acariasis		
entry	Acarien	1	
orth	Acarien		
pb	9	0019	
entry	Acarophobie	0	
orth	Acarophobie		
entry	Acarotoxique	0	
orth	Acarotoxique		
entry	Acarus	0	
orth	Acarus		
entry	Acatalepsie	0	
orth	Acatalepsie		
entry	Acatapose	0	
orth	Acatapose		
entry	Acatastatique	0	
orth	Acatastatique		
entry	Acatharsie	0	
orth	Acatharsie		
entry	Acaudé	0	
orth	Acaudé		
entry	Acaweria	0	
orth	Acaweria		
entry	Accablement	0	
orth	Accablement		
entry	Accélérateur	0	
orth	Accélérateur		
term	Muscle accélérateur de l’urine		
term	Nerf accélérateur		
entry	Accélération	0	
orth	Accélération		
entry	Accès	0	
orth	Accès		
term	Fièvre d’accès		
entry	Accessoire	0	
orth	Accessoire		
term	Glande accessoire de la parotide		
term	Nerf accessoire de Willis ou du nerf vague		
term	Nerf accessoire de Wrisberg		
term	Nerf accessoire du brachial cutané interne		
term	Sciences accessoires		
entry	Accessoire	0	
orth	Accessoire		
term	Accessoire du long fléchisseur commun des orteils		
clique	Accessoire du long fléchisseur commun des orteils		
term	Accessoire du pancréas		
clique	Accessoire du pancréas | Glande | Glande de Brunner		
term	Accessoire du sacro-lombaire		
clique	Accessoire du sacro-lombaire		
entry	Accident	0	
orth	Accident		
term	Accidents secondaires, tertiaires, consécutifs		
entry	Accidentalisme	0	
orth	Accidentalisme		
entry	Accidentaliste	0	
orth	Accidentaliste		
term	Médecins accidentalistes		
entry	Accidentel	0	
orth	Accidentel		
entry	Acclimatation	0	
orth	Acclimatation		
entry	Acclimatement	0	
orth	Acclimatement		
clique	Naturalisation		
entry	Accolement	0	
orth	Accolement		
entry	Accommodateur	0	
orth	Accommodateur		
term	Muscles accommodateurs		
clique	Muscles accommodateurs		
entry	Accommodatif	0	
orth	Accommodatif		
entry	Accommodation	1	
orth	Accommodation		
term	Accommodation de l’œil		
pb	10	0020	
term	Accommodation de la tête fœtale		
entry	Accompagnement	0	
orth	Accompagnement		
term	Accompagnements de la cataracte		
entry	Accouchement	2	
orth	Accouchement		
term	Accouchement		
term	Accouchement		
pb	11	0021	
term	Accouchement		
term	Accouchement		
pb	12	0022	
term	Accouchement artificiel		
term	Accouchement contre nature		
term	Accouchement dystocique		
term	Accouchement eutocique		
term	Accouchement irrégulier		
term	Accouchement laborieux		
term	Accouchement mixte		
term	Accouchement naturel ou spontané		
term	Accouchement non naturel		
term	Accouchement physiologique		
term	Accouchement prématuré		
term	Accouchement spontané		
term	Accouchement vicieux		
term	Maison d’ac, couchêment		
entry	Accoucheur	1	
orth	Accoucheur		
pb	13	0023	
entry	Accoucheuse	0	
orth	Accoucheuse		
entry	Accouplement	0	
orth	Accouplement		
entry	Accoutumance	0	
orth	Accoutumance		
term	Accoutumance à un médicament		
entry	Accrémentitiel	0	
orth	Accrémentitiel		
term	Génération accrémenlitielle		
entry	Accrémentition	0	
orth	Accrémentition		
term	Génération par accrémentition		
entry	Accrétion	0	
orth	Accrétion		
entry	Accroissement	0	
orth	Accroissement		
term	Accroissement par intussusception		
term	Accroissement par juxtaposition		
term	Lois d’accroissement		
entry	Accumulation	0	
orth	Accumulation		
term	Accumulation stercorate		
clique	Accumulation stercorate | Scybale		
entry	Acedia	0	
orth	Acedia		
entry	Acephale	0	
orth	Acephale		
foreign	acephalus	lat	
foreign	kopflos	deu	
foreign	acefalo	ita	
foreign	acefalo	spa	
entry	Acéphalénie	0	
orth	Acéphalénie		
entry	Acéphalie	0	
orth	Acéphalie		
entry	Acéphaliens	0	
orth	Acéphaliens		
entry	Acéphalobrache	0	
orth	Acéphalobrache		
entry	Acéphalobrachie	0	
orth	Acéphalobrachie		
entry	Acéphalocarde	0	
orth	Acéphalocarde		
entry	Acéphalocardie	0	
orth	Acéphalocardie		
entry	Acéphalochire	0	
orth	Acéphalochire		
entry	Acéphalocyste	0	
orth	Acéphalocyste		
term	Acéphalocyste rameux		
entry	Acéphalogastre	0	
orth	Acéphalogastre		
entry	Acéphalogastrie	0	
orth	Acéphalogastrie		
entry	Acéphalopode	0	
orth	Acéphalopode		
entry	Acéphalopodie	0	
orth	Acéphalopodie		
entry	Acéphalorachie	0	
orth	Acéphalorachie		
entry	Acéphalostome	0	
orth	Acéphalostome		
entry	Acéphalothoracie	0	
orth	Acéphalothoracie		
entry	Acéphalothore	0	
orth	Acéphalothore		
entry	Acerbe	0	
orth	Acerbe		
entry	Acerbité	0	
orth	Acerbité		
entry	Acéré	0	
orth	Acéré		
entry	Acervule	0	
orth	Acervule		
entry	Acescence	0	
orth	Acescence		
entry	Acescent	0	
orth	Acescent		
term	Dyspepsie acescente		
clique	Dyspepsie acescente | Gastralgie		
entry	Acésie	0	
orth	Acésie		
entry	Acétabule	0	
orth	Acétabule		
entry	Acétanilide	1	
orth	Acétanilide		
foreign	antifébrine	lat	
pb	14	0024	
entry	Acétate	0	
orth	Acétate		
term	Acétate d’ammoniaque		
term	Acétate de chaux		
term	Acétates de cuivre		
term	Acétate neutre de cuivre		
term	Acétate bibasique de cuivre, verdet		
term	vert-de-gris, sous-acétate de cuivre		
term	Acétate de cuivre et d’ammoniaque		
term	Acétates de mercure		
term	Proto-acétate de mercure		
term	Deuto-acétate de mercure		
term	Acétate de morphine		
term	Acétate de pepsine		
term	Acétates de plomb		
term	Acétate neutre		
term	Acétate tribasique		
term	Acétate sexplombique		
term	Papier d’acétate de plomb		
term	Acétate de potasse		
term	Acétate de soude		
term	Acétate de zinc		
entry	Acéteux	0	
orth	Acéteux		
entry	Acétification	1	
orth	Acétification		
pb	15	0025	
entry	Acétique	0	
orth	Acétique		
term	Acide acétique		
term	Baume acétique		
term	Catalyse acétique		
term	Éther acétique		
term	Fermentation acétique		
entry	Acéto-butyrique	0	
orth	Acéto-butyrique		
entry	Acétol, Acétolat	0	
orth	Acétol		
orth	Acétolat		
entry	Acétolature	0	
orth	Acétolature		
entry	Acétolé	0	
orth	Acétolé		
entry	Acétolique	0	
orth	Acétolique		
entry	Acétolotif	1	
orth	Acétolotif		
pb	16	0026	
entry	Acétomel	0	
orth	Acétomel		
entry	Acétomellé	0	
orth	Acétomellé		
entry	Acétone	0	
orth	Acétone		
entry	Acétonémie	0	
orth	Acétonémie		
entry	Acétonurie	0	
orth	Acétonurie		
entry	Acétophénone	0	
orth	Acétophénone		
clique	Hypnose		
entry	Acétosité	0	
orth	Acétosité		
entry	Acétylène	0	
orth	Acétylène		
entry	Achaovan	0	
orth	Achaovan		
entry	Ache	0	
orth	Ache		
term	Ache d’eau		
term	Achelivèche		
entry	Achéirie	0	
orth	Achéirie		
entry	Achilie, Acheilie	0	
orth	Achilie		
orth	Acheilie		
entry	Achille	0	
orth	Achille		
entry	Achillée	0	
orth	Achillée		
entry	Achilléine	0	
orth	Achilléine		
entry	Achilletine	0	
orth	Achilletine		
entry	Achillodynie	0	
orth	Achillodynie		
foreign	Achille	lat	
entry	Achirie	0	
orth	Achirie		
entry	Achlys	0	
orth	Achlys		
entry	Acholie	0	
