object			
volume	37019	Capuron	1806
pb	1		
entry	A	0	
orth	A		
entry	Abaisseur	0	
orth	Abaisseur		
foreign	depressor	lat	
entry	Abarticulation	0	
orth	Abarticulation		
foreign	abarticIIlatio	lat	
clique	Diarthrose		
entry	Abattement	0	
orth	Abattement		
foreign	defectiovitium	lat	
entry	Abcès	0	
orth	Abcès		
foreign	abscessus	lat	
entry	Abdomen	0	
orth	Abdomen		
entry	Abdominaux	0	
orth	Abdominaux		
entry	Abducteur	0	
orth	Abducteur		
foreign	abductor	lat	
entry	Abduction	0	
orth	Abduction		
foreign	abductio	lat	
entry	Aberration	1	
orth	Aberration		
foreign	aberratio	lat	
pb	2		
entry	Ablactation	0	
orth	Ablactation		
foreign	ablactatio	lat	
entry	Ablation	0	
orth	Ablation		
foreign	ablatio	lat	
entry	Abluans	0	
orth	Abluans		
foreign	ûblueniia	lat	
entry	Ablution, Lotion	0	
orth	Ablution		
orth	Lotion		
foreign	abluiio	lat	
entry	Abomasus, Abomasum	0	
orth	Abomasus		
orth	Abomasum		
entry	Abortif	0	
orth	Abortif		
foreign	abortivus	lat	
entry	Abouchement	0	
orth	Abouchement		
foreign	anasiomQ-	lat	
entry	Aboutir	0	
orth	Aboutir		
foreign	suppurare	lat	
entry	Abrasion	0	
orth	Abrasion		
foreign	abrasio	lat	
entry	Abruption	0	
orth	Abruption		
foreign	abruptio	lat	
entry	Abscisse	0	
orth	Abscisse		
foreign	abscissa	lat	
entry	Abscission	0	
orth	Abscission		
foreign	abscissio	lat	
foreign	abcisio	lat	
entry	Absorbant	1	
orth	Absorbant		
foreign	abtsorbens	lat	
pb	3		
entry	Absorption	0	
orth	Absorption		
foreign	absorptio	lat	
foreign	iVab	lat	
entry	Abstème	0	
orth	Abstème		
foreign	abstemius	lat	
foreign	a	lat	
foreign	uln	lat	
entry	Abstergent, abstersif, abstersive	0	
orth	Abstergent		
orth	abstersif		
orth	abstersive		
foreign	abstergeris	lat	
foreign	abstersorius	lat	
entry	Abstersif	0	
orth	Abstersif		
clique	Abstergent		
entry	Abstersion	0	
orth	Abstersion		
foreign	abstersio	lat	
clique	Abstergent		
entry	Abstinence	0	
orth	Abstinence		
foreign	abstinentia	lat	
entry	Abstraction	0	
orth	Abstraction		
foreign	abstractio	lat	
entry	Abus	0	
orth	Abus		
foreign	abusus	lat	
entry	Acanor	0	
orth	Acanor		
entry	Acanthabole	0	
orth	Acanthabole		
foreign	acarlthabolits	lat	
entry	Acanthe	0	
orth	Acanthe		
foreign	acanthus	lat	
entry	Acarus	0	
orth	Acarus		
entry	Acaule	0	
orth	Acaule		
foreign	acaulis	lat	
entry	Accablement	0	
orth	Accablement		
foreign	oppressio	lat	
entry	Accélérateur	0	
orth	Accélérateur		
foreign	accelerator	lat	
entry	Accélération	0	
orth	Accélération		
foreign	accelexado	lat	
entry	Accès	0	
orth	Accès		
foreign	accessus	lat	
entry	Accessoire	0	
orth	Accessoire		
foreign	accessorius	lat	
