object			
volume	37019	Capuron	1806
pb	367	0383	
entry	Abarticulatio	0	
orth	Abarticulatio	lat	
foreign	abarticulation	fra	
entry	Abbreviatio	0	
orth	Abbreviatio	lat	
foreign	abréviation	fra	
entry	Abdomen	0	
orth	Abdomen	lat	
foreign	abdomen	fra	
entry	Abductio	0	
orth	Abductio	lat	
foreign	abduction	fra	
entry	Abductor	0	
orth	Abductor	lat	
foreign	abducteur	fra	
entry	Aberratio	0	
orth	Aberratio	lat	
foreign	aberration	fra	
entry	Ablactatio	0	
orth	Ablactatio	lat	
foreign	ablactation	fra	
entry	Ablatio	0	
orth	Ablatio	lat	
foreign	ablation	fra	
entry	Abluens	0	
orth	Abluens	lat	
foreign	abluans	fra	
entry	Ablutio	0	
orth	Ablutio	lat	
foreign	ablution	fra	
entry	Abomasum	0	
orth	Abomasum	lat	
foreign	abomasus	fra	
entry	Aborsus	0	
orth	Aborsus	lat	
foreign	avortement	fra	
entry	Abortivus	0	
orth	Abortivus	lat	
foreign	avorton	fra	
foreign	abortif	fra	
entry	Abortus	0	
orth	Abortus	lat	
foreign	avortement	fra	
entry	Abrasio	0	
orth	Abrasio	lat	
foreign	abrasion	fra	
entry	Abruptio	0	
orth	Abruptio	lat	
foreign	abruption	fra	
entry	Abscessus	0	
orth	Abscessus	lat	
foreign	abcès	fra	
entry	Abscisio, Abscissio	0	
orth	Abscisio	lat	
orth	Abscissio	lat	
foreign	abscission	fra	
entry	Abscissa	0	
orth	Abscissa	lat	
foreign	abscisse	fra	
entry	Absorbens	0	
orth	Absorbens	lat	
foreign	absorbant	fra	
entry	Absorptio	0	
orth	Absorptio	lat	
foreign	absorption	fra	
entry	Abstemius	0	
orth	Abstemius	lat	
foreign	abstême	fra	
entry	Abstergens	0	
orth	Abstergens	lat	
foreign	abstergent	fra	
entry	Abstergere	0	
orth	Abstergere	lat	
foreign	déterger	fra	
entry	Abstersio	0	
orth	Abstersio	lat	
foreign	abstersion	fra	
entry	Abstersorius	0	
orth	Abstersorius	lat	
foreign	abstergent	fra	
entry	Abstinentia	0	
orth	Abstinentia	lat	
foreign	abstinence	fra	
entry	Abstractio	0	
orth	Abstractio	lat	
foreign	abstraction	fra	
entry	Abstractivus	0	
orth	Abstractivus	lat	
foreign	abstrait	fra	
entry	Abusus	0	
orth	Abusus	lat	
foreign	abus	fra	
entry	Acanor	0	
orth	Acanor	lat	
foreign	acanor	fra	
entry	Acanthabolus	0	
orth	Acanthabolus	lat	
foreign	acanthabole	fra	
entry	Acarus	0	
orth	Acarus	lat	
foreign	ciron	fra	
entry	Accidens	0	
orth	Accidens	lat	
foreign	accident	fra	
entry	Acciniformis	0	
orth	Acciniformis	lat	
foreign	acciniforme	fra	
entry	Accipiter	0	
orth	Accipiter	lat	
foreign	accipitres	fra	
entry	Accommodare	0	
orth	Accommodare	lat	
foreign	accommoder	fra	
foreign	adapter	fra	
entry	Accretio	0	
orth	Accretio	lat	
foreign	accrétion	fra	
foreign	accroissement	fra	
entry	Accusatio	0	
orth	Accusatio	lat	
foreign	accusation	fra	
foreign	indication	fra	
entry	Acephalus	0	
orth	Acephalus	lat	
foreign	acéphale	fra	
entry	Acer	0	
orth	Acer	lat	
foreign	âcre	fra	
entry	Acerbitas, Acerbitudo	0	
orth	Acerbitas	lat	
orth	Acerbitudo	lat	
foreign	acerbité	fra	
entry	Acerbus	0	
orth	Acerbus	lat	
foreign	acerbe	fra	
foreign	aigre	fra	
foreign	âpre	fra	
entry	Acescens	0	
orth	Acescens	lat	
foreign	acescent	fra	
entry	Acescentia	0	
orth	Acescentia	lat	
foreign	acescence	fra	
entry	Acetabulum	0	
orth	Acetabulum	lat	
foreign	acétabule	fra	
entry	Acetas	0	
orth	Acetas	lat	
foreign	acétate	fra	
entry	Acetis	0	
orth	Acetis	lat	
foreign	acétite	fra	
entry	Acetosus	0	
orth	Acetosus	lat	
foreign	acéteux	fra	
entry	Acetum	0	
orth	Acetum	lat	
foreign	vinaigre	fra	
entry	Achores	0	
orth	Achores	lat	
foreign	achores	fra	
entry	Achromaticus	0	
orth	Achromaticus	lat	
foreign	achromatique	fra	
entry	Acidifer	0	
orth	Acidifer	lat	
foreign	acidifère	fra	
entry	Acidificus	0	
orth	Acidificus	lat	
foreign	acidifiant	fra	
entry	Acidulus	0	
orth	Acidulus	lat	
foreign	acidule	fra	
entry	Acidus	0	
orth	Acidus	lat	
foreign	acide	fra	
entry	Acinus	0	
orth	Acinus	lat	
foreign	grappe	fra	
entry	Acipenser	0	
orth	Acipenser	lat	
foreign	esturgeon	fra	
foreign	acipensères	fra	
entry	Acme	0	
orth	Acme	lat	
foreign	perfection	fra	
foreign	sommet	fra	
foreign	état	fra	
entry	Acor	0	
orth	Acor	lat	
foreign	aigreur	fra	
entry	Acotyledon	0	
orth	Acotyledon	lat	
foreign	acotylédoné	fra	
entry	Acoustice	0	
orth	Acoustice	lat	
foreign	acoustique	fra	
entry	Acratia	0	
orth	Acratia	lat	
foreign	acratie	fra	
foreign	privation de force	fra	
entry	Acridophagus	0	
orth	Acridophagus	lat	
foreign	acridophage	fra	
entry	Acrimonia	0	
orth	Acrimonia	lat	
foreign	acrimonie	fra	
entry	Acrisia	0	
orth	Acrisia	lat	
foreign	acrisie	fra	
entry	Acritas, Acritudo	0	
orth	Acritas	lat	
orth	Acritudo	lat	
foreign	âcreté	fra	
foreign	acrimonie	fra	
entry	Acrochordon	0	
orth	Acrochordon	lat	
foreign	acrochordon	fra	
pb	368	0384	
entry	Acromium	0	
orth	Acromium	lat	
foreign	acromion	fra	
entry	Acroteriasmus	0	
orth	Acroteriasmus	lat	
foreign	acrotériasme	fra	
