object			
volume	37020d	Littré-Robin (1865-1873)	1873
pb	0001	0015	
entry	A, Aa	0	
orth	A		
orth	Aa		
clique	Abréviation		
entry	Aans	0	
orth	Aans		
entry	Abaca	0	
orth	Abaca		
foreign	Musa textilis	lat	
entry	Abairucu	0	
orth	Abairucu		
entry	Abaisse-langue, Abaisseur de la langue	0	
orth	Abaisse-langue		
orth	Abaisseur de la langue		
clique	Glossocatoche		
entry	Abaissement	0	
orth	Abaissement		
foreign	depressio	lat	
foreign	abbassamento	ita	
term	Méthode dite par abaissement		
clique	Méthode dite par abaissement | cataracte | Kératonyxis		
term	Abaissement de la matrice		
clique	Abaissement de la matrice		
entry	Abaisse-paupière, Abaisseur de la paupière	0	
orth	Abaisse-paupière		
orth	Abaisseur de la paupière		
entry	Abaisseur	0	
orth	Abaisseur		
foreign	depressor	lat	
foreign	abbassatoré	ita	
term	Abaisseur de l’aile du nez		
clique	Abaisseur de l’aile du nez | Myrtiforme		
term	Abaisseur de l’angle des lèvres ou de la commissure labiale		
clique	Abaisseur de l’angle des lèvres ou de la commissure labiale | Triangulaire | Triangulaire des lèvres		
term	Abaisseur de l’épiglotte		
clique	Abaisseur de l’épiglotte		
term	Abaisseur de la langue ou de l’hyoïde		
clique	Abaisseur de la langue ou de l’hyoïde | Sterno-hyoïdien		
term	Abaisseur du larynx		
clique	Abaisseur du larynx | Sterno-thyréoïdien		
clique	Carré de la lèvre inférieure | Carré		
term	Abaisseur de la mâchoire inférieure		
clique	Abaisseur de la mâchoire inférieure | Digastrique		
term	Abaisseur de l’œil		
clique	Abaisseur de l’œil | Droit | Droit inférieur de l’œil		
term	Abaisseur de la paupière inférieure		
clique	Abaisseur de la paupière inférieure		
term	Abaisseur de la pupille		
clique	Abaisseur de la pupille | Droit | Droit inférieur de l’œil		
term	Abaisseur externe de la tête		
clique	Abaisseur externe de la tête		
term	Abaisseur interne de la tête		
clique	Abaisseur interne de la tête		
term	Abaisseur de la vessie		
clique	Abaisseur de la vessie		
entry	Abajoue	0	
orth	Abajoue		
foreign	sacculus buccalis	lat	
foreign	Hœngebacke	deu	
foreign	Backentasche	deu	
foreign	sheek-pouch	eng	
foreign	abazones	spa	
entry	Abaliéné	0	
orth	Abaliéné		
term	Membre abaliéné		
clique	Membre abaliéné		
entry	Abaptista, Abaptiston	0	
orth	Abaptista		
orth	Abaptiston		
foreign	ἀβάπτιστον	grc	
clique	Trépan		
entry	Abarthrose, Abarticulation	0	
orth	Abarthrose		
orth	Abarticulation		
clique	diarthrose		
entry	Abatage	0	
orth	Abatage		
foreign	Niederwerfen	deu	
foreign	Schlachten	deu	
foreign	slaughtering	eng	
foreign	abbatimento	ita	
entry	Abâtardissement	0	
orth	Abâtardissement		
foreign	Ausartung	deu	
foreign	degeneracy	eng	
foreign	degenerazione	ita	
clique	Dégénérescence		
entry	Abattement	0	
orth	Abattement		
foreign	virium defectio	lat	
foreign	Niedergeschlagenheit	deu	
foreign	abbattimento	ita	
foreign	abatimiento	spa	
clique	Adynamie		
entry	Abattoir	1	
orth	Abattoir		
foreign	Schlachthaus	deu	
foreign	slaughterhouse	eng	
foreign	matadero	spa	
foreign	ammazzato	ita	
pb	0002	0016	
clique	Équarrissage		
entry	Abattre	0	
orth	Abattre		
foreign	Schlachten	deu	
clique	abatage		
entry	Abattre	0	
orth	Abattre		
entry	Abcéder	0	
orth	Abcéder		
term	Tumeur abcédée		
clique	Tumeur abcédée		
entry	Abcès	0	
orth	Abcès		
foreign	abscessus	lat	
foreign	Geschwür	deu	
foreign	Eitergeschwulst	deu	
foreign	abscess	eng	
foreign	imposthume	eng	
foreign	ascesso	ita	
foreign	abceso	spa	
clique	fluctuation		
clique	Bubon		
clique	Pyogénique		
term	Abcès canaliculaire		
clique	Abcès canaliculaire | Ganaliculaire		
term	Abcès idiopathique		
clique	Abcès idiopathique		
term	Abcès métastatiques		
clique	Abcès métastatiques		
term	Abcès multiples		
clique	Abcès multiples | Infection purulente		
term	Abcès ossifluent		
clique	Abcès ossifluent | Ossifluent		
term	Abcès péri-utérins		
clique	Abcès péri-utérins | Rétro-utérin		
term	Abcès phlegmoneux		
clique	Abcès phlegmoneux | Phlegmon		
term	Abcès rétro-utérins		
clique	Abcès rétro-utérins | Rétro-utérin		
term	Abcès symptomatique		
clique	Abcès symptomatique		
entry	Abdomen	1	
orth	Abdomen		
foreign	abdomen	lat	
foreign	Unterleib	deu	
foreign	the belly	eng	
foreign	addomine	ita	
foreign	abdomen	spa	
foreign	bajo	spa	
foreign	menthe	spa	
foreign	γαστὴρ	grc	
pb	0003	0017	
clique	Insecte		
entry	Abdominal	0	
orth	Abdominal		
foreign	abdominalis	lat	
term	Anneau abdominal		
clique	Anneau abdominal | Inguinal | Inguinal (anneau)		
term	Aorte abdominale		
clique	Aorte abdominale		
term	Aponévrose abdominale		
clique	Aponévrose abdominale		
term	Bubon abdominal		
clique	Bubon abdominal | Bubon		
term	Cavité abdominale		
clique	Cavité abdominale | Abdomen		
term	Côtes abdominales		
clique	Côtes abdominales		
term	Grossesse abdominale		
clique	Grossesse abdominale | Grossesse		
term	Hernie abdominale		
clique	Hernie abdominale | Éventration		
term	Membres abdominaux		
clique	Membres abdominaux		
term	Mouvements abdominaux		
clique	Mouvements abdominaux | Respiratoire | Respiratoire (Mouvements)		
term	Muscles abdominaux		
clique	Muscles abdominaux		
term	Nerfs abdominaux		
clique	Nerfs abdominaux		
term	Organes ou viscères abdominaux		
clique	Organes ou viscères abdominaux		
term	Palper abdominal		
clique	Palper abdominal | Palper		
term	Ponction abdominale		
clique	Ponction abdominale | Ponction		
term	Pulsation abdominale		
clique	Pulsation abdominale | Pulsation		
term	Pléthore abdominale		
clique	Pléthore abdominale | Pléthore		
term	Veine cave abdominale		
clique	Veine cave abdominale		
term	Vertèbres abdominales		
clique	Vertèbres abdominales		
term	Abdominaux		
clique	Abdominaux		
entry	Abdominoscopie	0	
orth	Abdominoscopie		
entry	Abdomino-scrotal	0	
orth	Abdomino-scrotal		
term	Muscle abdomino-scrotal		
clique	Muscle abdomino-scrotal | crémaster		
entry	Abdomino-thoracique	0	
orth	Abdomino-thoracique		
entry	Abdomino-utérotomie	0	
orth	Abdomino-utérotomie		
entry	Abducteur	1	
orth	Abducteur		
foreign	abducens	lat	
foreign	abductor	lat	
foreign	abziehend	deu	
foreign	abducent	deu	
foreign	abduttore	ita	
foreign	abductor	spa	
term	Nerf abducteur		
clique	Nerf abducteur		
term	Abducteur de l’aile du-nez		
clique	Abducteur de l’aile du-nez | Élévateur | Élévateur commun de l’aile du nez et de la lèvre Supérieure		
term	Abducteurs de la cuisse		
clique	Abducteurs de la cuisse | Cuisse		
term	Abducteur du doigt indicateur		
clique	Abducteur du doigt indicateur		
term	Abducteur du petit doigt		
clique	Abducteur du petit doigt		
term	Abducteur de l’œil		
clique	Abducteur de l’œil | Droit | Droit externe de l’œil		
term	Abducteur de l’oreille		
clique	Abducteur de l’oreille		
term	Abducteur du gros orteil		
clique	Abducteur du gros orteil		
term	Abducteur du petit orteil		
clique	Abducteur du petit orteil		
term	Abducteur		
clique	Abducteur		
term	Abducteur		
clique	Abducteur		
pb	0004	0018	
entry	Abduction	0	
orth	Abduction		
foreign	abductio	lat	
foreign	Abziehen	deu	
foreign	Abziehung	deu	
foreign	abduction	eng	
foreign	abduzione	ita	
foreign	abduccion	spa	
entry	Abeille	0	
orth	Abeille		
foreign	Biene	deu	
foreign	bee	eng	
foreign	ape	ita	
foreign	abeja	spa	
clique	miel		
clique	cire		
entry	Abelasie	0	
orth	Abelasie		
entry	Abelmosch	0	
orth	Abelmosch		
clique	Ambrette		
entry	Abepithymia	0	
orth	Abepithymia		
entry	Aberrant	0	
orth	Aberrant		
term	Evolution aberrante		
clique	Evolution aberrante | Évolution		
entry	Aberration	0	
orth	Aberration		
foreign	aberratio	lat	
foreign	Abweichung	deu	
foreign	Abirrung	deu	
foreign	aberration	eng	
foreign	aberrazione	ita	
term	Aberration des fluides		
clique	Aberration des fluides		
term	Aberration de réfrangibiité		
clique	Aberration de réfrangibiité		
term	Aberration de sphéricité		
clique	Aberration de sphéricité | Monochromatique		
entry	Abévacuation	0	
orth	Abévacuation		
entry	Abiétate	1	
orth	Abiétate		
foreign	abetato	spa	
pb	0005	0019	
entry	Abiétine	0	
orth	Abiétine		
foreign	Abietin	deu	
foreign	abietin	eng	
foreign	abetina	spa	
entry	Abiétiné	0	
orth	Abiétiné		
entry	Abiétinées	0	
