object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1737	1751	
entry	Aal	0	
orth	Aal	deu	
foreign	anguille	fra	
entry	Aalraupe	0	
orth	Aalraupe	deu	
foreign	lote	fra	
entry	Abblätterung	0	
orth	Abblätterung	deu	
foreign	exfoliation	fra	
entry	Abbrechen	0	
orth	Abbrechen	deu	
foreign	abruption	fra	
entry	Abbrennung	0	
orth	Abbrennung	deu	
foreign	déflagration	fra	
entry	Abdampfung	0	
orth	Abdampfung	deu	
foreign	évaporation	fra	
entry	Abdominaltyphus	0	
orth	Abdominaltyphus	deu	
foreign	dothinentérie	fra	
entry	Abend	0	
orth	Abend	deu	
foreign	soir	fra	
entry	Aberglaube	0	
orth	Aberglaube	deu	
foreign	superstition	fra	
entry	Abführend	0	
orth	Abführend	deu	
foreign	laxatif	fra	
foreign	purgatif	fra	
entry	Abführung	0	
orth	Abführung	deu	
foreign	purgation	fra	
entry	Abführungmittel	0	
orth	Abführungmittel	deu	
foreign	purgatif	fra	
entry	Abgeflacht	0	
orth	Abgeflacht	deu	
foreign	comprimé	fra	
entry	Abgelebt	0	
orth	Abgelebt	deu	
foreign	décrépit	fra	
entry	Abklärung	0	
orth	Abklärung	deu	
foreign	clarification	fra	
entry	Abknistern	0	
orth	Abknistern	deu	
foreign	décrépiter	fra	
entry	Abkühlung	0	
orth	Abkühlung	deu	
foreign	réfrigération	fra	
entry	Abkürzung	0	
orth	Abkürzung	deu	
foreign	abréviation	fra	
entry	Ablagerung	0	
orth	Ablagerung	deu	
foreign	dépôt	fra	
entry	Ableitung	0	
orth	Ableitung	deu	
foreign	abstraction	fra	
foreign	dérivation	fra	
entry	Ablösung	0	
orth	Ablösung	deu	
foreign	aphérèse	fra	
foreign	décollement	fra	
entry	Abmagerung	0	
orth	Abmagerung	deu	
foreign	amaigrissement	fra	
entry	Abnahme	0	
orth	Abnahme	deu	
foreign	ablation	fra	
entry	Abnehmen	0	
orth	Abnehmen	deu	
foreign	amputer	fra	
entry	Abneigung	0	
orth	Abneigung	deu	
foreign	antipathie	fra	
entry	Abnorm	0	
