object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1767	1781	
entry	Abducent	0	
orth	Abducent	eng	
foreign	abducteur	fra	
entry	Abietic acid	0	
orth	Abietic acid	eng	
foreign	acide abiétique	fra	
entry	Abnormal	0	
orth	Abnormal	eng	
foreign	irrégulier	fra	
entry	Abortion	0	
orth	Abortion	eng	
foreign	avortement	fra	
entry	Abortive	0	
orth	Abortive	eng	
foreign	abortif	fra	
entry	Abscess	0	
orth	Abscess	eng	
foreign	abcès	fra	
entry	Absinthic acid	0	
orth	Absinthic acid	eng	
foreign	acide absinthique	fra	
entry	Absorbent	0	
orth	Absorbent	eng	
foreign	absorbant	fra	
entry	Absorptivity	0	
orth	Absorptivity	eng	
entry	Abstemious	0	
orth	Abstemious	eng	
foreign	abstème	fra	
entry	Abstergent	0	
orth	Abstergent	eng	
foreign	abstergent	fra	
entry	Accession	0	
orth	Accession	eng	
foreign	invasion	fra	
entry	Accessory	0	
orth	Accessory	eng	
foreign	accessoire	fra	
entry	Acerb	0	
orth	Acerb	eng	
foreign	acerbe	fra	
entry	Acetic acid	0	
orth	Acetic acid	eng	
foreign	acide acétique	fra	
entry	Acid	0	
orth	Acid	eng	
foreign	acide	fra	
entry	Acidity	0	
orth	Acidity	eng	
foreign	acidité	fra	
entry	Acidulous	0	
orth	Acidulous	eng	
foreign	acidulé	fra	
entry	Acology	0	
orth	Acology	eng	
foreign	acologie	fra	
entry	Aconite	0	
orth	Aconite	eng	
foreign	aconit	fra	
entry	Acoustic	0	
orth	Acoustic	eng	
foreign	acoustique	fra	
entry	Acoustics	0	
orth	Acoustics	eng	
foreign	acoustique (l')	fra	
entry	Acquired diseases	0	
orth	Acquired diseases	eng	
foreign	maladies acquises	fra	
entry	Acrid	0	
orth	Acrid	eng	
entry	Active	0	
orth	Active	eng	
foreign	actif	fra	
entry	Acuition	0	
orth	Acuition	eng	
entry	Acute	0	
orth	Acute	eng	
foreign	aigu	fra	
entry	Adducent	0	
orth	Adducent	eng	
foreign	adducteur	fra	
entry	Adenology	0	
orth	Adenology	eng	
foreign	adénologie	fra	
entry	Adhesive	0	
orth	Adhesive	eng	
foreign	adhésif	fra	
entry	Adipose	0	
orth	Adipose	eng	
foreign	adipeux	fra	
entry	Adult	0	
orth	Adult	eng	
foreign	adulte	fra	
entry	Adventitious	0	
orth	Adventitious	eng	
foreign	adventice	fra	
entry	Adynamic	0	
orth	Adynamic	eng	
foreign	adynamique	fra	
entry	Ægophony	0	
orth	Ægophony	eng	
foreign	égophonie	fra	
entry	Aerial	0	
orth	Aerial	eng	
foreign	aérien	fra	
entry	Æstival	0	
orth	Æstival	eng	
