object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1726	1740	
entry	ἀβάπτιστον	0	
orth	ἀβάπτιστον	grc	
entry	ἀβρότονον	0	
orth	ἀβρότονον	grc	
foreign	aurone	fra	
entry	ἀγαλακτία	0	
orth	ἀγαλακτία	grc	
foreign	agalactie	fra	
entry	ἀγάλακτος	0	
orth	ἀγάλακτος	grc	
entry	ἀγάλλοχον	0	
orth	ἀγάλλοχον	grc	
foreign	agalloche	fra	
entry	ἀγαρικὸν	0	
orth	ἀγαρικὸν	grc	
foreign	agaric	fra	
entry	ἀγγειολογία	0	
orth	ἀγγειολογία	grc	
foreign	angiologie	fra	
entry	ἀγγεῖον, ἄγγος	0	
orth	ἀγγεῖον	grc	
orth	ἄγγος	grc	
foreign	vaisseau	fra	
entry	ἀγγεῖον κυητήριον	0	
orth	ἀγγεῖον κυητήριον	grc	
foreign	utérus	fra	
entry	ἀγευστία	0	
orth	ἀγευστία	grc	
entry	ἀγήρατον	0	
orth	ἀγήρατον	grc	
foreign	agérat	fra	
entry	ἀγκύλη	0	
orth	ἀγκύλη	grc	
foreign	jarret (le)	fra	
foreign	pli du bras (le)	fra	
entry	ἀγκυλοβλέφαρον	0	
orth	ἀγκυλοβλέφαρον	grc	
foreign	ankyloblépharon	fra	
entry	ἀγκυλόγλωσσον	0	
orth	ἀγκυλόγλωσσον	grc	
foreign	ankyloglosse	fra	
entry	ἀγκυλοτόμον	0	
orth	ἀγκυλοτόμον	grc	
foreign	ancylotome	fra	
entry	ἀγκύλωσις, ἀγκύλη	0	
orth	ἀγκύλωσις	grc	
orth	ἀγκύλη	grc	
foreign	ankylose	fra	
entry	ἀγκυροειδὴς	0	
orth	ἀγκυροειδὴς	grc	
foreign	ancyroïde	fra	
entry	ἀγκὼν	0	
orth	ἀγκὼν	grc	
foreign	coude	fra	
foreign	olécrâne	fra	
entry	ἄγμα	0	
orth	ἄγμα	grc	
foreign	fracture	fra	
foreign	esquille	fra	
entry	ἄγνος	0	
orth	ἄγνος	grc	
foreign	agnus-castus (l')	fra	
entry	ἀγονία	0	
orth	ἀγονία	grc	
foreign	stérilité	fra	
entry	ἄγονος	0	
orth	ἄγονος	grc	
entry	ΑγονοιἌγονοι ἡμέραι	0	
orth	Ἄγονοι ἡμέραι	grc	
foreign	jours pairs	fra	
entry	ἀγρυπνία	0	
orth	ἀγρυπνία	grc	
foreign	insomnie	fra	
entry	ἄγρυπνος	0	
orth	ἄγρυπνος	grc	
entry	ἀγυμνασία	0	
orth	ἀγυμνασία	grc	
entry	ἀγχίλωψ	0	
orth	ἀγχίλωψ	grc	
foreign	anchilops	fra	
entry	ἀγχόνη	0	
orth	ἀγχόνη	grc	
foreign	strangulation	fra	
entry	ἀγωνία	0	
orth	ἀγωνία	grc	
foreign	anxiété	fra	
foreign	agonie	fra	
entry	ἀδημονία	0	
orth	ἀδημονία	grc	
foreign	angoisse	fra	
entry	ἀδὴν	0	
orth	ἀδὴν	grc	
foreign	glande	fra	
entry	ἀδίαντον	0	
orth	ἀδίαντον	grc	
foreign	adiante	fra	
entry	ἀδιαπνευστία	0	
orth	ἀδιαπνευστία	grc	
entry	ἀδιάῤῥοια	0	
orth	ἀδιάῤῥοια	grc	
foreign	constipation	fra	
entry	ἄδιψος	0	
orth	ἄδιψος	grc	
entry	ἀδυναμία	0	
orth	ἀδυναμία	grc	
foreign	adynamie	fra	
entry	ἀδύνατος	0	
orth	ἀδύνατος	grc	
foreign	faible	fra	
foreign	épuisé	fra	
entry	ἀείζωον	0	
orth	ἀείζωον	grc	
foreign	joubarbe (la)	fra	
entry	ἀερόφοβος	0	
orth	ἀερόφοβος	grc	
foreign	aérophobe	fra	
entry	ἄζυγος	0	
orth	ἄζυγος	grc	
foreign	impair	fra	
foreign	azygos	fra	
entry	ἄζυμος	0	
orth	ἄζυμος	grc	
foreign	azyme	fra	
entry	ἀὴρ	0	
orth	ἀὴρ	grc	
foreign	air	fra	
entry	ἀθεράπευτος	0	
orth	ἀθεράπευτος	grc	
foreign	incurable	fra	
entry	ἀθήρωμα, ἀθέρωμα	0	
orth	ἀθήρωμα	grc	
orth	ἀθέρωμα	grc	
foreign	athérome	fra	
entry	αἰγίλωψ	0	
orth	αἰγίλωψ	grc	
foreign	égilops	fra	
entry	αἰγὶς	0	
orth	αἰγὶς	grc	
foreign	albugo	fra	
entry	αἰγόκερας	0	
orth	αἰγόκερας	grc	
foreign	fenugrec	fra	
entry	αἰδοῖα	0	
orth	αἰδοῖα	grc	
foreign	parties génitales (les)	fra	
entry	αἰθὴρ	0	
orth	αἰθὴρ	grc	
foreign	éther	fra	
entry	αἰθόλιξ	0	
orth	αἰθόλιξ	grc	
foreign	bulle	fra	
entry	αἷμα	0	
orth	αἷμα	grc	
foreign	sang	fra	
entry	αἱμακτὸς	0	
orth	αἱμακτὸς	grc	
foreign	sanguinolent	fra	
entry	αἱμάλωψ	0	
orth	αἱμάλωψ	grc	
foreign	ecchymose de l’œil	fra	
entry	αἱματικὸς	0	
orth	αἱματικὸς	grc	
foreign	sanguin	fra	
entry	αἱματῖτις φλὲψ	0	
orth	αἱματῖτις φλὲψ	grc	
foreign	veine	fra	
entry	αἱματοποιητικὸς	0	
orth	αἱματοποιητικὸς	grc	
entry	αἱματώδης	0	
orth	αἱματώδης	grc	
foreign	sanguinolent	fra	
entry	αἱμάτωσις	0	
orth	αἱμάτωσις	grc	
foreign	hématose	fra	
entry	αἱμοπτυϊκὸς	0	
orth	αἱμοπτυϊκὸς	grc	
entry	αἱμοῤῥαγία	0	
orth	αἱμοῤῥαγία	grc	
foreign	hémorrhagie	fra	
foreign	hémorrhagie	fra	
entry	αἱμοῤῥοΐδες	0	
orth	αἱμοῤῥοΐδες	grc	
foreign	hémorrhoïdes	fra	
entry	αἱμοῤῥοϊδοκαύστης	0	
orth	αἱμοῤῥοϊδοκαύστης	grc	
entry	αἱμόῤῥοος	0	
orth	αἱμόῤῥοος	grc	
entry	αἱμόφοβος	0	
orth	αἱμόφοβος	grc	
entry	αἱμωδία	0	
orth	αἱμωδία	grc	
foreign	agacement des dents	fra	
entry	αἴσθησις	0	
orth	αἴσθησις	grc	
foreign	sentiment	fra	
entry	αἰσθητήριον	0	
orth	αἰσθητήριον	grc	
foreign	sens	fra	
entry	αἰσθητικὸς	0	
orth	αἰσθητικὸς	grc	
entry	αἰτία	0	
orth	αἰτία	grc	
foreign	cause	fra	
entry	αἰτιολογία	0	
orth	αἰτιολογία	grc	
foreign	étiologie	fra	
entry	αἰὼν	0	
orth	αἰὼν	grc	
foreign	durée de la vie	fra	
entry	αἰώρα	0	
orth	αἰώρα	grc	
entry	ἀκαθαρσία	0	
orth	ἀκαθαρσία	grc	
foreign	impureté	fra	
entry	ἀκάθαρτος	0	
orth	ἀκάθαρτος	grc	
foreign	impur	fra	
entry	ἀκακία	0	
orth	ἀκακία	grc	
foreign	mimosa	fra	
entry	ἀκαλήφη	0	
orth	ἀκαλήφη	grc	
foreign	ortie	fra	
entry	ἄκανθα	0	
orth	ἄκανθα	grc	
foreign	épine	fra	
entry	ἄκανθος	0	
orth	ἄκανθος	grc	
foreign	acanthe	fra	
entry	ἄκαρι	0	
orth	ἄκαρι	grc	
foreign	ciron	fra	
entry	ἀκέομαι	0	
orth	ἀκέομαι	grc	
foreign	guéris (je)	fra	
entry	ἀκέσιμος, ἀκέσμιος, ἀκεστὸς	0	
orth	ἀκέσιμος	grc	
orth	ἀκέσμιος	grc	
orth	ἀκεστὸς	grc	
foreign	guérissable	fra	
entry	ἀκέσιος	0	
orth	ἀκέσιος	grc	
foreign	guérissant	fra	
entry	ἄκεσμα, ἄκεσις, ἀκεσμὸς	0	
orth	ἄκεσμα	grc	
orth	ἄκεσις	grc	
orth	ἀκεσμὸς	grc	
foreign	cure	fra	
foreign	remède	fra	
entry	ἀκεστρὶς, ἀκεστορὶς	0	
orth	ἀκεστρὶς	grc	
orth	ἀκεστορὶς	grc	
foreign	sage-femme	fra	
entry	ἀκέστωρ	0	
orth	ἀκέστωρ	grc	
foreign	médecin	fra	
entry	ἀκέφαλος	0	
orth	ἀκέφαλος	grc	
foreign	acéphale	fra	
entry	ἀκινησία	0	
orth	ἀκινησία	grc	
foreign	immobilité	fra	
entry	ἀκμὴ	0	
orth	ἀκμὴ	grc	
foreign	vigueur de l’âge	fra	
foreign	état (l')	fra	
entry	ἀκοὴ	0	
orth	ἀκοὴ	grc	
foreign	ouïe (l')	fra	
entry	ἀκόνιτον	0	
orth	ἀκόνιτον	grc	
foreign	aconit	fra	
entry	ἄκοπος	0	
orth	ἄκοπος	grc	
foreign	anodin	fra	
entry	ἀκοσμία	0	
orth	ἀκοσμία	grc	
foreign	acosmie	fra	
entry	ἄκουσμα	0	
orth	ἄκουσμα	grc	
foreign	audition	fra	
entry	ἀκουστικὸς	0	
orth	ἀκουστικὸς	grc	
foreign	acoustique	fra	
entry	ἀκούω	0	
orth	ἀκούω	grc	
foreign	entends (j')	fra	
entry	ἀκραίπαλος	0	
orth	ἀκραίπαλος	grc	
entry	ἀκρασία	0	
orth	ἀκρασία	grc	
foreign	intempérie	fra	
entry	ἄκρατον	0	
orth	ἄκρατον	grc	
foreign	vin pur	fra	
entry	ἄκρεα	0	
orth	ἄκρεα	grc	
foreign	extrémités (les)	fra	
entry	ἀκρισία	0	
orth	ἀκρισία	grc	
foreign	acrisie	fra	
entry	ἀκρόασις	0	
orth	ἀκρόασις	grc	
foreign	ouïe (l')	fra	
entry	ἀκροβυστία	0	
orth	ἀκροβυστία	grc	
foreign	prépuce	fra	
entry	ἀκροδακτύλιον	0	
orth	ἀκροδακτύλιον	grc	
foreign	bout des doigts (le)	fra	
entry	ἀκρομφάλιον	0	
orth	ἀκρομφάλιον	grc	
foreign	milieu du nombril (le)	fra	
entry	ἀκροποσθία	0	
orth	ἀκροποσθία	grc	
foreign	prépuce (le)	fra	
entry	ἀκροχειρισμὸς	0	
orth	ἀκροχειρισμὸς	grc	
entry	ἀκροχορδὼν	0	
orth	ἀκροχορδὼν	grc	
foreign	acrochordon	fra	
foreign	verrue	fra	
entry	ἀκρώμιον	0	
orth	ἀκρώμιον	grc	
foreign	acromion	fra	
entry	ἀκρωτήρια	0	
orth	ἀκρωτήρια	grc	
foreign	extrémités (les)	fra	
entry	ἀκτῆ	0	
orth	ἀκτῆ	grc	
foreign	sureau	fra	
entry	ἀκτὶν	0	
orth	ἀκτὶν	grc	
foreign	rayon	fra	
entry	ἄλγημα, ἄλγος	0	
