object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1782	1796	
entry	Abarticolazione	0	
orth	Abarticolazione	ita	
foreign	abarticulation	fra	
entry	Abbagliamento	0	
orth	Abbagliamento	ita	
foreign	éblouissement	fra	
entry	Abbassamento	0	
orth	Abbassamento	ita	
foreign	abaissement	fra	
entry	Abbassatore	0	
orth	Abbassatore	ita	
foreign	abaisseur	fra	
entry	Abbattimento	0	
orth	Abbattimento	ita	
foreign	abattement	fra	
entry	Abboccamento	0	
orth	Abboccamento	ita	
foreign	anastomose	fra	
entry	Abbominazione	0	
orth	Abbominazione	ita	
foreign	dégoût	fra	
entry	Abbrividire	0	
orth	Abbrividire	ita	
foreign	frissonnement	fra	
entry	Abbrunare	0	
orth	Abbrunare	ita	
foreign	hâler	fra	
entry	Abduttore	0	
orth	Abduttore	ita	
foreign	abducteur	fra	
entry	Abduzione	0	
orth	Abduzione	ita	
foreign	abduction	fra	
entry	Aberrazione	0	
orth	Aberrazione	ita	
foreign	aberration	fra	
entry	Abete	0	
orth	Abete	ita	
foreign	pinus abies	fra	
entry	Abirritazione	0	
orth	Abirritazione	ita	
foreign	abirritation	fra	
entry	Abitare	0	
orth	Abitare	ita	
foreign	cohabiter	fra	
entry	Abitazione	0	
orth	Abitazione	ita	
foreign	habitation	fra	
entry	Abito, Abitudine	0	
orth	Abito	ita	
orth	Abitudine	ita	
foreign	habitude	fra	
entry	Ablattazione	0	
orth	Ablattazione	ita	
foreign	sevrage	fra	
entry	Ablazione	0	
orth	Ablazione	ita	
foreign	ablation	fra	
entry	Abnormalità	0	
orth	Abnormalità	ita	
foreign	anomalie	fra	
entry	Abnorme	0	
orth	Abnorme	ita	
foreign	anomal	fra	
entry	Abolizione	0	
orth	Abolizione	ita	
foreign	abolition	fra	
entry	Abomaso	0	
orth	Abomaso	ita	
entry	Abortire	0	
orth	Abortire	ita	
foreign	avorter	fra	
entry	Abortivo	0	
orth	Abortivo	ita	
foreign	abortif	fra	
entry	Aborto	0	
orth	Aborto	ita	
foreign	avortement	fra	
entry	Abrasione	0	
orth	Abrasione	ita	
foreign	abrasion	fra	
entry	Abrotano	0	
orth	Abrotano	ita	
foreign	aurone	fra	
entry	Abscissione	0	
orth	Abscissione	ita	
foreign	abscission	fra	
entry	Abstemio	0	
orth	Abstemio	ita	
foreign	abstème	fra	
entry	Acaggio (noce d’)	0	
orth	Acaggio (noce d’)	ita	
foreign	noix d’acajou	fra	
entry	Acanto	0	
orth	Acanto	ita	
foreign	acanthe	fra	
entry	Acaro	0	
orth	Acaro	ita	
foreign	acarus	fra	
entry	Acatarsia	0	
orth	Acatarsia	ita	
foreign	acatharsie	fra	
entry	Accapacciamento	0	
orth	Accapacciamento	ita	
foreign	coryza	fra	
entry	Accasciare	0	
orth	Accasciare	ita	
foreign	débiliter	fra	
entry	Accatarrare	0	
orth	Accatarrare	ita	
entry	Accavalcamento	0	
orth	Accavalcamento	ita	
foreign	chevauchement	fra	
entry	Accavalcare	0	
orth	Accavalcare	ita	
foreign	chevaucher	fra	
entry	Accelerato	0	
orth	Accelerato	ita	
foreign	accéléré	fra	
entry	Acceleratore	0	
orth	Acceleratore	ita	
foreign	accélérateur	fra	
entry	Accelerazione	0	
orth	Accelerazione	ita	
foreign	accélération	fra	
entry	Accensione	0	
orth	Accensione	ita	
entry	Acceso	0	
orth	Acceso	ita	
foreign	vultueux	fra	
entry	Accessione, Accesso	0	
orth	Accessione	ita	
orth	Accesso	ita	
foreign	accès	fra	
entry	Accessorio	0	
orth	Accessorio	ita	
foreign	accessoire	fra	
entry	Acchetativo	0	
orth	Acchetativo	ita	
foreign	sédatif	fra	
entry	Acciacco	0	
orth	Acciacco	ita	
foreign	infirmité	fra	
entry	Acciajato	0	
orth	Acciajato	ita	
foreign	chalybé	fra	
entry	Acciajo	0	
orth	Acciajo	ita	
foreign	acier	fra	
entry	Accidentale	0	
orth	Accidentale	ita	
foreign	accidentel	fra	
entry	Accidente	0	
orth	Accidente	ita	
foreign	accident	fra	
entry	Acclimamento, Acclimatizzamento	0	
orth	Acclimamento	ita	
orth	Acclimatizzamento	ita	
foreign	acclimatement	fra	
entry	Accompagnamento	0	
orth	Accompagnamento	ita	
foreign	accompagnement	fra	
entry	Accoppiamento	0	
orth	Accoppiamento	ita	
foreign	accouplement	fra	
entry	Accrescimento	0	
orth	Accrescimento	ita	
foreign	croissance	fra	
entry	Acefalia	0	
orth	Acefalia	ita	
foreign	acéphalie	fra	
entry	Acefalo	0	
orth	Acefalo	ita	
foreign	acéphale	fra	
entry	Acefalocisto	0	
orth	Acefalocisto	ita	
foreign	acéphalocyste	fra	
entry	Acerbezza, Acerbità	0	
orth	Acerbezza	ita	
orth	Acerbità	ita	
foreign	astringence	fra	
entry	Acerbo	0	
orth	Acerbo	ita	
foreign	acerbe	fra	
foreign	astringent	fra	
entry	Acescente	0	
orth	Acescente	ita	
foreign	acescent	fra	
entry	Acescenza	0	
orth	Acescenza	ita	
foreign	acescence	fra	
entry	Acetabolo	0	
orth	Acetabolo	ita	
foreign	acélabule	fra	
entry	Acetato	0	
orth	Acetato	ita	
foreign	acétate	fra	
entry	Acetico	0	
orth	Acetico	ita	
foreign	acétique	fra	
entry	Acetile	0	
orth	Acetile	ita	
foreign	acétyle	fra	
entry	Aceto	0	
orth	Aceto	ita	
foreign	vinaigre	fra	
entry	Acetone	0	
orth	Acetone	ita	
foreign	acétone	fra	
entry	Acetosella	0	
orth	Acetosella	ita	
foreign	oseille	fra	
entry	Acetosità	0	
orth	Acetosità	ita	
foreign	acidité	fra	
entry	Acetoso	0	
orth	Acetoso	ita	
foreign	acéteux	fra	
entry	Achena	0	
orth	Achena	ita	
foreign	akène	fra	
entry	Achille (tendine d’)	0	
orth	Achille (tendine d’)	ita	
foreign	tendon d’Achille	fra	
entry	Acianoblessia	0	
orth	Acianoblessia	ita	
entry	Acidezza	0	
orth	Acidezza	ita	
foreign	acidité	fra	
entry	Acidi dello stomaco 	0	
orth	Acidi dello stomaco	ita	
foreign	acidités stomacales	fra	
entry	Acidifaciente	0	
orth	Acidifaciente	ita	
foreign	acidifiant	fra	
entry	Acidificabile	0	
orth	Acidificabile	ita	
foreign	acidifiable	fra	
entry	Acidificazione	0	
orth	Acidificazione	ita	
foreign	acidification	fra	
entry	Acido	0	
orth	Acido	ita	
foreign	acide	fra	
entry	Acidulo	0	
orth	Acidulo	ita	
foreign	acidulé	fra	
entry	Acinesia	0	
orth	Acinesia	ita	
foreign	acinésie	fra	
entry	Acino	0	
orth	Acino	ita	
foreign	acinus	fra	
entry	Acmastica (febbre)	0	
orth	Acmastica (febbre)	ita	
foreign	fièvre acmastique	fra	
entry	Acolia	0	
orth	Acolia	ita	
foreign	acholie	fra	
entry	Aconitico	0	
orth	Aconitico	ita	
foreign	aconitique	fra	
entry	Aconitina, Aconitino	0	
orth	Aconitina	ita	
orth	Aconitino	ita	
foreign	aconitine	fra	
entry	Aconito	0	
orth	Aconito	ita	
foreign	aconit	fra	
entry	Accora, Acore	0	
orth	Accora	ita	
orth	Acore	ita	
foreign	achores	fra	
entry	Acosmia	0	
orth	Acosmia	ita	
foreign	acosmie	fra	
entry	Acotiledone	0	
orth	Acotiledone	ita	
foreign	acotylédon	fra	
entry	Acqua	0	
orth	Acqua	ita	
foreign	eau	fra	
entry	Acquatico	0	
orth	Acquatico	ita	
foreign	aquatique	fra	
entry	Acqua triacale	0	
orth	Acqua triacale	ita	
foreign	eau thériacale	fra	
entry	Acquavitale	0	
orth	Acquavitale	ita	
entry	Acquavite	0	
orth	Acquavite	ita	
foreign	eau-de-vie	fra	
entry	Acqua alle gambe	0	
orth	Acqua alle gambe	ita	
entry	Acqueo (umore)	0	
orth	Acqueo (umore)	ita	
foreign	humeur aqueuse	fra	
entry	Acquidotto	0	
orth	Acquidotto	ita	
foreign	aqueduc	fra	
entry	Acquisito	0	
orth	Acquisito	ita	
foreign	acquis	fra	
entry	Acquitrino	0	
orth	Acquitrino	ita	
foreign	marais	fra	
entry	Acquosità	0	
orth	Acquosità	ita	
foreign	aquosité	fra	
entry	Acquoso	0	
orth	Acquoso	ita	
foreign	aqueux	fra	
entry	Acre	0	
orth	Acre	ita	
foreign	âcre	fra	
entry	Acredine	0	
orth	Acredine	ita	
foreign	acrimonie	fra	
entry	Acrimoniaco, Acrimonioso	0	
orth	Acrimoniaco	ita	
orth	Acrimonioso	ita	
foreign	âcre	fra	
entry	Acrisia	0	
orth	Acrisia	ita	
foreign	acrisie	fra	
entry	Acrocordo	0	
orth	Acrocordo	ita	
foreign	acrochordon	fra	
entry	Acroja	0	
orth	Acroja	ita	
foreign	pâleur	fra	
entry	Acromatopsia	0	
orth	Acromatopsia	ita	
entry	Acromiale	0	
orth	Acromiale	ita	
foreign	acromial	fra	
entry	Acromio	0	
orth	Acromio	ita	
foreign	acromion	fra	
entry	Acromio coracoideo	0	
orth	Acromio coracoideo	ita	
foreign	acromio-coracoïdien	fra	
entry	Acroteriasmo	0	
orth	Acroteriasmo	ita	
entry	Aculeato	0	
orth	Aculeato	ita	
entry	Aculeo	0	
orth	Aculeo	ita	
foreign	aiguillon	fra	
entry	Acuminato	0	
orth	Acuminato	ita	
foreign	acuminé	fra	
entry	Acustica	0	
orth	Acustica	ita	
foreign	acoustique (l')	fra	
entry	Acustico	0	
orth	Acustico	ita	
foreign	acoustique	fra	
entry	Acutezza	0	
orth	Acutezza	ita	
foreign	acuité	fra	
entry	Acuto	0	
orth	Acuto	ita	
foreign	aigu	fra	
entry	Addestrare	0	
orth	Addestrare	ita	
foreign	dresser	fra	
entry	Addolcitivo	0	
orth	Addolcitivo	ita	
foreign	adoucissant	fra	
pb	1783	1797	
entry	Addominale	0	
orth	Addominale	ita	
foreign	abdominal	fra	
entry	Addomine, Addome	0	
orth	Addomine	ita	
orth	Addome	ita	
foreign	abdomen	fra	
entry	Adduttore	0	
orth	Adduttore	ita	
foreign	adducteur	fra	
entry	Adduzione	0	
orth	Adduzione	ita	
foreign	adduction	fra	
entry	Adenalgia	0	
orth	Adenalgia	ita	
foreign	adénalgie	fra	
entry	Adenitide	0	
orth	Adenitide	ita	
foreign	adénite	fra	
entry	Adenofaringeo	0	
orth	Adenofaringeo	ita	
foreign	adéno-pharyngien	fra	
entry	Adenofaringite	0	
orth	Adenofaringite	ita	
entry	Adenofima	0	
orth	Adenofima	ita	
entry	Adenologia	0	
orth	Adenologia	ita	
foreign	adénologie	fra	
entry	Adenomeningeo	0	
orth	Adenomeningeo	ita	
foreign	adéno-méningé	fra	
entry	Adenonervoso	0	
orth	Adenonervoso	ita	
foreign	adéno-nerveux	fra	
entry	Adenosclerosi	0	
orth	Adenosclerosi	ita	
entry	Adenoso	0	
orth	Adenoso	ita	
foreign	glanduleux	fra	
entry	Adenottalmia	0	
orth	Adenottalmia	ita	
entry	Adepto	0	
orth	Adepto	ita	
foreign	adepte	fra	
entry	Aderenza	0	
orth	Aderenza	ita	
foreign	adhérence	fra	
entry	Adesione	0	
orth	Adesione	ita	
foreign	adhésion	fra	
entry	Adesivo	0	
orth	Adesivo	ita	
foreign	adhésif	fra	
entry	Adiaforo	0	
orth	Adiaforo	ita	
foreign	indifférent	fra	
entry	Adinamia	0	
orth	Adinamia	ita	
foreign	adynamie	fra	
entry	Adinamico	0	
orth	Adinamico	ita	
foreign	adynamique	fra	
entry	Adipe	0	
orth	Adipe	ita	
foreign	graisse	fra	
entry	Adipo-celluloso	0	
orth	Adipo-celluloso	ita	
foreign	adipo-celluleux	fra	
entry	Adipocera	0	
orth	Adipocera	ita	
foreign	adipocire	fra	
entry	Adiposo	0	
orth	Adiposo	ita	
foreign	adipeux	fra	
entry	Adipsia	0	
orth	Adipsia	ita	
entry	Adjuvante	0	
orth	Adjuvante	ita	
foreign	adjuvant	fra	
entry	Adnato	0	
orth	Adnato	ita	
entry	Adolescente	0	
orth	Adolescente	ita	
foreign	adolescent	fra	
entry	Adolescenza	0	
orth	Adolescenza	ita	
foreign	adolescence	fra	
entry	Adoppiamento	0	
orth	Adoppiamento	ita	
foreign	narcotisme	fra	
entry	Adoppiato	0	
orth	Adoppiato	ita	
foreign	narcotisé	fra	
entry	Adragante	0	
orth	Adragante	ita	
foreign	adragant	fra	
entry	Adulterazione	0	
orth	Adulterazione	ita	
foreign	sophistication	fra	
entry	Adulto	0	
orth	Adulto	ita	
foreign	adulte	fra	
entry	Adustione	0	
orth	Adustione	ita	
foreign	aduslion	fra	
entry	Adusto	0	
orth	Adusto	ita	
foreign	aduste	fra	
entry	Adventiccio, Adventizio	0	
orth	Adventiccio	ita	
orth	Adventizio	ita	
foreign	adventice	fra	
entry	Aereo	0	
orth	Aereo	ita	
foreign	gazeux	fra	
entry	Aerifero	0	
orth	Aerifero	ita	
foreign	aérifère	fra	
entry	Aerofobia	0	
orth	Aerofobia	ita	
foreign	aérophobie	fra	
entry	Afa	0	
orth	Afa	ita	
foreign	essoufflement	fra	
entry	Aferesi	0	
orth	Aferesi	ita	
foreign	aphérèse	fra	
entry	Affanno	0	
orth	Affanno	ita	
foreign	anhélation	fra	
entry	Affettivo	0	
orth	Affettivo	ita	
foreign	affectif	fra	
entry	Affezione	0	
orth	Affezione	ita	
foreign	affection	fra	
entry	Affibulare	0	
orth	Affibulare	ita	
foreign	infibuler	fra	
entry	Affievolimento	0	
orth	Affievolimento	ita	
foreign	affaiblissement	fra	
entry	Affinità	0	
orth	Affinità	ita	
foreign	affinité	fra	
entry	Affluente	0	
orth	Affluente	ita	
foreign	affluent	fra	
entry	Afflusso	0	
orth	Afflusso	ita	
foreign	afflux	fra	
