object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1707	1721	
entry	Abaptiston	0	
orth	Abaptiston	lat	
foreign	abaptiste (trépan)	fra	
entry	Abdomen	0	
orth	Abdomen	lat	
foreign	abdomen	fra	
entry	Abductio	0	
orth	Abductio	lat	
foreign	abduction	fra	
entry	Abductor	0	
orth	Abductor	lat	
foreign	abducteur	fra	
entry	Abies	0	
orth	Abies	lat	
foreign	sapin	fra	
entry	Ablactatio	0	
orth	Ablactatio	lat	
foreign	ablactation	fra	
entry	Abluens	0	
orth	Abluens	lat	
foreign	abluent	fra	
entry	Ablutio	0	
orth	Ablutio	lat	
foreign	ablution	fra	
foreign	lotion	fra	
entry	Abomasus	0	
orth	Abomasus	lat	
foreign	caillette	fra	
entry	Abortio	0	
orth	Abortio	lat	
foreign	avortement	fra	
entry	Abortivus	0	
orth	Abortivus	lat	
foreign	avorton	fra	
foreign	abortif	fra	
entry	Abortus	0	
orth	Abortus	lat	
foreign	avortement	fra	
entry	Abrasio	0	
orth	Abrasio	lat	
foreign	abrasion	fra	
entry	Abrotonum, abrotonus	0	
orth	Abrotonum	lat	
orth	abrotonus	lat	
foreign	aurone	fra	
entry	Abruptio	0	
orth	Abruptio	lat	
foreign	abruption	fra	
entry	Abscessus	0	
orth	Abscessus	lat	
foreign	abcès	fra	
entry	Abscissio	0	
orth	Abscissio	lat	
foreign	excision	fra	
entry	Absinthium	0	
orth	Absinthium	lat	
foreign	absinthe	fra	
entry	Absorbens	0	
orth	Absorbens	lat	
foreign	absorbant	fra	
entry	Absorbere	0	
orth	Absorbere	lat	
foreign	absorber	fra	
entry	Abstemius	0	
orth	Abstemius	lat	
foreign	abstème	fra	
entry	Abstergens	0	
orth	Abstergens	lat	
foreign	abstergent	fra	
foreign	détersif	fra	
entry	Abstinentia	0	
orth	Abstinentia	lat	
foreign	abstinence	fra	
entry	Acantha	0	
orth	Acantha	lat	
foreign	épine	fra	
entry	Acanthus	0	
orth	Acanthus	lat	
foreign	acanthe	fra	
entry	Acarus	0	
orth	Acarus	lat	
foreign	acarus	fra	
foreign	ciron	fra	
entry	Acarus scabiei, Acarus subcutaneus	0	
orth	Acarus scabiei	lat	
orth	Acarus subcutaneus	lat	
foreign	ciron de la gale	fra	
entry	Acataposis	0	
orth	Acataposis	lat	
foreign	impossibilité d’avaler	fra	
entry	Acceleratio	0	
orth	Acceleratio	lat	
foreign	accélération	fra	
entry	Accelerator	0	
orth	Accelerator	lat	
foreign	accélérateur	fra	
entry	Accessio	0	
orth	Accessio	lat	
foreign	accès	fra	
entry	Accessorius	0	
orth	Accessorius	lat	
foreign	accessoire	fra	
entry	Accidens	0	
orth	Accidens	lat	
foreign	accident	fra	
entry	Accipiter	0	
orth	Accipiter	lat	
foreign	épervier	fra	
entry	Acephalus	0	
orth	Acephalus	lat	
foreign	acéphale	fra	
entry	Acer	0	
orth	Acer	lat	
foreign	érable	fra	
entry	Acer	0	
orth	Acer	lat	
foreign	âcre	fra	
entry	Acerbitas, acerbitudo	0	
orth	Acerbitas	lat	
orth	acerbitudo	lat	
foreign	âcreté	fra	
entry	Acerbus	0	
orth	Acerbus	lat	
foreign	acerbe	fra	
foreign	aigre	fra	
foreign	âpre	fra	
entry	Acescens	0	
orth	Acescens	lat	
foreign	acescent	fra	
entry	Acetabulum	0	
orth	Acetabulum	lat	
foreign	cotyle [mesure)	fra	
foreign	cavité	fra	
entry	Acetum	0	
orth	Acetum	lat	
foreign	vinaigre	fra	
entry	Achillis chorda	0	
orth	Achillis chorda	lat	
foreign	tendon d’Achille	fra	
entry	Achor	0	
orth	Achor	lat	
foreign	achor	fra	
entry	Achromaticus	0	
orth	Achromaticus	lat	
foreign	achromatique	fra	
entry	Acidulus	0	
orth	Acidulus	lat	
foreign	acidule	fra	
entry	Acidus	0	
orth	Acidus	lat	
foreign	acide	fra	
entry	Acies vespertina (Fel. Plater)	0	
orth	Acies vespertina (Fel. Plater)	lat	
foreign	nyctalopie	fra	
entry	Acinaciformis	0	
orth	Acinaciformis	lat	
foreign	en forme de cimeterre	fra	
entry	Acinesia	0	
orth	Acinesia	lat	
foreign	acinésie	fra	
entry	Acinosa tunica	0	
orth	Acinosa tunica	lat	
foreign	l’uvée	fra	
entry	Acinus	0	
orth	Acinus	lat	
foreign	grain	fra	
foreign	acinus	fra	
entry	Acipenser	0	
orth	Acipenser	lat	
foreign	esturgeon	fra	
entry	Acmastica febris	0	
orth	Acmastica febris	lat	
foreign	fièvre synoque	fra	
entry	Acme	0	
orth	Acme	lat	
foreign	summum d’une maladie	fra	
entry	Acologia	0	
orth	Acologia	lat	
foreign	doctrine des remèdes	fra	
entry	Aconitum	0	
orth	Aconitum	lat	
foreign	aconit	fra	
entry	Acopa	0	
orth	Acopa	lat	
foreign	remèdes qui raniment les forces	fra	
entry	Acor	0	
orth	Acor	lat	
foreign	aigreur	fra	
entry	Acrasia	0	
orth	Acrasia	lat	
foreign	acrasie	fra	
entry	Acrimonia	0	
orth	Acrimonia	lat	
foreign	acrimonie	fra	
entry	Acrisia	0	
orth	Acrisia	lat	
