object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1809	1823	
entry	Abarticulacion	0	
orth	Abarticulacion	spa	
foreign	abarticulation	fra	
entry	Abatimiento	0	
orth	Abatimiento	spa	
foreign	abattement	fra	
entry	Abazones	0	
orth	Abazones	spa	
foreign	abat-joue	fra	
entry	Abceso	0	
orth	Abceso	spa	
foreign	abcès	fra	
entry	Abdomen	0	
orth	Abdomen	spa	
foreign	abdomen	fra	
entry	Abduccion	0	
orth	Abduccion	spa	
foreign	abduction	fra	
entry	Abductor	0	
orth	Abductor	spa	
foreign	abducteur	fra	
entry	Abeja	0	
orth	Abeja	spa	
foreign	abeille	fra	
entry	Aberracion	0	
orth	Aberracion	spa	
foreign	aberration	fra	
entry	Abertura	0	
orth	Abertura	spa	
foreign	ouverture	fra	
entry	Abirritacion	0	
orth	Abirritacion	spa	
foreign	abirritation	fra	
entry	Ablacion	0	
orth	Ablacion	spa	
foreign	ablation	fra	
entry	Ablactacion	0	
orth	Ablactacion	spa	
foreign	sevrage	fra	
entry	Ablandativo	0	
orth	Ablandativo	spa	
foreign	adoucissant	fra	
entry	Ablucion	0	
orth	Ablucion	spa	
foreign	ablution	fra	
entry	Abluente	0	
orth	Abluente	spa	
foreign	abstergent	fra	
entry	Abocamiento	0	
orth	Abocamiento	spa	
foreign	abouchement	fra	
entry	Abortivo	0	
orth	Abortivo	spa	
foreign	abortif	fra	
entry	Aborto	0	
orth	Aborto	spa	
foreign	avortement	fra	
entry	Abreviatura	0	
orth	Abreviatura	spa	
foreign	abréviation	fra	
entry	Absorbente	0	
orth	Absorbente	spa	
foreign	absorbant	fra	
entry	Absorcion	0	
orth	Absorcion	spa	
foreign	absorption	fra	
entry	Abstemio	0	
orth	Abstemio	spa	
foreign	abstème	fra	
entry	Abstergente	0	
orth	Abstergente	spa	
foreign	abstergent	fra	
entry	Abstersivo	0	
orth	Abstersivo	spa	
foreign	abstersif	fra	
entry	Abstinencia	0	
orth	Abstinencia	spa	
foreign	abstinence	fra	
entry	Acanalado	0	
orth	Acanalado	spa	
foreign	canaliculé	fra	
entry	Acardenalado	0	
orth	Acardenalado	spa	
foreign	meurtri	fra	
