pb	[s. pag.]	0001	4821573
entry	[Page de faux-titre]	0	
pb	[s. pag.]	0002	4821574
pb	[s. pag.]	0003	4821575
entry	[Page de titre]	0	
pb	v	0004	4821576
entry	[Préface]	3	
pb	vj	0005	4821577
pb	vij	0006	4821578
pb	viij	0007	4821579
pb	1	0008	4821580
entry	Roeschlaub (André)	4	
orth	Roeschlaub (André)		
pb	2	0009	4821581
pb	3	0010	4821582
pb	4	0011	4821583
pb	5	0012	4821584
entry	Roesslin (Eucharius)	1	
orth	Roesslin (Eucharius)		
pb	6	0013	4821585
entry	Roger	1	
orth	Roger		
pb	7	0014	4821586
entry	Roland	0	
orth	Roland		
entry	Rolando (Louis)	1	
orth	Rolando (Louis)		
pb	8	0015	4821587
entry	Rolfinck (Guerner ou Werner)	6	
orth	Rolfinck (Guerner ou Werner)		
pb	9	0016	4821588
pb	10	0017	4821589
pb	11	0018	4821590
pb	12	0019	4821591
pb	13	0020	4821592
pb	14	0021	4821593
entry	Rollo (John)	1	
orth	Rollo (John)		
pb	15	0022	4821594
entry	Rondelet (Guillaume)	2	
orth	Rondelet (Guillaume)		
pb	16	0023	4821595
pb	17	0024	4821596
entry	Roonhuyzen (Henry Yan)	0	
orth	Roonhuyzen (Henry Yan)		
entry	Roose (Théodore George Auguste)	1	
orth	Roose (Théodore George Auguste)		
pb	18	0025	4821597
pb	19	0026	4821598
entry	Rosa (le chevalier don Michel)	0	
orth	Rosa (le chevalier don Michel)		
entry	Rosen de Rosenstein (Nicolas)	2	
orth	Rosen de Rosenstein (Nicolas)		
pb	20	0027	4821599
pb	21	0028	4821600
entry	Rosenmueller (Jean Chrétien)	2	
orth	Rosenmueller (Jean Chrétien)		
pb	22	0029	4821601
pb	23	0030	4821602
entry	Rosenthal (Frédéric Chrétien)	1	
orth	Rosenthal (Frédéric Chrétien)		
pb	24	0031	4821603
entry	Rougemont (Joseph Claude)	1	
orth	Rougemont (Joseph Claude)		
pb	25	0032	4821604
entry	Rougnon (Nicolas François)	0	
orth	Rougnon (Nicolas François)		
entry	Rouhault (Pierre Simon)	1	
orth	Rouhault (Pierre Simon)		
pb	26	0033	4821605
entry	Rouppe (Louis)	0	
orth	Rouppe (Louis)		
entry	Roussel (Pierre)	1	
orth	Roussel (Pierre)		
pb	27	0034	4821606
entry	Rousset (François)	1	
orth	Rousset (François)		
pb	28	0035	4821607
entry	Roux (Augustin)	0	
orth	Roux (Augustin)		
pb	29	0036	4821608
entry	Rouzet (François Léon)	0	
orth	Rouzet (François Léon)		
entry	Rowley (Williams)	1	
orth	Rowley (Williams)		
pb	30	0037	4821609
entry	Royer collard (Antoine Athanase)	1	
orth	Royer collard (Antoine Athanase)		
pb	31	0038	4821610
entry	Rubini (Pierre)	1	
orth	Rubini (Pierre)		
pb	32	0039	4821611
entry	Rudbeck (Olaus)	1	
orth	Rudbeck (Olaus)		
pb	33	0040	4821612
entry	Rudolphi (Charles Asmund)	2	
orth	Rudolphi (Charles Asmund)		
pb	34	0041	4821613
pb	35	0042	4821614
entry	Rudtorffer (François de)	0	
orth	Rudtorffer (François de)		
entry	Ruff ou Rueff (Jacques)	1	
orth	Ruff		
orth	Rueff (Jacques)		
pb	36	0043	4821615
entry	Rufus	0	
orth	Rufus		
pb	37	0044	4821616
entry	Ruleau (Jean)	0	
orth	Ruleau (Jean)		
entry	Rullier	1	
orth	Rullier		
pb	38	0045	4821617
entry	Rush (Benjamin)	2	
orth	Rush (Benjamin)		
pb	39	0046	4821618
pb	40	0047	4821619
pb	41	0048	4821620
entry	Russell (James)	0	
orth	Russell (James)		
entry	Russell ou Russel (Alexandre)	0	
orth	Russell		
orth	Russel (Alexandre)		
entry	Russell (Richard)	1	
orth	Russell (Richard)		
pb	42	0049	4821621
entry	Russel ou Russell (Patrick)	0	
orth	Russel		
orth	Russell (Patrick)		
entry	Rutty (John)	1	
orth	Rutty (John)		
pb	43	0050	4821622
entry	Ruysch (Frédéric)	2	
orth	Ruysch (Frédéric)		
pb	44	0051	4821623
pb	45	0052	4821624
entry	Ryan (Michel)	0	
orth	Ryan (Michel)		
entry	Ryff (Gualther Hermann)	3	
orth	Ryff (Gualther Hermann)		
pb	46	0053	4821625
pb	47	0054	4821626
pb	48	0055	4821627
pb	49	0056	4821628
