pb	[s. pag.]	0001	4877948
entry	[Première de couverture]	0	
pb	[s. pag.]	0002	4877949
pb	[s. pag.]	0003	4877950
entry	[Page de titre]	0	
pb	9-10	0004	4877951
entry	[Préface]	26	
pb	11-12	0005	4877952
pb	13-14	0006	4877953
pb	15-16	0007	4877954
pb	17-18	0008	4877955
pb	19-20	0009	4877956
pb	21-22	0010	4877957
pb	23-24	0011	4877958
pb	25-26	0012	4877959
pb	27-28	0013	4877960
pb	29-30	0014	4877961
pb	31-32	0015	4877962
pb	33-34	0016	4877963
pb	35-36	0017	4877964
pb	37-38	0018	4877965
pb	39-40	0019	4877966
pb	41-42	0020	4877967
pb	43-44	0021	4877968
pb	45-46	0022	4877969
pb	47-48	0023	4877970
pb	49-50	0024	4877971
pb	51-52	0025	4877972
pb	53-54	0026	4877973
pb	55-56	0027	4877974
pb	57-58	0028	4877975
pb	59-60	0029	4877976
pb	61-62	0030	4877977
pb	63-64	0031	4877978
entry	Abattement	0	
orth	Abattement		
entry	Abcès	1	
orth	Abcès		
pb	65-66	0032	4877979
entry	Abdomen (anat.)	0	
orth	Abdomen (anat.)		
entry	Aberration (pathol.)	0	
orth	Aberration (pathol.)		
pb	67-68	0033	4877980
entry	Abortif	0	
orth	Abortif		
entry	Abréviation (mat. médic.)	0	
orth	Abréviation (mat. médic.)		
entry	Absinthe	0	
orth	Absinthe		
entry	Absorbant	1	
orth	Absorbant		
pb	69-70	0034	4877981
entry	Absorption	2	
orth	Absorption		
pb	71-72	0035	4877982
pb	73-74	0036	4877983
entry	Acarus	0	
orth	Acarus		
entry	Accablement	0	
orth	Accablement		
entry	Accès	0	
orth	Accès		
entry	Accompagnement (chir.)	0	
orth	Accompagnement (chir.)		
entry	Accouchement	5	
orth	Accouchement		
pb	75-76	0037	4877984
pb	77-78	0038	4877985
pb	79-80	0039	4877986
pb	81-82	0040	4877987
pb	83-84	0041	4877988
entry	Acéphale	0	
orth	Acéphale		
entry	Acétate	2	
orth	Acétate		
pb	85-86	0042	4877989
pb	87-88	0043	4877990
entry	Achores	0	
orth	Achores		
entry	Acide	2	
orth	Acide		
pb	89-90	0044	4877991
pb	91-92	0045	4877992
entry	Acides dans les premières voies	0	
orth	Acides dans les premières voies		
entry	Acné	0	
orth	Acné		
entry	Aconit	2	
orth	Aconit		
pb	93-94	0046	4877993
pb	95-96	0047	4877994
entry	Acre	0	
orth	Acre		
entry	Acrodynie	1	
orth	Acrodynie		
pb	97-98	0048	4877995
entry	Acupuncture	3	
orth	Acupuncture		
pb	99-100	0049	4877996
pb	101-102	0050	4877997
pb	103-104	0051	4877998
entry	Adénite	0	
orth	Adénite		
entry	Adhérence	0	
orth	Adhérence		
entry	Adipeux	0	
orth	Adipeux		
entry	Adjuvant	0	
orth	Adjuvant		
entry	Adolescence	0	
orth	Adolescence		
entry	Adoucissant	0	
orth	Adoucissant		
entry	Adulte	0	
orth	Adulte		
entry	Adultération	0	
orth	Adultération		
entry	Adynamie, Adynamique ; Élément adynamique ; Fièvre adynamique	1	
orth	Adynamie		
orth	Adynamique ; Élément adynamique ; Fièvre adynamique		
pb	105-106	0052	4877999
entry	Affection	1	
orth	Affection		
pb	107-108	0053	4878000
entry	Afflux	0	
orth	Afflux		
entry	Affusion	0	
orth	Affusion		
entry	Age	2	
orth	Age		
pb	109-110	0054	4878001
pb	111-112	0055	4878002
entry	Agitation	0	
orth	Agitation		
entry	Agonie	0	
orth	Agonie		
entry	Agrypnie	0	
orth	Agrypnie		
entry	Aigremoine	0	
orth	Aigremoine		
entry	Aigreurs	0	
orth	Aigreurs		
entry	Aigu	0	
orth	Aigu		
entry	Ail	1	
orth	Ail		
pb	113-114	0056	4878003
entry	Aimant	0	
orth	Aimant		
entry	Aine	0	
orth	Aine		
entry	Air	2	
orth	Air		
pb	115-116	0057	4878004
pb	117-118	0058	4878005
entry	Aisselle	0	
orth	Aisselle		
entry	Albuginé, ée	0	
orth	Albuginé		
entry	Albugo	0	
orth	Albugo		
entry	Albumine	1	
orth	Albumine		
pb	119-120	0059	4878006
entry	Albuminurie	0	
orth	Albuminurie		
entry	Alcali ou Alkali	0	
orth	Alcali		
orth	Alkali		
entry	Alcyon (Nids d')	0	
orth	Alcyon (Nids d')		
entry	Alèse	0	
orth	Alèse		
entry	Algalie	0	
orth	Algalie		
entry	Algide	0	
orth	Algide		
entry	Aliénation mentale	0	
orth	Aliénation mentale		
entry	Aliment	3	
orth	Aliment		
pb	121-122	0060	4878007
pb	123-124	0061	4878008
pb	125-126	0062	4878009
entry	Allaitement	2	
orth	Allaitement		
pb	127-128	0063	4878010
pb	129-130	0064	4878011
entry	Aloès	1	
orth	Aloès		
pb	131-132	0065	4878012
entry	Alopécie	2	
orth	Alopécie		
pb	133-134	0066	4878013
pb	135-136	0067	4878014
entry	Alphos	0	
orth	Alphos		
entry	Altérants	0	
orth	Altérants		
entry	Alun	1	
orth	Alun		
pb	137-138	0068	4878015
entry	Amaurose, Goutte sereine	3	
orth	Amaurose		
orth	Goutte sereine		
pb	139-140	0069	4878016
pb	141-142	0070	4878017
pb	143-144	0071	4878018
entry	Amblyopie	1	
orth	Amblyopie		
pb	145-146	0072	4878019
entry	Ambulant	0	
orth	Ambulant		
entry	Amendement	0	
orth	Amendement		
entry	Aménorrhée	0	
orth	Aménorrhée		
entry	Amers	0	
orth	Amers		
entry	Amidon	0	
orth	Amidon		
entry	Ammoniaque	2	
orth	Ammoniaque		
pb	147-148	0073	4878020
pb	149-150	0074	4878021
entry	Amnésie	0	
orth	Amnésie		
entry	Amnios	0	
orth	Amnios		
entry	Ampoule	0	
orth	Ampoule		
entry	Amputation	0	
orth	Amputation		
entry	Amulette	0	
orth	Amulette		
pb	151-152	0075	4878022
entry	Amygdale	0	
orth	Amygdale		
entry	Amygdalite	0	
orth	Amygdalite		
entry	Analeptique	0	
orth	Analeptique		
entry	Anaphrodisie	0	
orth	Anaphrodisie		
entry	Anasarque	0	
orth	Anasarque		
entry	Anchilops	0	
orth	Anchilops		
entry	Anémie	2	
orth	Anémie		
pb	153-154	0076	4878023
pb	155-156	0077	4878024
entry	Anencéphale	0	
orth	Anencéphale		
entry	Anestésie	0	
orth	Anestésie		
entry	Anévrisme	2	
orth	Anévrisme		
pb	157-158	0078	4878025
pb	159-160	0079	4878026
entry	Angélique	1	
orth	Angélique		
pb	161-162	0080	4878027
entry	Angine	3	
orth	Angine		
pb	163-164	0081	4878028
pb	165-166	0082	4878029
pb	167-168	0083	4878030
entry	Angle facial	0	
orth	Angle facial		
entry	Angoisse	0	
orth	Angoisse		
entry	Angusture	1	
orth	Angusture		
pb	169-170	0084	4878031
entry	Anhélation	0	
orth	Anhélation		
entry	Animisme	1	
orth	Animisme		
pb	171-172	0085	4878032
entry	Anis	0	
orth	Anis		
entry	Ankyloblaphéron	0	
orth	Ankyloblaphéron		
entry	Ankylose	0	
orth	Ankylose		
entry	Anneau	0	
orth	Anneau		
entry	Anodin	0	
orth	Anodin		
entry	Anomal, e	0	
orth	Anomal		
entry	Anormal	0	
orth	Anormal		
entry	Anorexie	0	
orth	Anorexie		
entry	Anosmie	1	
orth	Anosmie		
pb	173-174	0086	4878033
entry	Anthelminthiques	0	
orth	Anthelminthiques		
entry	Anthrax	0	
orth	Anthrax		
entry	Anthropographie ou Anthropologie	0	
orth	Anthropographie		
orth	Anthropologie		
entry	Antiaphrodisiaques	0	
orth	Antiaphrodisiaques		
entry	Antiémétiques	0	
orth	Antiémétiques		
entry	Antimoine	3	
orth	Antimoine		
pb	175-176	0087	4878034
pb	177-178	0088	4878035
pb	179-180	0089	4878036
entry	Antipathie	0	
orth	Antipathie		
entry	Antiphlogistique	0	
orth	Antiphlogistique		
entry	Antipsoriques	0	
orth	Antipsoriques		
entry	Antiscorbutiques	0	
orth	Antiscorbutiques		
entry	Antiseptiques	0	
orth	Antiseptiques		
entry	Antispasmodiques	0	
orth	Antispasmodiques		
entry	Anurie	0	
orth	Anurie		
entry	Anxiété	0	
orth	Anxiété		
pb	181-182	0090	4878037
entry	Aorte	0	
orth	Aorte		
entry	Apepsie	0	
orth	Apepsie		
entry	Apéritif	0	
orth	Apéritif		
entry	Aphonie	0	
orth	Aphonie		
entry	Aphrodisiaque	0	
orth	Aphrodisiaque		
entry	Aphthe	2	
orth	Aphthe		
pb	183-184	0091	4878038
pb	185-186	0092	4878039
entry	Aponévrose	0	
orth	Aponévrose		
entry	Apoplexie	3	
orth	Apoplexie		
pb	187-188	0093	4878040
pb	189-190	0094	4878041
pb	191-192	0095	4878042
entry	Appétation (appétence)	0	
orth	Appétation (appétence)		
entry	Appétit	0	
orth	Appétit		
pb	193-194	0096	4878043
entry	Applicata	0	
orth	Applicata		
entry	Apyrexie	0	
orth	Apyrexie		
entry	Arachnitis	0	
orth	Arachnitis		
entry	Arachnoïdite	0	
orth	Arachnoïdite		
entry	Archée	0	
orth	Archée		
entry	Ardeur	0	
orth	Ardeur		
entry	Argent	3	
orth	Argent		
pb	195-196	0097	4878044
pb	197-198	0098	4878045
pb	199-200	0099	4878046
entry	Aridité	0	
orth	Aridité		
entry	Aritoloche	1	
orth	Aritoloche		
pb	201-202	0100	4878047
entry	Armoise	0	
orth	Armoise		
entry	Arnica	1	
orth	Arnica		
pb	203-204	0101	4878048
entry	Arsenic	3	
orth	Arsenic		
pb	205-206	0102	4878049
pb	207-208	0103	4878050
pb	209-210	0104	4878051
entry	Artère	0	
orth	Artère		
entry	Artérite	0	
orth	Artérite		
entry	Arthrite	0	
orth	Arthrite		
entry	Ascaride	0	
orth	Ascaride		
entry	Ascite	0	
orth	Ascite		
entry	Asphyxie	1	
orth	Asphyxie		
pb	211-212	0105	4878052
entry	Assa-foetida ou Asa-foetida	2	
orth	Assa-foetida		
orth	Asa-foetida		
pb	213-214	0106	4878053
pb	215-216	0107	4878054
entry	Asthénie	0	
orth	Asthénie		
entry	Asthme	2	
orth	Asthme		
pb	217-218	0108	4878055
pb	219-220	0109	4878056
entry	Astringents	0	
orth	Astringents		
entry	Ataxie	1	
orth	Ataxie		
pb	221-222	0110	4878057
entry	Atonie	0	
orth	Atonie		
pb	223-224	0111	4878058
entry	Atrabile	0	
orth	Atrabile		
entry	Atrophie	0	
orth	Atrophie		
entry	Audition	1	
orth	Audition		
pb	225-226	0112	4878059
entry	Aunée	0	
orth	Aunée		
entry	Auscultation	3	
orth	Auscultation		
pb	227-228	0113	4878060
pb	229-230	0114	4878061
pb	231-232	0115	4878062
entry	Avortement	1	
orth	Avortement		
pb	233-234	0116	4878063
pb	235-236	0117	4878064
entry	Badiane ou Anis étoilé	0	
orth	Badiane		
orth	Anis étoilé		
entry	Bain	1	
orth	Bain		
pb	237-238	0118	4878065
entry	Balanite	0	
orth	Balanite		
entry	Bardane	1	
orth	Bardane		
pb	239-240	0119	4878066
entry	Baryte ou Barote	0	
orth	Baryte		
orth	Barote		
entry	Bas-ventre	0	
orth	Bas-ventre		
entry	Baume	3	
orth	Baume		
pb	241-242	0120	4878067
pb	243-244	0121	4878068
pb	245-246	0122	4878069
entry	Bec-de-lièvre	0	
orth	Bec-de-lièvre		
entry	Béchique	0	
orth	Béchique		
entry	Belladone	2	
orth	Belladone		
pb	247-248	0123	4878070
pb	249-250	0124	4878071
entry	Benjoin	1	
orth	Benjoin		
pb	251-252	0125	4878072
entry	Benoîte	0	
orth	Benoîte		
entry	Béribéri	0	
orth	Béribéri		
entry	Berlue	0	
orth	Berlue		
entry	Bile	0	
orth	Bile		
entry	Bilieux	0	
orth	Bilieux		
entry	Bilieux (Elément)	2	
orth	Bilieux (Elément)		
pb	253-254	0126	4878073
pb	255-256	0127	4878074
entry	Bismuth	0	
orth	Bismuth		
entry	Bistorte	0	
orth	Bistorte		
entry	Blennorrhagie	5	
orth	Blennorrhagie		
pb	257-258	0128	4878075
pb	259-260	0129	4878076
pb	261-262	0130	4878077
pb	263-264	0131	4878078
pb	265-266	0132	4878079
entry	Blennorrhée	0	
orth	Blennorrhée		
entry	Blépharite	0	
orth	Blépharite		
entry	Bleue (maladie)	0	
orth	Bleue (maladie)		
entry	Boisson	3	
orth	Boisson		
pb	267-268	0133	4878080
pb	269-270	0134	4878081
pb	271-272	0135	4878082
entry	Bol	0	
orth	Bol		
entry	Borax	1	
orth	Borax		
pb	273-274	0136	4878083
entry	Borborygmes	0	
orth	Borborygmes		
entry	Bouche	0	
orth	Bouche		
entry	Bougie	1	
orth	Bougie		
pb	275-276	0137	4878084
entry	Bouillon	0	
orth	Bouillon		
entry	Bouillon blanc	0	
orth	Bouillon blanc		
entry	Boule hystérique	0	
orth	Boule hystérique		
entry	Boulimie	1	
orth	Boulimie		
