pb	sn	0001	7720238
entry	[Plat]	0	
pb	pb	0002	7720239
pb	sn	0003	7720240
entry	[Page de titre]	0	
pb	sn	0004	7720241
entry	1re Partie. Table par indications thérapeutiques des spécialités figurant dans cet ouvrage	0	
orth	1re Partie. Table par indications thérapeutiques des spécialités figurant dans cet ouvrage		
pb	sn	0005	7720242
entry	Table par indications thérapeutiques des spécialités figurant dans cet ouvrage	0	
orth	Table par indications thérapeutiques des spécialités figurant dans cet ouvrage		
pb	sn	0006	7720243
entry	I. - Alimentation - Régimes	0	
orth	I. - Alimentation - Régimes		
entry	II. - Antiseptiques - Désinfectants	0	
orth	II. - Antiseptiques - Désinfectants		
entry	III. - Appareil circulatoire	0	
orth	III. - Appareil circulatoire		
pb	sn	0007	7720244
pb	sn	0008	7720245
entry	IV. - Appareil digestif et ses annexes	0	
orth	IV. - Appareil digestif et ses annexes		
pb	sn	0009	7720246
pb	sn	0010	7720247
entry	V. - Appareil génito-urinaire	0	
orth	V. - Appareil génito-urinaire		
pb	sn	0011	7720248
entry	VI. - Appareil respiratoire	0	
orth	VI. - Appareil respiratoire		
pb	sn	0012	7720249
pb	sn	0013	7720250
entry	VII. - Arthritisme - Goutte - Rhumatisme - Algies diverses	0	
orth	VII. - Arthritisme - Goutte - Rhumatisme - Algies diverses		
pb	sn	0014	7720251
entry	VIII. - Dermatoses - Plaies	0	
orth	VIII. - Dermatoses - Plaies		
pb	sn	0015	7720252
entry	IX. - Gynécologie - Obstétrique	0	
orth	IX. - Gynécologie - Obstétrique		
pb	sn	0016	7720253
entry	X. - Hémostatiques	0	
orth	X. - Hémostatiques		
pb	sn	0017	7720254
entry	XI. - Maladies infectieuses et parasitaires	0	
orth	XI. - Maladies infectieuses et parasitaires		
pb	sn	0018	7720255
entry	XII. - Ophtalmologie	0	
orth	XII. - Ophtalmologie		
entry	XIII. - Opothérapie - Vaccinothérapie - produits divers	0	
orth	XIII. - Opothérapie - Vaccinothérapie - produits divers		
pb	sn	0019	7720256
entry	XIV. - Oto-rhino-laryngologie	0	
orth	XIV. - Oto-rhino-laryngologie		
entry	XV. - Reconstituants - Recalcifiants - Toniques	0	
orth	XV. - Reconstituants - Recalcifiants - Toniques		
pb	sn	0020	7720257
pb	sn	0021	7720258
pb	sn	0022	7720259
