pb	sn	0001	7734802
entry	[Plat]	0	
pb	pb	0002	7734803
pb	pb	0003	7734804
pb	pb	0004	7734805
pb	sn	0005	7734806
entry	[Page de titre]	0	
pb	sn	0006	7734807
pb	sn	0007	7734808
entry	Table des chapitres	0	
orth	Table des chapitres		
pb	pb	0008	7734809
pb	sn	0009	7734810
pb	6	0010	7734811
pb	7	0011	7734812
pb	8	0012	7734813
pb	9	0013	7734814
pb	10	0014	7734815
pb	11	0015	7734816
pb	12	0016	7734817
pb	13	0017	7734818
pb	14	0018	7734819
pb	15	0019	7734820
pb	16	0020	7734821
pb	17	0021	7734822
pb	18	0022	7734823
pb	19	0023	7734824
entry	Table des spécialités par actions médicamenteuses et indications thérapeutiques	0	
orth	Table des spécialités par actions médicamenteuses et indications thérapeutiques		
pb	pb	0024	7734825
pb	21	0025	7734826
entry	I. - Appareil circulatoire. T. G. Antispasmodiques artériels	0	
orth	I. - Appareil circulatoire. T. G. Antispasmodiques artériels		
pb	22	0026	7734827
entry	Diurétiques	1	
orth	Diurétiques		
pb	23	0027	7734828
entry	Hémostatiques	1	
orth	Hémostatiques		
pb	24	0028	7734829
entry	Modérateurs cardiaques	1	
orth	Modérateurs cardiaques		
pb	25	0029	7734830
entry	Toni-cardiaques	1	
orth	Toni-cardiaques		
pb	26	0030	7734831
pb	27	0031	7734832
entry	Vaso-constricteurs artériels hypertenseurs	0	
orth	Vaso-constricteurs artériels hypertenseurs		
entry	Vaso-constricteurs veineux	1	
orth	Vaso-constricteurs veineux		
pb	28	0032	7734833
entry	Vaso-dilatateurs artériels hypotenseurs	1	
orth	Vaso-dilatateurs artériels hypotenseurs		
pb	29	0033	7734834
pb	30	0034	7734835
entry	I. - Appareil circulatoire. T. S. Anémies - Chlorose - Leucémie - Lymphadénie	0	
orth	I. - Appareil circulatoire. T. S. Anémies - Chlorose - Leucémie - Lymphadénie		
pb	31	0035	7734836
entry	Anémies - Chlorose - Leucémie - Lymphadénie	2	
orth	Anémies - Chlorose - Leucémie - Lymphadénie		
pb	32	0036	7734837
pb	33	0037	7734838
entry	Angine de poitrine	1	
orth	Angine de poitrine		
pb	34	0038	7734839
entry	Artério-sclérose et ses complications	3	
orth	Artério-sclérose et ses complications		
pb	35	0039	7734840
pb	36	0040	7734841
pb	37	0041	7734842
entry	Artérites - Aortites - Claudication intermittente	1	
orth	Artérites - Aortites - Claudication intermittente		
pb	38	0042	7734843
entry	Arythmies	1	
orth	Arythmies		
pb	39	0043	7734844
entry	Cardiopathies aiguës	1	
orth	Cardiopathies aiguës		
pb	40	0044	7734845
entry	Éréthisme - Tachycardie - Palpitations	2	
orth	Éréthisme - Tachycardie - Palpitations		
pb	41	0045	7734846
pb	42	0046	7734847
entry	Gangrènes - Syndrome de Raynaud	0	
orth	Gangrènes - Syndrome de Raynaud		
entry	Hémorroïdes - Varices - Phlébites	2	
orth	Hémorroïdes - Varices - Phlébites		
pb	43	0047	7734848
pb	44	0048	7734849
entry	Hypertension	2	
orth	Hypertension		
pb	45	0049	7734850
pb	46	0050	7734851
entry	Hypotension	1	
orth	Hypotension		
pb	47	0051	7734852
entry	Insuffisance cardiaque hyposystolie-asystolie	0	
orth	Insuffisance cardiaque hyposystolie-asystolie		
pb	48	0052	7734853
entry	Insuffisance cardiaque hyposystolie asystolie	0	
orth	Insuffisance cardiaque hyposystolie asystolie		
entry	Shock - Accidents sériques	1	
orth	Shock - Accidents sériques		
pb	49	0053	7734854
entry	II. - Appareil digestif. T. G. Alcalins - Saturants	0	
orth	II. - Appareil digestif. T. G. Alcalins - Saturants		
pb	50	0054	7734855
entry	Alcalins - Saturants	0	
orth	Alcalins - Saturants		
pb	51	0055	7734856
entry	Antidiarrhéiques	0	
orth	Antidiarrhéiques		
pb	52	0056	7734857
entry	Antiémétisants	0	
orth	Antiémétisants		
entry	Antiseptiques intestinaux antifermentescibles	2	
orth	Antiseptiques intestinaux antifermentescibles		
pb	53	0057	7734858
pb	54	0058	7734859
entry	Antispasmodiques et sédatifs	2	
orth	Antispasmodiques et sédatifs		
pb	55	0059	7734860
pb	56	0060	7734861
entry	Cholagogues	2	
orth	Cholagogues		
pb	57	0061	7734862
pb	58	0062	7734863
pb	59	0063	7734864
entry	Eupeptiques - Stomachiques	1	
orth	Eupeptiques - Stomachiques		
pb	60	0064	7734865
entry	Laxatifs - Purgatifs	2	
orth	Laxatifs - Purgatifs		
pb	61	0065	7734866
pb	62	0066	7734867
entry	Pansements gastriques	1	
orth	Pansements gastriques		
pb	63	0067	7734868
entry	Stimulants de la sécrétion et de la motilité gastrique	1	
orth	Stimulants de la sécrétion et de la motilité gastrique		
pb	64	0068	7734869
entry	II. - Appareil digestif. T. S. Aérophagie - Dilatation de l'estomac	0	
orth	II. - Appareil digestif. T. S. Aérophagie - Dilatation de l'estomac		
pb	65	0069	7734870
entry	Aérophagie - Dilatation de l'estomac	1	
orth	Aérophagie - Dilatation de l'estomac		
pb	66	0070	7734871
entry	Allergies - Anaphylaxies	1	
orth	Allergies - Anaphylaxies		
pb	67	0071	7734872
entry	Anorexies	1	
orth	Anorexies		
pb	68	0072	7734873
entry	Cholécystites - Angiocholites	3	
orth	Cholécystites - Angiocholites		
pb	69	0073	7734874
pb	70	0074	7734875
pb	71	0075	7734876
entry	Cirrhoses	1	
orth	Cirrhoses		
pb	72	0076	7734877
entry	Congestion du foie - Foie cardiaque	3	
orth	Congestion du foie - Foie cardiaque		
pb	73	0077	7734878
pb	74	0078	7734879
pb	75	0079	7734880
entry	Dysenterie - Choléra	1	
orth	Dysenterie - Choléra		
pb	76	0080	7734881
entry	Dyspepsies	3	
orth	Dyspepsies		
pb	77	0081	7734882
pb	78	0082	7734883
pb	79	0083	7734884
pb	80	0084	7734885
entry	Entérites aiguës - Diarrhées - Coliques - Fermentations intestinales	3	
orth	Entérites aiguës - Diarrhées - Coliques - Fermentations intestinales		
pb	81	0085	7734886
pb	82	0086	7734887
pb	83	0087	7734888
entry	Entérites chroniques - Appendicite chronique	3	
orth	Entérites chroniques - Appendicite chronique		
pb	84	0088	7734889
pb	85	0089	7734890
pb	86	0090	7734891
pb	87	0091	7734892
entry	Gastralgies	1	
orth	Gastralgies		
pb	88	0092	7734893
entry	Gastro-entérites de l'enfance - Diarrhées infantiles	2	
orth	Gastro-entérites de l'enfance - Diarrhées infantiles		
pb	89	0093	7734894
pb	90	0094	7734895
entry	Hyperchlorhydrie	2	
orth	Hyperchlorhydrie		
pb	91	0095	7734896
pb	92	0096	7734897
entry	Hypochlorhydrie - Hypopepsie atonie gastrique	1	
orth	Hypochlorhydrie - Hypopepsie atonie gastrique		
pb	93	0097	7734898
entry	Ictères - Cholémie	3	
orth	Ictères - Cholémie		
pb	94	0098	7734899
pb	95	0099	7734900
pb	96	0100	7734901
entry	Infections intestinales	2	
orth	Infections intestinales		
pb	97	0101	7734902
pb	98	0102	7734903
entry	Insuffisance hépatique	3	
orth	Insuffisance hépatique		
pb	99	0103	7734904
pb	100	0104	7734905
pb	101	0105	7734906
entry	Insuffisance pancréatique	0	
orth	Insuffisance pancréatique		
entry	Intoxications - Auto-intoxications et séquelles	2	
orth	Intoxications - Auto-intoxications et séquelles		
pb	102	0106	7734907
pb	103	0107	7734908
entry	Lithiase biliaire - Coliques hépatiques	3	
orth	Lithiase biliaire - Coliques hépatiques		
pb	104	0108	7734909
pb	105	0109	7734910
pb	106	0110	7734911
entry	Rectites - Fissures anales - Prurit anal	0	
orth	Rectites - Fissures anales - Prurit anal		
entry	Saturnisme - Coliques de plomb	1	
orth	Saturnisme - Coliques de plomb		
pb	107	0111	7734912
entry	Sténoses du pylore	0	
orth	Sténoses du pylore		
entry	Stomatites - Gingivite - Muguet	1	
