cote	annee	vols	class	nom	livanc	nomdate	an_max	orth_lang	entry_lang	sep	vol_re	bibl
_00152	1601	1	med	<u>de Gorris</u> index		<u>de Gorris</u> index (1601)		grc	lat			Gorris, Jean de. Definitionum medicarum libri XXIIII… ab authore ante obitum recogniti, magnaque accessione adaucti…, adiectus in calce Latinograecus Index copiosissimus. Francfort : Wechel, 1601.
_08746	1622	1	med	<u>de Gorris</u>		<u>de Gorris</u> (1622)		grc	lat			Gorris, Jean de. Definitionum medicarum libri XXIIII. A Joanne Gorraeo filio... locupletati & accessione magna adaucti. Paris : Apud Societatem Minimam, 1622.
#_08757	1658	1	med	<u>Thévenin</u>		<u>Thévenin</u> (1658)		grc				Thevenin, François. OEuvres...contenant un traité des operations de chirurgie, un traité des tumeurs, & un dictionnaire etymologique de mots grecs servans à la médecine, recueillies par maistre Guillaume Parthon À Paris, chez P. Rocolet, 1658.
_01208	1709	1	hist	<u>Chomel</u>	5102	<u>Chomel</u> (1709)				/		Chomel, Noël. - Dictionnaire oeconomique, contenant divers moyens d’augmenter et conserver son bien, et même sa santé... - Paris : Le Conte & Montalant, 1709.
pharma_000103	1741	4	hist	<u>Chomel</u> 4e éd.	63406	<u>Chomel</u> 4e éd. (1741)				/		Chomel, Noël. - Dictionnaire oeconomique, contenant divers moyens d’augmenter son bien, et de conserver sa santé... - Commercy : Chez Henry Thomas & Cie, 1741. Publié en quatre volumes, dont deux volumes de supplément.
_01686	1743	3	med sc	<u>James</u>	24818	<u>James</u> (1743-1745)	1745	lat	eng	/	\. (Vol\..*)	James, Robert. - A Medicinal Dictionary. - Londres : J. Roberts, 1743-1745, 3 vol.
_00216	1746	6	med sc	<u>James</u> <u>Diderot</u> & al.	24821	<u>James</u> <u>Diderot</u> & al. (1746-1748)	1748	lat		.	\. (T\..*)	James, Robert. - Dictionnaire universel de médecine... traduit de l’anglais par Mrs Diderot, Eidous et Toussaint. Paris : Briasson, David l’aîné, Durand, 1746-1748, 6 vol.
_07399	1746	1	med	<u>Castelli</u> <u>Bruno</u>		<u>Castelli</u> <u>Bruno</u> (1746)		lat	lat			Castelli, Bartolomeo et al. Lexicon medicum graeco-latinum, Ante a Jacobo Pancratio Brunone iterato editum nunc denuo ab eodem et aliis plurimis novis accessionibus locupletatum et in multis correctum. Editio nova accuratissima, avec une Mantissa nomenclaturae medicae hexaglottae, vocabula latina, ordine alphabetico, cum annexis arabicis, hebraeis, graecis, gallicis et italicis, proponentis… Genevae : Apud Fratres de Tournes, 1746.
pharma_019428	1750	3	hist	<u>Gissey</u>	47203	<u>Gissey</u> (1750)				/	(Tome .*)	Gissey, Henri-Simon-Pierre. - Dictionnaire des alimens vins et liqueurs, leurs qualités, leurs effets... - Paris : Chez Gissey, Bordelet, 1750. Publié en trois volumes.
_31873	1766	2	med	<u>Dufieu</u>	87722	<u>Dufieu</u> (1766)				/	\. (Tome .*)	Dufieu, Jean-Ferapie. - Dictionnaire raisonné d’anatomie et de physiologie, dans lequel on trouve, 1°. la description exacte de toutes les parties du corps humain ; 2°. l’étymologie de beaucoup de termes difficiles ; 3°. des réflexions pathologiques & thérapeutiques sur les parties que l’on décrit ; 4°. la maniere de faire toutes sortes de préparations anatomiques, & l’art de les conserver ; 5°. l’explication physique & méchanique de toutes les fonctions de l’homme ; avec des réflexions pathologiques & thérapeutiques sur les dérangements qui peuvent y survenir. Le tout orné de beaucoup d’observations utiles & curieuses. - Paris, Didot le Jeune, 1766. 2 volumes.
