titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_pharma_000103	pharma_000103x01	1741		63407
_pharma_000103	pharma_000103x02	1741		63408
_pharma_000103	pharma_000103x03	1741		63409
_pharma_000103	pharma_000103x04	1741		63410
_01686	01686x01	1743	Vol. I	3299
_01686	01686x02	1745	Vol. II	3300
_01686	01686x03	1745	Vol. III	3301
_00216	00216x01	1746	T. I	3391
_00216	00216x02	1746	T. II	3392
_00216	00216x03	1747	T. III	3393
_00216	00216x04	1747	T. IV	3394
_00216	00216x05	1748	T. V	3395
_00216	00216x06	1748	T. VI	3396
_pharma_019428	pharma_019428x01	1750	Tome premier	47204
_pharma_019428	pharma_019428x02	1750	Tome second	47205
_pharma_019428	pharma_019428x03	1750	Tome troisième	47206
_31873	31873x01	1766	Tome premier	87720
_31873	31873x02	1766	Tome second	87721
_30944	30944x01	1767	Tome 1	2963
_30944	30944x02	1767	Tome 2	2964
_pharma_019127	pharma_019127x01	1770	Tome Premier	43008
_pharma_019127	pharma_019127x02	1770	Tome Deuxième	43009
_pharma_019127	pharma_019127x03	1770	Tome Troisième	43010
_pharma_019127	pharma_019127x04	1771	Tome Quatrième	43011
_pharma_013686	pharma_013686x01	1772	Tome premier	43003
_pharma_013686	pharma_013686x02	1772	Tome second	43004
_pharma_013686	pharma_013686x03	1772	Tome troisième	43005
_pharma_013686	pharma_013686x04	1776	Tome quatrième	43006
_extalfobuchoz	extalfobuchozx01	1775	Tome premier	186674
_extalfobuchoz	extalfobuchozx02	1775	Tome second	186675
_extalfobuchoz	extalfobuchozx03	1775	Tome troisième	186676
_extalfobuchoz	extalfobuchozx04	1775	Tome quatrième	186677
_extalfobuchoz	extalfobuchozx05	1775	Tome cinquième	186678
_extalfobuchoz	extalfobuchozx06	1775	Tome sixième	186679
_146144	146144x01	1778	Tome 1	3110
_146144	146144x02	1778	Tome 2	3111
_146144	146144x03	1778	Tome 3	3112
_146144	146144x04	1778	Tome 4	3113
_07410xM	07410xM01	1787	A-ALI	2467
_07410xM	07410xM02	1790	ALK-AND	2468
_07410xM	07410xM03	1790	ANG-BLU	2469
_07410xM	07410xM04	1792	BO-CLY	2470
_07410xM	07410xM05	1792	CO-ENV	2471
_07410xM	07410xM06	1793	EPA-GYR	2472
_07410xM	07410xM07	1798	HA-JUS	2473
_07410xM	07410xM08	1808	K-MAZ	2474
_07410xM	07410xM09	1816	MEA-MER	2475
_07410xM	07410xM10	1821	MES-NOU	2476
_07410xM	07410xM11	1824	NOY-PHT	2477
_07410xM	07410xM12	1827	PHY-SEL	2478
_07410xM	07410xM13	1830	SEM-Z	2479
_07410xM	07410xM14	1830	Tables	2480
_07410xC	07410xC01	1790	A-KYS	2494
_07410xC	07410xC02	1792	LAC-ZIG. Table des matières, explications des planches	2495
_07410xC	07410xC03	1798	Recueil des planches du dictionnaire de chirurgie	2496
_pharma_019129	pharma_019129x01	1797	Tome premier	47197
_pharma_019129	pharma_019129x02	1797	Tome second	47198
_pharma_019129	pharma_019129x03	1797	Tome troisième	47199
_pharma_019129	pharma_019129x04	1797	Tome quatrième	47200
_pharma_019129	pharma_019129x05	1797	Tome cinquième	47201
_pharma_019129	pharma_019129x06	1797	Tome sixième	47202
_pharma_019128	pharma_019128x01	1803	Tome premier	47194
_pharma_019128	pharma_019128x02	1803	Tome second	47195
_extbnfrivet	extbnfrivetx01	1803	tome 1, Abricot - Kina - kina	3593
_extbnfrivet	extbnfrivetx02	1805	tome 2, Lait - Zédoaire	3594
_47661	47661x01	1812	vol. 1 (A - AMP)	1497
_47661	47661x02	1812	vol. 2 (AMU - BAN)	1498
_47661	47661x03	1812	vol. 3 (BAN - CAC)	1499
_47661	47661x04	1812	vol. 4 (CAN - CHA)	1500
_47661	47661x05	1813	vol. 5 (CHA - COL)	1606
_47661	47661x06	1813	vol. 6 (COL - COR)	1607
_47661	47661x07	1813	vol. 7 (COR - CYS)	1608
_47661	47661x08	1814	vol. 8 (DAC - DES)	1609
_47661	47661x09	1814	vol. 9 (DES - DIS)	1610
