terme,"IF(AVG(dico_titre) = 3, 'en', if(AVG(dico_titre) = 4, 'fr', 'en-fr'))"
A,en
"A or alpha",en
"A. A. A",en
A.A.A,fr
Aabam,en-fr
Abactus,en-fr
Abacus,en
"Abacus major",en
Abacus-major,fr
Abada,fr
Abaisir,en-fr
Abalienatus,en-fr
Abanga,en-fr
abaptista,fr
Abaptiston,en-fr
Abaremo-temo,fr
Abaris,en-fr
Abarnahas,en-fr
Abartamen,en-fr
Abarticulatio,en-fr
Abas,en-fr
Abavi,en-fr
abavo,fr
abavum,fr
Abbreviatio,en-fr
Abdelavi,en-fr
"Abditae Causae",en-fr
Abditus,en-fr
Abdomen,en-fr
Abducere,en
Abductio,en
Abductor,en
Abebaeos,en-fr
Abele,en-fr
Abelicea,en-fr
Abelmeluch,fr
Abelmoluch,en
Abelmosch,en-fr
Abesamum,en-fr
Abessi,en-fr
Abesum,en-fr
Abevacuatio,en-fr
Abhal,fr
Abicum,en-fr
Abies,en-fr
Abiga,fr
"Abiga herba",en
Abit,en-fr
Ablactatio,en-fr
Ablatio,en-fr
"Abluentia medicamenta",en-fr
Abluiren,en-fr
Ablutio,en-fr
Aboit,en-fr
Abomasum,en-fr
Abominatio,en-fr
aborsus,fr
Abortus,en-fr
Abrabax,en-fr
Abracadabra,en-fr
Abracalan,en-fr
Abraham,en-fr
Abrasa,en-fr
Abrasaxas,en-fr
Abrasio,en-fr
Abrasum,en-fr
Abrathan,en-fr
abraxas,fr
Abric,en-fr
Abrotanoides,en-fr
Abrotanum,en-fr
Abrotonites,en-fr
Abruptio,en-fr
Abrus,en-fr
Abscedentia,en-fr
Abscessio,en
Abscessus,en-fr
Abscissio,en-fr
Absconsio,en-fr
"Absinthites vinum",en
Absinthium,en-fr
Absorbentia,en-fr
Abstemius,en-fr
Abstentio,en-fr
Abstergentia,en-fr
Abstinentia,en-fr
Abstractitius,en-fr
Absus,en-fr
Abundantia,en-fr
Abusus,en-fr
Abutige,en-fr
Abutilon,en-fr
Abvacuatio,en-fr
Abyssus,en-fr
Acacalis,en-fr
Acacia,en-fr
"Acacia ferrea",en-fr
"Acacia germanica",en-fr
Acacos,en-fr
Academia,en-fr
Acaeria,en-fr
Acahi,en-fr
Acaid,en-fr
Acairos,en-fr
Acaja,en-fr
Acajaiba,en-fr
Acajou,en
"Acajouanum lignum",en-fr
Acalai,en-fr
Acalcum,en-fr
Acalephe,en-fr
Acamatos,en-fr
Acamech,en-fr
Acanor,en-fr
Acantha,en-fr
Acanthabolus,en-fr
Acanthaceous,en-fr
Acanthalzuca,en-fr
Acanthice,en-fr
Acanthion,fr
Acanthium,en-fr
AcanthiWn,en
Acanthus,en-fr
Acanus,en-fr
Acapnon,en-fr
Acardios,en-fr
Acari,en-fr
Acaricoba,fr
Acarna,en-fr
Acarnan,en-fr
Acaron,en-fr
Acartum,en-fr
acarus,fr
Acatalepsia,en-fr
Acatalis,en-fr
Acatastatos,en-fr
Acatera,en-fr
Acatharsia,en-fr
Acato,en-fr
Acaulis,en-fr
Acaulos,en-fr
Acazdir,en-fr
Accatem,en-fr
Accatum,fr
"Acceleratores urinae",en-fr
Accessio,en-fr
Accessorius,en-fr
Accessus,en-fr
Accib,en-fr
Accidens,en-fr
Accipiter,en-fr
Accipitrina,en-fr
Accretio,en-fr
Accubitus,en
Accurtatoria,en-fr
Accusatio,en-fr
Acedia,en-fr
acemech,fr
Acephalos,en-fr
Acer,en-fr
Aceratos,en-fr
Acerbus,en-fr
Acerides,en-fr
Acerosus,en-fr
Acescentia,fr
Acesias,en-fr
Acesis,en-fr
Acesius,en-fr
Aceso,en-fr
Acesta,en-fr
Acestides,en-fr
Acestis,en-fr
Acestoris,en-fr
Acestra,en-fr
Acestrides,en-fr
Acetabulum,en-fr
Acetaria,en-fr
"Acetarium scorbuticum",en-fr
Acetosa,en-fr
"Acetosa esurina",fr
Acetosella,en-fr
Acetum,en-fr
"Acetum radicatum",en-fr
Achahi,en-fr
Achamelech,en-fr
Achanaca,fr
achaova,fr
Achaovan,en-fr
Achariston,en-fr
Achates,en-fr
Acheir,en-fr
Achemenis,en-fr
Achicolum,en-fr
Achillea,en-fr
"Achillea montana",en-fr
Achilleion,en-fr
Achilleios,en-fr
Achilleis,en-fr
Achilles,en-fr
Achillis,fr
"Achillis tendo",en
achimadium,fr
Achimbassi,en-fr
Achiote,en-fr
Achiotl,en-fr
Achlades,en-fr
Achlys,en-fr
Achmadium,en-fr
Achne,en-fr
Achor,en-fr
Achoristos,en-fr
Achourou,fr
Achras,en-fr
Achreion,en-fr
Achroi,en-fr
Achromos,en-fr
Achrous,en-fr
Achy,en-fr
Achyron,en-fr
Acia,en-fr
Acicys,en-fr
Acida,en-fr
Acies,en-fr
Acinesia,en-fr
Aciniformis,en-fr
Acinos,en-fr
"acinosa tunica",fr
Acinus,en-fr
Acis,en
Acmasticos,en-fr
Acme,en-fr
Acmella,en-fr
Acmo,en-fr
Acne,en-fr
Acnestis,en-fr
Aco,en-fr
Acoe,en-fr
Acoelios,en-fr
Acoitus,en-fr
Acolastos,en-fr
Acon,en-fr
Acone,en-fr
Aconion,en-fr
Aconitifolia,en-fr
Aconiton,en-fr
Aconitum,en-fr
"Aconitum hyemale",en
Acontias,en-fr
Acopa,en-fr
Acopis,en-fr
Acopon,en-fr
Acopos,en-fr
Acor,en-fr
Acordina,en-fr
Acoria,en-fr
"Acorites vinum",en-fr
Acorna,en-fr
Acortinus,en-fr
Acorus,en-fr
Acos,en-fr
Acosmia,en-fr
Acousa,en-fr
Acousia,en-fr
Acoustica,en-fr
Acrai,en-fr
Acraipala,en-fr
Acralea,en-fr
Acras,en-fr
Acrasia,en-fr
Acratia,en-fr
Acratisma,en-fr
Acratomeli,en-fr
Acratos,en-fr
Acre,en-fr
Acrea,en-fr
Acresperon,en-fr
Acretoposia,en-fr
Acribes,en-fr
Acrifolium,en-fr
Acrimonia,en-fr
Acris,en-fr
Acrisia,en-fr
Acriton,en-fr
Acriviola,en-fr
Acroasis,en-fr
Acrobystia,en-fr
Acrocheiria,en-fr
Acrocheiris,en-fr
Acrochliaron,en-fr
Acrocholia,en-fr
Acrochordon,en-fr
Acrochorismus,en-fr
Acrocolia,en-fr
Acrodrya,en-fr
Acrolenion,en-fr
Acromion,en-fr
Acromphalion,en-fr
Acron,en-fr
Acropathos,en-fr
Acropis,en-fr
Acroploa,en-fr
Acroposthia,en-fr
Acropsilon,en-fr
Acros,en-fr
Acrosapes,en-fr
Acrospelos,en-fr
Acroteria,en-fr
Acroteriasmus,en-fr
Acrothorex,en-fr
Acrothymion,en-fr
Actaea,en-fr
Acte,en-fr
Actin,en-fr
Actine,en-fr
Actinobolismus,en-fr
Actio,en-fr
Activus,en-fr
Acton,en-fr
Actualis,en-fr
Actuarius,en-fr
Actuatio,en-fr
Acuitas,en-fr
Acuitio,en-fr
Aculei,en
Aculel,fr
Aculeosa,en-fr
Aculos,en-fr
Acumen,en-fr
Acumenus,en-fr
Acupunctura,en-fr
Acureb,en-fr
Acuron,en-fr
Acus,en-fr
"Acus moschata",en
"Acus pastoris",en
Acusticus,en-fr
Acusto,en-fr
Acutenaculum,en-fr
Acutus,en-fr
Adal,en-fr
Adamantis,en-fr
Adamas,en-fr
adamita,fr
Adamitum,en-fr
Adamus,en-fr
Adarces,en-fr
Adarigo,en-fr
Adarnech,en-fr
Adarris,en-fr
Adarticulatio,fr
Adarticuratio,en
Adaxoma,fr
Adaxomae,en
Addephagia,en-fr
Additamentum,en-fr
Additio,en-fr
Adductio,fr
Adductor,en-fr
"Adductor ad minimum digitum",en
"Adductor minimi digit pedis",en
"Adductor oculi",en
"Adductor pollicis manus ad indicem",en
"Adductor pollicis pedis",en
Adec,en-fr
Adech,en-fr
Adectos,en-fr
Adedentes,en-fr
Adehemest,en
Adelos,en-fr
Adelphia,en-fr
Adelphixis,en-fr
Ademonia,en-fr
Aden,en-fr
Adenios,fr
AdeniWs,en
Adenoides,en-fr
"Adenosus abscessus",en-fr
Adephagia,en-fr
Adeps,en-fr
"Adepta philosophia",en-fr
Ader,en-fr
adflatus,fr
Adhaerentia,en-fr
Adhatoda,en-fr
Adhehe,en-fr
Adhemest,fr
Adho,en-fr
Adiachytos,en-fr
Adianthum,en
Adiantum,fr
Adiaphoros,en-fr
Adiapneustia,en-fr
Adiaptotos,en-fr
Adiarrhoea,en-fr
Adib,en-fr
Adibat,en-fr
Adibisi,en-fr
adibizi,fr
Adice,en
Adidacus,en-fr
"Adiposa membrana",en-fr
Adipsatheon,en-fr
Adipson,en-fr
Adipsos,en-fr
Adirige,en-fr
Adiylistos,en-fr
Adjectio,en-fr
Adjutorium,en-fr
Adjuvantia,en-fr
Admirabilis,en-fr
Admisurab,en-fr
adnascentia,fr
Adnata,en-fr
"Adnata tunica",en-fr
adoc,fr
Adolescens,en-fr
Adonion,en-fr
"Adonis flos",en-fr
Ador,en-fr
Adorat,en-fr
Ados,en-fr
Adplumbatum,en-fr
"Adra riza",en-fr
Adrachne,en-fr
Adram,en-fr
Adraragi,en-fr
Adrariges,en
Adrianus,en-fr
Adrobolon,en-fr
Adrop,en-fr
Adros,en-fr
Adsamar,en-fr
Adsellare,en-fr
Adstrictio,en-fr
Adstringens,en-fr
Adulteratio,en-fr
Adulterium,en-fr
Adustio,en-fr
Adustion,en
Advertisement,en
Ady,en-fr
Adynamia,en-fr
Adynamon,en-fr
Adynatos,en-fr
Aeazo,en-fr
Aedeia,fr
Aedes,en-fr
Aedoia,en
Aegagropila,en-fr
Aegeirinon,en-fr
Aegeiros,en-fr
Aegides,en-fr
Aegidion,en-fr
Aegilops,en-fr
Aegimius,en
Aegimus,fr
Aegineta,fr
"Aegineta (Paulus)",en
Aegle,en-fr
Aeglia,en-fr
Aegoceras,en-fr
Aegolethron,en-fr
Aegonychon,en-fr
Aegoprosopon,en-fr
"Aegyptia aluta",fr
"Aegyptia antidotus",en-fr
"Aegyptia ulcera",en-fr
"Aegyptiacum unguentum",en-fr
Aegyption,en-fr
"Aegyptium andromachi emplastrum",en-fr
"Aegyptium croceum unguentum",en-fr
"Aegyptium linum",en-fr
"Aegyptium medicamentum ad aures",fr
"Aegyptium pharmacum ad aures",en
"Aegyptius pessus",en-fr
Aeichryson,en-fr
Aeigluces,en-fr
Aeipatheia,en-fr
Aeithales,en-fr
Aeizoon,en-fr
"Aelianus meccius",en-fr
"Aelius promotus",en-fr
"Aemilius macer",en-fr
Aeolipylae,en-fr
Aeon,en-fr
Aeonesis,en-fr
Aeonion,en-fr
Aeora,en-fr
Aepos,en-fr
Aequalis,en-fr
Aequilibrium,en-fr
Aequinoctium,en-fr
Aequipollens,en-fr
Aer,en-fr
Aera,en-fr
Aerdadi,en-fr
Aereolum,en-fr
Aerificatio,en-fr
Aeritis,fr
Aerologice,en-fr
Aeromeli,en-fr
Aerophobi,en
Aerophobos,fr
Aerosis,en-fr
Aeruginosus,en-fr
Aerugo,en-fr
Aes,en-fr
Aesalo,en-fr
Aeschos,en-fr
Aeschrion,en-fr
Aeschynomenos,fr
Aeschynomenous,en
Aesculapius,en-fr
Aestas,en-fr
Aestates,en-fr
Aesthesis,en-fr
Aesthphara,en
Aestphara,fr
Aestuarium,en-fr
Aestuatio,en-fr
Aestus,en-fr
Aetas,en-fr
Aethale,en-fr
Aethales,en
Aether,en-fr
"Aetheria herba",en-fr
Aethes,en-fr
"Aethiopicum cuminum",en
"Aethiopicum cummum",fr
"Aethiopicus lapis",en-fr
Aethiopis,fr
"Aethiops albus",fr
"Aethiops antimonialis",en-fr
"Aethiops mineralis",en-fr
Aethna,en-fr
Aetholices,en-fr
Aethya,en-fr
Aethyia,en-fr
Aetia,en-fr
Aetiologia,en-fr
Aetites,en-fr
Aetius,en-fr
"Aetoi phlebes",en-fr
Aetolion,en-fr
Aetoma,en-fr
Aetonychum,en-fr
affaris,fr
Affarx,en-fr
Affax,en-fr
Affectio,en-fr
affectus,fr
Affenicum,en-fr
Affeos,en-fr
Affidra,en-fr
Affion,en-fr
Afflatus,en-fr
Afflictio,en-fr
Affodius,en-fr
Afformas,en-fr
Affrengi,en-fr
"Affricanus flos",fr
Affrodina,en-fr
Affronitum,en-fr
Affroton,en-fr
Affusio,en-fr
Afra,en-fr
Afragar,en-fr
Africanus,en
"Africanus flos",en-fr
Afrob,en-fr
"Aga cretensium",en-fr
Agalactia,en-fr
Agallochum,en-fr
Agape,en-fr
Agar,en
Agaricoides,en-fr
Agaricus,en-fr
Agasyllis,en-fr
Agatharcides,en-fr
Agathinus,en-fr
Agathon,en-fr
"Agathonis antidotus hepatica",en-fr
Agaty,fr
"Agaty H. M",en
"Age vita",en-fr
Agelaeos,en-fr
Agem,en-fr
"Ager chymicus",en-fr
Agerasia,en-fr
Ageratum,en-fr
"Ageratus lapis",en-fr
Ages,en-fr
Ageustia,en-fr
Agglutinatio,en-fr
"Agglutinatio pilorum",en-fr
Aggregatum,en-fr
Agiahalid,en-fr
agiar,fr
Agitatio,en-fr
Aglia,en-fr
Aglithes,en-fr
Agme,en-fr
Agnacat,en-fr
Agnanthus,en-fr
Agnata,en-fr
"Agnina lactuca",en-fr
"Agnina membrana",en-fr
Agnoia,en-fr
Agnus,en-fr
"Agnus castus",en-fr
"Agnus scythicus",en-fr
"Agnus sythicus",fr
Agoge,en-fr
Agomphiasis,en-fr
Agone,en-fr
Agonia,en-fr
Agonisticon,en-fr
Agonos,en-fr
Agoraeus,en-fr
Agostus,en-fr
"agouti treva",fr
Agresta,en-fr
Agresten,en-fr
Agrestis,en-fr
Agria,en-fr
Agriampelos,en-fr
Agricultura,en-fr
Agrielaea,en-fr
Agrifolium,en-fr
Agrimonia,en-fr
Agrimonoides,en-fr
Agriocardamum,en-fr
Agriocastanum,en-fr
Agriocinara,en-fr
Agriococcimelea,fr
Agriococimelea,en
Agriomela,en-fr
Agrion,en-fr
Agriophyllon,en-fr
Agrioriganum,en-fr
Agrioselinum,en-fr
Agriostari,en-fr
Agripalma,en-fr
Agrippae,en-fr
Agronomos,fr
Agrophon,fr
Agrostis,fr
Agrumina,fr
Agrypnia,fr
Aguape,fr
"Aguara ponda",fr
"Aguara quiya",fr
Agul,fr
"Aguti treva",fr
Agutiguepa,fr
Agyion,fr
Agynos,fr
Agyrtae,fr
"Ahate de pavncho recchi",fr
Ahenum,fr
Ahius,fr
Ahmella,fr
ahoehoetl,fr
"Ahovai theveti clusii",fr
Ahusal,fr
Aidris,fr
Aipathia,fr
Aira,fr
Airi,fr
Aistherium,fr
Aisthesis,fr
Aitmat,fr
Aizoon,fr
Ajarazat,fr
"Ajubatipita brasiliensium",fr
Ajuga,fr
Akibot,fr
Akon,fr
Al,fr
Ala,fr
Alabandicus,fr
"alabandinus lapis",fr
Alabari,en-fr
Alabastra,fr
Alabastron,fr
Alabastrum,fr
Alacab,fr
Alachaschee,fr
Alacnoth,fr
Alae,fr
"Alae auris",fr
"Alae nasi",fr
Alafi,fr
Alafor,fr
alafort,fr
Alafreg,fr
Alahabar,en-fr
Alahatib,fr
"Alaia phthisis",fr
Alais,fr
Alamandina,fr
Alambic,fr
"Alana terra",fr
Alanabolus,fr
Alandahal,fr
Alanfuta,fr
Alapae,fr
Alaqueca,fr
alares,fr
Alaris,en-fr
Alartar,en-fr
Alasalet,en-fr
Alastrob,en-fr
Alatan,en-fr
Alaternoides,en-fr
Alaternus,en-fr
Alati,en-fr
"Alati processus",en-fr
Alauda,en-fr
Alaurat,en-fr
"Alba animalia",en-fr
"Alba terra",en-fr
"Alba vitiligo",en-fr
Albadara,en-fr
albae,fr
Albagiazi,en-fr
Albani,en-fr
Albanum,en-fr
Albara,en-fr
Albaras,en-fr
Albasef,en-fr
Albatio,en-fr
Albedo,en-fr
Alberas,en-fr
Alberick,en-fr
Albeston,en
Albetad,en-fr
Albeton,fr
Albi,en-fr
Albificatio,en-fr
Albinum,en-fr
Albir,en-fr
Albor,en-fr
Albora,en-fr
Alborca,en-fr
Albot,en-fr
Albotat,en-fr
Albotim,en
Albotis,en-fr
Albottum,fr
Albucasis,en-fr
"Albuginea tunica oculorum",en-fr
"Albugineus humor occuli",fr
"Albugineus humor oculi",en
"Albugo oculorum",en-fr
Albuhar,en-fr
Albula,en-fr
"Albulae aquae",en-fr
Album,fr
"Album graecum",en-fr
"Album hispanicum",en-fr
"Album jus",en-fr
"Album nigrrum",fr
"Album nigrum",en
"Album oculi",en-fr
"Album olus",en-fr
"Album severi collyrium",en
"Album severi collyrum",fr
"Album unguentium",fr
"Album unguentum",en-fr
Albumen,en
"Albumen ovi",fr
Albumor,en-fr
Alburnum,en-fr
"Alburnus ausonii",en-fr
Albus,en-fr
"Albus fluor",en-fr
Alcadp,en-fr
Alcafiel,en-fr
Alcahest,en-fr
alcalap,fr
Alcali,en-fr
Alcalisatio,en-fr
Alcamor,en-fr
Alcancali,en-fr
Alcanna,en-fr
alcanri,fr
Alcaol,en-fr
Alcar,en-fr
Alcara,en-fr
Alce,en-fr
Alcea,en-fr
"Alcea indica",fr
"Alcebris vivum",en-fr
Alcedo,en-fr
alchabric,fr
Alchachil,en-fr
Alcharith,en-fr
Alchemia,en-fr
Alchibert,en-fr
Alchibric,en-fr
Alchien,en-fr
Alchimelech,en-fr
Alchimia,en
Alchimilla,en-fr
Alchitram,en-fr
Alchitran,en-fr
Alchitura,en-fr
Alchollea,en-fr
Alchonor,en-fr
Alchymia,fr
Alcibiadium,en-fr
Alcimad,en-fr
Alciot,en-fr
Alcob,en-fr
Alcocalum,en-fr
Alcoel,en-fr
Alcofol,en-fr
Alcohol,en-fr
Alcol,en-fr
Alcola,en-fr
Alcolismus,en-fr
Alcolita,en-fr
Alcone,en-fr
Alcore,en-fr
Alcte,en-fr
Alcubd,en-fr
Alcubrith,en-fr
Alcur,en-fr
alcuzar,fr
Alcyonium,en-fr
Aldabaram,en-fr
Ale,en
Alec,en-fr
alech,fr
Alecharith,en-fr
Alectoria,en-fr
Alectorolophus,en-fr
Alefantes,en
Aleimma,en-fr
Aleion,en-fr
Aleipha,en-fr
Alelaion,en-fr
Alema,en-fr
Alembaci,en
Alemban,fr
Alembic,en-fr
Alembicus,en-fr
Alembroth,en-fr
Alemzadat,en-fr
Alenon,en-fr
"Aleophanginae pilulae",en-fr
Aleore,en-fr
Aleos,en-fr
Alephantes,fr
Ales,en-fr
"Ales crudum",en-fr
Alesch,en
Aleseh,fr
Aleton,en-fr
Aleuron,en-fr
Alexander,en-fr
"Alexandri antidotus aurea",en-fr
"Alexandri regis collyrium siccum",en-fr
Alexandria,en-fr
"Alexandrinum emplastrum viride",en-fr
Alexanthi,en-fr
Alexasthae,en
Alexasthai,fr
Alexicacon,en-fr
Alexion,en-fr
Alexipharmaca,en-fr
Alexippus,en-fr
Alexipyreticum,en-fr
Alexipyretos,en-fr
alexipyretum,fr
Alexir,en-fr
Alexiteria,en-fr
Alezaram,en-fr
Alfacta,en-fr
Alfadidam,en-fr
Alfasit,en-fr
Alfatida,en-fr
Alfatide,en-fr
Alfesera,en-fr
Alfoi,en-fr
Alfusa,en-fr
Alga,en-fr
Algali,en-fr
Algamet,en-fr
Algarab,en-fr
Algarot,en
Algaroth,fr
Algatia,en-fr
Algedo,en-fr
Algema,en-fr
Algemet,en-fr
Algeriae,en-fr
Algerie,en
Algeroth,en-fr
Algibic,en-fr
Algoides,en-fr
Algos,en-fr
Alhagi,en-fr
Alhandal,en-fr
Alhanna,en-fr
Alhasef,en-fr
Alhohonoch,en-fr
Alica,en-fr
Alices,en-fr
Alicornu,en-fr
alieaetus,fr
"Alienatio mentis",en-fr
Alienum,en-fr
"Aliformes processus",en-fr
Aligulus,en-fr
Alilat,en-fr
Alima,en-fr
Alimenta,en-fr
Alindesis,en-fr
Alinthisar,en-fr
Aliocab,en-fr
Alipaenos,en-fr
Alipasma,en-fr
Alipili,en-fr
Aliptae,en-fr
Alisma,en-fr
Alisteles,en-fr
Alitura,en
alkael,fr
Alkafial,en-fr
Alkahest,en-fr
Alkale,en-fr
Alkali,en-fr
Alkalia,en-fr
Alkalid,en-fr
Alkanri,en-fr
Alkant,en-fr
Alkantum,en-fr
Alkara,en-fr
Alkaranum,en-fr
Alkasa,en-fr
Alkaut,en-fr
Alkautum,en-fr
alkazoal,fr
Alkekengi,en-fr
Alkermes,en
Alkes,en-fr
"Alki Plumbi",en-fr
Alkian,en-fr
Alkibic,en-fr
Alkibric,en-fr
Alkien,en-fr
Alkimia,en-fr
Alkin,en-fr
Alkir,en-fr
Alkitram,en-fr
alkob,fr
Alkoel,en-fr
Alkol,en-fr
Alkosor,en-fr
Alla,en-fr
Allabor,en-fr
Allabrot,en
Allantois,en-fr
Allarinoch,en-fr
Allarot,fr
Alleluia,fr
Alleluja,en
allenec,fr
"Alliar aeris",en-fr
Alliaria,en-fr
Alligatura,en-fr
Allioticum,en-fr
Allium,en-fr
"Allium gallicum",en-fr
"Allobrogicum vinum",en-fr
Allochoos,en-fr
Allochroeo,en-fr
Allocoton,en-fr
Allodemia,en-fr
Alloeosis,en-fr
Allognoon,en-fr
Allophasis,en-fr
Alma,en-fr
Almabri,en-fr
Almager,en-fr
Almagra,en-fr
Almakanda,en-fr
Almakist,en-fr
almarago,fr
Almarcab,en-fr
Almarcarida,en-fr
Almarcat,en-fr
Almarchar,en-fr
Almargen,en-fr
Almariab,en-fr
Almarkasita,en-fr
Almartack,en
