identifiant,cote,nom,annee,pages,entrees,vedettes,sous-vedettes,traductions,fra,lat,grc,eng,deu,spa,ita
68,00152,"<u>de Gorris</u> Index lat.-gr.",1601,14,2197,2198,0,2556,0,0,2556,0,0,0,0
67,08746,"<u>de Gorris</u>",1622,742,0,0,0,0,0,0,0,0,0,0,0
66,08757,<u>Thévenin</u>,1658,202,0,0,0,0,0,0,0,0,0,0,0
65,01208,<u>Chomel</u>,1709,1216,857,870,0,0,0,0,0,0,0,0,0
64,pharma_000103,"<u>Chomel</u> 4<sup>e</sup> éd.",1741,1841,6500,6522,0,0,0,0,0,0,0,0,0
63,01686~ind,"<u>James</u> Index engl.",1743,17,0,0,0,0,0,0,0,0,0,0,0
62,01686,<u>James</u>,1743,3316,14386,15068,0,0,0,0,0,0,0,0,0
60,07399~hex,"<u>Castelli</u> <u>Bruno</u> Nom. hexaglott.",1746,25,1017,1273,0,7903,1448,0,1281,0,0,0,1362
61,00216~tab,"<u>James</u> <u>Diderot</u> & al. Table fr.",1746,575,0,0,0,0,0,0,0,0,0,0,0
59,07399,"<u>Castelli</u> <u>Bruno</u>",1746,760,13469,14783,0,14112,0,0,14112,0,0,0,0
58,00216,"<u>James</u> <u>Diderot</u> & al.",1746,5165,13935,14720,0,0,0,0,0,0,0,0,0
57,pharma_019428,<u>Gissey</u>,1750,1721,530,530,0,0,0,0,0,0,0,0,0
56,31873,<u>Dufieu</u>,1766,1717,2757,2883,0,0,0,0,0,0,0,0,0
55,30944,"<u>Levacher de La Feutrie</u> & al.",1767,1404,2230,2238,0,0,0,0,0,0,0,0,0
54,pharma_019127,"<u>Buc’hoz</u> Plantes",1770,2563,1316,1316,0,0,0,0,0,0,0,0,0
53,32546,<u>Hélian</u>,1771,455,154,158,0,0,0,0,0,0,0,0,0
52,pharma_013686,"<u>Buc’hoz</u> Minér. hydrol.",1772,2697,847,847,0,0,0,0,0,0,0,0,0
51,extalfobuchoz,"<u>Buc’hoz</u> Vétérinaire",1775,3502,852,912,0,0,0,0,0,0,0,0,0
50,146144,<u>Eloy</u>,1778,2708,3742,3742,0,0,0,0,0,0,0,0,0
49,07410xM,"Enc. méthod. médecine",1787,10178,13220,14084,0,0,0,0,0,0,0,0,0
48,07410xC,"Enc. méthod. chirurgie",1790,1574,1021,1051,0,0,0,0,0,0,0,0,0
47,45392,<u>Lavoisien</u>,1793,720,4568,4734,0,0,0,0,0,0,0,0,0
46,pharma_019129,"<u>Tournefort</u> <u>Jolyclerc</u>",1797,2301,2376,2398,0,0,0,0,0,0,0,0,0
45,extbnfrivet,<u>Rivet</u>,1803,987,986,986,0,0,0,0,0,0,0,0,0
44,pharma_019128,"Plantes alimentaires",1803,821,1055,1803,0,0,0,0,0,0,0,0,0
43,37019~syn,"<u>Capuron</u> Syn.",1806,41,0,0,0,0,0,0,0,0,0,0,0
42,37019~grc,"<u>Capuron</u> Mots grecs",1806,20,0,0,0,0,0,0,0,0,0,0,0
41,37019~lat,"<u>Capuron</u> Mots latins",1806,51,5741,5779,0,6006,6006,0,0,0,0,0,0
40,37019,<u>Capuron</u>,1806,508,6193,6491,0,6813,0,6148,661,0,0,0,1
39,47661,<u>Panckoucke</u>,1812,36489,18310,18310,0,0,0,0,0,0,0,0,0
38,47667,"<u>Panckoucke</u> Biogr.",1820,4049,4715,4740,0,0,0,0,0,0,0,0,0
36,35573,"<u>Panckoucke</u> Dict. abrégé",1821,8732,4539,4557,0,0,0,0,0,0,0,0,0
37,extbnfadelon,"<u>Adelon</u> & al.",1821,12112,5188,5479,0,0,0,0,0,0,0,0,0
35,61157,"<u>Bégin</u> & al.",1823,597,11303,11400,0,0,0,0,0,0,0,0,0
34,extbnfdezeimeris,"<u>Dezeimeris</u> & al.",1828,2915,2181,2269,0,0,0,0,0,0,0,0,0
33,pharma_014023,"<u>Mérat</u> & <u>de Lens</u>",1829,5278,30049,30059,0,0,0,0,0,0,0,0,0
32,34826,"<u>Andral</u> & al.",1829,9835,1873,1953,0,0,0,0,0,0,0,0,0
31,57503,<u>Coster</u>,1829,938,898,1162,0,0,0,0,0,0,0,0,0
30,34820,"<u>Adelon</u> & al. 2<sup>e</sup> éd.",1832,19224,1767,1883,0,0,0,0,0,0,0,0,0
29,extbnfnysten,"<u>Nysten</u> <u>Bricheteau</u> 5<sup>e</sup> éd.",1833,962,8938,9489,0,0,0,0,0,0,0,0,0
28,extalfodarboval,"<u>Hurtrel d’Arboval</u> 2<sup>e</sup> éd.",1838,4064,2246,2446,0,0,0,0,0,0,0,0,0
27,extbnfbeaude,<u>Beaude</u>,1849,1824,4257,4423,0,0,0,0,0,0,0,0,0
26,37029,<u>Fabre</u>,1850,6245,1304,1332,0,0,0,0,0,0,0,0,0
25,37020b,"<u>Nysten</u> <u>Littré</u> <u>Robin</u> 10<sup>e</sup> éd.",1855,1493,17104,17994,0,0,0,0,0,0,0,0,0
24,34823,"<u>Bouley</u> & <u>Reynal</u>",1856,14269,3174,3174,0,0,0,0,0,0,0,0,0
23,extbnfpoujol,<u>Poujol</u>,1857,551,999,1043,0,0,0,0,0,0,0,0,0
22,pharma_014236,<u>Roussel</u>,1859,2286,3703,3740,0,0,0,0,0,0,0,0,0
21,extbnfdechambre,"<u>Dechambre</u> & al.",1864,79425,30912,30914,0,0,0,0,0,0,0,0,0
20,32923,<u>Jaccoud</u>,1864,32510,1807,1905,0,0,0,0,0,0,0,0,0
19,37020c,"<u>Nysten</u> <u>Littré</u> <u>Robin</u> 12<sup>e</sup> éd.",1865,1808,18484,19141,0,0,0,0,0,0,0,0,0
18,27518,"<u>Bouchut</u> & <u>Després</u>",1867,1631,3034,3051,0,0,0,0,0,0,0,0,0
17,37020d~spa,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. esp.",1873,29,5235,5277,0,5144,5144,0,0,0,0,0,0
16,37020d~ita,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. ital.",1873,27,4992,5274,0,4846,4846,0,0,0,0,0,0
15,37020d~eng,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. angl.",1873,14,2416,2432,0,2172,2171,1,0,0,0,0,0
14,37020d~deu,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. all.",1873,30,5634,5672,0,5996,5996,0,0,0,0,0,0
13,37020d~grc,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. gr.",1873,11,1830,1935,0,1888,1886,0,2,0,0,0,0
12,37020d~lat,"<u>Littré</u> <u>Robin</u> 13<sup>e</sup> éd. Gloss. lat.",1873,19,3210,3310,0,3371,3371,0,0,0,0,0,0
