object			
volume	00152	Des Gorris (1601)	1601
ref	Des Gorris 1601		
pb	0525	0535	
pb	0526	0536	
entry	Abdomen	0	
orth	Abdomen	lat	
foreign	πάάσριον	grc	
foreign	ῆζον	grc	
entry	Abies	0	
orth	Abies	lat	
foreign	ἐλάτα	grc	
entry	Abiga	0	
orth	Abiga	lat	
foreign	γαμαπττος	grc	
entry	Abomasum	0	
orth	Abomasum	lat	
foreign	Lυστρον	grc	
entry	Abortus	0	
orth	Abortus	lat	
foreign	ἄμβλωσις	grc	
foreign	ἐκρωσμὸς	grc	
entry	Abortire	0	
orth	Abortire	lat	
foreign	ὥμότοκειν	grc	
entry	Abrotonum	0	
orth	Abrotonum	lat	
foreign	ἀδώνιον	grc	
foreign	ἀβρότονον	grc	
foreign	πρςκάμπυλον	grc	
entry	Abscessus	0	
orth	Abscessus	lat	
foreign	ἀπόστασις	grc	
foreign	ἀπόστημα	grc	
entry	Absinthium	0	
orth	Absinthium	lat	
foreign	ἀψινθιον	grc	
entry	Acacia	0	
orth	Acacia	lat	
foreign	ἄκανια	grc	
entry	Accessio	0	
orth	Accessio	lat	
foreign	παροξυσμὸς	grc	
entry	Accessionis retardatio	0	
orth	Accessionis retardatio	lat	
foreign	υστερητικὸς τυπος	grc	
entry	Accidens	0	
orth	Accidens	lat	
foreign	συμβεβηκὸς	grc	
foreign	σὑμπτωμα	grc	
entry	Accipiter	0	
orth	Accipiter	lat	
foreign	ἐραξ	grc	
entry	Acer	0	
orth	Acer	lat	
foreign	σφὲνδαμνος	grc	
entry	Acerbae vuae succus	0	
orth	Acerbae vuae succus	lat	
foreign	ὁμφάκιον	grc	
entry	Acerbum	0	
orth	Acerbum	lat	
foreign	σρυφνὸν	grc	
entry	Acerbum oleum	0	
orth	Acerbum oleum	lat	
foreign	ὁμφάκινονέλαιον	grc	
entry	Acetabulum	0	
orth	Acetabulum	lat	
foreign	ύβαφος	grc	
entry	Acetum	0	
orth	Acetum	lat	
foreign	ὅoς	grc	
entry	Acetum mulsum	0	
orth	Acetum mulsum	lat	
foreign	θύμις	grc	
entry	Aciditas	0	
orth	Aciditas	lat	
foreign	ἐύτης	grc	
entry	Acidum	0	
orth	Acidum	lat	
foreign	Sν	grc	
entry	Acre	0	
orth	Acre	lat	
foreign	δριμυ	grc	
entry	Acrium esus	0	
orth	Acrium esus	lat	
foreign	δριμυφαγα	grc	
entry	Actio	0	
orth	Actio	lat	
foreign	ἐέργεια	grc	
entry	Acus pastoris	0	
orth	Acus pastoris	lat	
foreign	γεράνιον	grc	
entry	Acuta spina	0	
orth	Acuta spina	lat	
foreign	ἐνάκαηθα	grc	
entry	Acutus	0	
orth	Acutus	lat	
foreign	ὺς	grc	
entry	Αdamas	0	
orth	Αdamas	lat	
foreign	ἀδάρας	grc	
entry	Additamentum	0	
orth	Additamentum	lat	
foreign	ἀπόφυνις	grc	
entry	Adeps	0	
orth	Adeps	lat	
foreign	πιμαλη	grc	
entry	Adhaerentia	0	
orth	Adhaerentia	lat	
foreign	πρὸσφυσις	grc	
entry	Adiantum	0	
orth	Adiantum	lat	
foreign	ἀδιαντον	grc	
entry	Adolescens	0	
orth	Adolescens	lat	
foreign	μειράκιον	grc	
