object			
volume	07399	Castelli	1746
pb	0001	0009	
entry	A	0	
orth	A		
entry	Aabam	0	
orth	Aabam		
entry	Ababtiston	0	
orth	Ababtiston		
entry	Abaisir	0	
orth	Abaisir		
entry	Abalienatus	0	
orth	Abalienatus		
entry	Abarnahas	0	
orth	Abarnahas		
entry	Abaetamen	0	
orth	Abaetamen		
entry	Abasticulatio	0	
orth	Abasticulatio		
entry	Abas	0	
orth	Abas		
entry	Abbreviatio	0	
orth	Abbreviatio		
entry	Abditus	0	
orth	Abditus		
pb	0002	0010	
entry	Abdomen	0	
orth	Abdomen		
entry	Abductio	0	
orth	Abductio		
entry	Abebaeos	0	
orth	Abebaeos		
entry	Abesamum	0	
orth	Abesamum		
entry	Abestus	0	
orth	Abestus		
entry	Abesum	0	
orth	Abesum		
entry	Abevacuatio	0	
orth	Abevacuatio		
ref	Cenosis		
entry	Abicum	0	
orth	Abicum		
entry	Abit, Aboit	0	
orth	Abit		
orth	Aboit		
entry	Ablactatio	0	
orth	Ablactatio		
entry	Ablatio	0	
orth	Ablatio		
ref	Dialeimma.		
entry	Abluentia	0	
orth	Abluentia		
entry	Ablutio	0	
orth	Ablutio		
entry	Abnelecten	0	
orth	Abnelecten		
pb	0003	0011	
entry	Aboit	0	
orth	Aboit		
entry	Abolitio	0	
orth	Abolitio		
entry	Abollam	0	
orth	Abollam		
entry	Abomasum	0	
orth	Abomasum		
entry	Abominatio	0	
orth	Abominatio		
entry	Abortus	0	
orth	Abortus		
entry	Abrabax	0	
orth	Abrabax		
entry	Abracadabra	0	
orth	Abracadabra		
entry	Abrasaxas	0	
orth	Abrasaxas		
entry	Abrasio	0	
orth	Abrasio		
entry	Abrasum	0	
orth	Abrasum		
entry	Abric	0	
orth	Abric		
entry	Abruptio	0	
orth	Abruptio		
entry	Abscedentia	0	
orth	Abscedentia		
entry	Abscessio	0	
orth	Abscessio		
entry	Abscessus	1	
orth	Abscessus		
pb	0004	0012	
entry	Abscissio	0	
orth	Abscissio		
entry	Absconsio	0	
orth	Absconsio		
entry	Absorbeo	0	
orth	Absorbeo		
ref	Anapinoma. Absorbentia, druTrlrcrrn		
entry	Abstemius	0	
orth	Abstemius		
entry	Abstergentia	0	
orth	Abstergentia		
entry	Abstinentia	0	
orth	Abstinentia		
entry	Abstracticius	0	
orth	Abstracticius		
entry	Abvacuatio	0	
orth	Abvacuatio		
entry	Abundantia	0	
orth	Abundantia		
ref	Perisses, Peciffosis.		
entry	Abusus	0	
orth	Abusus		
entry	Abyssus	0	
orth	Abyssus		
entry	Acacos	0	
orth	Acacos		
entry	Academia	0	
orth	Academia		
entry	Acaeria	0	
orth	Acaeria		
ref	Importunitas.		
entry	Acahi	0	
orth	Acahi		
entry	Acaid	0	
orth	Acaid		
entry	Acalai	0	
orth	Acalai		
entry	Acalcum	0	
orth	Acalcum		
pb	0005	0013	
entry	Acamatos	0	
orth	Acamatos		
entry	Acanor	0	
orth	Acanor		
entry	Acantha	0	
orth	Acantha		
entry	Acanthabolos	0	
orth	Acanthabolos		
entry	Acanthis	0	
orth	Acanthis		
entry	Acardios	0	
orth	Acardios		
entry	Acari	0	
orth	Acari		
entry	Acarnan	0	
orth	Acarnan		
entry	Acatalepsia	0	
orth	Acatalepsia		
entry	Acatastatos	0	
orth	Acatastatos		
entry	Acatharsia	0	
orth	Acatharsia		
entry	Acazdir	0	
orth	Acazdir		
entry	Accatem	0	
orth	Accatem		
entry	Acceleratores	0	
orth	Acceleratores		
entry	Accessio	0	
orth	Accessio		
entry	Accib	0	
orth	Accib		
entry	Accidens	0	
orth	Accidens		
entry	Accipiter	1	
orth	Accipiter		
pb	0006	0014	
entry	Accommodatus	0	
orth	Accommodatus		
entry	Accretio	0	
orth	Accretio		
entry	Accubitus	0	
orth	Accubitus		
entry	Accusatoria	0	
orth	Accusatoria		
entry	Accusatio	0	
orth	Accusatio		
entry	Acedia	0	
orth	Acedia		
entry	Acephalos	0	
orth	Acephalos		
entry	Aceratos	0	
orth	Aceratos		
entry	Acerbus	0	
orth	Acerbus		
entry	Acerides	0	
orth	Acerides		
entry	Acerosus	0	
orth	Acerosus		
entry	Acesis	0	
orth	Acesis		
entry	Acestoris	0	
orth	Acestoris		
entry	Acestra	0	
orth	Acestra		
entry	Acetabulum	1	
orth	Acetabulum		
pb	0007	0015	
entry	Acetaria	0	
orth	Acetaria		
entry	Acetosa	0	
orth	Acetosa		
entry	Acetum	0	
orth	Acetum		
entry	Acharistum	0	
orth	Acharistum		
entry	Achates	1	
orth	Achates		
pb	0008	0016	
entry	Acheir	0	
orth	Acheir		
entry	Achilleus	0	
orth	Achilleus		
entry	Achlys	0	
orth	Achlys		
entry	Achmadium	0	
orth	Achmadium		
entry	Achne	0	
orth	Achne		
entry	Achores	0	
orth	Achores		
entry	Achoristos	0	
orth	Achoristos		
entry	Achroi	0	
orth	Achroi		
entry	Achyron	0	
orth	Achyron		
entry	Acia	0	
orth	Acia		
pb	0009	0017	
entry	Acicys	0	
orth	Acicys		
entry	Acida	0	
orth	Acida		
entry	Acida	0	
orth	Acida		
entry	Aciditatio	0	
orth	Aciditatio		
entry	Acidnos	0	
orth	Acidnos		
entry	Acidulae	0	
orth	Acidulae		
entry	Acidus	0	
orth	Acidus		
entry	Acies	1	
orth	Acies		
pb	0010	0018	
entry	Acinesia	0	
orth	Acinesia		
entry	Acinosa	0	
orth	Acinosa		
entry	Acinus	0	
orth	Acinus		
entry	Acis	0	
orth	Acis		
entry	Acmasticos	0	
orth	Acmasticos		
entry	Acme	0	
orth	Acme		
entry	Acne	0	
orth	Acne		
ref	Ionthos.		
entry	Acnestis	0	
orth	Acnestis		
entry	Aco, Aquo	0	
orth	Aco		
orth	Aquo		
entry	Acoe	0	
orth	Acoe		
entry	Acoelios	0	
orth	Acoelios		
entry	Acoetos	0	
orth	Acoetos		
entry	Acolastos	0	
orth	Acolastos		
entry	Acone	0	
orth	Acone		
entry	Aconion	0	
orth	Aconion		
entry	Acontias	0	
orth	Acontias		
entry	Acopon	0	
orth	Acopon		
entry	Acor	1	
orth	Acor		
pb	0011	0019	
entry	Acordina	0	
orth	Acordina		
entry	Acoria	0	
orth	Acoria		
entry	Acos	0	
orth	Acos		
ref	Acesis.		
entry	Acosmia	0	
orth	Acosmia		
entry	Acraepalos	0	
orth	Acraepalos		
ref	Craepale.		
entry	Acrai	0	
orth	Acrai		
entry	Acrasia	0	
orth	Acrasia		
entry	Acratia	0	
orth	Acratia		
entry	Acratisma	0	
orth	Acratisma		
entry	Acratos	0	
orth	Acratos		
ref	Merus.		
entry	Acrea	0	
orth	Acrea		
ref	Acroteria.		
entry	Acresperon	0	
orth	Acresperon		
entry	Acretoposia	0	
orth	Acretoposia		
entry	Acribes	0	
orth	Acribes		
entry	Acrimonia	0	
orth	Acrimonia		
ref	Drimys.		
entry	Acris	0	
orth	Acris		
entry	Acrisia	0	
orth	Acrisia		
ref	Crisis.		
entry	Acritos	0	
orth	Acritos		
entry	Acroasis	0	
orth	Acroasis		
entry	Acrobystia	0	
orth	Acrobystia		
entry	Acrochir	1	
orth	Acrochir		
pb	0012	0020	
entry	Acrochiresis	0	
orth	Acrochiresis		
entry	Acrochliaron	0	
orth	Acrochliaron		
entry	Acrocholia	0	
orth	Acrocholia		
entry	Acrochordon	0	
orth	Acrochordon		
entry	Acrochorismus	0	
orth	Acrochorismus		
entry	Acrocolia	0	
orth	Acrocolia		
entry	Acrodrya	0	
orth	Acrodrya		
entry	Acrolenion	0	
orth	Acrolenion		
entry	Acromion	0	
orth	Acromion		
entry	Acromphalion	0	
orth	Acromphalion		
entry	Acropathos	0	
orth	Acropathos		
entry	Acropis	0	
orth	Acropis		
entry	Acroploa	0	
orth	Acroploa		
entry	Acroposthia	0	
orth	Acroposthia		
pb	0013	0021	
entry	Acropsilon	0	
orth	Acropsilon		
entry	Acros	0	
orth	Acros		
entry	Acrosapes	0	
orth	Acrosapes		
entry	Acroteria	0	
orth	Acroteria		
entry	Acroteriasmos	0	
orth	Acroteriasmos		
entry	Acrothorex	0	
orth	Acrothorex		
entry	Acsuo	0	
orth	Acsuo		
entry	Actin	0	
orth	Actin		
entry	Actinobolismus	0	
orth	Actinobolismus		
entry	Actio	0	
orth	Actio		
entry	Activus	0	
orth	Activus		
ref	Drasticus.		
entry	Actuatio	0	
orth	Actuatio		
entry	Actus	1	
orth	Actus		
pb	0014	0022	
entry	Acuitas	0	
orth	Acuitas		
entry	Acuitio	0	
orth	Acuitio		
entry	Acumen	0	
orth	Acumen		
entry	Acureb	0	
orth	Acureb		
entry	Acus	0	
orth	Acus		
entry	Acusios	0	
orth	Acusios		
entry	Acusticus	0	
orth	Acusticus		
entry	Acusto	0	
orth	Acusto		
entry	Acutus	0	
orth	Acutus		
entry	Adal	1	
orth	Adal		
pb	0015	0023	
entry	Adam	0	
orth	Adam		
entry	Adamas	0	
orth	Adamas		
entry	Adamita	0	
orth	Adamita		
entry	Adarce	0	
orth	Adarce		
entry	Adarigo	0	
orth	Adarigo		
entry	Adarticulatio	0	
orth	Adarticulatio		
ref	Arthrodia.		
ref	Diarthrosis.		
entry	Adaxomae	0	
orth	Adaxomae		
entry	Addephagia	0	
orth	Addephagia		
entry	Additamentum	0	
orth	Additamentum		
ref	Epiphysis. Additamentum necatum		
entry	Additio	0	
orth	Additio		
entry	Adductio	0	
orth	Adductio		
entry	Adec	0	
orth	Adec		
entry	Adech	0	
orth	Adech		
entry	Adectos	0	
orth	Adectos		
entry	Adedentes	0	
orth	Adedentes		
pb	0016	0024	
entry	Adehemest	0	
orth	Adehemest		
entry	Adelos	0	
orth	Adelos		
entry	Adelphixia	0	
orth	Adelphixia		
entry	Ademonia	0	
orth	Ademonia		
entry	Aden	0	
orth	Aden		
entry	Adenoides	0	
orth	Adenoides		
ref	Parastata. Prostata.		
entry	Adenosus	0	
orth	Adenosus		
entry	Adeps	0	
orth	Adeps		
entry	Adeptus	0	
orth	Adeptus		
entry	Adhaerentia	0	
orth	Adhaerentia		
ref	Prosphysis.		
entry	Aoiachytos	0	
orth	Aoiachytos		
entry	Adiaphoros	0	
orth	Adiaphoros		
ref	Indifferens.		
entry	Adiapneustia	0	
orth	Adiapneustia		
entry	Adiaptotos	0	
orth	Adiaptotos		
entry	Adiarrhoea	0	
orth	Adiarrhoea		
entry	Adib	1	
orth	Adib		
pb	0017	0025	
entry	Adibat	0	
orth	Adibat		
entry	Adjectio	0	
orth	Adjectio		
entry	Adipson	0	
orth	Adipson		
entry	Adjutorium	0	
orth	Adjutorium		
entry	Adjuvantia	0	
orth	Adjuvantia		
entry	Adivilistos	0	
orth	Adivilistos		
entry	Admirabilis	0	
orth	Admirabilis		
entry	Admiratio	0	
orth	Admiratio		
entry	Admisurab	0	
orth	Admisurab		
entry	Adnata	0	
orth	Adnata		
ref	Agnata.		
entry	Adolescens	0	
orth	Adolescens		
entry	Ados	0	
orth	Ados		
entry	Adplumbatum	0	
orth	Adplumbatum		
entry	Adram	0	
orth	Adram		
entry	Adrastea	0	
orth	Adrastea		
entry	Adrianum	0	
orth	Adrianum		
entry	Adrop	0	
orth	Adrop		
entry	Adsamar	0	
orth	Adsamar		
entry	Adsellare	0	
orth	Adsellare		
entry	Adstantes	0	
orth	Adstantes		
entry	Adstrictio	1	
orth	Adstrictio		
pb	0018	0026	
entry	Adstringens	0	
orth	Adstringens		
entry	Adulteratio	0	
orth	Adulteratio		
entry	Adulterium	0	
orth	Adulterium		
entry	Adustio	0	
orth	Adustio		
entry	Adynamia	0	
orth	Adynamia		
ref	Impotentia.		
entry	Adynamon	0	
orth	Adynamon		
entry	Adynatos	0	
orth	Adynatos		
entry	Aeazo	0	
orth	Aeazo		
entry	Iaedes	0	
orth	Iaedes		
entry	Aedoea	0	
orth	Aedoea		
entry	Aegagropilus	1	
orth	Aegagropilus		
pb	0019	0027	
entry	Aegeirinon	0	
orth	Aegeirinon		
entry	Aeger	0	
orth	Aeger		
entry	Aegias	0	
orth	Aegias		
entry	Aegidion	0	
orth	Aegidion		
entry	Aegilops	0	
orth	Aegilops		
entry	Aeglia	0	
orth	Aeglia		
entry	Aegoprosopon	0	
orth	Aegoprosopon		
entry	Aegyption	0	
orth	Aegyption		
entry	Aeides	0	
orth	Aeides		
entry	Aeigleuces	0	
orth	Aeigleuces		
entry	Aeipatheia	0	
orth	Aeipatheia		
entry	Aeolasthae	0	
orth	Aeolasthae		
entry	Aeolipylae	0	
orth	Aeolipylae		
entry	Aeon	0	
orth	Aeon		
entry	Aeonesis	0	
orth	Aeonesis		
pb	0020	0028	
entry	Aeora	0	
orth	Aeora		
entry	Aepos	0	
orth	Aepos		
entry	Aequale	0	
orth	Aequale		
entry	Aequantia	0	
orth	Aequantia		
entry	Aeque	0	
orth	Aeque		
entry	Aequilibrium	0	
orth	Aequilibrium		
entry	Aequipollens	0	
orth	Aequipollens		
entry	Aer	0	
orth	Aer		
pb	0021	0029	
entry	Aerdadi	0	
orth	Aerdadi		
entry	Aereolum	0	
orth	Aereolum		
entry	Aereus	0	
orth	Aereus		
entry	Aekificatio	0	
orth	Aekificatio		
entry	Aerologice	0	
orth	Aerologice		
entry	Aeromeli	0	
orth	Aeromeli		
entry	Aerophiobae	0	
orth	Aerophiobae		
entry	Aerosis	0	
orth	Aerosis		
entry	Aeruginosabilis	0	
orth	Aeruginosabilis		
ref	Bilis.		
entry	Aerugo	0	
orth	Aerugo		
entry	Aerumna	0	
orth	Aerumna		
entry	Aerysipelas	0	
orth	Aerysipelas		
entry	Aes	0	
orth	Aes		
entry	Aesalo	0	
orth	Aesalo		
entry	Aeschos	1	
orth	Aeschos		
pb	0022	0030	
entry	Aeschromytheo	0	
orth	Aeschromytheo		
entry	Aeschroposeo	0	
orth	Aeschroposeo		
entry	Aestas	0	
orth	Aestas		
entry	Aestates	0	
orth	Aestates		
entry	Aesthesis	0	
orth	Aesthesis		
entry	Aestimatio	0	
orth	Aestimatio		
entry	Aestphara	0	
orth	Aestphara		
entry	Aestuarium	0	
orth	Aestuarium		
entry	Aestuatio	0	
orth	Aestuatio		
entry	Aestus	0	
orth	Aestus		
entry	Aetas	0	
orth	Aetas		
entry	Aethale	0	
orth	Aethale		
entry	Aether	0	
orth	Aether		
entry	Aethes	0	
orth	Aethes		
entry	Aethiops	0	
orth	Aethiops		
entry	Aethna	1	
orth	Aethna		
pb	0023	0031	
entry	Aetholices	0	
orth	Aetholices		
entry	Aethyia	0	
orth	Aethyia		
entry	Aetia	0	
orth	Aetia		
entry	Aetiologia	0	
orth	Aetiologia		
entry	Aetites	0	
orth	Aetites		
entry	Aetoma	0	
orth	Aetoma		
entry	Affectio	0	
orth	Affectio		
entry	Affectus	0	
orth	Affectus		
entry	Affectus	0	
orth	Affectus		
ref	Hypochondriaca, Melancholia.		
entry	Affenicum	0	
orth	Affenicum		
entry	Affeos	0	
orth	Affeos		
entry	Afeidra	0	
orth	Afeidra		
entry	Affion	0	
orth	Affion		
entry	Afflatus	0	
orth	Afflatus		
entry	Afflictio	0	
orth	Afflictio		
entry	Affodius	0	
orth	Affodius		
entry	Afformas	0	
orth	Afformas		
entry	Affusio	0	
orth	Affusio		
entry	Afra	0	
orth	Afra		
entry	Afrob	0	
orth	Afrob		
pb	0024	0032	
entry	Agalactos	0	
orth	Agalactos		
entry	Agallochum	0	
orth	Agallochum		
entry	Agape	0	
orth	Agape		
entry	Agar	0	
orth	Agar		
entry	Agaricum	0	
orth	Agaricum		
entry	Agathon	0	
orth	Agathon		
entry	Agellos	0	
orth	Agellos		
entry	Agens	0	
orth	Agens		
entry	Ager	0	
orth	Ager		
entry	Agerasia	0	
orth	Agerasia		
entry	Ageratus	0	
orth	Ageratus		
entry	Ages	0	
orth	Ages		
entry	Ageustia	0	
orth	Ageustia		
entry	Agglutinatio	0	
orth	Agglutinatio		
entry	Aggregatum	0	
orth	Aggregatum		
entry	Agitatio	0	
orth	Agitatio		
entry	Aglia	0	
orth	Aglia		
