pb	sn	0001	8139297
pb	sn	0002	8139298
pb	sn	0003	8139299
pb	pb	0004	8139300
pb	pb	0005	8139301
pb	pb	0006	8139302
pb	pb	0007	8139303
pb	pb	0008	8139304
pb	1	0009	8139305
entry	 (manuscrite)		
pb	2	0010	8139306
pb	3	0011	8139307
pb	4	0012	8139308
pb	5	0013	8139309
entry	Avant-propos		
pb	6	0014	8139310
pb	7	0015	8139311
pb	8	0016	8139312
pb	9	0017	8139313
pb	10	0018	8139314
pb	11	0019	8139315
pb	12	0020	8139316
pb	13	0021	8139317
entry	Dictionnaire des médecins du Limousin.		
entry	Abbatut		
entry	Alaigre Jean		
entry	Albier de Lacombe Antoine		
entry	Allegraud Pierre		
pb	14	0022	8139318
entry	Amilton Jacques		
entry	Anceaume ou Anselme Guillaume		
entry	Andral Vincent		
entry	André Pierre		
entry	Arboint		
entry	Arbonneau Jacques		
pb	15	0023	8139319
entry	Arbonneau Maurice		
entry	Arbonneau Michel		
entry	Arbonneau Michel, fils de Maurice		
pb	16	0024	8139320
entry	Ardant Isaac		
entry	Ardent Jean		
entry	Arfeullière Léonard		
entry	Arliguié Pierre		
entry	Armandie Pierre		
entry	Arnaud		
entry	Artigues Pierre		
pb	17	0025	8139321
entry	Arzellier Gabriel		
entry	Audoyn Gérald		
entry	Audubert		
entry	Audubert Bernard		
entry	Augeriis (Jean De)		
entry	Avril Pierre		
pb	18	0026	8139322
entry	Avril fils		
entry	Avril François		
entry	Aymar		
entry	Bachelier		
entry	Bachellerie Antoine		
entry	Badou Mathieu		
entry	Badou		
entry	Bagot Jean		
pb	19	0027	8139323
entry	Balestier Jacques		
entry	Balestier Martin		
entry	Ballet Vincent		
entry	Ballet Jean		
entry	Baluze François		
entry	Baluze Jean		
entry	Banel Pierre		
entry	Barach François		
entry	Baraud Jacques		
pb	20	0028	8139324
entry	Barbe Pierre		
entry	Bardet Jacques père		
entry	Bardet Jacques		
entry	Bardicon Joseph		
entry	Bardinet Pierre-Pardoux		
entry	Bardinet Jacques		
entry	Bardon Léonard		
entry	Bargy Louis		
entry	Bargy Pierre		
entry	Bargy Vincent		
pb	21	0029	8139325
entry	Barraud Jean		
entry	Barret Léonard		
entry	Bastide (De la) Mathieu		
entry	Bastisse Antoine		
entry	Battut Antoine		
entry	Baudraud Pierre		
entry	Bayle Pierre		
entry	Baynaud		
entry	Beaujeu (De) Jean-Baptiste-Simon		
entry	Beaulieu		
pb	22	0030	8139326
entry	Beaune Joseph		
entry	Beaune Antoine		
entry	Beaure		
entry	Beauregard Guillaume		
entry	Beauregard Léonard		
entry	Bech Pierre		
entry	Bégougne		
entry	Beilhot Léonard		
entry	Berc François		
entry	Bergalasse, (Frère amateur)		
pb	23	0031	8139327
entry	Berger Martial		
entry	Bergère (La) Pierre		
entry	Bernard		
entry	Beron Jean		
entry	Bersac		
entry	Berthy Jean-Baptiste		
entry	Beune Jean-Baptiste		
entry	Beune		
entry	Beylet ou Baylet Pierre		
entry	Beynes Pierre		
entry	Biars (Du) Laurent		
pb	24	0032	8139328
entry	Biennassis Paul		
pb	25	0033	8139329
entry	Billot Jean		
entry	Bladanet Pierre		
entry	Blanchet Michel		
entry	Bleygeat Antoine		
entry	Bleynie de la Geneste Jean-Baptiste		
entry	Bocal Jean		
pb	26	0034	8139330
entry	Boisse Léonard		
entry	Boisset (Du) François		
entry	Boissou Jacques		
entry	Boissou Martial		
pb	27	0035	8139331
entry	Bondet Jean		
entry	Bondet-Descombes Augustin		
entry	Bonhomme Antoine, jeune		
entry	Bonhomme Antoine		
entry	Bonhomme Jean, dit Rebeyreys		
entry	Bonhomme Jean		
entry	Bonhomme Pierre		
entry	Bonin		
entry	Bonnel ou Bounel Pierre		
pb	28	0036	8139332
entry	Bonnet Pierre		
entry	Bonnet Joseph		
entry	Bonnie Pierre		
entry	Bordas Jean		
entry	Borde François		
entry	Bordes Jean		
entry	Bordes Pierre		
entry	Bordes Antoine		
entry	Bordes La Mareille Antoine		
entry	Borie Léonard		
pb	29	0037	8139333
entry	Bos Jean		
entry	Bosche Simon		
entry	Bosche Pierre		
entry	Bosche Simon		
pb	30	0038	8139334
entry	Bosche-Laprade Antoine		
entry	Bosredon Nicolas		
entry	Bosvieux Jean		
entry	Boucal Martin		
entry	Boucal Jean		
entry	Boucal Etienne		
entry	Boudrie Léonard		
pb	31	0039	8139335
entry	Bounesset (De) Guy		
entry	Bounye		
