object			
volume	27898	Littré-Gilbert (21e éd.)	1908
pb	1	0011	
entry	A, Aa	0	
orth	A		
orth	Aa		
ref	Abréviation		
entry	Abaisse-langue	0	
orth	Abaisse-langue		
entry	Abaissement	0	
orth	Abaissement		
term	Abaissement de la matrice		
ref	Hystéroptose		
term	Abaissement prophylactique du pied		
term	Méthode dite par abaissement		
ref	Kératonyxis		
entry	Abaisse-paupière	0	
orth	Abaisse-paupière		
entry	Abaisseur	0	
orth	Abaisseur		
term	Abaisseur de l’aile du nez		
term	Abaisseur de l’angle des lèvres ou de la commissure labiale		
ref	Triangulaire		
term	Abaisseur de l’épiglotte		
term	Abaisseur de la langue ou de l’hyoïde		
ref	Sterno-hyoïdien		
term	Abaisseur du larynx		
ref	Sterno-thykéoïoiex		
term	Abaisseur de la lèvre inférieure		
ref	Carré		
term	Abaisseur de la mâchoire inférieure		
ref	Digastrique		
term	Abaisseur de l’œil		
ref	Droit		
term	Abaisseur de la paupière inférieure		
term	Abaisseur de la pupille		
ref	Droit		
term	Abaisseur externe de la tête		
term	Abaisseur interne de la tête		
term	Abaisseur de la vessie		
term	Abaisseurdela Paupière		
ref	Abaisse-paupière		
entry	Abaliéné	0	
orth	Abaliéné		
term	Membre abaliéné		
entry	Abaptista, Abaptiston	0	
orth	Abaptista		
orth	Abaptiston		
entry	Abasie	0	
orth	Abasie		
ref	Astasie-abasie		
entry	Abatage	0	
orth	Abatage		
entry	Abâtardissement	0	
orth	Abâtardissement		
entry	Abattement	0	
orth	Abattement		
entry	Abattoir	1	
orth	Abattoir		
pb	2	0012	
entry	Abattre	0	
orth	Abattre		
entry	Abbazzia	0	
orth	Abbazzia		
entry	Abbe	0	
orth	Abbe		
term	Éclairage Abbe		
entry	Abcédé	0	
orth	Abcédé		
term	Tumeur abcédée		
entry	Abcès	1	
orth	Abcès		
term	Abcès canaliculaire		
ref	Canaliculaire		
term	Abcès de fixation		
term	Abcès idiopathique		
term	Abcès métastatiques		
ref	Infection		
term	Abces multiples		
ref	Infection		
term	Abcès ossifluent		
ref	Ossifluent		
term	Abcès périnéphrétique		
ref	Pîrinéphrétique		
term	Abcès péri-utérin		
ref	Rétro-utérin		
term	Abcès phlegmoneux		
ref	Phlegmon		
term	Abcès rétro-utérin		
ref	Rétro-utérin		
term	Abcès symptomatique		
pb	3	0013	
entry	Abdomen	0	
orth	Abdomen		
entry	Abdominal	0	
orth	Abdominal		
term	Anneau abdominal		
ref	Inguinal		
term	Aorte abdominale		
term	Aponévrose abdominale		
term	Bubon abdominal		
ref	Bubon		
term	Cavité abdominale		
term	Côtes abdominales		
term	Détroit abdominal		
ref	Bassin		
term	Épanchement abdominal		
term	Grossesse abdominale		
ref	Grossesse		
term	Hernie abdominale		
ref	Éventration		
term	Membres abdominaux		
term	Mouvements abdominaux		
ref	Respiratoibes		
term	Muscles abdominaux		
term	Nerfs abdominaux		
term	Organes ou viscères abdominaux		
term	Palper abdominal		
ref	Palper		
term	Pléthore abdominale		
ref	Pléthore		
term	Ponction abdominale		
ref	Ponction		
term	Pulsation abdominale		
ref	Pulsation		
term	Tuberculose abdominale		
term	Veine cave abdominale		
term	Vertèbres abdominales		
term	Vertige abdominal		
ref	Vertige		
entry	Abdominoscopie	0	
orth	Abdominoscopie		
entry	Abdomino-scrotal	0	
orth	Abdomino-scrotal		
term	Muscle abdomino-scrotal		
term	Nerfs abdomino-scrotaux		
entry	Abdomino-thoracique	0	
orth	Abdomino-thoracique		
entry	Abdomino-utérotomie	0	
orth	Abdomino-utérotomie		
entry	Abducteur	0	
orth	Abducteur		
term	Nerf abducteur		
entry	Abducteur	1	
orth	Abducteur		
pb	4	0014	
ref	Élévateur		
term	Abducteur de la cuisse		
ref	Cuisse		
term	Abducteur du doigt indicateur		
term	Abducteur du petit doigt		
term	Abducteur de l’œil		
ref	Droit		
term	Abducteur de l’oreille		
term	Abducteur du gros orteil		
term	Abducteur du petit orteil		
term	Abducteur		
term	Abducteur		
entry	Abduction	0	
orth	Abduction		
entry	Abécédaire	0	
orth	Abécédaire		
ref	Achelle		
entry	Abeille	0	
orth	Abeille		
entry	Abelasie	0	
orth	Abelasie		
entry	Abépithymia	0	
orth	Abépithymia		
entry	Aberrant	0	
orth	Aberrant		
term	Évolution aberrante		
ref	Évolution		
term	Vaisseau ou conduit aberrant		
ref	Vas		
entry	Aberration	0	
orth	Aberration		
term	Aberration du sens génésique		
ref	Amour		
term	Aberration des fluides		
term	Aberration de réfrangibilité		
term	Aberration de sphéricité		
entry	Abévacuation	0	
orth	Abévacuation		
entry	Abiogenèse	0	
orth	Abiogenèse		
entry	Abirritant	0	
orth	Abirritant		
entry	Abirritatif	0	
orth	Abirritatif		
term	Maladies abirritatives		
entry	Abirritation	0	
orth	Abirritation		
entry	Ablactation	0	
orth	Ablactation		
entry	Ablation	0	
orth	Ablation		
ref	Extraction		
entry	Ablépharon	0	
orth	Ablépharon		
entry	Ablepsie	0	
orth	Ablepsie		
entry	Abluant	1	
orth	Abluant		
ref	Abstergent		
ref	Détersif		
pb	5	0015	
entry	Ablution	0	
orth	Ablution		
ref	Lotion		
ref	Douche		
entry	Abnormité	0	
orth	Abnormité		
entry	Aboi, Aboiement	0	
orth	Aboi		
orth	Aboiement		
term	Aboiement humain		
ref	Névrophonie		
entry	Abolition	0	
orth	Abolition		
term	Abolition de la sensibilité, du mouvement		
ref	Anesthésie		
ref	Paralysie		
entry	Aborigène	0	
orth	Aborigène		
ref	Indigène		
entry	Abortif	0	
orth	Abortif		
term	Fœtus abortif		
term	avorton		
term	Médicaments abortifs		
term	Typhus abortif		
ref	Typhus		
term	Forme abortive despyrexies		
entry	Abortif	0	
orth	Abortif		
foreign	έκδόλιου	grc	
foreign	φάρμακου	grc	
foreign	φθορίου	grc	
foreign	abtreibend	deu	
entry	Abouchement	0	
orth	Abouchement		
entry	Aboulie	0	
orth	Aboulie		
entry	Aboussenna	0	
orth	Aboussenna		
ref	Molcenna		
entry	Aboutir	0	
orth	Aboutir		
entry	Aboutissement	0	
orth	Aboutissement		
entry	Aboyeurs	0	
orth	Aboyeurs		
term	Délire des aboyeurs		
ref	Névrophonie		
entry	Abracadabra	0	
orth	Abracadabra		
entry	Abrachie	0	
orth	Abrachie		
entry	Abrachiocéphalie	0	
orth	Abrachiocéphalie		
entry	Abrasion	0	
orth	Abrasion		
term	Abrasion de la muqueuse utérine		
entry	Abre	0	
orth	Abre		
entry	Abreuvé	0	
orth	Abreuvé		
term	Plaie abreuvée de pus		
entry	Abréviation	0	
orth	Abréviation		
term	Abréviations usitées en chimie		
term	aq		
term	Add.		
term	B. a.		
term	Bi.		
term	B. m.		
term	B. v.		
term	c c		
term	Cochleat.		
term	Colat.		
term	Coq.		
term	Cyat.		
term	Dec.		
term	Div.		
term	Filt.		
term	F. s. a.		
term	Gult.		
term	gt.		
term	Inf.		
term	Lin.		
term	Man.		
ref	Manipule		
term	P. æ.		
term	p. é.		
term	PU.		
term	Pug.		
term	Pulv.		
term	Q.p.		
term	S. a.		
term	Solv.		
term	Tinct.		
ref	Signe		
term	Abréviations usitées en obstétrique		
ref	Présentation		
entry	Abruption	1	
orth	Abruption		
pb	6	0016	
entry	Abrus	0	
orth	Abrus		
ref	Abre		
entry	Abrutissement	0	
orth	Abrutissement		
entry	Abscision, Abscission	0	
orth	Abscision		
orth	Abscission		
entry	Abscisse	0	
orth	Abscisse		
ref	Courbe		
entry	Absence	0	
orth	Absence		
ref	Épilepsie		
entry	Absinthe	0	
orth	Absinthe		
term	Absinthe commune		
term	Liqueur d’absinthe		
term	Sel d’absinthe		
ref	Sel		
entry	Absinthé	0	
orth	Absinthé		
entry	Absinthéine, Absinthine	0	
orth	Absinthéine		
orth	Absinthine		
entry	Absinthémie	0	
orth	Absinthémie		
entry	Absinthique	0	
orth	Absinthique		
ref	Succinique		
entry	Absinthisme	0	
orth	Absinthisme		
entry	Absolu	0	
orth	Absolu		
entry	Absorbable	0	
orth	Absorbable		
entry	Absorbant	0	
orth	Absorbant		
term	Bouches absorbantes		
ref	Bouche		
term	Système absorbant		
ref	Lymphatique		
term	Gangrène absorbante		
term	Médicaments absorbants		
term	absorbants		
ref	Poudre		
ref	Tablette		
entry	Absorption	1	
orth	Absorption		
pb	7	0017	
ref	Nutrition		
term	Absorption aérienne		
ref	Respiration		
term	Absorption alimentaire		
term	Absorption assimilatrice		
ref	Assimilation		
term	Absorption de la chaleur		
ref	Pouvoir		
term	Absorption chyleuse		
ref	Pénétration		
term	Absorption cutanée		
ref	Peau		
term	Absorption de décomposition ou désassimilatrice		
ref	Désassimilation		
term	Absorption externe ou de composition assimilatrice		
ref	Assimilation		
ref	Digestion		
ref	Nutrition		
ref	Urine		
term	Absorption intestinale ou digestive		
ref	Digestion		
term	Absorption de la lumière		
ref	Pouvoir		
term	Absorption lymphatique		
ref	Lymphatique		
term	Absorption des médicaments		
ref	Médicament		
term	Absorption pathologique		
ref	Résorption		
term	Absorption placentaire		
ref	Placenta		
term	Absorption du poison		
ref	Poison		
term	Absorption pulmonaire ou respiratoire		
ref	Respiration		
term	Absorption récrémentitielle		
ref	Digestion		
term	Absorption veineuse		
ref	Absorption		
ref	Veine		
term	Bandes d’absorption		
ref	Bubon		
entry	Abstème	0	
orth	Abstème		
entry	Abstergent	0	
orth	Abstergent		
ref	Abluant		
ref	Détersif		
entry	Abstersion	0	
orth	Abstersion		
entry	Abstinence	0	
orth	Abstinence		
ref	Inanition		
entry	Abstractif	0	
orth	Abstractif		
term	Anciennemenlproduils abstractifs		
entry	Abstraction	0	
orth	Abstraction		
ref	Logique		
entry	Abstrait	0	
orth	Abstrait		
term	Science abstraite		
ref	Science		
entry	Abuta	0	
orth	Abuta		
entry	Abutilon	0	
orth	Abutilon		
entry	Acacia	1	
orth	Acacia		
pb	8	0018	
ref	Gomme		
term	Suc d’acacia		
ref	Angico		
ref	Caté		
entry	Acacie	0	
orth	Acacie		
ref	Acacia		
entry	Académie	0	
orth	Académie		
term	Académie de médecine		
ref	École		
ref	Faculté		
entry	Acajou	0	
orth	Acajou		
term	Bois d’acajou		
ref	Swiéténie		
term	Noix d’acajou		
ref	Huile		
term	Acajou du Sénégal		
ref	Caïl-cedkin		
entry	Acajuba	0	
orth	Acajuba		
ref	Acajou		
entry	Acalypha	0	
orth	Acalypha		
entry	Acampsie	0	
orth	Acampsie		
entry	Acanthe	0	
orth	Acanthe		
entry	Acanthichtyose	0	
orth	Acanthichtyose		
ref	Ichtyose		
entry	Acanthobole	0	
orth	Acanthobole		
entry	Acanthopelvis	0	
orth	Acanthopelvis		
foreign	pelvis spinosa	lat	
foreign	Stachelbecken	deu	
entry	Acanthosis nigricans	0	
orth	Acanthosis nigricans		
entry	Acanthotèque	0	
orth	Acanthotèque		
ref	Helminthe		
ref	Linguatule		
entry	Acapnie	0	
orth	Acapnie		
entry	Acardie	0	
orth	Acardie		
ref	Anidien		
entry	Acare, Acarus	0	
orth	Acare		
orth	Acarus		
term	Acare des follicules		
ref	Demodex		
term	Acare du fromage		
ref	Tyroglyphe		
term	Acare		
term	Acarus de la gale		
ref	Sarcopte		
entry	Acariasis	0	
orth	Acariasis		
entry	Acarien	1	
orth	Acarien		
pb	9	0019	
entry	Acarophobie	0	
orth	Acarophobie		
entry	Acarotoxique	0	
orth	Acarotoxique		
entry	Acarus	0	
orth	Acarus		
ref	Acare		
ref	Sarcopte		
entry	Acatalepsie	0	
orth	Acatalepsie		
entry	Acatapose	0	
orth	Acatapose		
entry	Acatastatique	0	
orth	Acatastatique		
entry	Acatharsie	0	
orth	Acatharsie		
entry	Acaudé	0	
orth	Acaudé		
entry	Acaweria	0	
orth	Acaweria		
entry	Accablement	0	
orth	Accablement		
entry	Accélérateur	0	
orth	Accélérateur		
term	Muscle accélérateur de l’urine		
ref	Bulbo-caverneux		
term	Nerf accélérateur		
ref	Vaso		
entry	Accélération	0	
orth	Accélération		
entry	Accès	0	
orth	Accès		
term	Fièvre d’accès		
ref	Fièvre		
ref	Fièvre		
entry	Accessoire	0	
orth	Accessoire		
term	Glande accessoire de la parotide		
ref	Sauve		
term	Nerf accessoire de Willis ou du nerf vague		
ref	Spinal		
term	Nerf accessoire de Wrisberg		
term	Nerf accessoire du brachial cutané interne		
term	Sciences accessoires		
ref	Sciences		
entry	Accessoire	0	
orth	Accessoire		
term	Accessoire du long fléchisseur commun des orteils		
term	Accessoire du pancréas		
ref	Glande		
term	Accessoire du sacro-lombaire		
entry	Accident	0	
orth	Accident		
term	Accidents secondaires, tertiaires, consécutifs		
ref	Syphilis		
entry	Accidentalisme	0	
orth	Accidentalisme		
ref	Physiologiste		
entry	Accidentaliste	0	
orth	Accidentaliste		
term	Médecins accidentalistes		
entry	Accidentel	0	
orth	Accidentel		
entry	Acclimatation	0	
orth	Acclimatation		
entry	Acclimatement	0	
orth	Acclimatement		
ref	Naturalisation		
entry	Accolement	0	
orth	Accolement		
entry	Accommodateur	0	
orth	Accommodateur		
term	Muscles accommodateurs		
entry	Accommodatif	0	
orth	Accommodatif		
entry	Accommodation	1	
orth	Accommodation		
term	Accommodation de l’œil		
pb	10	0020	
ref	Myopie		
ref	Hypermétropie		
term	Accommodation de la tête fœtale		
ref	Accouchement		
entry	Accompagnement	0	
orth	Accompagnement		
term	Accompagnements de la cataracte		
entry	Accouchement	2	
orth	Accouchement		
term	Accouchement		
term	Accouchement		
pb	11	0021	
term	Accouchement		
term	Accouchement		
pb	12	0022	
ref	Antisepsie		
ref	Asepsie		
term	Accouchement artificiel		
term	Accouchement contre nature		
term	Accouchement dystocique		
term	Accouchement eutocique		
term	Accouchement irrégulier		
term	Accouchement laborieux		
term	Accouchement mixte		
term	Accouchement naturel ou spontané		
term	Accouchement non naturel		
term	Accouchement physiologique		
term	Accouchement prématuré		
ref	Avortement		
term	Accouchement spontané		
ref	Accouchement		
term	Accouchement vicieux		
term	Maison d’ac, couchêment		
ref	Maison		
entry	Accoucheur	1	
orth	Accoucheur		
pb	13	0023	
entry	Accoucheuse	0	
orth	Accoucheuse		
entry	Accouplement	0	
orth	Accouplement		
entry	Accoutumance	0	
orth	Accoutumance		
term	Accoutumance à un médicament		
entry	Accrémentitiel	0	
orth	Accrémentitiel		
term	Génération accrémenlitielle		
ref	Accrémentition		
entry	Accrémentition	0	
orth	Accrémentition		
term	Génération par accrémentition		
ref	Genèse		
entry	Accrétion	0	
orth	Accrétion		
entry	Accroissement	0	
orth	Accroissement		
ref	Accrémextition		
ref	Augment		
term	Accroissement par intussusception		
ref	Développement		
term	Accroissement par juxtaposition		
term	Lois d’accroissement		
ref	Végetalité		
entry	Accumulation	0	
orth	Accumulation		
term	Accumulation stercorate		
ref	Scybale		
entry	Acedia	0	
orth	Acedia		
entry	Acephale	0	
orth	Acephale		
foreign	acephalus	lat	
foreign	kopflos	deu	
foreign	acefalo	ita	
foreign	acefalo	spa	
entry	Acéphalénie	0	
orth	Acéphalénie		
entry	Acéphalie	0	
orth	Acéphalie		
ref	Anencéphalie		
entry	Acéphaliens	0	
orth	Acéphaliens		
ref	Acéphale		
entry	Acéphalobrache	0	
orth	Acéphalobrache		
entry	Acéphalobrachie	0	
orth	Acéphalobrachie		
entry	Acéphalocarde	0	
orth	Acéphalocarde		
entry	Acéphalocardie	0	
orth	Acéphalocardie		
entry	Acéphalochire	0	
orth	Acéphalochire		
entry	Acéphalocyste	0	
orth	Acéphalocyste		
term	Acéphalocyste rameux		
ref	Môle		
entry	Acéphalogastre	0	
orth	Acéphalogastre		
entry	Acéphalogastrie	0	
orth	Acéphalogastrie		
entry	Acéphalopode	0	
orth	Acéphalopode		
entry	Acéphalopodie	0	
orth	Acéphalopodie		
entry	Acéphalorachie	0	
orth	Acéphalorachie		
entry	Acéphalostome	0	
orth	Acéphalostome		
entry	Acéphalothoracie	0	
orth	Acéphalothoracie		
entry	Acéphalothore	0	
orth	Acéphalothore		
entry	Acerbe	0	
orth	Acerbe		
entry	Acerbité	0	
orth	Acerbité		
entry	Acéré	0	
orth	Acéré		
entry	Acervule	0	
orth	Acervule		
entry	Acescence	0	
orth	Acescence		
ref	Odeur		
entry	Acescent	0	
orth	Acescent		
term	Dyspepsie acescente		
ref	Gastralgie		
entry	Acésie	0	
orth	Acésie		
entry	Acétabule	0	
orth	Acétabule		
entry	Acétanilide	1	
orth	Acétanilide		
foreign	antifébrine	lat	
pb	14	0024	
entry	Acétate	0	
orth	Acétate		
term	Acétate d’ammoniaque		
term	Acétate de chaux		
term	Acétates de cuivre		
term	Acétate neutre de cuivre		
term	Acétate bibasique de cuivre, verdet		
term	vert-de-gris, sous-acétate de cuivre		
term	Acétate de cuivre et d’ammoniaque		
