object			
volume	37020d	Littré-Robin (1865-1873)	1873
pb	0001	0015	
entry	A, Aa	0	
orth	A		
orth	Aa		
ref	Abréviation		
entry	Aans	0	
orth	Aans		
entry	Abaca	0	
orth	Abaca		
foreign	Musa textilis	lat	
entry	Abairucu	0	
orth	Abairucu		
entry	Abaisse-langue, Abaisseur de la langue	0	
orth	Abaisse-langue		
orth	Abaisseur de la langue		
ref	Glossocatoche		
entry	Abaissement	0	
orth	Abaissement		
foreign	depressio	lat	
foreign	abbassamento	ita	
term	Méthode dite par abaissement		
ref	Kératonyxis		
term	Abaissement de la matrice		
entry	Abaisse-paupière, Abaisseur de la paupière	0	
orth	Abaisse-paupière		
orth	Abaisseur de la paupière		
entry	Abaisseur	0	
orth	Abaisseur		
foreign	depressor	lat	
foreign	abbassatoré	ita	
term	Abaisseur de l’aile du nez		
ref	Myrtiforme		
term	Abaisseur de l’angle des lèvres ou de la commissure labiale		
ref	Triangulaire		
term	Abaisseur de l’épiglotte		
term	Abaisseur de la langue ou de l’hyoïde		
ref	Sterno-hyoïdien		
term	Abaisseur du larynx		
ref	Sterno-thyréoïdien		
ref	Carré		
term	Abaisseur de la mâchoire inférieure		
ref	Digastrique		
term	Abaisseur de l’œil		
ref	Droit		
term	Abaisseur de la paupière inférieure		
term	Abaisseur de la pupille		
ref	Droit		
term	Abaisseur externe de la tête		
term	Abaisseur interne de la tête		
term	Abaisseur de la vessie		
entry	Abajoue	0	
orth	Abajoue		
foreign	sacculus buccalis	lat	
foreign	Hœngebacke	deu	
foreign	Backentasche	deu	
foreign	sheek-pouch	eng	
foreign	abazones	spa	
entry	Abaliéné	0	
orth	Abaliéné		
term	Membre abaliéné		
entry	Abaptista, Abaptiston	0	
orth	Abaptista		
orth	Abaptiston		
foreign	ἀβάπτιστον	grc	
ref	Trépan		
entry	Abarthrose, Abarticulation	0	
orth	Abarthrose		
orth	Abarticulation		
entry	Abatage	0	
orth	Abatage		
foreign	Niederwerfen	deu	
foreign	Schlachten	deu	
foreign	slaughtering	eng	
foreign	abbatimento	ita	
entry	Abâtardissement	0	
orth	Abâtardissement		
foreign	Ausartung	deu	
foreign	degeneracy	eng	
foreign	degenerazione	ita	
ref	Dégénérescence		
entry	Abattement	0	
orth	Abattement		
foreign	virium defectio	lat	
foreign	Niedergeschlagenheit	deu	
foreign	abbattimento	ita	
foreign	abatimiento	spa	
ref	Adynamie		
entry	Abattoir	1	
orth	Abattoir		
foreign	Schlachthaus	deu	
foreign	slaughterhouse	eng	
foreign	matadero	spa	
foreign	ammazzato	ita	
pb	0002	0016	
ref	Équarrissage		
entry	Abattre	0	
orth	Abattre		
foreign	Schlachten	deu	
entry	Abattre	0	
orth	Abattre		
entry	Abcéder	0	
orth	Abcéder		
term	Tumeur abcédée		
entry	Abcès	0	
orth	Abcès		
foreign	abscessus	lat	
foreign	Geschwür	deu	
foreign	Eitergeschwulst	deu	
foreign	abscess	eng	
foreign	imposthume	eng	
foreign	ascesso	ita	
foreign	abceso	spa	
ref	Bubon		
ref	Pyogénique		
term	Abcès canaliculaire		
ref	Ganaliculaire		
term	Abcès idiopathique		
term	Abcès métastatiques		
term	Abcès multiples		
ref	Infection purulente		
term	Abcès ossifluent		
ref	Ossifluent		
term	Abcès péri-utérins		
ref	Rétro-utérin		
term	Abcès phlegmoneux		
ref	Phlegmon		
term	Abcès rétro-utérins		
ref	Rétro-utérin		
term	Abcès symptomatique		
entry	Abdomen	1	
orth	Abdomen		
foreign	abdomen	lat	
foreign	Unterleib	deu	
foreign	the belly	eng	
foreign	addomine	ita	
foreign	abdomen	spa	
foreign	bajo	spa	
foreign	menthe	spa	
foreign	γαστὴρ	grc	
pb	0003	0017	
ref	Insecte		
entry	Abdominal	0	
orth	Abdominal		
foreign	abdominalis	lat	
term	Anneau abdominal		
ref	Inguinal		
term	Aorte abdominale		
term	Aponévrose abdominale		
term	Bubon abdominal		
ref	Bubon		
term	Cavité abdominale		
ref	Abdomen		
term	Côtes abdominales		
term	Grossesse abdominale		
ref	Grossesse		
term	Hernie abdominale		
ref	Éventration		
term	Membres abdominaux		
term	Mouvements abdominaux		
ref	Respiratoire		
term	Muscles abdominaux		
term	Nerfs abdominaux		
term	Organes ou viscères abdominaux		
term	Palper abdominal		
ref	Palper		
term	Ponction abdominale		
ref	Ponction		
term	Pulsation abdominale		
ref	Pulsation		
term	Pléthore abdominale		
ref	Pléthore		
term	Veine cave abdominale		
term	Vertèbres abdominales		
term	Abdominaux		
entry	Abdominoscopie	0	
orth	Abdominoscopie		
entry	Abdomino-scrotal	0	
orth	Abdomino-scrotal		
term	Muscle abdomino-scrotal		
entry	Abdomino-thoracique	0	
orth	Abdomino-thoracique		
entry	Abdomino-utérotomie	0	
orth	Abdomino-utérotomie		
entry	Abducteur	1	
orth	Abducteur		
foreign	abducens	lat	
foreign	abductor	lat	
foreign	abziehend	deu	
foreign	abducent	deu	
foreign	abduttore	ita	
foreign	abductor	spa	
term	Nerf abducteur		
term	Abducteur de l’aile du-nez		
ref	Élévateur		
term	Abducteurs de la cuisse		
ref	Cuisse		
term	Abducteur du doigt indicateur		
term	Abducteur du petit doigt		
term	A bducteur de l’œil		
ref	Droit		
term	Abducteur de l’oreille		
term	Abducteur du gros orteil		
term	Abducteur du petit orteil		
term	Abducteur		
term	Abducteur		
pb	0004	0018	
entry	Abduction	0	
orth	Abduction		
foreign	abductio	lat	
foreign	Abziehen	deu	
foreign	Abziehung	deu	
foreign	abduction	eng	
foreign	abduzione	ita	
foreign	abduccion	spa	
entry	Abeille	0	
orth	Abeille		
foreign	Biene	deu	
foreign	bee	eng	
foreign	ape	ita	
foreign	abeja	spa	
entry	Abelasie	0	
orth	Abelasie		
entry	Abelmosch	0	
orth	Abelmosch		
ref	Ambrette		
entry	Abepithymia	0	
orth	Abepithymia		
entry	Aberrant	0	
orth	Aberrant		
term	Evolution aberrante		
ref	Évolution		
entry	Aberration	0	
orth	Aberration		
foreign	aberratio	lat	
foreign	Abweichung	deu	
foreign	Abirrung	deu	
foreign	aberration	eng	
foreign	aberrazione	ita	
term	Aberration des fluides		
term	Aberration de réfrangibiité		
term	Aberration de sphé		
ref	Monochromatique		
entry	Abévacuation	0	
orth	Abévacuation		
entry	Abiétate	1	
orth	Abiétate		
foreign	abetato	spa	
pb	0005	0019	
entry	Abiétine	0	
orth	Abiétine		
foreign	Abietin	deu	
foreign	abietin	eng	
foreign	abetina	spa	
entry	Abiétiné	0	
orth	Abiétiné		
entry	Abiétinées	0	
orth	Abiétinées		
entry	Abiétique	0	
orth	Abiétique		
ref	Abiétine		
entry	Abirritant	0	
orth	Abirritant		
entry	Abirritatif	0	
orth	Abirritatif		
term	Maladies abirritatives		
entry	Abirritation	0	
orth	Abirritation		
entry	Ablactation	0	
orth	Ablactation		
foreign	ablactatio	lat	
foreign	Entwöhnen	deu	
foreign	the weaning	eng	
foreign	ahlattazione	ita	
foreign	ἀπογαλακτισμὸς	grc	
entry	Ablation	0	
orth	Ablation		
foreign	ablatio	lat	
foreign	Abnahme	deu	
foreign	ablazione	ita	
foreign	ablacion	spa	
foreign	ἀφαίρεσις	grc	
ref	Extraction		
entry	Able, Ablette	0	
orth	Able		
orth	Ablette		
entry	Ablépharon	0	
orth	Ablépharon		
entry	Ablepsie	0	
orth	Ablepsie		
entry	Abluant	0	
orth	Abluant		
ref	Abstergent		
entry	Ablution	0	
orth	Ablution		
foreign	ablutio	lat	
foreign	abluzione	ita	
foreign	ablucion	spa	
foreign	ἀπόνιψις	grc	
ref	Lotion		
ref	Douche		
entry	Abnormité	0	
orth	Abnormité		
foreign	abnormitas	lat	
entry	Abobra do mato	0	
orth	Abobra do mato		
entry	Aboi, Aboiement	0	
orth	Aboi		
orth	Aboiement		
foreign	latratus	lat	
foreign	Bellen	deu	
foreign	Gebelle	deu	
foreign	barking	eng	
foreign	abbaiamento	ita	
foreign	ladrido	spa	
foreign	ὑλακὴ	grc	
term	Aboiement humain		
ref	Névrophonie		
entry	Abolition	0	
orth	Abolition		
foreign	abolitio	lat	
term	Abolition de la sensibilité, du mouvement		
ref	Anesthésie		
ref	Paralysie		
entry	Abomasum, Abomasus	0	
orth	Abomasum		
orth	Abomasus		
entry	Abords	0	
orth	Abords		
ref	Couard		
entry	Aborigène	0	
orth	Aborigène		
ref	Indigène		
entry	Abortif	0	
orth	Abortif		
foreign	abortivus	lat	
foreign	abortif	deu	
foreign	abtreibend	deu	
foreign	abortive	eng	
foreign	abortivo	ita	
