pb	[s. pag.]	0001	4819110
entry	[Page de faux-titre]	0	
pb	[s. pag.]	0002	4819111
pb	[s. pag.]	0003	4819112
entry	[Page de titre]	0	
pb	[s. pag.]	0004	4819113
pb	1	0005	4819114
entry	Prospectus	3	
pb	2	0006	4819115
pb	3	0007	4819116
pb	4	0008	4819117
pb	v	0009	4819118
entry	[Préface]	7	
pb	vj	0010	4819119
pb	vij	0011	4819120
pb	viij	0012	4819121
pb	ix	0013	4819122
pb	x	0014	4819123
pb	xj	0015	4819124
pb	xij	0016	4819125
pb	xiij	0017	4819126
entry	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume	11	
pb	xiv	0018	4819127
pb	xv	0019	4819128
pb	xvj	0020	4819129
pb	xvij	0021	4819130
pb	xviij	0022	4819131
pb	xix	0023	4819132
pb	xx	0024	4819133
pb	xxj	0025	4819134
pb	xxij	0026	4819135
pb	xxiij	0027	4819136
pb	xxiv	0028	4819137
pb	1	0029	4819138
entry	Aaron	0	
pb	2	0030	4819139
entry	Aaskow (Urbain-Bruan)	0	
entry	Abano (Pierre d'), ou Pierre d'Apono	2	
orth	Abano (Pierre d')		
orth	Pierre d'Apono		
pb	3	0031	4819140
pb	4	0032	4819141
entry	Abbadie (Vincent)	0	
entry	Abbatio (Balde-Ange)	1	
pb	5	0033	4819142
entry	Abelle (Scipion)	0	
entry	Abercromby (David)	1	
pb	6	0034	4819143
entry	Abildgaard (Pierre-Chrétien)	0	
entry	Abraham (Nicolas)	1	
pb	7	0035	4819144
entry	Absyrte, ou Apsyrte	0	
orth	Absyrte		
orth	Apsyrte		
entry	Acampo (Simon)	1	
pb	8	0036	4819145
entry	Accoramboni (Jérôme)	0	
entry	Accorsini (Barthélemy)	0	
entry	Accouchement	30	
pb	9	0037	4819146
pb	10	0038	4819147
pb	11	0039	4819148
pb	12	0040	4819149
pb	13	0041	4819150
pb	14	0042	4819151
pb	15	0043	4819152
pb	16	0044	4819153
pb	17	0045	4819154
pb	18	0046	4819155
pb	19	0047	4819156
pb	20	0048	4819157
pb	21	0049	4819158
pb	22	0050	4819159
pb	23	0051	4819160
pb	24	0052	4819161
pb	25	0053	4819162
pb	26	0054	4819163
pb	27	0055	4819164
pb	28	0056	4819165
pb	29	0057	4819166
pb	30	0058	4819167
pb	31	0059	4819168
pb	32	0060	4819169
pb	33	0061	4819170
pb	34	0062	4819171
pb	35	0063	4819172
pb	36	0064	4819173
pb	37	0065	4819174
pb	36	0066	4819175
entry	Achillini (Alexandre)	1	
pb	39	0067	4819176
entry	Ackermann (Jean-Chrétiens-Théophile)	1	
pb	40	0068	4819177
entry	Ackermann (Jacques-Fidèle)	1	
pb	41	0069	4819178
entry	Acrel (Olof)	2	
pb	42	0070	4819179
pb	43	0071	4819180
entry	Acron	1	
pb	44	0072	4819181
entry	Actuarius jean, fils de Zacharie	1	
orth	Actuarius jean		
orth	fils de Zacharie		
pb	45	0073	4819182
entry	Adair (James-Makittrik)	1	
pb	46	0074	4819183
entry	Adams (Joseph)	1	
pb	47	0075	4819184
entry	Adamucci (A.)	0	
entry	Adanson (Michel)	3	
pb	48	0076	4819185
pb	49	0077	4819186
pb	50	0078	4819187
entry	Addington (Antoine)	1	
pb	51	0079	4819188
entry	Adolphi (Chrétien-Michel)	0	
entry	Aegidius corboliensis (Petrus), Pierre Gilles de Corbeil	1	
orth	Aegidius corboliensis (Petrus)		
orth	Pierre Gilles de Corbeil		
pb	52	0080	4819189
entry	Aetius	2	
pb	53	0081	4819190
pb	54	0082	4819191
entry	Agricola (Jean-Ammonius)	0	
entry	Agricola (George)	1	
pb	55	0083	4819192
entry	Agrippa (Henri-Corneille)	2	
pb	56	0084	4819193
pb	57	0085	4819194
entry	Aguero (Bartholomeo-Hidalgo de)	0	
entry	Aikin (Jean)	1	
pb	58	0086	4819195
entry	Ailhaud (Jean)	1	
pb	59	0087	4819196
entry	Ailhaud (Jean-Gaspard)	0	
entry	Ailleboust (Jean)	0	
entry	Oimar (Ozias)	1	
pb	60	0088	4819197
entry	Aitken (Jean)	0	
entry	Akakia (Martin)	3	
pb	61	0089	4819198
entry	Akakia (Jean)	0	
entry	Akakia (Martin)	1	
pb	62	0090	4819199
entry	Akenside (Marc)	1	
pb	63	0091	4819200
entry	Alanson (Édouard)	1	
pb	64	0092	4819201
entry	Alaymo (Marc-Antoine)	0	
entry	Albano Torino	1	
pb	65	0093	4819202
entry	Al-Beithar	0	
entry	Albers (Jean-Abraham)	1	
pb	66	0094	4819203
entry	Albert-le-grand	1	
pb	67	0095	4819204
entry	Alberti (Michel)	2	
pb	68	0096	4819205
pb	69	0097	4819206
entry	Alberti (Salomon)	1	
pb	70	0098	4819207
entry	Albertini (Annibal)	0	
entry	Albertini (Barthélemy)	0	
entry	Albertini (Hippolyte-François)	0	
pb	71	0099	4819208
entry	Albinus (Bernard)	0	
entry	Albinus (Bernard-Sigefroy)	5	
pb	72	0100	4819209
pb	73	0101	4819210
pb	74	0102	4819211
pb	75	0103	4819212
pb	76	0104	4819213
entry	Albinus (Chrétien-Bernard)	0	
entry	Albinus (Jacques)	1	
pb	77	0105	4819214
entry	Albucasis abul-casem-khalaf-ebn-abbas	1	
pb	78	0106	4819215
entry	Alcadino	0	
entry	Alcazar ou Valcazer (André)	0	
orth	Alcazar		
orth	Valcazer (André)		
entry	Alchimie	7	
pb	79	0107	4819216
pb	80	0108	4819217
pb	81	0109	4819218
pb	82	0110	4819219
pb	83	0111	4819220
pb	84	0112	4819221
pb	85	0113	4819222
entry	Alcméon	1	
pb	86	0114	4819223
entry	Aldrighetti (Aldrighetto)	0	
entry	Alessandri (François Degli)	1	
pb	87	0115	4819224
entry	Alessandrini (Jules)	0	
pb	88	0116	4819225
entry	Alessi (Alexandre)	0	
entry	Alessi (Alfssio Degli)	1	
pb	89	0117	4819226
entry	Alexandre	1	
pb	90	0118	4819227
pb	91	0119	4819228
entry	Alexandre (Williams)	0	
entry	Algarotto (Victor)	0	
entry	Alghisi (Thomas)	1	
