pb	[s. pag.]	0001	4879006
entry	[Première de couverture]	0	
pb	[s. pag.]	0002	4879007
pb	[s. pag.]	0003	4879008
entry	[Page de faux-titre]	0	
pb	[s. pag.]	0004	4879009
entry	[Page de titre]	0	
pb	1	0005	4879010
entry	Lait	1	
pb	2	0006	4879011
entry	Lait virginal	0	
pb	3	0007	4879012
entry	Laitue	0	
pb	4	0008	4879013
entry	Laudanum	0	
entry	Laudanum liquide	0	
pb	5	0009	4879014
entry	Lavande	0	
entry	Lénitif	2	
pb	6	0010	4879015
pb	7	0011	4879016
entry	Lessive de soude, ou Lessive des savonniers	0	
entry	Lichen d'Islande	1	
pb	8	0012	4879017
entry	Lichen pixidatus	0	
entry	Lierre rampant	2	
pb	9	0013	4879018
pb	10	0014	4879019
entry	Lierre terrestre	0	
entry	Limon	1	
pb	11	0015	4879020
entry	Limonade	0	
entry	Limonade Anglaise	1	
pb	12	0016	4879021
entry	Limonade sèche par l'acide citrique	1	
pb	13	0017	4879022
entry	Limonade sèche par l'oxalate acidule de potasse	0	
entry	Lin	1	
pb	14	0018	4879023
entry	Liniment	1	
pb	15	0019	4879024
entry	Liniment camphré	0	
entry	Liniment résolutif	0	
entry	Liniment volatil	0	
pb	16	0020	4879025
entry	Liqueur d'Hoffmann	1	
pb	17	0021	4879026
entry	Liqueur de Vans-Wieten	1	
pb	18	0022	4879027
entry	Lis blanc	1	
pb	19	0023	4879028
entry	Livèche	1	
pb	20	0024	4879029
entry	Loks (des)	1	
pb	21	0025	4879030
entry	Lok blanc	2	
pb	22	0026	4879031
pb	23	0027	4879032
entry	Lok pectoral d'imitation	1	
pb	24	0028	4879033
entry	Macération	0	
entry	Macis	0	
entry	Magnésie	2	
pb	25	0029	4879034
pb	26	0030	4879035
entry	Mandragore	1	
pb	27	0031	4879036
entry	Manne	0	
pb	28	0032	4879037
entry	Marasquin de Zara	0	
entry	Marjolaine	1	
pb	29	0033	4879038
entry	Marmelade d'abricots	1	
pb	30	0034	4879039
entry	Marmelade de Tronchin	1	
pb	31	0035	4879040
entry	Marrube blanc	0	
pb	32	0036	4879041
entry	Mastic	0	
pb	33	0037	4879042
entry	Matricaire	0	
pb	34	0038	4879043
entry	Mauve	0	
pb	35	0039	4879044
entry	Méchoacan	0	
entry	Mélasse	1	
pb	36	0040	4879045
entry	Mélilot	1	
pb	37	0041	4879046
entry	Mélisse	1	
pb	38	0042	4879047
entry	Melon	1	
pb	39	0043	4879048
entry	Menthe frisée	1	
pb	40	0044	4879049
entry	Menthe poivrée	1	
pb	41	0045	4879050
entry	Mercure	2	
pb	42	0046	4879051
pb	43	0047	4879052
pb	44	0048	4879053
entry	Mercuriale	1	
pb	45	0049	4879054
entry	Méum	1	
pb	46	0050	4879055
entry	Miel	1	
pb	47	0051	4879056
entry	Miel dépuré	0	
entry	Miel mercurial	1	
pb	48	0052	4879057
entry	Miel de nénuphar	0	
pb	49	0053	4879058
entry	Miel rosat	1	
pb	50	0054	4879059
entry	Miel violat	0	
entry	Mille-feuille	1	
pb	51	0055	4879060
entry	Mille-pertuis	1	
pb	52	0056	4879061
entry	Mixtures	0	
pb	53	0057	4879062
entry	Morelle	1	
pb	54	0058	4879063
entry	Moutarde	1	
pb	55	0059	4879064
entry	Mucilage de gomme adragant	1	
pb	56	0060	4879065
entry	Muguet	1	
pb	57	0061	4879066
entry	Muriates	1	
pb	58	0062	4879067
entry	Muriate d'ammoniaque	2	
pb	59	0063	4879068
pb	60	0064	4879069
entry	Muriate d'antimoine sur-oxigéné	1	
pb	61	0065	4879070
entry	Muriate de baryte	2	
pb	62	0066	4879071
