page	refimg	chapitre
sn	0001	[Plat]
sn	0002	[Contreplat]
sn	0003	[Page de garde]
pb	0004	
pb	0005	
pb	0006	
1	0007	
2	0008	
3	0009	Notice
4	0010	
5	0011	
6	0012	
7	0013	
8	0014	
9	0015	
10	0016	
11	0017	
12	0018	Abréviations
13	0019	A - Abondance Joseph
14	0020	Abondance Joseph / Adam Jean-François / Adelon Pierre / Albert Marc-Antoine 
15	0021	Albert Joseph / Albert Henry / Albini Guido
16	0022	Albini Guido / Albrier Maurice / Alphonse Jean / Amblard / Amblet Gaspard / Amadeus
17	0023	Ami Joseph / Andrevetan Cl.-François 
18	0024	Andrevetan Cl.-François / Andrier François / Andrier Jean
19	0025	Andrier Jean / Anselme Pierre-François-Philibert / Anthonio (Mestre) / Anthonioz Félix
20	0026	Anthonioz Félix / Anthonioz Claude-François / Anthonioz François-Auguste / Anuci (Me Jehan) / Anzo (De) Thomas / Arbario / Arestan, de Chambéry
21	0027	Armand Jean-Louis-Vincent / Armand Joseph / Armand Jules / Arnal Gabriel
22	0028	Arpin Charles / Audacio (Georges de) / Audé Charles
23	0029	Audé Jean Louis / Audouy (de Marseille ? ) / Avet Philibert-François / Avet Jean-Baptiste / B. - Baillix
24	0030	Bally Jean-François / Bally Joseph-Marie / Balthazard (Louis de) / Bard Gaspard / Barret ou Biolet
25	0031	Barthélemy / Barthélemy Pierre / Basin Auguste / Baud Jean-Marie
26	0032	Baud Jean-Marie
27	0033	Baud Jean-Marie
28	0034	Baud Jean-Marie
29	0035	Baud Jean-Marie
30	0036	Baud Jean-Marie
31	0037	Baud Jean-Marie
32	0038	Baud Jean-Marie
33	0039	Baud Jean-Marie / Baudet Tobie / Baudry Félix / Bazile Prosper
34	0040	Bazile Prosper / Bazin Charles / Beard Joseph
35	0041	Beard Joseph / Beaumont Benoît / Beaumont (de) Pierre
36	0042	Bebert Joseph / Bellile Alfred-Humbert / Belloste Auguste / Bellot Colomban / Belly Louis / Berlier Pierre
37	0043	Berlier Pierre / Bernard Sébastien-Joseph / Bernard Jean-François / Berthet Pierre-Denis-Justin
38	0044	Berthet Pierre-Denis-Justin / Berthet Aimé / Berthet Constant, de Chambéry / Berthet Constant, d'Aiton
39	0045	Berthet Constant, d'Aiton / Berthet Jean-Claude / Berthet Jean-Joseph / Berthet Michel / Bertholet Claude-François
40	0046	Bertholet François-Marie / Bertholet … de la Rochette / Berthoud Balthazard / Berthier Francis-Bertrand
41	0047	Berthier Francis-Bertrand / Berthier Louis-Sébastien / Bertrand Jacques
42	0048	Bertrand Jacques / Bertrand … / Bertrand Léonard / Besson (Elisabeth)
43	0049	Besson (Elisabeth) / Besson Fortunat-Marin / Besson Joseph / Bianco
44	0050	Bibal Antoine / Billod François / Billiottet Jean-Maurice
45	0051	Billiottet Jean-Maurice / Billioud / Biolet alias Barlet Barthélemi
46	0052	Biron Joseph
47	0053	Biron Joseph / Birraud ... / Blanc Louis / Blanc Léon
48	0054	Blanc Léon / Blanc Jean-Baptiste
49	0055	Blanc Jean-Baptiste / Blanc Joseph-François-Léon / Blanc Charles-Jacques / Blanc François, de Conflans / Blanc François, de Chambéry / Blanchet Gaëtan
50	0056	Blanchet Gaëtan / Bo Jean-Baptiste / Bocca Joseph-Antoine / Bocellin Pierre / Boejat François / Boisset Pierre
51	0057	Boisset Pierre / Boisset Marc-Antoine
52	0058	Boisset Marc-Antoine / Boisson Jean / Bojon Jacques-François / Bolliet Claude / Bolliet J. / Bompard Alexis
53	0059	Bompard Alexis / Bone Félix / Bon (Boniface) Castalis / Boni (Magister) / Bonna, de St-Jeoire en Faucigny / Bonafous Mathieu
