page	refimg	numauto	chapitre
sn	0001	8139297	[Plat]
sn	0002	8139298	[Contreplat]
sn	0003	8139299	[Page de garde]
pb	0004	8139300	
pb	0005	8139301	
pb	0006	8139302	
pb	0007	8139303	
pb	0008	8139304	
1	0009	8139305	[Page de faux titre] [Dédicace] (manuscrite)
2	0010	8139306	
3	0011	8139307	[Page de titre]
4	0012	8139308	
5	0013	8139309	Avant-propos
6	0014	8139310	
7	0015	8139311	
8	0016	8139312	
9	0017	8139313	
10	0018	8139314	
11	0019	8139315	
12	0020	8139316	
13	0021	8139317	Dictionnaire des médecins du Limousin. A. - Abbatut; Alaigre Jean; Albier de Lacombe Antoine; Allegraud Pierre
14	0022	8139318	Allegraud Pierre; Amilton Jacques; Anceaume ou Anselme Guillaume; Andral Vincent; André Pierre; Arboint; Arbonneau Jacques
15	0023	8139319	Arbonneau Jacques; Arbonneau Maurice; Arbonneau Michel; Arbonneau Michel, fils de Maurice
16	0024	8139320	Ardant Isaac; Ardent Jean; Arfeullière Léonard; Arliguié Pierre; Armandie Pierre; Arnaud; Artigues Pierre
17	0025	8139321	Arzellier Gabriel; Audoyn Gérald; Audubert; Audubert Bernard; Augeriis (Jean De); Avril Pierre
18	0026	8139322	Avril Pierre; Avril fils; Avril François; Aymar / B. - Bachelier; Bachellerie Antoine; Badou Mathieu; Badou; Bagot Jean
19	0027	8139323	Balestier Jacques; Balestier Martin; Ballet Vincent; Ballet Jean; Baluze François; Baluze Jean; Banel Pierre; Barach François; Baraud Jacques
20	0028	8139324	Barbe Pierre; Bardet Jacques père; Bardet Jacques; Bardicon Joseph; Bardinet Pierre-Pardoux; Bardinet Jacques; Bardon Léonard; Bargy Louis; Bargy Pierre; Bargy Vincent
21	0029	8139325	Bargy Vincent; Barraud Jean; Barret Léonard; Bastide (De la) Mathieu; Bastisse Antoine; Battut Antoine; Baudraud Pierre; Bayle Pierre; Baynaud; Beaujeu (De) Jean-Baptiste-Simon; Beaulieu
