page	refimg	chapitre
[sans numérotation]	0001	[Page de faux-titre]
[page blanche]	0002	
[sans numérotation]	0003	[Page de titre]
[page blanche]	0004	
265	0005	Iatraleptique (thér.) [J. B.] / Ichor (path.) / Ichthyocolle (mat. méd.) [J. B.] / Ichthyose (méd.) [E. Beaugrand]
266	0006	Ichthyose (méd.) [E. Beaugrand] / Ictère (méd.) [J. P. Beaude]
267	0007	Ictère (méd.) [J. P. Beaude]
268	0008	Ictère (méd.) [J. P. Beaude] / Ictérique (path.) / Idiopathie, Idiopathique (path.) [J. B.] / Idiosyncrase ou Idiosycrasie (path.) [J. B.] / Idiotie (méd.) [H. Landouzy]
269	0009	Idiotie (méd.) [H. Landouzy]
270	0010	Idiotie (méd.) [H. Landouzy]
271	0011	Idiotie (méd.) [H. Landouzy] / Iléo-coecal (anat.) / Iléo-colique (anat.) / Iléo-lombaire (anat.) [J. B.] / Iléon (anat.) / Iles (anat.) [J. P. Beaude] / Iléus (méd.) / Iliaque (anat.) [J. B.]
272	0012	Iliaque (anat.) [J. B.] / Iliaque, passion (path.) / Ilio-fémorale (anat.) / Ilion (anat.) / Ilium (anat.) / Imbécillité (path.) / Immersion (thérap.) / Imperforation [E. Beaugrand] / Imperforé (path.) / Impétigo (path.) / Imprégnation (physiol.) / Impubère (physiol.) / Impuissance [H. Landouzy]
273	0013	Impuissance [H. Landouzy]
274	0014	Impuissance [H. Landouzy]
275	0015	Inanition, (physiol.) / Inappétence (séméiol.) / Incandescence (physique) / Incarcération (chir.) / Incinération (physique) / Incisif, ive (anat.) / Incision (chir.) / Incitabilité (physiol.) / Incontinence (hyg.) [E. Beaugrand]
276	0016	Incontinence (hyg.) [E. Beaugrand] / Incrassant (mat. méd.) / Incrustation (anat. pathol.) / Incubation (path.) / Incube (physiol.) / Index (anat.) / Indication (pathol.) / Indigeste (hyg.) / Indigestion (pathol.) [F. E. Plisson]
277	0017	Indigestion (pathol.) [F. E. Plisson]
278	0018	Indigestion (pathol.) [F. E. Plisson]
279	0019	Indigestion (pathol.) [F. E. Plisson] / Indigo (chim.) [J. B.]
280	0020	Indigo (chim.) [J. B.] / Indolent (path.) / Induration (anat. pathol.) / Infanticide (méd. lég.) [J. P. Beaude]
281	0021	Infanticide (méd. lég.) [J. P. Beaude]
282	0022	Infanticide (méd. lég.) [J. P. Beaude]
283	0023	Infanticide (méd. lég.) [J. P. Beaude]
284	0024	Infanticide (méd. lég.) [J. P. Beaude]
285	0025	Infanticide (méd. lég.) [J. P. Beaude] / Infection (path.) / Infernale (Pierre) (pharm.) / Infibulation ou Fibulation (hyg.) [H. Landouzy] / Infiltration (anat. path.) [J. B.] / Infirmité (path.) / Inflammation (méd.) [E. Beaugrand]
286	0026	Inflammation (méd.) [E. Beaugrand]
287	0027	Inflammation (méd.) [E. Beaugrand]
288	0028	Inflammatoire (path.) / Infundibuliforme (anat. path.) / Infusion (phar.) [J. B.] / Infusoires (zool.) / Ingesta (hyg.) / Ingrédient (mat. méd.) / Inguinal, ale (anat.) / Inhalation (physiol.) / Inhumation (poli. méd.) [J. P. Beaude]
289	0029	Inhumation (poli. méd.) [J. P. Beaude]
290	0030	Inhumation (poli. méd.) [J. P. Beaude]
291	0031	Inhumation (poli. méd.) [J. P. Beaude] / Injection (thérap.) [J. B.] / Innervation (physiol.) / Innominé, ée (anat.) / Inoculation (path.) [J. B.] / Inorganique (physiol.) / Inquiétude (path.) / Insalivation (physiol.) / Insectes (hist. nat. path.) [J. P. Beaude]
292	0032	Insectes (hist. nat. path.) [J. P. Beaude]
293	0033	Insectes (hist. nat. path.) [J. P. Beaude]
294	0034	Insectes (hist. nat. path.) [J. P. Beaude]
295	0035	Insectes (hist. nat. path.) [J. P. Beaude]
296	0036	Insectes (hist. nat. path.) [J. P. Beaude] / Insensible (physiol.) / Insertion (anat.) / Insolation (hygiène) [H. Landouzy] / Insomnie, (path.) [J. P. Beaude]
297	0037	Insomnie, (path.) [J. P. Beaude] / Inspirateur (physiol.) / Inspiration (physiol.) / Instillation (thérap.) / Instrument (chir.) / Insufflation (path. thérap.) [J. B.] / Intelligence / Intempérance (physiol.) / Intempérie (physiol.) / Intense (physiol. path.) / Intention (pathol.)
298	0038	Intention (pathol.) / Inter-calaire (path.) / Inter-claviculaire (anat.) / Intercostal (anat.) [J. B.] / Intercurrent, te (path.) / Inter-épineux (anat.) [J. B.] / Inter-maxillaire (anat.) [J. B.] / Intermittence (path.) / Intermittent, te (path.) / Interne (path.) / Inter-osseux, se (anat.) [J. B.] / Interstice (anat.) / Inter-transversaire (anat.) [J. B.]
299	0039	Inter-transversaire (anat.) [J. B.] / Intertrigo (méd.) [E. Beaugrand] / Inter-vertébrale (anat.) / Intestin (anat.) [E. Beaugrand]
300	0040	Intestin (anat.) [E. Beaugrand]
301	0041	Intestin (anat.) [E. Beaugrand]
302	0042	Intestin (anat.) [E. Beaugrand]
303	0043	Intestin (anat.) [E. Beaugrand]
304	0044	Intestin (anat.) [E. Beaugrand] / Intestinal (anat.) / Intumescence (path.) / Intus-susception (anat. path.) / Inule (mat. méd.) [J. B.] / Invagination (anat. pathol.) / Invasion (path.) [E. Beaugrand]
305	0045	Invasion (path.) [E. Beaugrand] / Iodates (chim.) / Iode (chim.)
306	0046	Iode (chim.) / Iodures [F. Capitaine]
307	0047	Iodures [F. Capitaine] / Iodique (Acide) [J. B.]
308	0048	Iodures (chim.) / Ipécacuanha (mat. méd.) [J. P. Beaude]
309	0049	Ipécacuanha (mat. méd.) [J. P. Beaude] / Iris (anat.) [E. Beaugrand]
310	0050	Iris (anat.) [E. Beaugrand]
311	0051	Iris (anat.) [E. Beaugrand] / Iritis. (path.) [Andrieux]
312	0052	Iritis. (path.) [Andrieux] / Irrégulier (path.) / Irrigations (thérap.) [J. P. Beaude]
313	0053	Irrigations (thérap.) [J. P. Beaude]
314	0054	Irrigations (thérap.) [J. P. Beaude]
315	0055	Irrigations (thérap.) [J. P. Beaude] / Irritabilité (physiol.) [J. B.] / Irritant (thérap. path.) [J. B.] / Irritation (physiol. path.) [E. Beaugrand]
316	0056	Irritation (physiol. path.) [E. Beaugrand] / Ischiatique (anat.) / Ischion (anat.) / Ischio-caverneux (anat.) / Ischiocèle (path.) / Ischio-clitoridien (anat.) / Ischio-coccygien (anat.) / Ischurie (path.) / Isochrone (physiol.) / Isolement (physiol.) [H. Landouzy]
317	0057	Isolement (physiol.) [H. Landouzy] / Isthme (anat.) / Ivette (bot.) / Ivraie (bot.) [J. P. Beaude]
318	0058	Ivresse, (hyg.) [J. P. Beaude]
319	0059	Ivresse, (hyg.) [J. P. Beaude]
320	0060	Jalap (mat. méd.) [J. P. Beaude]
321	0061	Jalap (mat. méd.) [J. P. Beaude] / Jambe (anat.) [J. P. Beaude]
322	0062	Jambe (anat.) [J. P. Beaude]
323	0063	Jambe (anat.) [J. P. Beaude] / Jambier (anat.) [J. B.] / Jarret (anat.) / Jaune (Fièvre) / Jaunes (Ligaments) (anat.) / Jaunisse / Jéjuneum (anat.) / Jeunesse / Jeune / Joie / Jointures (anat.) / Joubarbe (bot.) [J. B.]
324	0064	Joubarbe (bot.) [J. B.] / Joues (anat.) [J. B.] / Jour (physiol. et path.) [J. B.] / Jugulaire (anat.) [J. B.] / Jujube (bot. méd.) [T. Couverchel]
325	0065	Jujube (bot. méd.) [T. Couverchel] / Julep (pharm.) / Jumeaux (anat.) [J. B.] / Jus d'herbes / Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
326	0066	Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
327	0067	Jusquiame (bot. mat. méd. et pharm.) [J. P. Beaude]
328	0068	Kajefut ou Cajeput (mat. méd.) [J. B.] / Karabé / Kéloide (path.) [E. Beaugrand] / Kératome. (chir.)
329	0069	Kératome. (chir.) / Kératite (méd.) / Kératonyxis (chir.) / Kermès, Minéral / Kermès animal / Kina (mat. méd.) / Kinates (chim.) / Kinine / Kino (mat. méd.) [J. B.] / Kystes (anat. path.) [E. Beaugrand]
330	0070	Kystes (anat. path.) [E. Beaugrand]
331	0071	Labial (anat.) [J. B.] / Laboratoire (pharm.) [Vée]
332	0072	Laboratoire (pharm.) [Vée] / Labyrinthe (anat.) / Lacis (anat.) / Lacq ou Laq (chir.) [J. B.] / Lacrymal, ale (anat. et path.) [J. P. Beaude] / Lactate (chim.) / Lactation / Lacté, ée (anat.) / Lactique (Acide) (chim.) [J. P. Beaude]
333	0073	Lactique (Acide) (chim.) [J. P. Beaude] / Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
334	0074	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
335	0075	Lait (physiol. hyg.) [F. Capitaine, J. P. Beaude]
