page	refimg	chapitre
[sans numérotation]	0001	[Page de faux-titre]
[page blanche]	0002	
[sans numérotation]	0003	[Page de titre]
[page blanche]	0004	
1	0005	Prospectus
2	0006	Prospectus
3	0007	Prospectus
4	0008	Prospectus
v	0009	[Préface]
vj	0010	[Préface]
vij	0011	[Préface]
viij	0012	[Préface]
ix	0013	[Préface]
x	0014	[Préface]
xj	0015	[Préface]
xij	0016	[Préface]
xiij	0017	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xiv	0018	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xv	0019	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xvj	0020	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xvij	0021	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xviij	0022	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xix	0023	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xx	0024	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxj	0025	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxij	0026	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxiij	0027	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
xxiv	0028	Ouvrages cités. Catalogue des ouvrages souvent cités dans ce premier volume
1	0029	Aaron
2	0030	Aaskow (Urbain-Bruan) / Abano (Pierre d'), ou Pierre d'Apono
3	0031	Abano (Pierre d'), ou Pierre d'Apono
4	0032	Abano (Pierre d'), ou Pierre d'Apono / Abbadie (Vincent) / Abbatio (Balde-Ange)
5	0033	Abbatio (Balde-Ange) / Abelle (Scipion) / Abercromby (David)
6	0034	Abercromby (David) / Abildgaard (Pierre-Chrétien) / Abraham (Nicolas)
7	0035	Abraham (Nicolas) / Absyrte, ou Apsyrte / Acampo (Simon)
8	0036	Acampo (Simon) / Accoramboni (Jérôme) / Accorsini (Barthélemy) / Accouchement
9	0037	Accouchement
10	0038	Accouchement
11	0039	Accouchement
12	0040	Accouchement
13	0041	Accouchement
14	0042	Accouchement
15	0043	Accouchement
16	0044	Accouchement
17	0045	Accouchement
18	0046	Accouchement
19	0047	Accouchement
20	0048	Accouchement
21	0049	Accouchement
22	0050	Accouchement
23	0051	Accouchement
24	0052	Accouchement
25	0053	Accouchement
26	0054	Accouchement
27	0055	Accouchement
28	0056	Accouchement
29	0057	Accouchement
30	0058	Accouchement
31	0059	Accouchement
32	0060	Accouchement
33	0061	Accouchement
34	0062	Accouchement
35	0063	Accouchement
36	0064	Accouchement
37	0065	Accouchement
36	0066	Accouchement / Achillini (Alexandre)
39	0067	Achillini (Alexandre) / Ackermann (Jean-Chrétiens-Théophile)
40	0068	Ackermann (Jean-Chrétiens-Théophile) / Ackermann (Jacques-Fidèle)
41	0069	Ackermann (Jacques-Fidèle) / Acrel (Olof)
42	0070	Acrel (Olof)
43	0071	Acrel (Olof) / Acron
44	0072	Acron / Actuarius jean, fils de Zacharie
45	0073	Actuarius jean, fils de Zacharie / Adair (James-Makittrik)
46	0074	Adair (James-Makittrik) / Adams (Joseph)
47	0075	Adams (Joseph) / Adamucci (A.) / Adanson (Michel)
48	0076	Adanson (Michel)
49	0077	Adanson (Michel)
50	0078	Adanson (Michel) / Addington (Antoine)
51	0079	Addington (Antoine) / Adolphi (Chrétien-Michel) / Aegidius corboliensis (Petrus), Pierre Gilles de Corbeil
52	0080	Aegidius corboliensis (Petrus), Pierre Gilles de Corbeil / Aetius
53	0081	Aetius
54	0082	Aetius / Agricola (Jean-Ammonius) / Agricola (George)
55	0083	Agricola (George) / Agrippa (Henri-Corneille)
56	0084	Agrippa (Henri-Corneille)
57	0085	Agrippa (Henri-Corneille) / Aguero (Bartholomeo-Hidalgo de) / Aikin (Jean)
58	0086	Aikin (Jean) / Ailhaud (Jean)
59	0087	Ailhaud (Jean) / Ailhaud (Jean-Gaspard) / Ailleboust (Jean) / Oimar (Ozias)
60	0088	Oimar (Ozias) / Aitken (Jean) / Akakia (Martin)
61	0089	Akakia (Martin) / Akakia (Martin) / Akakia (Martin) / Akakia (Jean) / Akakia (Martin)
62	0090	Akakia (Martin) / Akenside (Marc)
63	0091	Akenside (Marc) / Alanson (Édouard)
64	0092	Alanson (Édouard) / Alaymo (Marc-Antoine) / Albano Torino
65	0093	Albano Torino / Al-Beithar / Albers (Jean-Abraham)
66	0094	Albers (Jean-Abraham) / Albert-le-grand
67	0095	Albert-le-grand / Alberti (Michel)
68	0096	Alberti (Michel)
69	0097	Alberti (Michel) / Alberti (Salomon)
70	0098	Alberti (Salomon) / Albertini (Annibal) / Albertini (Barthélemy) / Albertini (Hippolyte-François)
71	0099	Albinus (Bernard) / Albinus (Bernard-Sigefroy)
72	0100	Albinus (Bernard-Sigefroy)
73	0101	Albinus (Bernard-Sigefroy)
74	0102	Albinus (Bernard-Sigefroy)
75	0103	Albinus (Bernard-Sigefroy)
76	0104	Albinus (Bernard-Sigefroy) / Albinus (Chrétien-Bernard) / Albinus (Jacques)
77	0105	Albinus (Jacques) / Albucasis abul-casem-khalaf-ebn-abbas
78	0106	Albucasis abul-casem-khalaf-ebn-abbas / Alcadino / Alcazar ou Valcazer (André) / Alchimie
79	0107	Alchimie
80	0108	Alchimie
81	0109	Alchimie
82	0110	Alchimie
83	0111	Alchimie
84	0112	Alchimie
85	0113	Alchimie / Alcméon
86	0114	Alcméon / Aldrighetti (Aldrighetto) / Alessandri (François Degli)
87	0115	Alessandri (François Degli) / Alessandrini (Jules)
88	0116	Alessi (Alexandre) / Alessi (Alfssio Degli)
89	0117	Alessi (Alfssio Degli) / Alexandre
90	0118	Alexandre
91	0119	Alexandre (Williams) / Algarotto (Victor) / Alghisi (Thomas)
92	0120	Alghisi (Thomas) / Ali-Ebn-Abbas, ou Haly-Abbas
93	0121	Ali-Ebn-Abbas, ou Haly-Abbas / Alidio (Charles-Antoine) / Alix (Mathieu-François)
94	0122	Alix (Mathieu-François) / Allemant ou Aleman (Adrien l')
95	0123	Allemant ou Aleman (Adrien l') / Allen (Jean) / Allioni (Charles)
96	0124	Allioni (Charles) / Alliot
97	0125	Allmacher (Jean-Frédéric) / Allouel / Almeloveen (Théodore-Jansson van)
98	0126	Almeloveen (Théodore-Jansson van) / Alpago (André)
99	0127	Alpago (André) / Alphonse de Corella ou Lopez de Corella / Alpino (Prosper)
100	0128	Alpino (Prosper) / Alsaharavi / Alsario
101	0129	Alsario
102	0130	Alsario / Alston (Charles)
103	0131	Alston (Charles) / Altomare (Donat-Antoine)
104	0132	Altomare (Donat-Antoine) / Alyon (Pierre-Philippe)
105	0133	Alyon (Pierre-Philippe) / Amand (Pierre) / Amantea (Bruno)
106	0134	Amantea (Bruno) / Amar (Joseph)
107	0135	Amar (Joseph) / Amatus Lusitanus
108	0136	Amatus Lusitanus / Ambrosini (Barthélemy) / Amico (Diomède) / Amman (Jean-Conrad)
109	0137	Amman (Jean-Conrad) / Ammann (Paul)
110	0138	Ammann (Paul)
111	0139	Amoreux (Pierre-Joseph)
112	0140	Amoreux (Pierre-Joseph) / Ampzing (Jean Assuerus) / Amusco / Anatomie
113	0141	Anatomie
114	0142	Anatomie
115	0143	Anatomie
116	0144	Anatomie
117	0145	Anatomie
118	0146	Anatomie
119	0147	Anatomie
120	0148	Anatomie
121	0149	Anatomie
122	0150	Anatomie
123	0151	Anatomie
124	0152	Anatomie
125	0153	Anatomie
126	0154	Anatomie
127	0155	Anatomie
128	0156	Anatomie
129	0157	Anatomie
130	0158	Anatomie / Anatomie pathologique
131	0159	Anatomie pathologique / Anaxagore
132	0160	Anaxagore
133	0161	Anaxagore / Andaloro (André) / André (Nicolas)
134	0162	André (Nicolas) / Andreae (Tobie) / Andrée (Jean)
135	0163	Andrée (Jean) / Andria (Nicolas)
136	0164	Andria (Nicolas)
137	0165	Andria (Nicolas) / Andrioli (Michel-Ange) / Andromaque (l'ancien)
138	0166	Andromaque (l'ancien) / Andry (Nicolas)
139	0167	Andry (Nicolas) / Anel (Dominique)
140	0168	Anel (Dominique) / Angelucci (Théodore)
141	0169	Angelucci (Théodore) / Anthony (François)
142	0170	Anthony (François) / Antylus, ou Antyllus
143	0171	Antylus, ou Antyllus / Apinus (Jean-Louis)
144	0172	Apinus (Jean-Louis) / Aquila (Sébastien dell'), ou Aquilanus
145	0173	Aquila (Sébastien dell'), ou Aquilanus / Aquin (Joseph d'), ou Daquin / Arabes
146	0174	Arabes
147	0175	Arabes
148	0176	Arabes
149	0177	Arabes
150	0178	Arabes
151	0179	Arabes / Aranzi ou Aranzio (Jules-César)
152	0180	Aranzi ou Aranzio (Jules-César)
