page	refimg	numauto	chapitre
[sans numérotation]	0001	4821573	[Page de faux-titre]
[page blanche]	0002	4821574	
[sans numérotation]	0003	4821575	[Page de titre]
v	0004	4821576	[Préface]
vj	0005	4821577	[Préface]
vij	0006	4821578	[Préface]
viij	0007	4821579	[Préface]
1	0008	4821580	Roeschlaub (André)
2	0009	4821581	Roeschlaub (André)
3	0010	4821582	Roeschlaub (André)
4	0011	4821583	Roeschlaub (André)
5	0012	4821584	Roeschlaub (André) / Roesslin (Eucharius)
6	0013	4821585	Roesslin (Eucharius) / Roger
7	0014	4821586	Roger / Roland / Rolando (Louis)
8	0015	4821587	Rolando (Louis) / Rolfinck (Guerner ou Werner)
9	0016	4821588	Rolfinck (Guerner ou Werner)
10	0017	4821589	Rolfinck (Guerner ou Werner)
11	0018	4821590	Rolfinck (Guerner ou Werner)
12	0019	4821591	Rolfinck (Guerner ou Werner)
13	0020	4821592	Rolfinck (Guerner ou Werner)
14	0021	4821593	Rolfinck (Guerner ou Werner) / Rollo (John)
15	0022	4821594	Rollo (John) / Rondelet (Guillaume)
16	0023	4821595	Rondelet (Guillaume)
17	0024	4821596	Rondelet (Guillaume) / Roonhuyzen (Henry Yan) / Roose (Théodore George Auguste)
18	0025	4821597	Roose (Théodore George Auguste)
19	0026	4821598	Rosa (le chevalier don Michel) / Rosen de Rosenstein (Nicolas)
20	0027	4821599	Rosen de Rosenstein (Nicolas)
21	0028	4821600	Rosen de Rosenstein (Nicolas) / Rosenmueller (Jean Chrétien)
22	0029	4821601	Rosenmueller (Jean Chrétien)
23	0030	4821602	Rosenmueller (Jean Chrétien) / Rosenthal (Frédéric Chrétien)
24	0031	4821603	Rosenthal (Frédéric Chrétien) / Rougemont (Joseph Claude)
25	0032	4821604	Rougemont (Joseph Claude) / Rougnon (Nicolas François) / Rouhault (Pierre Simon)
26	0033	4821605	Rouhault (Pierre Simon) / Rouppe (Louis) / Roussel (Pierre)
27	0034	4821606	Roussel (Pierre) / Rousset (François)
28	0035	4821607	Rousset (François) / Roux (Augustin)
29	0036	4821608	Rouzet (François Léon) / Rowley (Williams)
30	0037	4821609	Rowley (Williams) / Royer collard (Antoine Athanase)
31	0038	4821610	Royer collard (Antoine Athanase) / Rubini (Pierre)
32	0039	4821611	Rubini (Pierre) / Rudbeck (Olaus)
33	0040	4821612	Rudbeck (Olaus) / Rudolphi (Charles Asmund)
34	0041	4821613	Rudolphi (Charles Asmund)
35	0042	4821614	Rudolphi (Charles Asmund) / Rudtorffer (François de) / Ruff ou Rueff (Jacques)
36	0043	4821615	Ruff ou Rueff (Jacques) / Rufus
37	0044	4821616	Ruleau (Jean) / Rullier
38	0045	4821617	Rullier / Rush (Benjamin)
39	0046	4821618	Rush (Benjamin)
40	0047	4821619	Rush (Benjamin)
41	0048	4821620	Russell (James) / Russell ou Russel (Alexandre) / Russell (Richard)
42	0049	4821621	Russell (Richard) / Russel ou Russell (Patrick) / Rutty (John)
43	0050	4821622	Rutty (John) / Ruysch (Frédéric)
44	0051	4821623	Ruysch (Frédéric)
45	0052	4821624	Ruysch (Frédéric) / Ryan (Michel) / Ryff (Gualther Hermann)
46	0053	4821625	Ryff (Gualther Hermann)
47	0054	4821626	Ryff (Gualther Hermann)
48	0055	4821627	Ryff (Gualther Hermann)
49	0056	4821628	Saalmann (François Rabanus)
50	0057	4821629	Saalmann (François Rabanus) / Sabatier (Raphael Bienvenu)
51	0058	4821630	Sabatier (Raphael Bienvenu) / Sacchi (Joseph Pompée)
52	0059	4821631	Sacchi (Joseph Pompée) / Sachs (George Tobie Louis) / Sachtleben (Dieterich Guillaume)
53	0060	4821632	Sachtleben (Dieterich Guillaume) / Sacombe (Jean François)
54	0061	4821633	Sacombe (Jean François) / Sagar (Jean Baptiste Melchior)
55	0062	4821634	Sagar (Jean Baptiste Melchior) / Saiffert (André) / Saillant / Saint-Ursin (Marie de)
56	0063	4821635	Saint-Ursin (Marie de) / Saint-Yves (Charles) / Saissy (Jean-Antoine)
57	0064	4821636	Saissy (Jean-Antoine) / Salerne (François) / Saliceto (Guillaume de)
58	0065	4821637	Sallaba (Matthias de) / Salmuth (Philippe) / Salzmann (Jean Rodolphe)
59	0066	4821638	Salzmann (Jean Rodolphe) / Salzmann (Jean)
60	0067	4821639	Salzmann (Jean) / Samoilowitz
61	0068	4821640	Samoilowitz / Sancassani (Denis André)
62	0069	4821641	Sancassani (Denis André) / Sanchez (Antoine Nunnez Ribeiro)
63	0070	4821642	Sanchez (Antoine Nunnez Ribeiro) / Sanctorius
64	0071	4821643	Sanctorius / Sanden (Thomas) / Sandifort (Edouard)
65	0072	4821644	Sandifort (Edouard) / Santorini (Jean Dominique)
66	0073	4821645	Santorini (Jean Dominique) / Sarcone (Michel)
67	0074	4821646	Sarcone (Michel) / Sassonia (Hercule)
68	0075	4821647	Sassonia (Hercule) / Saucerotte (Nicolas) / Saunders (John Cunningham)
69	0076	4821648	Saunders (John Cunningham) / Saunders (William)
70	0077	4821649	Saunders (William) / Sauvages (François Boissier) de Lacroix
71	0078	4821650	Sauvages (François Boissier) de Lacroix
72	0079	4821651	Sauvages (François Boissier) de Lacroix / Saviard (Barthélemy) / Savonarola (Michel)
73	0080	4821652	Savonarola (Michel) / Saxtorph (Mathias)
74	0081	4821653	Saxtorph (Mathias)
75	0082	4821654	Saxtorph (Mathias) / Scacchi (Durante) / Scardona (Jean-François) / Scarpa (Antoine)
76	0083	4821655	Scarpa (Antoine)
77	0084	4821656	Scarpa (Antoine)
78	0085	4821657	Scarpa (Antoine) / Schaarschmidt (Auguste)
79	0086	4821658	Schaarschmidt (Auguste)
80	0087	4821659	Schaarschmidt (Auguste) / Schaarschmidt (Samuel)
81	0088	4821660	Schaeffer (Jean Théophile) / Schaeffer (Jacques Chrétien Théophile)
82	0089	4821661	Schaeffer (Jacques Chrétien Théophile) / Schaeffer (Jean Ulrich Théophile)
83	0090	4821662	Schaeffer (Jean Ulrich Théophile)
84	0091	4821663	Schaeffer (Jean Ulrich Théophile) / Schaffroth (Johann Adam Gottlieb)
85	0092	4821664	Scheel (Paul) / Scheffel (Chrétien Etienne)
86	0093	4821665	Scheffel (Chrétien Etienne)
87	0094	4821666	Scheffel (Chrétien Etienne)
88	0095	4821667	Scheffel (Chrétien Etienne)
89	0096	4821668	Scheffel (Chrétien Etienne) / Scheidemantel (Frédéric Chrétien Théophile) / Schelhammer (Gonthier Christophe)
90	0097	4821669	Schelhammer (Gonthier Christophe)
91	0098	4821670	Schelhammer (Gonthier Christophe)
92	0099	4821671	Schelhammer (Gonthier Christophe) / Schenck (Jean) / Scherf (Jean Chrétien Frédéric)
93	0100	4821672	Scherf (Jean Chrétien Frédéric)
94	0101	4821673	Scherf (Jean Chrétien Frédéric) / Schilling (Godefroi-Guillaume) / Schlegel (Just.-Fred.-Aug.) / Schlegel (Jean Chrétien Traugott)
95	0102	4821674	Schlegel (Jean Chrétien Traugott) / Schlegel (Jean Guillaume)
96	0103	4821675	Schlegel (Jean Guillaume) / Schleger (Théodore-Auguste) / Schlichting (Jean Daniel)
97	0104	4821676	Schlichting (Jean Daniel) / Schmalz (Charles-Louis) / Schmidel (Casimir Christophe)
98	0105	4821677	Schmidel (Casimir Christophe)
99	0106	4821678	Schmidel (Casimir Christophe)
100	0107	4821679	Schmidel (Casimir Christophe) / Schmidt (Jean Georges) / Schmidt (Jean Adam)
101	0108	4821680	Schmidt (Jean Adam)
102	0109	4821681	Schmidt (Jean Adam) / Schmitt (Joseph-Guil.)
103	0110	4821682	Schmitt (Joseph-Guil.) / Schmidtmueller (Johann Anton)
104	0111	4821683	Schmidtmueller (Johann Anton)
105	0112	4821684	Schmidtmueller (Johann Anton) / Schmuck (Edmond Joseph) / Schmucker (Jean Lebrecht)
106	0113	4821685	Schmucker (Jean Lebrecht) / Schneider (Conrad Victor)
107	0114	4821686	Schneider (Conrad Victor)
108	0115	4821687	Schneider (Conrad Victor)
109	0116	4821688	Schneider (Conrad Victor) / Schneider (Lebrecht Ehregott) / Schnurrer (Frédéric)
110	0117	4821689	Schnurrer (Frédéric) / Schobelt (Christophe-Henri) / Schobinger (David-Christophe) / Schoenmetzel (François Gabriel)
111	0118	4821690	Schoenmetzel (François Gabriel) / Schoepf (Jean-David)
112	0119	4821691	Schoepf (Jean-David) / Schosulan (Jean-Michel)
113	0120	4821692	Schosulan (Jean-Michel) / Schotte (Jean-Pierre)
114	0121	4821693	Schotte (Jean-Pierre) / Schrader (Hermann-Henri-Chretien) / Schraud (François)
115	0122	4821694	Schraud (François) / Schreger (Bernard Nathaniel Théophile)
116	0123	4821695	Schreger (Bernard Nathaniel Théophile)
117	0124	4821696	Schreger (Bernard Nathaniel Théophile) / Schreiber (Jean-Fredéric)
118	0125	4821697	Schreiber (Jean-Fredéric)
119	0126	4821698	Schreiber (Jean-Fredéric) / Schreiber (Jean-Chrétien) / Schroeck (Lucas)
120	0127	4821699	Schroeck (Lucas) / Schroeder (Frédérick-Joseph-Guil.)
121	0128	4821700	Schroeder (Frédérick-Joseph-Guil.)
122	0129	4821701	Schroeder (Frédérick-Joseph-Guil.) / Schroeder (Philippe-Georges)
123	0130	4821702	Schroeder (Philippe-Georges)
124	0131	4821703	Schroeder (Philippe-Georges) / Schroeder (Théodore-Guillaume) / Schroeter (Louis-Philippe)
125	0132	4821704	Schroeter (Louis-Philippe)
126	0133	4821705	Schroeter (Louis-Philippe) / Schulze (Jean-Henri)
127	0134	4821706	Schulze (Jean-Henri)
128	0135	4821707	Schulze (Jean-Henri) / Schulz von schulzenheim (David)
129	0136	4821708	Schulz von schulzenheim (David) / Schulz ou Schultz (Frédéric Guillaume Ferdinand) / Schurig (Martin)
130	0137	4821709	Schurig (Martin) / Schuster (Gottwald)
131	0138	4821710	Schuster (Gottwald)
[sans numérotation]	0139	4821711	
132	0140	4821712	Schuster (Gottwald)
133	0141	4821713	Schuster (Gottwald)
134	0142	4821714	Schuster (Gottwald) / Schutz (Augustin Jacques) / Schwediauer (François-Xavier)
135	0143	4821715	Schwediauer (François-Xavier)
136	0144	4821716	Schweickhard (Chrétien Louis)
137	0145	4821717	Schweickhard (Chrétien Louis) / Schwencke (Thomas)
138	0146	4821718	Schwilgué (C. J. A.) / Scribonius Largus / Scultet (Jean)
139	0147	4821719	Scultet (Jean) / Sebald (Jean-Antoine) / Sebizius (Melchior)
140	0148	4821720	Sebizius (Melchior)
141	0149	4821721	Sebizius (Melchior) / Segnitz (Frédéric Louis)
142	0150	4821722	Segnitz (Frédéric Louis) / Selig (Théodore Valentin) / Selle (Christian Gottlieb)
143	0151	4821723	Selle (Christian Gottlieb)
144	0152	4821724	Selle (Christian Gottlieb) / Senac (Jean Baptiste)
145	0153	4821725	Senac (Jean Baptiste) / Sementini (Antoine)
146	0154	4821726	Sementini (Antoine) / Senff (Charles-Frédéric)
147	0155	4821727	Senet (Adam André) / Sennert (Daniel)
148	0156	4821728	Sennert (Daniel) / Sérapion, ou plutôt Jean
149	0157	4821729	Sérapion, ou plutôt Jean / Serenus Samonicus (Quintus)
150	0158	4821730	Serenus Samonicus (Quintus) / Serre (Jean Jacques Joseph)
151	0159	4821731	Serre (Jean Jacques Joseph) / Settala (Louis)
152	0160	4821732	Seubert (Louis Rodolphe) / Severino (Marc-Aurèle)
153	0161	4821733	Severino (Marc-Aurèle) / Severinus (Pierre) / Sharp (Samuel)
154	0162	4821734	Sharp (Samuel) / Shaw (Pierre)
155	0163	4821735	Shaw (Pierre) / Scheldon (Jean) / Sherwen (Jean)
156	0164	4821736	Sherwen (Jean) / Short (Thomas)
157	0165	4821737	Short (Thomas) / Siebold (Charles Gaspard)
158	0166	4821738	Siebold (Charles Gaspard)
159	0167	4821739	Siebold (Jean-Barthélemy)
160	0168	4821740	Siebold (Jean-Barthélemy) / Siebold (George Christophe)
161	0169	4821741	Siebold (George Christophe) / Siebold (Adam Elie)
162	0170	4821742	Siebold (Adam Elie)
163	0171	4821743	Siebold (Adam Elie) / Siegler, ou plutôt Ziegler (Christophe-Jacques-Auguste) / Sievers (Jean-Frédéric-Ernest)
164	0172	4821744	Sievers (Jean-Frédéric-Ernest) / Sigault (Jean-René) / Sigwart (Georges-Frédéric)
165	0173	4821745	Sigwart (Georges-Frédéric)
166	0174	4821746	Sigwart (Georges-Frédéric)
167	0175	4821747	Sigwart (Georges-Frédéric) / Silva (Jean-Baptiste)
168	0176	4821748	Silva (Jean-Baptiste) / Silvaticus (Mathaeus)
169	0177	4821749	Silvaticus (Mathaeus) / Silvaticus (Jean-Baptiste) / Simmons (Samuel-Foart)
170	0178	4821750	Simmons (Samuel-Foart) / Simon (François) / Sims (James)
171	0179	4821751	Sims (James) / Slevogt (Jean-Adrien)
172	0180	4821752	Slevogt (Jean-Adrien)
173	0181	4821753	Slevogt (Jean-Adrien)
174	0182	4821754	Slevogt (Jean-Adrien)
175	0183	4821755	Slevogt (Jean-Adrien) / Smellie (William)
176	0184	4821756	Smetius (Henri) / Smith (Elihu Heebbard)
177	0185	4821757	Smith (Elihu Heebbard) / Smith (Hugh)
178	0186	4821758	Smyth (James-Carmichael) / Soemmerring (Samuel-Thomas)
179	0187	4821759	Soemmerring (Samuel-Thomas)
180	0188	4821760	Soemmerring (Samuel-Thomas)
