page	refimg	chapitre
[sans numérotation]	0001	[Première de couverture]
[page blanche]	0002	
[sans numérotation]	0003	[Page de faux-titre]
[sans numérotation]	0004	[Page de titre]
1	0005	Lait
2	0006	Lait / Lait virginal
3	0007	Laitue
4	0008	Laudanum / Laudanum liquide
5	0009	Lavande / Lénitif
6	0010	Lénitif
7	0011	Lénitif / Lessive de soude, ou Lessive des savonniers / Lichen d'Islande
8	0012	Lichen d'Islande / Lichen pixidatus / Lierre rampant
9	0013	Lierre rampant
10	0014	Lierre rampant / Lierre terrestre / Limon
11	0015	Limon / Limonade / Limonade Anglaise
12	0016	Limonade Anglaise / Limonade sèche par l'acide citrique
13	0017	Limonade sèche par l'acide citrique / Limonade sèche par l'oxalate acidule de potasse / Lin
14	0018	Lin / Liniment
15	0019	Liniment / Liniment camphré / Liniment résolutif / Liniment volatil
16	0020	Liqueur d'Hoffmann
17	0021	Liqueur d'Hoffmann / Liqueur de Vans-Wieten
18	0022	Liqueur de Vans-Wieten / Lis blanc
19	0023	Lis blanc / Livèche
20	0024	Livèche / Loks (des)
21	0025	Loks (des) / Lok blanc
22	0026	Lok blanc
23	0027	Lok blanc / Lok pectoral d'imitation
24	0028	Lok pectoral d'imitation / Macération / Macis / Magnésie
25	0029	Magnésie
26	0030	Magnésie / Mandragore
27	0031	Mandragore / Manne
28	0032	Marasquin de Zara / Marjolaine
29	0033	Marjolaine / Marmelade d'abricots
30	0034	Marmelade d'abricots / Marmelade de Tronchin
31	0035	Marmelade de Tronchin / Marrube blanc
32	0036	Mastic
33	0037	Matricaire
34	0038	Mauve
35	0039	Méchoacan / Mélasse
36	0040	Mélasse / Mélilot
37	0041	Mélilot / Mélisse
38	0042	Mélisse / Melon
39	0043	Melon / Menthe frisée
40	0044	Menthe frisée / Menthe poivrée
41	0045	Menthe poivrée / Mercure
42	0046	Mercure
43	0047	Mercure
44	0048	Mercuriale
45	0049	Mercuriale / Méum
46	0050	Méum / Miel
47	0051	Miel / Miel dépuré / Miel mercurial
48	0052	Miel mercurial / Miel de nénuphar
49	0053	Miel rosat
50	0054	Miel rosat / Miel violat / Mille-feuille
51	0055	Mille-feuille / Mille-pertuis
52	0056	Mille-pertuis / Mixtures
53	0057	Morelle
54	0058	Morelle / Moutarde
55	0059	Moutarde / Mucilage de gomme adragant
56	0060	Mucilage de gomme adragant / Muguet
57	0061	Muguet / Muriates
58	0062	Muriates / Muriate d'ammoniaque
59	0063	Muriate d'ammoniaque
60	0064	Muriate d'ammoniaque / Muriate d'antimoine sur-oxigéné
61	0065	Muriate d'antimoine sur-oxigéné / Muriate de baryte
62	0066	Muriate de baryte
63	0067	Muriate de baryte / Muriate de chaux
64	0068	Muriate de chaux / Muriate mercuriel doux sublimé
65	0069	Muriate mercuriel doux sublimé / Muriate sur-oxigéné de mercure
66	0070	Muriate sur-oxigéné de mercure
67	0071	Muriate sur-oxigéné de mercure / Muriate de soude
68	0072	Muriate de soude / Mûrier
69	0073	Mûrier
70	0074	Mûrier / Musc
71	0075	Musc / Muscadier
72	0076	Muscadier
73	0077	Muscadier / Myrrhe
74	0078	Napel / Narcisse des prés
75	0079	Nénuphar
76	0080	Nerprun / Nicotiane
77	0081	Nicotiane
78	0082	Nicotiane / Nitrates / Nitrate d'argent fondu
79	0083	Nitrate d'argent fondu
80	0084	Nitrate d'argent fondu / Nitrate de potasse
81	0085	Nitrate de potasse
82	0086	Nitrate de potasse / Nitrate de potasse fondu, mêlé d'un peu de sulfate du même alkali / Nitre fixé par les charbons
83	0087	Nitre fixé par les charbons / Noix confites
84	0088	Noix confites / Noix de galle
85	0089	Noix de galle / Noix vomique
86	0090	Noix vomique / Noyer
87	0091	Noyer
88	0092	Noyer / Oeillet
89	0093	Oeillet
90	0094	Oeuf de poule
91	0095	Oeuf de poule
92	0096	Oliban / Olivier
93	0097	Olivier
94	0098	Olivier / Onguens
95	0099	Onguens / Onguent d'althoea / Onguent d'Arcoeus
96	0100	Onguent d'Arcoeus / Onguent de blanc rhasis / Onguent brun
97	0101	Onguent brun / Onguent digestif / Onguent égyptiac
98	0102	Onguent égyptiac / Onguent pour la gale
99	0103	Onguent pour la gale / Onguent gris / Onguent de laurier / Onguent de la mère
100	0104	Onguent de la mère
101	0105	Onguent mercuriel double
102	0106	Onguent mercuriel simple / Onguent nutritum
103	0107	Onguent nutritum / Onguent populeum
104	0108	Onguent populeum / Onguent rosat
105	0109	Onguent rosat / Onguent suppuratif (ou basilicum)
106	0110	Onguent suppuratif (ou basilicum) / Onguent de styrax / Onguent de tuthie
107	0111	Onguent de tuthie / Onguent vert
108	0112	Onguent vert / Opiats / Opiat dentifrice
109	0113	Opiat dentifrice / Opiat emménagogue
110	0114	Opiat fébrifuge
111	0115	Opiat fébrifuge / Opiat de Salomon
112	0116	Opiat de Salomon
113	0117	Opiat vermifuge / Opium
114	0118	Opium / Opopanax
115	0119	Opopanax / Oranger
116	0120	Oranger
117	0121	Oranger / Orcanette
118	0122	Orcanette / Orge
119	0123	Orge
120	0124	Orge / Origan
121	0125	Orpin / Ortie blanche
122	0126	Ortie blanche / Orviétan
123	0127	Orviétan
124	0128	Orviétan
125	0129	Orviétan / Oseille
126	0130	Oseille / Oxalates
127	0131	Oxalates / Oxalate acidule de potasse
128	0132	Oxalate acidule de potasse / Oxidation
129	0133	Oxidation
130	0134	Oxidation
131	0135	Oxidation / Oxide d'antimoine blanc par le nitrate de potasse
132	0136	Oxide d'antimoine blanc par le nitrate de potasse
133	0137	Oxide d'antimoine gris / Oxide d'antimoine hydrogeno-sulfuré rouge
