page	refimg	numauto	chapitre
[sans numérotation]	0001	5590340	[Page de faux-titre]
[page blanche]	0002	5590341	
[sans numérotation]	0003	5590342	[Page de titre]
5	0004	5590343	Connaissance des marchandise / Centaurée
6	0005	5590344	Centaurée / Cèpe / Cérasine / Cerbera ahouai
7	0006	5590345	Cerbera ahouai / Cerbère / Cercles / Céréales / Cerf
8	0007	5590346	Cerf / Cerfeuil / Cerine / Cerises
9	0008	5590347	Cerises / Cerite / Cérium / Cerneau
10	0009	5590348	Cerneau / Cersifi / Cérumen des oreilles / Céruse
11	0010	5590349	Céruse
12	0011	5590350	Céruse / Ceste / Cétarac
13	0012	5590351	Cétérach / Cétine / Cévadille
14	0013	5590352	Cévadille / Ceylanite / Chaa / Chabasie / Chacarille / Chagrin
15	0014	5590353	Chagrin / Chaillavert / Chair
16	0015	5590354	Chalcite / Chamaire / Chameau / Chamaedris / Chamaepitys / Champignons
17	0016	5590355	Champignons
18	0017	5590356	Chanvre
19	0018	5590357	Chanvre
20	0019	5590358	Chanvre
21	0020	5590359	Chanvre / Chaperon de moine / Chapiteau de fleurs
22	0021	5590360	Chapiteau de fleurs / Charançon / Charbon
23	0022	5590361	Charbon
24	0023	5590362	Charbon
25	0024	5590363	Charbon
26	0025	5590364	Charbon
27	0026	5590365	Charbon / Chardon
28	0027	5590366	Chardon 
29	0028	5590367	Chardon
30	0029	5590368	Chardon
31	0030	5590369	Chardon / Chardonnette / Chardonnerette / Chasse-bosse / Chat / Chataignier / Chataignes
32	0031	5590370	 Chataignes
33	0032	5590371	Chataignes / Chatepeleuse / Chatoyante / Chaume / Chausse-trappe / Chaux
34	0033	5590372	Chaux
35	0034	5590373	Chaux
36	0035	5590374	Chaux / Chavayer
37	0036	5590375	Chavayer / Chelidoine
38	0037	5590376	Chênes
39	0038	5590377	Chênes / Chenevis (graine de) / Chenille / Cherry-rum / Chermès / Chervis
40	0039	5590378	Chervis / Cheval
41	0040	5590379	Cheval
42	0041	5590380	Cheval
43	0042	5590381	Cheval
44	0043	5590382	Cheval / Cheveux
45	0044	5590383	Cheveux
46	0045	5590384	Cheveux
47	0046	5590385	Chèvre / Chèvrefeuille
48	0047	5590386	Chèvrefeuille / Chianfou / Chevrettes / Chioc-boya / Chiacour / Chibou / Chica / Chichm / Chicoracées
49	0048	5590387	Chicoracées / Chicorée / Chicotin
50	0049	5590388	Chicotin / Chiendent
51	0050	5590389	Chiendent / Chiendent / Chiffons / China / Chinininga / Chimophylle à ombelles
52	0051	5590390	Chimophylle à ombelles / Chinorrhodon
53	0052	5590391	Chinorrhodon / Chiococca racemosa / Chiretta / Chitine / Chlorates
54	0053	5590392	Chlorates
55	0054	5590393	Chlorates / Chlore
56	0055	5590394	Chlore / Chlorite / Chlorophyle / Chloroxi-carbonate d'ammoniaque
57	0056	5590395	Chloroxi-carbonate d'ammoniaque / Chlorures
58	0057	5590396	Chlorures
59	0058	5590397	Chlorures
60	0059	5590398	Chlorures
61	0060	5590399	Chlorures
62	0061	5590400	Chlorures
63	0062	5590401	Chlorures
64	0063	5590402	Chlorures / Chocolat
65	0064	5590403	Chocolat
66	0065	5590404	Cholesterine / Chonlin / Chou
67	0066	5590405	Chou / Chouan
68	0067	5590406	Chouan / Chou-croute / Chuline / Choyne / Christe-marine
69	0068	5590407	Chromates
70	0069	5590408	Chromates / Chrome / Chrysalite / Chryside / Chrysite / Chrysobéryl
71	0070	5590409	Chrysocolle / Chrysolithe / Chrysoprase / Chrysoprasin / Chynlin / Chuline / Ciche commun / Cicutaire / Cidre
72	0071	5590410	Cidre
73	0072	5590411	Cidre / Cierge / Cigare / Ciguë
74	0073	5590412	Ciguë / Ciments / Cimolée / Cimolie
75	0074	5590413	Cimolie / Cinabre
76	0075	5590414	Cinabre / Cinchona / Cinchonine
77	0076	5590415	Cinchonine / Cinnamome / Cipipa / Cirage
78	0077	5590416	Circée / Cire
79	0078	5590417	Cire
80	0079	5590418	Cire
81	0080	5590419	Cire
82	0081	5590420	Cire
83	0082	5590421	Cire
84	0083	5590422	Cire
85	0084	5590423	Cire / Ciron / Ciste / Cystinées
86	0085	5590424	Citise / Citrates / Citron
87	0086	5590425	Citron / Citrouille
88	0087	5590426	Citrouille
89	0088	5590427	Citrouille / Civette
90	0089	5590428	Civette / Clairette / Clavaire / Clématite
91	0090	5590429	Clématite / Clinquants / Clochette des bois / Cloporte
92	0091	5590430	Cloporte / Chlorophane / Co / Coak / Coaltar / Cobalt
93	0092	5590431	Cobalt / Coca
94	0093	5590432	Coca / Cocagne
95	0094	5590433	Cocagne
96	0095	5590434	Cocagne
97	0096	5590435	Cocagne / Coccigrue / Coccinille
98	0097	5590436	Coccinille
99	0098	5590437	Coccinille
100	0099	5590438	Coccinille
101	0100	5590439	Coccinille
102	0101	5590440	Coccinille
103	0102	5590441	Cochléaria / Cocons de vers à soie
104	0103	5590442	Cocons de vers à soie / Cocos
105	0104	5590443	Cocos / Cocs / Codaga-pala / Coeurs de vipères / Coke / Coing
106	0105	5590444	Coing / Colchique
107	0106	5590445	Colchique / Colcothar / Colimaçon / Colin / Colle
108	0107	5590446	Colle
109	0108	5590447	Colle
110	0109	5590448	Colle
111	0110	5590449	Colle / Collin sonia canadensis / Colombates / Colombium
112	0111	5590450	Colombium / Colombine / Colombo / Colophane
113	0112	5590451	Colophane / Coloquinte
114	0113	5590452	Coloquinte / Coltar / Columbo / Coluvrée / Coluvrine de virginie / Colza
115	0114	5590453	Colza / Concombre / Congre
116	0115	5590454	Congre / Conise / Connil / Conquerille / Consire / Consoudes
117	0116	5590455	Consoudes / Contra-yerva
118	0117	5590456	Contra-yerva / Copahu / Copaier / Copajira / Copal / Copalchi / Copalme / Coq des jardins / Coques
