page	refimg	numauto	chapitre
sn	0001	7732767	[Plat]
sn	0002	7732768	[Contreplat]
sn	0003	7732769	[Page de titre]
sn	0004	7732770	
sn	0005	7732771	Au corps médical
4	0006	7732772	Au corps médical
5	0007	7732773	Au corps médical
sn	0008	7732774	
sn	0009	7732775	Première partie. Dictionnaire de spécialités pharmaceutiques
pb	0010	7732776	
9	0011	7732777	« A 313 » / Absuric
10	0012	7732778	Acatar
11	0013	7732779	Acécoline-Solution
12	0014	7732780	Acécoline-Spartéine. Acécoline-Camphre / Acécoline-Yohimbine / Acécolex
13	0015	7732781	Acépiline / Acéryl
14	0016	7732782	Acésine Guillaumin / Acétamone
15	0017	7732783	Acétylarsan / Acobella
16	0018	7732784	Acodros / Acoégénol
17	0019	7732785	Acolitol / Actibaïne
18	0020	7732786	Actiphos
19	0021	7732787	Adonal Vicario
20	0022	7732788	Adoverne « Roche »
21	0023	7732789	Adrénaline Aguettant / Adrénaline Carrion
22	0024	7732790	Adrénaline Clin / Adrénaline Invar
23	0025	7732791	Adrénaline Sauba tablettes
24	0026	7732792	Adrénargol
25	0027	7732793	Adrénine / Adrénocalcine
26	0028	7732794	Adrénoïdes Béral / Adrénoléine
27	0029	7732795	Adrénolive / Adrépatine
28	0030	7732796	Adréphédrine Béral / Aéïne
29	0031	7732797	Aérocid / Aérophagyl
30	0032	7732798	Aesculase / Aethone
31	0033	7732799	Affinex
32	0034	7732800	Agarase
33	0035	7732801	Agarol
34	0036	7732802	Agocholine
35	0037	7732803	Agomensine Ciba / Ago Sels
36	0038	7732804	Agozymase / Aiguë d'Or. Analga du Docteur Redier
37	0039	7732805	Airoglyce / Albuol Leisyn
38	0040	7732806	Alburénol / Alcacyl Wander
39	0041	7732807	Alcalinose
40	0042	7732808	Alcalisalyl (ancien Alcasalyl)
41	0043	7732809	Alcamfétol / Alepsal (Comprimés)
42	0044	7732810	Alexime (Anciennement Alexine)
43	0045	7732811	Algane
44	0046	7732812	Algocratine (Phénylamidoxanthine) / Algonal
45	0047	7732813	Algophagine / Algor
46	0048	7732814	Algosédine / Algozone
47	0049	7732815	Alibourine B. E. A. / Aliment Tinardon
48	0050	7732816	Alisal / Allergantyl Miluc
49	0051	7732817	Alliocardia / Alliosote
50	0052	7732818	Allisatine « Sandoz » / Allium Coirre
51	0053	7732819	Allocaïne Lumière
52	0054	7732820	Allochrysine Lumière
53	0055	7732821	Allonal « Roche »
54	0056	7732822	Allopha-Quina / Aloïne Houdé
55	0057	7732823	Aloplastine / Aloysine
56	0058	7732824	Alsodine / Alucol Wander
57	0059	7732825	Alunozal / Alzine
58	0060	7732826	Ambocurine / Amborhinol
59	0061	7732827	Amibiasine
60	0062	7732828	Amidal / Amiflorine
61	0063	7732829	Aminase / Aminoléine
62	0064	7732830	Amiphène Carron
63	0065	7732831	Amphomuth / Ampho-Tablettes Ronchèse
64	0066	7732832	Amphotonyl « Lersam » / Ampho-Vaccins Ronchèse
65	0067	7732833	Ampoules Boissy / Ampoules de Pantopon « Roche »
66	0068	7732834	Ampoules de Spasmalgine « Roche » / Ampoules névrosthéniques Dausse
67	0069	7732835	Ampoules Ophidios / Ampoules Reipar
68	0070	7732836	Amylodiastase Thépénier
69	0071	7732837	Anaclasine Ranson
70	0072	7732838	Analgénine Oberlin / Analgésol
71	0073	7732839	Analpyrine / Anapeptone Vassal
72	0074	7732840	Anapyol / Anaquintine Lescène
73	0075	7732841	Anaural / Anaxéryl
74	0076	7732842	Androcalcion / Androstine Ciba
75	0077	7732843	Androvar / Androvules
76	0078	7732844	Anégrine
77	0079	7732845	Anéo-Leisyn
78	0080	7732846	Anexol / Angéiol
79	0081	7732847	Angiolymphe / Angiosédine
80	0082	7732848	Angioxyl
81	0083	7732849	Angoral
82	0084	7732850	Anictérol
83	0085	7732851	Aniodol externe
