page	refimg	numauto	chapitre
sn	0001	7734802	[Plat]
pb	0002	7734803	
pb	0003	7734804	
pb	0004	7734805	
sn	0005	7734806	[Page de titre]
sn	0006	7734807	
sn	0007	7734808	Table des chapitres
pb	0008	7734809	
sn	0009	7734810	
6	0010	7734811	
7	0011	7734812	
8	0012	7734813	
9	0013	7734814	
10	0014	7734815	
11	0015	7734816	
12	0016	7734817	
13	0017	7734818	
14	0018	7734819	
15	0019	7734820	
16	0020	7734821	
17	0021	7734822	
18	0022	7734823	
19	0023	7734824	Table des spécialités par actions médicamenteuses et indications thérapeutiques
pb	0024	7734825	
21	0025	7734826	I. - Appareil circulatoire. T. G. Antispasmodiques artériels
22	0026	7734827	Diurétiques
23	0027	7734828	Diurétiques / Hémostatiques
24	0028	7734829	Hémostatiques / Modérateurs cardiaques
25	0029	7734830	Modérateurs cardiaques / Toni-cardiaques
26	0030	7734831	Toni-cardiaques
27	0031	7734832	Vaso-constricteurs artériels hypertenseurs / Vaso-constricteurs veineux
28	0032	7734833	Vaso-constricteurs veineux / Vaso-dilatateurs artériels hypotenseurs
29	0033	7734834	Vaso-dilatateurs artériels hypotenseurs
30	0034	7734835	I. - Appareil circulatoire. T. S. Anémies - Chlorose - Leucémie - Lymphadénie
31	0035	7734836	Anémies - Chlorose - Leucémie - Lymphadénie
32	0036	7734837	Anémies - Chlorose - Leucémie - Lymphadénie
33	0037	7734838	Anémies - Chlorose - Leucémie - Lymphadénie / Angine de poitrine
34	0038	7734839	Angine de poitrine / Artério-sclérose et ses complications
35	0039	7734840	Artério-sclérose et ses complications
36	0040	7734841	Artério-sclérose et ses complications
37	0041	7734842	Artério-sclérose et ses complications / Artérites - Aortites - Claudication intermittente
38	0042	7734843	Artérites - Aortites - Claudication intermittente / Arythmies
39	0043	7734844	Arythmies / Cardiopathies aiguës
40	0044	7734845	Cardiopathies aiguës / Éréthisme - Tachycardie - Palpitations
41	0045	7734846	Éréthisme - Tachycardie - Palpitations
42	0046	7734847	Éréthisme - Tachycardie - Palpitations / Gangrènes - Syndrome de Raynaud / Hémorroïdes - Varices - Phlébites
43	0047	7734848	Hémorroïdes - Varices - Phlébites
44	0048	7734849	Hémorroïdes - Varices - Phlébites / Hypertension
45	0049	7734850	Hypertension
46	0050	7734851	Hypertension / Hypotension
47	0051	7734852	Hypotension / Insuffisance cardiaque hyposystolie-asystolie
48	0052	7734853	Insuffisance cardiaque hyposystolie asystolie / Shock - Accidents sériques
49	0053	7734854	Shock - Accidents sériques / II. - Appareil digestif. T. G. Alcalins - Saturants
50	0054	7734855	Alcalins - Saturants
51	0055	7734856	Antidiarrhéiques
52	0056	7734857	Antiémétisants / Antiseptiques intestinaux antifermentescibles
53	0057	7734858	Antiseptiques intestinaux antifermentescibles
54	0058	7734859	Antiseptiques intestinaux antifermentescibles / Antispasmodiques et sédatifs
55	0059	7734860	Antispasmodiques et sédatifs
56	0060	7734861	Antispasmodiques et sédatifs / Cholagogues
57	0061	7734862	Cholagogues
58	0062	7734863	Cholagogues
59	0063	7734864	Eupeptiques - Stomachiques
60	0064	7734865	Eupeptiques - Stomachiques / Laxatifs - Purgatifs
61	0065	7734866	Laxatifs - Purgatifs
62	0066	7734867	Laxatifs - Purgatifs / Pansements gastriques
63	0067	7734868	Pansements gastriques / Stimulants de la sécrétion et de la motilité gastrique
64	0068	7734869	Stimulants de la sécrétion et de la motilité gastrique / II. - Appareil digestif. T. S. Aérophagie - Dilatation de l'estomac
65	0069	7734870	Aérophagie - Dilatation de l'estomac
66	0070	7734871	Aérophagie - Dilatation de l'estomac / Allergies - Anaphylaxies
67	0071	7734872	Allergies - Anaphylaxies / Anorexies
68	0072	7734873	Anorexies / Cholécystites - Angiocholites
69	0073	7734874	Cholécystites - Angiocholites
70	0074	7734875	Cholécystites - Angiocholites
71	0075	7734876	Cholécystites - Angiocholites / Cirrhoses
72	0076	7734877	Cirrhoses / Congestion du foie - Foie cardiaque
73	0077	7734878	Congestion du foie - Foie cardiaque
