page	refimg	chapitre
sn	0001	[Plat]
pb	0002	
sn	0003	[Page de titre]
sn	0004	
sn	0005	Au corps médical
sn	0006	Au corps médical
sn	0007	Première partie. Dictionnaire de spécialités pharmaceutiques
13-14	0008	Acécoline / Acécoline-Papavérine
15-16	0009	Acécoline-Spartéine. Acécoline-Camphre / Acécoline-Yohimbine / Acécolex / Acéryl / Acésine Guillaumin
17-18	0010	Acétamone / Acéto-Stérandryl / Acétumine Mercier / Acétylarsan
19-20	0011	Acidofco / Acidol-Pepsine / Acobella / Acolitol
21-22	0012	Aconitine Houdé / Acoqtol-Mialhe / Actine
23-24	0013	Actiphos / Activarol
25-26	0014	Adaline / Adénoseptyl / Adoverne « Roche »
27-28	0015	Adrénaline Choay / Adrénaline Clin / Adrénaline Invar / Adrénargol
29-30	0016	Adrénoïdes Béral / Adrénoléine / Adrépatine / Adréphédrine Béral
31-32	0017	Aéïne / Aérocid / Aérocolyl / Aérogaster
33-34	0018	Aérogène / Aérophagyl / Aesculase / Aethone
35-36	0019	Agobyl / Agocholine
37-38	0020	Agomensine Ciba / Agorexine / Aiguë d'Or. Analga du Docteur Redier / Airoglyce
39-40	0021	Akésol Muzi / Albucid Cruet
41-42	0022	Albu-Coli / Alburénol / Alcachol
43-44	0023	Alcacyl Wander / Alcalinose / Alcalisalyl / Aldine
45-46	0024	Alepsal (Comprimés) / Algéon / Algipan Midy / Algocratine (Phénylamidoxanthine)
47-48	0025	Algoïl du Docteur Guiraud / Algophagine / Algosédine / Alibourine B. E. A.
49-50	0026	Aliments de santé Bénédictus / Aliments équilibrés Joly / Aliment Tinardon
51-52	0027	Allergantyl Miluc / Allisatine / Allium Coirre
53-54	0028	Allocaïne Lumière / Allochrysine Lumière
55-56	0029	Allonal « Roche » / Allopha-Quina / Aloïne Houdé
57-58	0030	Aloplastine. Aloplastine Ichthyolée / Alucol Wander
59-60	0031	Alunozal / Alzine / Ambocurine / Ambrine
61-62	0032	Amibiasine / Amidal / Amido-Septine
63-64	0033	Amidosol / Amiflorine / Aminase / Aminophylline Caréna
65-66	0034	Amino-Vit « Roche » / Amiphédrine / Amiphène Carron
67-68	0035	Amphomuth / Amphoprophyl T. A. B. Ronchèse / Amphostabyl / Ampho-Stomatogel Ronchèse
69-70	0036	Amphosynthyl. Polonovski et Nitzberg / Ampho-Tablettes Ronchèse / Amphotonyl / Ampoules anti-H
71-72	0037	Ampoules Auto-instillables Nader / Ampoules Boissy / Ampoules ferrugineuses Fraisse / Ampoules névrosthéniques Fraisse
73-74	0038	Ampoules Reipar / Ampoules sclérosantes Fraisse / Ampoules scléro-hémorroïdiques Fraisse / Ampoules « Vigor » / Amybdine
75-76	0039	Amylodiastase Thépénier / Anaclasine infantile / Anaclasine Ranson / Analgénine Oberlin
77-78	0040	Analgésique Kafa / Analgésol. Marcel Logeais / Anapyol / Anaquintine Lescène
79-80	0041	Anatensyl / Anaural / Anaxéryl / Androcalcion
81-82	0042	Andro-Gouttes / Androsthénol / Androstine Ciba / Androtestone
83-84	0043	Androvar / Androvules / Anégrine / Anexol
85-86	0044	Angéiol / Angihormol du Docteur P. Bourggraff / Angiolymphe du Docteur Rous / Angioxyl
87-88	0045	Angoral / Angusturyl Porcher / Aniodol externe
89-90	0046	Aniodol interne / Ankylosyl / Anoïde / Anorexyl
91-92	0047	Antalex (Liniment) / Antalgol Dalloz / Antalgyl / Antasthène Carrion
93-94	0048	Antélobine / Antéparsine Grémy
