page	refimg	chapitre
[sans numérotation]	0001	[Page de faux-titre]
[sans numérotation]	0002	[Page de titre]
[sans numérotation]	0003	Dictionnaire universel des Mines, Fossiles et Fontaines Minérales de la France. Seconde partie. Des Mines et Fossiles. Abrotanoide
6	0004	Abrotanoide / Acanthioides / Acetabule / Acier
7	0005	Acier
8	0006	Acier
9	0007	Acier
10	0008	Acier
11	0009	Acier
12	0010	Acier
13	0011	Acier
14	0012	Acier
15	0013	Acier
16	0014	Acier
17	0015	Acier
18	0016	Acier
19	0017	Acier
20	0018	Acier / Adamique
21	0019	Adamique / Agaric Minéral / Agathe
22	0020	Agathe
23	0021	Agathe
24	0022	Agathe
25	0023	Agathe
26	0024	Agathe
27	0025	Agathe
28	0026	Aimant
29	0027	Aimant
30	0028	Aimant
31	0029	Aimant
32	0030	Aimant
33	0031	Aimant
34	0032	Aimant
35	0033	Aimant
36	0034	Aimant
37	0035	Aimant
38	0036	Aimant
39	0037	Aimant
40	0038	Aimant
41	0039	Aimant
42	0040	Aimant
43	0041	Aimant
44	0042	Aimant
45	0043	Aimant
46	0044	Aimant
47	0045	Aimant
48	0046	Aimant
49	0047	Aimant
50	0048	Aimant
51	0049	Aimant
52	0050	Aimant
53	0051	Aimant
54	0052	Aimant
55	0053	Aimant / Air
56	0054	Air
57	0055	Air
58	0056	Air
59	0057	Air
60	0058	Air / Airain / Albastre
61	0059	Albastre
62	0060	Albastre / Alveoles
63	0061	Alveoles
64	0062	Alun
65	0063	Alun
66	0064	Alun
67	0065	Alun
68	0066	Alun
69	0067	Alun
70	0068	Alun
71	0069	Alun
72	0070	Alun
73	0071	Alun
74	0072	Alun
75	0073	Alun
76	0074	Alun
77	0075	Alun
78	0076	Alun
79	0077	Alun / Amethyste
80	0078	Amethyste / Amianthe
81	0079	Amianthe
82	0080	Amianthe
83	0081	Amianthe
84	0082	Amianthe
85	0083	Amianthe
86	0084	Amianthe
87	0085	Amianthe
88	0086	Amianthe / Ammoniac (Sel)
89	0087	Ammoniac (Sel)
90	0088	Ammoniac (Sel)
91	0089	Ammoniac (Sel)
92	0090	Ammoniac (Sel)
93	0091	Ammoniac (Sel)
94	0092	Ammoniac (Sel)
95	0093	Ammoniac (Sel)
96	0094	Ammoniac (Sel)
97	0095	Ammoniac (Sel)
98	0096	Ammoniac (Sel)
99	0097	Ammoniac (Sel)
100	0098	Ammoniac (Sel)
101	0099	Ammoniac (Sel)
102	0100	Ammoniac (Sel)
103	0101	Ammoniac (Sel)
104	0102	Ammoniac (Sel)
105	0103	Ammoniac (Sel)
106	0104	Ammoniac (Sel)
107	0105	Ammoniac (Sel)
108	0106	Ammoniac (Sel) / Ampelite
109	0107	Amphibiolithes / Amygdalite / Anthropolithes
110	0108	Anthropolithes
111	0109	Anthropolithes
112	0110	Anthropolithes / Antimoine
113	0111	Antimoine
114	0112	Antimoine
115	0113	Antimoine
116	0114	Antimoine
117	0115	Antimoine
118	0116	Antimoine
119	0117	Antimoine
120	0118	Antimoine
121	0119	Antimoine
122	0120	Antimoine
123	0121	Antimoine
124	0122	Antimoine
125	0123	Antimoine
126	0124	Antimoine
127	0125	Antimoine
128	0126	Antimoine
129	0127	Antimoine
130	0128	Antimoine
131	0129	Antimoine
132	0130	Antimoine
133	0131	Antimoine
134	0132	Antimoine
135	0133	Antimoine
136	0134	Antimoine
137	0135	Antimoine
138	0136	Antimoine
139	0137	Antimoine
140	0138	Antimoine
141	0139	Antimoine
142	0140	Antimoine
143	0141	Arche de Noé / Ardoise
144	0142	Ardoise
145	0143	Ardoise
146	0144	Ardoise
147	0145	Ardoise
148	0146	Ardoise
149	0147	Ardoise / Argent
150	0148	Argent
151	0149	Argent
152	0150	Argent
153	0151	Argent
154	0152	Argent
155	0153	Argent
156	0154	Argent
157	0155	Argent
158	0156	Argent
159	0157	Argent
160	0158	Argent
161	0159	Argent
162	0160	Argent
163	0161	Argent
164	0162	Argent
165	0163	Argent
166	0164	Argent
167	0165	Argent
168	0166	Argent
169	0167	Argent
170	0168	Argent
171	0169	Argent
172	0170	Argent
173	0171	Argent
174	0172	Argent
175	0173	Argent
176	0174	Argent / Argille
177	0175	Argille
178	0176	Argille
179	0177	Argille
180	0178	Argille
181	0179	Argille
182	0180	Argille
183	0181	Argille
184	0182	Argille
185	0183	Argille
186	0184	Argille
187	0185	Argille
188	0186	Argille
189	0187	Argille
190	0188	Argille
191	0189	Argille
192	0190	Argille
193	0191	Argille
194	0192	Argille
195	0193	Argille
196	0194	Argille
197	0195	Argille / Armature
198	0196	Arsenic
199	0197	Arsenic
200	0198	Arsenic
201	0199	Arsenic
202	0200	Arsenic
203	0201	Arsenic
204	0202	Arsenic
205	0203	Arsenic
206	0204	Arsenic
207	0205	Arsenic / Astacolithe / Astroites
208	0206	Astroites
209	0207	Belemnites
210	0208	Belemnites
211	0209	Belemnites
212	0210	Belemnites
213	0211	Belemnites
214	0212	Belemnites
215	0213	Belemnites
216	0214	Belemnites
217	0215	Belemnites
218	0216	Belemnites
219	0217	Belemnites
220	0218	Belemnites
221	0219	Belemnites
222	0220	Belemnites
223	0221	Belemnites
224	0222	Belemnites
225	0223	Belemnites
226	0224	Belemnites / Bezoard
227	0225	Bezoard
228	0226	Bezoard
229	0227	Bezoard
230	0228	Bezoard
231	0229	Bitume
232	0230	Bitume
233	0231	Bitume
234	0232	Bitume
235	0233	Bitume
236	0234	Bitume
237	0235	Bitume
238	0236	Bitume
239	0237	Bitume
240	0238	Bitume
241	0239	Bitume
242	0240	Bitume / Blende
243	0241	Blende / Bleu de Montagnes
244	0242	Bleu de Montagnes / Bois Fossiles
245	0243	Bois Fossiles
246	0244	Bois Fossiles
247	0245	Bois Fossiles
248	0246	Bois Fossiles / Bol
249	0247	Bol / Botryoide  / Boucardites
250	0248	Boucardites / Bouton / Brique
251	0249	Brique
252	0250	Brique
253	0251	Brique
254	0252	Brique
255	0253	Brique
256	0254	Brique
257	0255	Brique
258	0256	Brique
259	0257	Brique / Buccinites / Buffonite
260	0258	Cachimie / Cadmie
261	0259	Cadmie / Cailloux
262	0260	Cailloux
263	0261	Cailloux
264	0262	Cailloux
265	0263	Cailloux
266	0264	Cailloux
267	0265	Cailloux
268	0266	Cailloux
269	0267	Cailloux
270	0268	Cailloux
271	0269	Cailloux
272	0270	Cailloux
273	0271	Cailloux / Calcaire
274	0272	Calcaire / Calcedoine
275	0273	Calcedoine / Calcul
