page	refimg	chapitre
sn	0001	[Plat]
pb	0002	
sn	0003	[Page de titre]
sn	0004	
sn	0005	1re Partie. Table par indications thérapeutiques des spécialités figurant dans cet ouvrage
pb	0006	
sn	0007	Table par indications thérapeutiques des spécialités figurant dans cet ouvrage
sn	0008	I. - Alimentation - Régimes / II. - Antiseptiques - Désinfectants
sn	0009	III. - Appareil circulatoire
sn	0010	
sn	0011	IV. - Appareil digestif et ses annexes
sn	0012	
sn	0013	
sn	0014	
sn	0015	V. - Appareil génito-urinaire
sn	0016	VI. - Appareil respiratoire
sn	0017	
sn	0018	VII. - Arthritisme - Goutte - Rhumatisme - Algies diverses
sn	0019	
sn	0020	VIII. - Dermatoses - Plaies
sn	0021	
sn	0022	IX. - Gynécologie - Obstétrique
sn	0023	X. - Hémostatiques
sn	0024	XI. - Maladies infectieuses et parasitaires
sn	0025	XII. - Ophtalmologie / XIII. - Opothérapie - Vaccinothérapie - produits divers
sn	0026	XIV. - Oto-rhino-laryngologie
sn	0027	XV. - Reconstituants - Recalcifiants - Toniques
sn	0028	
sn	0029	
sn	0030	
sn	0031	XVI. - Stomatologie / XVII. - Syphilis
sn	0032	XVIII. - Système nerveux
sn	0033	
sn	0034	
sn	0035	XIX. - Tuberculose
sn	0036	
sn	0037	XX. - Tumeurs - Cancer
pb	0038	
sn	0039	2e Partie. Dictionnaire de spécialités pharmaceutiques
pb	0040	
3	0041	Absuric / Acécoline
4	0042	Acésine Guillaumin / Acétylarsan
5	0043	Acimyl / Acodros
6	0044	Acolitol
7	0045	Actine
8	0046	A. D. Grosjean
9	0047	Adoverne « Roche »
10	0048	Adral / Adrénaline Clin
11	0049	Adrénaline Invar / Adrénine
12	0050	Adrénocalcine / Adrénoléine
13	0051	Adrépatine / Adrialgine
14	0052	Adrianine / Aérophagyl
15	0053	Aethone / Agamétol
16	0054	Agarase
17	0055	Agocholine
18	0056	Agomensine Ciba / Airoglyce
19	0057	Airol « Roche » / Albuplast Vigier
20	0058	Alepsal Genévrier / Alexime. Anciennement « Alexine »
21	0059	Algatan / Algocratine
22	0060	Alibourine / Aliment Tinardon
23	0061	Allisatine « Sandoz » / Allocaïne Lumière
24	0062	Allochrysine Lumière
25	0063	Allonal « Roche »
26	0064	Allophaquina / Aloïne Houdé
27	0065	Aloysine / Alucol Wander
28	0066	Alunozal / Amibiasine
29	0067	Amidal / Amino-Sel Byla
30	0068	Ampho-Vaccins de Ronchèse / Ampoules Boissy
31	0069	Ampoules de Digalène « Roche » / Ampoules névrosthéniques Dausse
32	0070	Ampoules de Pantopon « Roche » / Ampoules Reipar
33	0071	Ampoules de sécacornine « Roche » / Ampoules de spasmalgine « Roche »
34	0072	Ampoules de Théobryl « Roche » / Amylodiastase Thépénier
35	0073	Anapeptone Vassal / Anaquintine Lescène
36	0074	Androstine Ciba / Anégrine
37	0075	Anexol / Angiolymphe du Docteur Rous
38	0076	Angioxyl du Docteur Roussel
39	0077	Aniodol
40	0078	Antacidyl / Antalgol Dalloz
41	0079	Antasthène / Anthéma. Sérum sérique antihémorragique des Docteurs Dufour et Le Hello
42	0080	Anthraxone-Fornet / Antialgos Christiaens
43	0081	Antiasthme Bengalais
44	0082	Anti-asthmine Dehaussy
45	0083	Antigénines
46	0084	Antigrippine Midy / Antiphi
47	0085	Antiphlogistine / Antiphlogosine
48	0086	Antiphymique Vadam / Antipsorine
49	0087	Antirrhoïde / Antivirus
50	0088	Antonal / Anusol Mialhe
51	0089	Aphloïne Trouette-Perret / Aphosal
