page	refimg	chapitre
sn	0001	[Plat]
pb	0002	
pb	0003	
pb	0004	
sn	0005	[Page de titre]
sn	0006	
sn	0007	Table des chapitres
pb	0008	
sn	0009	
6	0010	
7	0011	
8	0012	
9	0013	
10	0014	
11	0015	
12	0016	
13	0017	
14	0018	
15	0019	
16	0020	
17	0021	
18	0022	
19	0023	Table des spécialités par actions médicamenteuses et indications thérapeutiques
pb	0024	
21	0025	I. - Appareil circulatoire. T. G. Antispasmodiques artériels
22	0026	Diurétiques
23	0027	Diurétiques / Hémostatiques
24	0028	Hémostatiques / Modérateurs cardiaques
25	0029	Modérateurs cardiaques / Toni-cardiaques
26	0030	Toni-cardiaques
27	0031	Vaso-constricteurs artériels hypertenseurs / Vaso-constricteurs veineux
28	0032	Vaso-constricteurs veineux / Vaso-dilatateurs artériels hypotenseurs
29	0033	Vaso-dilatateurs artériels hypotenseurs
30	0034	I. - Appareil circulatoire. T. S. Anémies - Chlorose - Leucémie - Lymphadénie
31	0035	Anémies - Chlorose - Leucémie - Lymphadénie
32	0036	Anémies - Chlorose - Leucémie - Lymphadénie
33	0037	Anémies - Chlorose - Leucémie - Lymphadénie / Angine de poitrine
34	0038	Angine de poitrine / Artério-sclérose et ses complications
35	0039	Artério-sclérose et ses complications
36	0040	Artério-sclérose et ses complications
37	0041	Artério-sclérose et ses complications / Artérites - Aortites - Claudication intermittente
38	0042	Artérites - Aortites - Claudication intermittente / Arythmies
39	0043	Arythmies / Cardiopathies aiguës
40	0044	Cardiopathies aiguës / Éréthisme - Tachycardie - Palpitations
41	0045	Éréthisme - Tachycardie - Palpitations
42	0046	Éréthisme - Tachycardie - Palpitations / Gangrènes - Syndrome de Raynaud / Hémorroïdes - Varices - Phlébites
43	0047	Hémorroïdes - Varices - Phlébites
44	0048	Hémorroïdes - Varices - Phlébites / Hypertension
45	0049	Hypertension
46	0050	Hypertension / Hypotension
47	0051	Hypotension / Insuffisance cardiaque hyposystolie-asystolie
48	0052	Insuffisance cardiaque hyposystolie asystolie / Shock - Accidents sériques
49	0053	Shock - Accidents sériques / II. - Appareil digestif. T. G. Alcalins - Saturants
50	0054	Alcalins - Saturants
51	0055	Antidiarrhéiques
52	0056	Antiémétisants / Antiseptiques intestinaux antifermentescibles
53	0057	Antiseptiques intestinaux antifermentescibles
54	0058	Antiseptiques intestinaux antifermentescibles / Antispasmodiques et sédatifs
55	0059	Antispasmodiques et sédatifs
56	0060	Antispasmodiques et sédatifs / Cholagogues
57	0061	Cholagogues
58	0062	Cholagogues
59	0063	Eupeptiques - Stomachiques
60	0064	Eupeptiques - Stomachiques / Laxatifs - Purgatifs
61	0065	Laxatifs - Purgatifs
62	0066	Laxatifs - Purgatifs / Pansements gastriques
63	0067	Pansements gastriques / Stimulants de la sécrétion et de la motilité gastrique
64	0068	Stimulants de la sécrétion et de la motilité gastrique / II. - Appareil digestif. T. S. Aérophagie - Dilatation de l'estomac
65	0069	Aérophagie - Dilatation de l'estomac
66	0070	Aérophagie - Dilatation de l'estomac / Allergies - Anaphylaxies
67	0071	Allergies - Anaphylaxies / Anorexies
68	0072	Anorexies / Cholécystites - Angiocholites
69	0073	Cholécystites - Angiocholites
70	0074	Cholécystites - Angiocholites
71	0075	Cholécystites - Angiocholites / Cirrhoses
72	0076	Cirrhoses / Congestion du foie - Foie cardiaque
73	0077	Congestion du foie - Foie cardiaque
74	0078	Congestion du foie - Foie cardiaque
75	0079	Congestion du foie - Foie cardiaque / Dysenterie - Choléra
