object			
volume	00152	De Gorris index (1601)	1601
pb	0525	0535	
pb	0526	0536	
entry	Abdomen	0	
orth	Abdomen	lat	
foreign	ἐπιγάστριον	grc	
foreign	ἦτρον	grc	
entry	Abies	0	
orth	Abies	lat	
foreign	ἐλάτη	grc	
entry	Abiga	0	
orth	Abiga	lat	
foreign	χαμαιπίτυς	grc	
entry	Abomasum	0	
orth	Abomasum	lat	
foreign	ἱὤυστρον	grc	
entry	Abortus	0	
orth	Abortus	lat	
foreign	ἄμβλωσις	grc	
foreign	ἐκτρωσμός	grc	
entry	Abortire	0	
orth	Abortire	lat	
foreign	ὠμοτοκεῖν	grc	
entry	Abrotonum	0	
orth	Abrotonum	lat	
foreign	ἀδώνιον	grc	
foreign	ἀβρότονον	grc	
foreign	προκάμπυλον	grc	
entry	Abscessus	0	
orth	Abscessus	lat	
foreign	ἀπόστασις	grc	
foreign	ἀπόστημα	grc	
entry	Absinthium	0	
orth	Absinthium	lat	
foreign	ἀψίνθιον	grc	
entry	Acacia	0	
orth	Acacia	lat	
foreign	ἀκακία	grc	
entry	Accessio	0	
orth	Accessio	lat	
foreign	παροξυσμός	grc	
entry	Accessionis retardatio	0	
orth	Accessionis retardatio	lat	
foreign	ὑστερητικὸς τύπος	grc	
entry	Accidens	0	
orth	Accidens	lat	
foreign	συμβεβηκός	grc	
foreign	σύμπτωμα	grc	
entry	Accipiter	0	
orth	Accipiter	lat	
foreign	ἱέραξ	grc	
entry	Acer	0	
orth	Acer	lat	
foreign	σφένδαμνος	grc	
entry	Acerbae vuae succus	0	
orth	Acerbae vuae succus	lat	
foreign	ὀμφάκιον	grc	
entry	Acerbum	0	
orth	Acerbum	lat	
foreign	στρυφνόν	grc	
entry	Acerbum oleum	0	
orth	Acerbum oleum	lat	
foreign	ὀμφάκινον ἔλαιον	grc	
entry	Acetabulum	0	
orth	Acetabulum	lat	
foreign	ὀξύβαφος	grc	
entry	Acetum	0	
orth	Acetum	lat	
foreign	ὄξος	grc	
entry	Acetum mulsum	0	
orth	Acetum mulsum	lat	
foreign	ὀξύμελι	grc	
entry	Aciditas	0	
orth	Aciditas	lat	
foreign	ὀξύτης	grc	
entry	Acidum	0	
orth	Acidum	lat	
foreign	ὀξύ	grc	
entry	Acre	0	
orth	Acre	lat	
foreign	δριμύ	grc	
entry	Acrium esus	0	
orth	Acrium esus	lat	
foreign	δριμυφαγία	grc	
entry	Actio	0	
orth	Actio	lat	
foreign	ἐνέργεια	grc	
entry	Acus pastoris	0	
orth	Acus pastoris	lat	
foreign	γεράνιον	grc	
entry	Acuta spina	0	
orth	Acuta spina	lat	
foreign	ὀξυάκανθα	grc	
entry	Acutus	0	
orth	Acutus	lat	
foreign	ὀξύς	grc	
entry	Adamas	0	
orth	Adamas	lat	
foreign	ἀδάμας	grc	
entry	Additamentum	0	
orth	Additamentum	lat	
foreign	ἀπόφυσις	grc	
entry	Adeps	0	
orth	Adeps	lat	
foreign	πιμελή	grc	
entry	Adhaerentia	0	
orth	Adhaerentia	lat	
foreign	πρόσφυσις	grc	
entry	Adiantum	0	
orth	Adiantum	lat	
foreign	ἀδίαντον	grc	
entry	Adolescens	0	
orth	Adolescens	lat	
foreign	μειράκιον	grc	
entry	Adstrictio	0	
orth	Adstrictio	lat	
foreign	στύψις	grc	
entry	Adstringens	0	
orth	Adstringens	lat	
foreign	στύφον	grc	
entry	Adurentia medicamenta	0	
orth	Adurentia medicamenta	lat	
foreign	καυστικά	grc	
foreign	καυτήρια	grc	
entry	Aequabilitas	0	
orth	Aequabilitas	lat	
foreign	ὁμοχροίη	grc	
entry	Aequalis pulsus	0	
orth	Aequalis pulsus	lat	
foreign	ὁμαλὸς σφυγμός	grc	
entry	Aer	0	
orth	Aer	lat	
foreign	ἀήρ	grc	
entry	Aer inspiratus	0	
orth	Aer inspiratus	lat	
foreign	πνεῦμα	grc	
entry	Areolum	0	
orth	Areolum	lat	
foreign	χαλκοῦς	grc	
entry	Aeris squama	0	
orth	Aeris squama	lat	
foreign	χαλκοῦ λεπίς	grc	
entry	Aeris flos	0	
orth	Aeris flos	lat	
foreign	χαλκοῦ ἄνθος	grc	
entry	Aeruca	0	
orth	Aeruca	lat	
foreign	ἰός	grc	
entry	Aeruginosus	0	
orth	Aeruginosus	lat	
foreign	ἰώδης	grc	
entry	Aerugo	0	
orth	Aerugo	lat	
foreign	ἰός	grc	
entry	Aestas	0	
orth	Aestas	lat	
foreign	θέρος	grc	
entry	Aestus	0	
orth	Aestus	lat	
foreign	καῦμα	grc	
entry	Aetas	0	
orth	Aetas	lat	
foreign	ἡλικία	grc	
entry	Aetas declinans	0	
orth	Aetas declinans	lat	
foreign	παρακμαστικὴ ἡλικία	grc	
entry	Aetas florens	0	
orth	Aetas florens	lat	
foreign	ἀκμή	grc	
entry	Affectio	0	
orth	Affectio	lat	
foreign	διάθεσις	grc	
entry	Agallochum	0	
orth	Agallochum	lat	
foreign	ἀγάλλοχον	grc	
entry	Agaricum	0	
orth	Agaricum	lat	
foreign	ἀγαρικόν	grc	
entry	Agglutinamenta	0	
orth	Agglutinamenta	lat	
foreign	ἀνακολλήματα	grc	
entry	Agglutinamenta squamosa	0	
orth	Agglutinamenta squamosa	lat	
foreign	προσκολλήματα λεπιδοειδῆ	grc	
entry	Agglutinatio	0	
orth	Agglutinatio	lat	
foreign	πρόσφυσις	grc	
entry	Agrimonia	0	
orth	Agrimonia	lat	
foreign	εὐπατόριον	grc	
entry	Agripalma	0	
orth	Agripalma	lat	
foreign	γαλίοψις	grc	
entry	Aiuga	0	
orth	Aiuga	lat	
foreign	χαμαιπίτυς	grc	
entry	Ala	0	
orth	Ala	lat	
foreign	μασχαλίς	grc	
foreign	πτερύγιον	grc	
entry	Alatus	0	
orth	Alatus	lat	
foreign	πτερυγώδης	grc	
entry	Albaras album	0	
orth	Albaras album	lat	
foreign	λεύκη	grc	
entry	Albaras nigra	0	
orth	Albaras nigra	lat	
foreign	λέπρα	grc	
entry	Albucum	0	
orth	Albucum	lat	
foreign	ἀνθέρικος	grc	
entry	Albugo oculi	0	
orth	Albugo oculi	lat	
foreign	κυκλώπιον	grc	
foreign	λεύκωμα	grc	
entry	Albus color	0	
orth	Albus color	lat	
foreign	χαροπός	grc	
entry	Alcaquengi	0	
orth	Alcaquengi	lat	
foreign	ἁλικάκαβος	grc	
foreign	στρύχνος	grc	
entry	Alga	0	
orth	Alga	lat	
foreign	βρύον	grc	
entry	Alica	0	
orth	Alica	lat	
foreign	χόνδρος	grc	
entry	Alimenta mali succi	0	
orth	Alimenta mali succi	lat	
foreign	κακόχυμα	grc	
entry	Alimenta stomacho aduersa	0	
orth	Alimenta stomacho aduersa	lat	
foreign	κακοστόμαχα	grc	
entry	Alimentum	0	
orth	Alimentum	lat	
foreign	τροφή	grc	
entry	Alimentum boni succi	0	
orth	Alimentum boni succi	lat	
foreign	εὔχυμον	grc	
entry	Allii capita	0	
orth	Allii capita	lat	
foreign	δαιτίδες	grc	
entry	Allium	0	
orth	Allium	lat	
foreign	μόλυζα	grc	
foreign	σκόροδον	grc	
entry	Allium vlpicum	0	
orth	Allium vlpicum	lat	
foreign	αἰτισκόροδον	grc	
entry	Alnus	0	
orth	Alnus	lat	
foreign	κλήθρη	grc	
entry	Alquequengi	0	
orth	Alquequengi	lat	
foreign	στρύχνος	grc	
entry	Alteratio	0	
orth	Alteratio	lat	
foreign	ἀλλοίωσις	grc	
entry	Alteratrix facultas	0	
orth	Alteratrix facultas	lat	
