pb	[s. pag.]	0001	4821573
entry	[Page de faux-titre]	0	
pb	[s. pag.]	0002	4821574
pb	[s. pag.]	0003	4821575
entry	[Page de titre]	0	
pb	v	0004	4821576
entry	[Préface]	3	
pb	vj	0005	4821577
pb	vij	0006	4821578
pb	viij	0007	4821579
pb	1	0008	4821580
entry	Roeschlaub (André)	4	
pb	2	0009	4821581
pb	3	0010	4821582
pb	4	0011	4821583
pb	5	0012	4821584
entry	Roesslin (Eucharius)	1	
pb	6	0013	4821585
entry	Roger	1	
pb	7	0014	4821586
entry	Roland	0	
entry	Rolando (Louis)	1	
pb	8	0015	4821587
entry	Rolfinck (Guerner ou Werner)	6	
pb	9	0016	4821588
pb	10	0017	4821589
pb	11	0018	4821590
pb	12	0019	4821591
pb	13	0020	4821592
pb	14	0021	4821593
entry	Rollo (John)	1	
pb	15	0022	4821594
entry	Rondelet (Guillaume)	2	
pb	16	0023	4821595
pb	17	0024	4821596
entry	Roonhuyzen (Henry Yan)	0	
entry	Roose (Théodore George Auguste)	1	
pb	18	0025	4821597
pb	19	0026	4821598
entry	Rosa (le chevalier don Michel)	0	
entry	Rosen de Rosenstein (Nicolas)	2	
pb	20	0027	4821599
pb	21	0028	4821600
entry	Rosenmueller (Jean Chrétien)	2	
pb	22	0029	4821601
pb	23	0030	4821602
entry	Rosenthal (Frédéric Chrétien)	1	
pb	24	0031	4821603
entry	Rougemont (Joseph Claude)	1	
pb	25	0032	4821604
entry	Rougnon (Nicolas François)	0	
entry	Rouhault (Pierre Simon)	1	
pb	26	0033	4821605
entry	Rouppe (Louis)	0	
entry	Roussel (Pierre)	1	
pb	27	0034	4821606
entry	Rousset (François)	1	
pb	28	0035	4821607
entry	Roux (Augustin)	0	
pb	29	0036	4821608
entry	Rouzet (François Léon)	0	
entry	Rowley (Williams)	1	
pb	30	0037	4821609
entry	Royer collard (Antoine Athanase)	1	
pb	31	0038	4821610
entry	Rubini (Pierre)	1	
pb	32	0039	4821611
entry	Rudbeck (Olaus)	1	
pb	33	0040	4821612
entry	Rudolphi (Charles Asmund)	2	
pb	34	0041	4821613
pb	35	0042	4821614
entry	Rudtorffer (François de)	0	
entry	Ruff ou Rueff (Jacques)	1	
orth	Ruff		
orth	Rueff (Jacques)		
pb	36	0043	4821615
entry	Rufus	0	
pb	37	0044	4821616
entry	Ruleau (Jean)	0	
entry	Rullier	1	
pb	38	0045	4821617
entry	Rush (Benjamin)	2	
pb	39	0046	4821618
pb	40	0047	4821619
pb	41	0048	4821620
entry	Russell (James)	0	
entry	Russell ou Russel (Alexandre)	0	
orth	Russell		
orth	Russel (Alexandre)		
entry	Russell (Richard)	1	
pb	42	0049	4821621
entry	Russel ou Russell (Patrick)	0	
orth	Russel		
orth	Russell (Patrick)		
entry	Rutty (John)	1	
pb	43	0050	4821622
entry	Ruysch (Frédéric)	2	
pb	44	0051	4821623
pb	45	0052	4821624
entry	Ryan (Michel)	0	
entry	Ryff (Gualther Hermann)	3	
pb	46	0053	4821625
pb	47	0054	4821626
pb	48	0055	4821627
pb	49	0056	4821628
entry	Saalmann (François Rabanus)	1	
pb	50	0057	4821629
entry	Sabatier (Raphael Bienvenu)	1	
pb	51	0058	4821630
entry	Sacchi (Joseph Pompée)	1	
pb	52	0059	4821631
entry	Sachs (George Tobie Louis)	0	
entry	Sachtleben (Dieterich Guillaume)	1	
pb	53	0060	4821632
entry	Sacombe (Jean François)	1	
pb	54	0061	4821633
entry	Sagar (Jean Baptiste Melchior)	1	
pb	55	0062	4821634
entry	Saiffert (André)	0	
entry	Saillant	0	
entry	Saint-Ursin (Marie de)	1	
pb	56	0063	4821635
entry	Saint-Yves (Charles)	0	
entry	Saissy (Jean-Antoine)	1	
pb	57	0064	4821636
entry	Salerne (François)	0	
entry	Saliceto (Guillaume de)	0	
pb	58	0065	4821637
entry	Sallaba (Matthias de)	0	
entry	Salmuth (Philippe)	0	
entry	Salzmann (Jean Rodolphe)	1	
pb	59	0066	4821638
entry	Salzmann (Jean)	1	
pb	60	0067	4821639
entry	Samoilowitz	1	
pb	61	0068	4821640
entry	Sancassani (Denis André)	1	
pb	62	0069	4821641
entry	Sanchez (Antoine Nunnez Ribeiro)	1	
pb	63	0070	4821642
entry	Sanctorius	1	
