pb	[s. pag.]	0001	4876986
entry	[Page de titre]	0	
pb	[s. pag.]	0002	4876987
entry	Avis de l'éditeur	1	
pb	vj	0003	4876988
pb	[s. pag.]	0004	4876989
entry	Rapport des mesures de capacité nouvelles avec les anciennes	0	
entry	Rapport des poids anciens et des nouveaux	0	
orth	Rapport des poids anciens		
orth	des nouveaux		
pb	[s. pag.]	0005	4876990
entry	Tableau comparatif du kilogramme avec la livre poids de marc et la livre métrique	0	
orth	Tableau comparatif du kilogramme avec la livre poids de marc		
orth	la livre métrique		
pb	1	0006	4876991
entry	ou AA	0	
entry	Abaissement	0	
entry	Abaisseur	0	
entry	Abajoue	0	
entry	Abaptista ou abaptiston	0	
orth	Abaptista		
orth	abaptiston		
entry	Abarticulation	0	
entry	Abattement	0	
entry	Abcès	1	
pb	2	0007	4876992
entry	Abdomen	1	
pb	3	0008	4876993
entry	Abdominal	0	
entry	Abducteur	0	
entry	Abduction	0	
entry	Abeille	1	
pb	4	0009	4876994
entry	Abelmosch	0	
entry	Aberration	0	
entry	Abies	0	
entry	Abiétine	0	
entry	Ab étates	0	
entry	Ab-irritation	0	
entry	Ablactation	0	
entry	Ablation	0	
entry	Abluant	0	
entry	Ablution	0	
entry	Abomasus ou Abomasum	0	
orth	Abomasus		
orth	Abomasum		
entry	Abortif, ive	1	
orth	Abortif		
pb	5	0010	4876995
entry	Abouchement	0	
entry	Aboutir	0	
entry	Abracadabra	0	
entry	Abrasion	0	
entry	Abréviations usitées dans les prescriptions de médicamens	0	
entry	Abréviations usitées en botanique	0	
entry	Abréviations usitées en chimie	1	
pb	6	0011	4876996
entry	Abricot	0	
entry	Abrotanum	0	
entry	Abscision ou Abscission	0	
orth	Abscision		
orth	Abscission		
entry	Absinthe	0	
entry	Absinthé	0	
entry	Absorbant	0	
entry	Absorption	1	
pb	7	0012	4876997
entry	Abstème	0	
entry	Abstergent, ou Abstersif	0	
orth	Abstergent		
orth	Abstersif		
entry	Abstersion	0	
entry	Abstinence	0	
entry	Acacia	1	
pb	8	0013	4876998
entry	Acajou	0	
entry	Acanthabole	0	
entry	Acanthacées	1	
pb	9	0014	4876999
entry	Acarus	0	
entry	Acatapose	0	
entry	Acaule	0	
entry	Acaweria	0	
entry	Accablement	0	
entry	Accélérateur	0	
entry	Accélération	0	
entry	Accès	0	
entry	Accessoire	0	
entry	Accident	1	
pb	10	0015	4877000
entry	Acclimatement	0	
entry	Accompagnement	0	
entry	Accouchée	0	
entry	Accouchement	0	
entry	Accoucheur	0	
entry	Accouplement	0	
pb	11	0016	4877001
entry	Accrétion	0	
entry	Accroissement	0	
entry	Acéphale	0	
entry	Acéphalocyste	1	
pb	12	0017	4877002
entry	Acerbe	0	
entry	Acéré	0	
entry	Acérinées	0	
entry	Acescence	0	
entry	Acétabule	0	
entry	Acétate	0	
entry	Acétate d'alumine	0	
entry	Acétate d'ammoniaque	1	
pb	13	0018	4877003
entry	Acétate d'argent	0	
entry	Acétate d'atropine	0	
entry	Acétate de baryte	0	
entry	Acétate de buxine	0	
entry	Acétate de chaux (terre foliée calcaire, acétate calcique)	0	
entry	Acétate de cinchonine	0	
entry	Acétate de cuivre	1	
pb	14	0019	4877004
entry	Acétate de cuivre et d'ammoniaque (acétate de cuivre ammoniacal, acétate d'ammoniaque et de deutoxyde de cuivre)	0	
entry	Acétate de fer	0	
entry	Acétate de globuline	0	
entry	Acétate d'hydrogène bicarboné hydraté	0	
entry	Acétate de mercure	0	
entry	Acétate de morphine	0	
entry	Acétate de plomb	1	
pb	15	0020	4877005
entry	Acétate de potasse (terre foliée végétale, acétate potassique)	0	
entry	Acétate de quinine	0	
entry	Acétate de soude (terre foliée minérale, acétate sodique)	0	
entry	Acétate de strontiane (acétate strontique)	0	
entry	Acétate de zinc (acétate zincique)	0	
entry	Acètes	0	
entry	Acéteux	0	
entry	Acétifier (s')	0	
pb	16	0021	4877006
entry	Acétique	0	
entry	Acétite	0	
entry	Achaine, Achêne ou Akène	0	
orth	Achaine		
orth	Achêne		
orth	Akène		
entry	Ache (persil ou céleri des marais)	0	
entry	Ache d'eau	0	
entry	Achille (tendon d')	0	
entry	Achillée	0	
entry	Achlys	0	
entry	Achores	0	
entry	Achronizoïque	0	
entry	Aciculaire	0	
entry	Acides	2	
pb	17	0022	4877007
pb	18	0023	4877008
entry	Acide acéteux	0	
entry	Acide acétique	1	
pb	19	0024	4877009
entry	Acide aérien	0	
entry	Acide allantoïque	0	
entry	Acide antimonieux (deutoxyde d'antimoine)	0	
entry	Acide antimonique (peroxyde d'antimoine)	0	
entry	Acide arsénieux (oxyde blanc d'arsenic)	0	
entry	Acide arsénique	0	
entry	Acide aspartique	0	
entry	Acide azulmique	0	
entry	Acide benzoïque	1	
pb	20	0025	4877010
entry	Acide bézoardique	0	
entry	Acide bolétique	0	
entry	Acide bombyque	0	
entry	Acide borique	0	
entry	Acide bromique	0	
entry	Acide butyrique	0	
entry	Acide caféique	0	
entry	Acide cahincique	0	
entry	Acide camphorique	1	
pb	21	0026	4877011
entry	Acide caprique	0	
entry	Acide caproïque	0	
entry	Acide carboazotique	0	
entry	Acide carbonique	0	
entry	Acide caséique	0	
entry	Acide carthamique	0	
entry	Acide cétique	0	
entry	Acide cévadique	0	
entry	Acide chloreux	0	
entry	Acide chlorique	0	
entry	Acide chlorique oxygéné (acide chlorique suroxygéné, acide perchlorique ou oxychlorique)	0	
entry	Acide chlorocyanique (acide prussique oxygéné)	0	
entry	Acide chloroiodique	0	
entry	Acide chloronitreux	0	
entry	Acide chlorophosphoreux et chlorophosphorique	1	
